config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,otsu_temperature,binary_prior_weight
cfg0060,1,11.596783638000488,11.596783638000488,19.986154556274414,19.986154556274414,0.4387499690055847,22,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0015,1,11.583223342895508,11.583223342895508,21.81117820739746,21.81117820739746,0.9370777010917664,14,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0011,1,11.551889419555664,11.551889419555664,19.437114715576172,19.437114715576172,0.434198796749115,13,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0019,1,11.54811954498291,11.54811954498291,19.25860595703125,19.25860595703125,0.43518656492233276,15,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0009,1,11.539320945739746,11.539320945739746,21.772865295410156,21.772865295410156,0.9517769813537598,13,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0017,1,11.520408630371094,11.520408630371094,18.92577362060547,18.92577362060547,0.4295457601547241,14,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0054,1,11.516972541809082,11.516972541809082,20.4733829498291,20.4733829498291,0.44846248626708984,21,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0003,1,11.500617027282715,11.500617027282715,21.73436164855957,21.73436164855957,0.9526066184043884,12,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0048,1,11.476069450378418,11.476069450378418,20.77254295349121,20.77254295349121,0.4634094536304474,20,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0034,1,11.465522766113281,11.465522766113281,18.408634185791016,18.408634185791016,0.42620259523391724,17,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0042,1,11.454368591308594,11.454368591308594,20.94463348388672,20.94463348388672,0.4835154414176941,19,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0005,1,11.442444801330566,11.442444801330566,19.5667724609375,19.5667724609375,0.436074823141098,12,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0036,1,11.438898086547852,11.438898086547852,21.02788543701172,21.02788543701172,0.5034695863723755,18,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0030,1,11.418790817260742,11.418790817260742,21.04051971435547,21.04051971435547,0.5147443413734436,17,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0013,1,11.406477928161621,11.406477928161621,18.823532104492188,18.823532104492188,0.42991042137145996,14,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0024,1,11.393976211547852,11.393976211547852,20.979326248168945,20.979326248168945,0.5097440481185913,16,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0018,1,11.356054306030273,11.356054306030273,20.825027465820312,20.825027465820312,0.4884091317653656,15,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0012,1,11.315864562988281,11.315864562988281,20.515308380126953,20.515308380126953,0.4626089930534363,14,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0023,1,11.284371376037598,11.284371376037598,17.924373626708984,17.924373626708984,0.4231570363044739,15,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0006,1,11.264037132263184,11.264037132263184,19.96833610534668,19.96833610534668,0.44411247968673706,13,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0073,1,11.257148742675781,11.257148742675781,15.901208877563477,15.901208877563477,0.41188955307006836,24,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0007,1,11.199570655822754,11.199570655822754,18.196731567382812,18.196731567382812,0.42430347204208374,13,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0000,1,11.181756019592285,11.181756019592285,19.140901565551758,19.140901565551758,0.4323844313621521,12,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0044,1,11.151517868041992,11.151517868041992,15.67381763458252,15.67381763458252,0.40850287675857544,19,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0038,1,11.1371431350708,11.1371431350708,15.93145751953125,15.93145751953125,0.4098994731903076,18,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0050,1,11.106863021850586,11.106863021850586,15.310873985290527,15.310873985290527,0.4064783751964569,20,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0032,1,11.065655708312988,11.065655708312988,16.03667640686035,16.03667640686035,0.41038650274276733,17,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0056,1,10.990453720092773,10.990453720092773,14.86733627319336,14.86733627319336,0.403920441865921,21,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0026,1,10.937859535217285,10.937859535217285,16.024803161621094,16.024803161621094,0.41018766164779663,16,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0001,1,10.896464347839355,10.896464347839355,17.38859748840332,17.38859748840332,0.41872310638427734,12,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0062,1,10.772062301635742,10.772062301635742,14.314836502075195,14.314836502075195,0.40049487352371216,22,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0020,1,10.744454383850098,10.744454383850098,15.885269165039062,15.885269165039062,0.40921247005462646,15,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0039,1,10.724199295043945,10.724199295043945,18.663572311401367,18.663572311401367,0.4283568561077118,18,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0029,1,10.70583438873291,10.70583438873291,16.60624885559082,16.60624885559082,0.41577696800231934,16,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0014,1,10.467707633972168,10.467707633972168,15.612250328063965,15.612250328063965,0.4073743522167206,14,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0068,1,10.419646263122559,10.419646263122559,13.712532043457031,13.712532043457031,0.3964191675186157,23,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0008,1,10.089126586914062,10.089126586914062,15.207996368408203,15.207996368408203,0.40457579493522644,13,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0074,1,9.887995719909668,9.887995719909668,13.08839225769043,13.08839225769043,0.3916139006614685,24,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0040,1,9.680150985717773,9.680150985717773,16.095243453979492,16.095243453979492,0.41293808817863464,18,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0035,1,9.637008666992188,9.637008666992188,15.123848915100098,15.123848915100098,0.4060390591621399,17,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0002,1,9.586684226989746,9.586684226989746,14.664533615112305,14.664533615112305,0.40048879384994507,12,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0045,1,8.387056350708008,8.387056350708008,16.2784481048584,16.2784481048584,0.4122124910354614,19,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0041,1,8.144234657287598,8.144234657287598,13.612218856811523,13.612218856811523,0.3916757106781006,18,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0046,1,7.269354343414307,7.269354343414307,13.817306518554688,13.817306518554688,0.39338409900665283,19,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0047,1,6.496581554412842,6.496581554412842,12.078306198120117,12.078306198120117,0.36975136399269104,19,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0051,1,5.91600227355957,5.91600227355957,13.941640853881836,13.941640853881836,0.3883000612258911,20,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0052,1,5.103921890258789,5.103921890258789,11.761860847473145,11.761860847473145,0.3625977039337158,20,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0053,1,4.936251640319824,4.936251640319824,10.675453186035156,10.675453186035156,0.33922791481018066,20,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0057,1,4.0697784423828125,4.0697784423828125,11.867026329040527,11.867026329040527,0.352204293012619,21,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0059,1,3.6200642585754395,3.6200642585754395,9.449394226074219,9.449394226074219,0.30036377906799316,21,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0058,1,3.474850654602051,3.474850654602051,9.993432998657227,9.993432998657227,0.31891655921936035,21,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0063,1,2.841306209564209,2.841306209564209,10.165711402893066,10.165711402893066,0.30598583817481995,22,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0065,1,2.598247528076172,2.598247528076172,8.359869956970215,8.359869956970215,0.2551381587982178,22,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0064,1,2.3359358310699463,2.3359358310699463,8.461968421936035,8.461968421936035,0.264355331659317,22,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0069,1,2.0702311992645264,2.0702311992645264,8.880661964416504,8.880661964416504,0.258878618478775,23,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0071,1,1.8493857383728027,1.8493857383728027,7.4633941650390625,7.4633941650390625,0.208537295460701,23,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0075,1,1.613465428352356,1.613465428352356,7.99229097366333,7.99229097366333,0.21989421546459198,24,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0070,1,1.576448678970337,1.576448678970337,7.249164581298828,7.249164581298828,0.20687219500541687,23,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0077,1,1.3338629007339478,1.3338629007339478,6.778299331665039,6.778299331665039,0.16622158885002136,24,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0076,1,1.0936142206192017,1.0936142206192017,6.364156723022461,6.364156723022461,0.1568261682987213,24,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
