source_import,config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,otsu_temperature,binary_prior_weight
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0064,1,2.4170806407928467,2.4170806407928467,7.444598197937012,7.444598197937012,0.1953903436660766,100,0.002,0.0,0.0,0.1,24,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0068,1,2.404393434524536,2.404393434524536,7.409541606903076,7.409541606903076,0.1953374445438385,100,0.002,0.0,0.01,0.1,24,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0092,1,2.401305913925171,2.401305913925171,7.408313274383545,7.408313274383545,0.1961424052715301,200,0.002,0.0,0.01,0.1,24,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0074,1,2.390734910964966,2.390734910964966,7.424413681030273,7.424413681030273,0.190257042646408,200,0.0005,0.0,0.0,0.1,32,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0088,1,2.3899986743927,2.3899986743927,7.406048774719238,7.406048774719238,0.1939035356044769,200,0.002,0.0,0.0,0.1,24,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0078,1,2.37968111038208,2.37968111038208,7.392639636993408,7.392639636993408,0.1901786923408508,200,0.0005,0.0,0.01,0.1,32,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0084,1,2.37225341796875,2.37225341796875,7.395721435546875,7.395721435546875,0.193970501422882,200,0.001,0.0,0.01,0.1,24,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0080,1,2.365306854248047,2.365306854248047,7.3493499755859375,7.3493499755859375,0.193816676735878,200,0.001,0.0,0.0,0.1,24,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0066,1,2.341537475585937,2.341537475585937,7.439138412475586,7.439138412475586,0.188833475112915,100,0.002,0.0,0.0,0.1,32,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0094,1,2.3209481239318848,2.3209481239318848,7.430953025817871,7.430953025817871,0.1877853274345398,200,0.002,0.0,0.01,0.1,32,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0070,1,2.3190624713897705,2.3190624713897705,7.362695217132568,7.362695217132568,0.1886462420225143,100,0.002,0.0,0.01,0.1,32,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0090,1,2.313310146331787,2.313310146331787,7.356345176696777,7.356345176696777,0.1875605136156082,200,0.002,0.0,0.0,0.1,32,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0082,1,2.313029527664185,2.313029527664185,7.367392539978027,7.367392539978027,0.1881310492753982,200,0.001,0.0,0.0,0.1,32,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0086,1,2.3107619285583496,2.3107619285583496,7.356164455413818,7.356164455413818,0.1877230107784271,200,0.001,0.0,0.01,0.1,32,3,0.05,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0013,1,2.5083906650543213,2.5083906650543213,7.397093772888184,7.397093772888184,0.188189297914505,25,0.001,0.0,0.01,0.1,24,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0037,1,2.5017337799072266,2.5017337799072266,7.526202201843262,7.526202201843262,0.1875064373016357,50,0.001,0.0,0.01,0.1,24,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0021,1,2.5000693798065186,2.5000693798065186,7.667134284973144,7.667134284973144,0.1884088218212127,25,0.002,0.0,0.01,0.1,24,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0009,1,2.498385190963745,2.498385190963745,7.492740154266357,7.492740154266357,0.1880685240030288,25,0.001,0.0,0.0,0.1,24,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0017,1,2.498274803161621,2.498274803161621,7.511534690856934,7.511534690856934,0.187245488166809,25,0.002,0.0,0.0,0.1,24,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0005,1,2.497610092163086,2.497610092163086,7.321854591369629,7.321854591369629,0.1881622076034546,25,0.0005,0.0,0.01,0.1,24,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0029,1,2.497605085372925,2.497605085372925,7.486850738525391,7.486850738525391,0.1880207806825637,50,0.0005,0.0,0.01,0.1,24,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0053,1,2.495962381362915,2.495962381362915,7.552487850189209,7.552487850189209,0.1871259808540344,100,0.0005,0.0,0.01,0.1,24,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0025,1,2.4939541816711426,2.4939541816711426,7.527406215667725,7.527406215667725,0.1880355179309845,50,0.0005,0.0,0.0,0.1,24,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0001,1,2.493282556533813,2.493282556533813,7.381458759307861,7.381458759307861,0.1882556229829788,25,0.0005,0.0,0.0,0.1,24,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0049,1,2.4932332038879395,2.4932332038879395,7.559969902038574,7.559969902038574,0.1868618279695511,100,0.0005,0.0,0.0,0.1,24,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0033,1,2.492328405380249,2.492328405380249,7.560368537902832,7.560368537902832,0.1870077848434448,50,0.001,0.0,0.0,0.1,24,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0007,1,2.4555625915527344,2.4555625915527344,7.348657131195068,7.348657131195068,0.1866567432880401,25,0.0005,0.0,0.01,0.1,32,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0003,1,2.454840898513794,2.454840898513794,7.348664283752441,7.348664283752441,0.1867827922105789,25,0.0005,0.0,0.0,0.1,32,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0055,1,2.452033042907715,2.452033042907715,7.567012786865234,7.567012786865234,0.1852368414402008,100,0.0005,0.0,0.01,0.1,32,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0031,1,2.449585437774658,2.449585437774658,7.490186214447021,7.490186214447021,0.1861752122640609,50,0.0005,0.0,0.01,0.1,32,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0027,1,2.448936700820923,2.448936700820923,7.488811492919922,7.488811492919922,0.1863390505313873,50,0.0005,0.0,0.0,0.1,32,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0051,1,2.448442220687866,2.448442220687866,7.56531286239624,7.56531286239624,0.1851409971714019,100,0.0005,0.0,0.0,0.1,32,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0015,1,2.446336269378662,2.446336269378662,7.521771430969238,7.521771430969238,0.1861732900142669,25,0.001,0.0,0.01,0.1,32,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0039,1,2.4437191486358643,2.4437191486358643,7.555359840393066,7.555359840393066,0.1854961961507797,50,0.001,0.0,0.01,0.1,32,3,0.1,none,3,0.08,5,6,0.05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0011,1,2.4431746006011963,2.4431746006011963,7.530327320098877,7.530327320098877,0.1862125396728515,25,0.001,0.0,0.0,0.1,32,3,0.1,none,3,0.08,5,6,0.05,0.0
