image_size,num_pixels,basis,rho,sigma_a,window_frac,window_frames,gain_rel_mse_mean,gain_rel_mse_std,gain_corr_mean,gain_corr_std,boundary_status,censor_type,log_window_observed,sampled_min_window_frames,sampled_max_window_frames,log_window_lower,log_window_upper,predicted_log_window,predicted_window_frames,interval_satisfied,hinge_residual_log10
32,1024,random_binary,0.01,0.15,0.004,8,0.0006740203789377,7.228381426394044e-05,0.9808911364525555,0.0072235639508315,interior,exact,0.9030899869919435,3,1024,0.9030899869919435,0.9030899869919435,0.9815436769073697,9.583930968578715,True,0.07845368991542612
32,1024,random_binary,0.01,0.3,0.0025,5,0.0013322743943717,0.0001198546731742,0.9902235437184572,0.0035866404073984,interior,exact,0.6989700043360189,3,1024,0.6989700043360189,0.6989700043360189,0.6732022885543154,4.7119675242792365,True,-0.02576771578170345
32,1024,random_binary,0.01,0.5,0.0015,3,0.0021247281765681,0.0001864059537685,0.9938982482999564,0.0020713118235216,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.44596529408067387,2.7923206886694425,True,0.0
32,1024,random_binary,0.03,0.05,0.006,12,0.0004053040465805,5.015729629001366e-05,0.9099034927785395,0.021692038196354,interior,exact,1.0791812460476249,3,1024,1.0791812460476249,1.0791812460476249,1.2616829620471648,18.267661774246285,False,0.1825017159995399
32,1024,random_binary,0.03,0.1,0.004,8,0.0007847456436138,7.317659800429226e-05,0.9559242893010378,0.0101588873623127,interior,exact,0.9030899869919435,3,1024,0.9030899869919435,0.9030899869919435,0.9533415736941104,8.981349021291079,True,0.050251586702166895
32,1024,random_binary,0.03,0.15,0.0025,5,0.0011498745407152,0.0001150715006792,0.9713943880051374,0.0068020861924522,interior,exact,0.6989700043360189,3,1024,0.6989700043360189,0.6989700043360189,0.7729734240872747,5.928890426325714,True,0.0740034197512558
32,1024,random_binary,0.03,0.3,0.0015,3,0.0022145412913232,0.0001809607694248,0.9858409892767668,0.0031351703759845,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.4646320357342204,2.9149562152991835,True,0.0
32,1024,random_binary,0.03,0.5,0.0015,3,0.004363633437606,0.0002479699933229,0.9891422726213932,0.0021510631282335,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.23739504126057887,1.7274084561502874,True,0.0
32,1024,random_binary,0.1,0.05,0.004,8,0.0007018410033197,7.244469749313673e-05,0.8494351357221603,0.0211757594855643,interior,exact,0.9030899869919435,3,1024,0.9030899869919435,0.9030899869919435,1.033110139062258,10.79220382741035,False,0.13002015207031437
32,1024,random_binary,0.1,0.1,0.0025,5,0.0014042830152902,0.0001169185926658,0.9256203435361384,0.0098025529578253,interior,exact,0.6989700043360189,3,1024,0.6989700043360189,0.6989700043360189,0.7247687507092034,5.306018388162597,True,0.025798746373184578
32,1024,random_binary,0.1,0.15,0.0015,3,0.002009457508393,0.0001790332674158,0.9531452897936106,0.0063406084011318,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.5444006011023677,3.502681117158409,False,0.06727934638270522
32,1024,random_binary,0.1,0.3,0.0015,3,0.005019540520152,0.0002453759639926,0.9698734674602748,0.0031143457398503,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.2360592127493134,1.7221033546743234,True,0.0
32,1024,random_binary,0.1,0.5,0.0015,3,0.0122327486460562,0.0006965392130175,0.9715125039219856,0.0029785491620673,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.008822218275671867,1.0205216399533055,True,0.0
32,1024,random_binary,0.3,0.05,0.0025,5,0.0011728630852303,0.0001148425504202,0.7544178403913975,0.0238103302038209,interior,exact,0.6989700043360189,3,1024,0.6989700043360189,0.6989700043360189,0.8245398862421628,6.676362148378241,True,0.12556988190614393
32,1024,random_binary,0.3,0.1,0.0015,3,0.0023113694624044,0.0001823282848056,0.8783188704401255,0.011543018574412,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.5161984978891084,3.282452860587614,False,0.039077243169445997
32,1024,random_binary,0.3,0.15,0.0015,3,0.0039424425121978,0.0002078772395113,0.906852338463068,0.0070373581208801,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.33583034828227265,2.1668574836440078,True,0.0
32,1024,random_binary,0.3,0.3,0.0015,3,0.0128465586749371,0.0006022331187256,0.9224662613123656,0.0048343273039511,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.027488959929218376,1.0653417815869501,True,0.0
32,1024,random_binary,0.3,0.5,0.0015,3,0.0344634502544067,0.0022661095988405,0.9186318200081588,0.0053911164024252,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,-0.19974803454442316,0.6313235144132786,True,0.0
32,1024,random_binary,1.0,0.05,0.0015,3,0.0019308521950733,0.0001799771234912,0.6038051042705774,0.0273268846737814,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.5959670632572558,3.944273877047851,False,0.11884580853759336
32,1024,random_binary,1.0,0.1,0.0015,3,0.0046921809407649,0.0002348628553273,0.7303490247577429,0.0156346652734166,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.28762567490420143,1.9392137189265048,True,0.0
32,1024,random_binary,1.0,0.15,0.0015,3,0.0092965139192529,0.0004174127342362,0.7629328183829784,0.0122566581479906,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.10725752529736565,1.280140168864084,True,0.0
32,1024,random_binary,1.0,0.3,0.0015,3,0.0341216494562104,0.001663153195557,0.7766789272427559,0.0110310330874408,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,-0.2010838630556886,0.6293846358022588,True,0.0
32,1024,random_binary,1.0,0.5,0.0015,3,0.0916595999151468,0.0051077082671777,0.7629016824066639,0.0118338517954089,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,-0.42832085752933013,0.37297450176084473,True,0.0
32,1024,random_binary,3.0,0.05,0.004,8,0.002522460927139,9.940825904018582e-05,0.2466308646835386,0.0231335615356042,interior,exact,0.9030899869919435,3,1024,0.9030899869919435,0.9030899869919435,0.38739681043716073,2.4400392391289945,False,-0.5156931765547828
32,1024,random_binary,3.0,0.1,0.0015,3,0.0071748219197615,0.0003529915092151,0.5455600265413523,0.0207664007016203,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.07905542208410637,1.19965238589859,True,0.0
32,1024,random_binary,3.0,0.15,0.0015,3,0.0148238732072059,0.0007234646383251,0.580110939219594,0.0191921167253929,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,-0.1013127275227294,0.7919308701634786,True,0.0
32,1024,random_binary,3.0,0.3,0.0015,3,0.0550441310042515,0.0026942313958954,0.598606126382947,0.0179591304284816,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,-0.40965411587578365,0.3893551147142594,True,0.0
