correction,sigma_a,rho,object,projected_mean_energy,projected_covariance_trace,clean_floor_raw,clean_floor_mean_gain_cross,exact_projected_total,measured_raw_total_mean,exact_identity_abs_error,scalar_qdelta_proxy,scalar_proxy_over_exact_gain_energy,n_seeds
scgi_proxy,0.05,0.1,6,0.2501804106591435,0.8652110179260394,0.4846212373521136,0.007586010892282776,1.6075986768295791,1.60759871295337,3.6123790847497617e-08,1.121109373998393,1.005126402504691,5
agc,0.05,0.1,7,0.2859170536528849,0.9969059655820087,0.526752882227022,-0.009042894462682471,1.8005330069992334,1.8005330357018312,2.8702597854035616e-08,1.2893076657964955,1.0050549814466763,5
scgi_proxy,0.05,0.1,7,0.2860573311114972,0.9970814806371997,0.526752882227022,-0.0097016234862395,1.8001900704894793,1.8001900673817506,3.1077287410141707e-09,1.2902352536339903,1.0055305332675755,5
agc,0.05,0.1,8,0.2627634947708962,0.9335559347197668,0.5043874577514778,0.02159816548141555,1.7223050527235564,1.722304999640944,5.308261230574374e-08,1.2054693607472309,1.0076484014478169,5
scgi_proxy,0.05,0.1,8,0.2637094576561965,0.933981581145146,0.5043874577514778,0.02149120562528673,1.7235697021781071,1.7235698877010222,1.8552291503048934e-07,1.2067312766713556,1.0075480550301694,5
agc,0.05,0.1,9,0.22106357746959127,0.7579211783568706,0.5066149518944131,-0.0003876243655093321,1.4852120833553657,1.4852120374299875,4.592537816705544e-08,0.9831094671357479,1.004213253868089,5
scgi_proxy,0.05,0.1,9,0.2218542983946087,0.7580735240417668,0.5066149518944131,-0.0008755251959797083,1.485667249134809,1.485667041166908,2.0796790112243002e-07,0.9841411897296147,1.0042996710541023,5
agc,0.05,0.3,0,0.20148030562046276,0.7330498966074247,0.4923020115030484,-0.017759587413307514,1.4090726263176285,1.4090725736299425,5.2687685991870126e-08,0.9502859819437368,1.016859572519206,5
scgi_proxy,0.05,0.3,0,0.20134281347740737,0.7328236396757883,0.4923020115030484,-0.017644903487970227,1.4088235611682738,1.4088234865837908,7.458448303410137e-08,0.950440340234627,1.017420757324886,5
agc,0.05,0.3,1,0.20427638737262557,0.7323537366015714,0.4980248860946312,0.025587274462455147,1.4602422845312835,1.4602422824924164,2.0388670751714244e-09,0.9480665202949219,1.0122101521486404,5
scgi_proxy,0.05,0.3,1,0.20420220362451302,0.7322055225791615,0.4980248860946312,0.025214679548976396,1.4596472918472823,1.4596474017087284,1.0986144616254023e-07,0.9481586062432704,1.0125488926572996,5
agc,0.05,0.3,2,0.22850651639678699,0.8388389523982095,0.47856935164185194,-0.011801280825588763,1.5341135396112597,1.5341134431127752,9.649848453641141e-08,1.0821008741614335,1.01382439500408,5
scgi_proxy,0.05,0.3,2,0.22884082402404832,0.8388382410551313,0.47856935164185194,-0.01174450382891883,1.5345039128921127,1.534503821364631,9.152748181584514e-08,1.0828082249558042,1.014170138173031,5
agc,0.05,0.3,3,0.22440690549807038,0.8101826442101558,0.5095086583081527,-0.0239776925404057,1.5201205154759734,1.5201203730709234,1.4240504997431458e-07,1.0498818678379866,1.0147810483240172,5
scgi_proxy,0.05,0.3,3,0.22438504126968326,0.810282024333984,0.5095086583081527,-0.023483693179400935,1.5206920307324192,1.5206919534486647,7.7283754507107e-08,1.0503505512138012,1.015158002155006,5
agc,0.05,0.3,4,0.18865415897466,0.6699348134940277,0.5442038003208816,-0.021103268267975588,1.381689504521594,1.3816894739970436,3.05245504428342e-08,0.8722141779589933,1.0158692994287233,5
scgi_proxy,0.05,0.3,4,0.18857711550643813,0.67029585933064,0.5442038003208816,-0.020927868725805116,1.3821489064321546,1.3821489101894369,3.757282263094908e-09,0.8726959752610484,1.016094347859289,5
agc,0.05,0.3,5,0.2582715940741248,0.9449493805804601,0.49345120782500074,0.02208896993295777,1.7187611524125435,1.7187610168345233,1.3557802014396714e-07,1.220345147659702,1.0142319435630125,5
scgi_proxy,0.05,0.3,5,0.2585940053203076,0.9446554270053934,0.49345120782500074,0.022395677272512807,1.7190963174232143,1.7190962510174443,6.640576999394909e-08,1.2206562342404756,1.0144664950151938,5
agc,0.05,0.3,6,0.2769037690843224,0.9964688221936788,0.4846212373521136,-0.0035661681616607154,1.7544276604684543,1.7544277175343423,5.706588801501766e-08,1.291359873523828,1.0141257023820296,5
scgi_proxy,0.05,0.3,6,0.277298565611117,0.9961895226426071,0.4846212373521136,-0.003246148121571892,1.7548631774842658,1.754863220010956,4.252669016935329e-08,1.291904191990073,1.014461151153445,5
