estimator,sigma_a,rho,seed,object,S1_true,S1_hat,gamma,gamma_minus_1_sq,min_pair_sum,n_denominator_clipped,delta_mean,delta_second_moment,rel_mse_raw,rel_mse_aligned,coefficient_risk_raw,risk_f7_component,risk_gauge_component,risk_normalization_increment_cross,risk_decomposition_sum,risk_decomposition_abs_error,coefficient_identity_max_abs_over_S1
median_pair_sum,0.5,0.3,1,2,145.70348731148988,130.8571891784668,0.8981060892435322,0.010382369049247026,30.72104263305664,0,0.0851753773084491,0.18219109935331668,7.4603761932592025,0.9103436253610555,7.460375193969235,7.441407649168839,0.010382369049247026,0.008584758713192725,7.460374776931278,4.170379570012095e-07,3.536913164986848e-07
true_s1,0.5,0.3,1,3,165.0899476800114,165.0899476800114,1.0,0.0,34.58780860900879,0,0.0851753773084491,0.18219109935331668,8.870877529726826,0.9222618031710851,8.870877835382435,8.87087760694444,0.0,-0.0,8.87087760694444,2.2843799563077027e-07,1.671101252930321e-07
median_pair_sum,0.5,0.3,1,3,165.0899476800114,148.31725311279297,0.8984026901521078,0.010322013368328607,34.58780860900879,0,0.0851753773084491,0.18219109935331668,7.195111431539156,0.9222618127663075,7.195112343804455,7.1599283224812025,0.010322013368328607,0.024861331172801066,7.195111667022331,6.767821229269888e-07,1.8066485288126724e-07
true_s1,0.5,0.3,1,4,92.1666671433486,92.1666671433486,1.0,0.0,19.053611755371094,0,0.0851753773084491,0.18219109935331668,7.353664082586975,0.8922336809506999,7.353663468281291,7.353663900130655,0.0,-0.0,7.353663900130655,4.318493642685439e-07,8.616748831279724e-08
median_pair_sum,0.5,0.3,1,4,92.1666671433486,82.72221755981445,0.8975285764771659,0.010500392638796041,19.053611755371094,0,0.0851753773084491,0.18219109935331668,5.944926210455136,0.8922336655732636,5.944926218423606,5.923799442506038,0.010500392638796041,0.010626897846096857,5.944926732990931,5.145673247237276e-07,6.285444993189167e-08
true_s1,0.5,0.3,1,5,197.74866265058517,197.74866265058517,1.0,0.0,41.559213638305664,0,0.0851753773084491,0.18219109935331668,10.396858625444548,0.9157485843636773,10.396858850588323,10.396859316043372,0.0,-0.0,10.396859316043372,4.654550487259712e-07,2.8073059245589635e-07
median_pair_sum,0.5,0.3,1,5,197.74866265058517,177.64413452148438,0.8983329249380322,0.010336194151655797,41.559213638305664,0,0.0851753773084491,0.18219109935331668,8.404640030186881,0.9157485709687269,8.404640470541702,8.390286719515647,0.010336194151655797,0.004017459220914535,8.404640372888217,9.765348507346366e-08,2.2754927582132143e-07
true_s1,0.5,0.3,1,6,217.80729159526527,217.80729159526527,1.0,0.0,45.859615325927734,0,0.0851753773084491,0.18219109935331668,10.944443593382818,0.9226799294935557,10.94444334511208,10.944442620263832,0.0,-0.0,10.944442620263832,7.248482489785602e-07,1.634302190922623e-07
median_pair_sum,0.5,0.3,1,6,217.80729159526527,195.5703582763672,0.8979054688388519,0.010423293293014637,45.859615325927734,0,0.0851753773084491,0.18219109935331668,8.841982609691682,0.9226799297118268,8.841982366483151,8.823784279351566,0.010423293293014637,0.007774702611241131,8.841982275255821,9.122732967051933e-08,1.6800723852917184e-07
true_s1,0.5,0.3,1,7,229.46783746033907,229.46783746033907,1.0,0.0,48.1458683013916,0,0.0851753773084491,0.18219109935331668,12.586986338142829,0.9217621918425326,12.586984905267881,12.586985245415296,0.0,0.0,12.586985245415296,3.40147414235048e-07,7.359713889070904e-08
median_pair_sum,0.5,0.3,1,7,229.46783746033907,206.176025390625,0.8984963978939323,0.010302981240506907,48.1458683013916,0,0.0851753773084491,0.18219109935331668,10.16559937429351,0.9217621923193094,10.165599638128732,10.161420034142187,0.010302981240506907,-0.006123371854953375,10.165599643527742,5.399008598701294e-09,7.917041928424686e-08
true_s1,0.5,0.3,1,8,208.90131407044828,208.90131407044828,1.0,0.0,43.64696502685547,0,0.0851753773084491,0.18219109935331668,11.831292105115983,0.9182379976279991,11.831292229262838,11.83129144555444,0.0,0.0,11.83129144555444,7.837083977335624e-07,1.1080003895959502e-07
median_pair_sum,0.5,0.3,1,8,208.90131407044828,187.69708251953125,0.8984964185348959,0.01030297705024302,43.64696502685547,0,0.0851753773084491,0.18219109935331668,9.556845124452249,0.9182379985361825,9.556846084207264,9.551352059630274,0.01030297705024302,-0.004808821515896008,9.55684621516462,1.3095735712509438e-07,6.798073705130134e-08
true_s1,0.5,0.3,1,9,157.6987950624898,157.6987950624898,1.0,0.0,33.460896492004395,0,0.0851753773084491,0.18219109935331668,9.604554048596757,0.9014172810692401,9.604554506141175,9.604554891189665,0.0,0.0,9.604554891189665,3.8504848909326483e-07,3.123814683405158e-07
median_pair_sum,0.5,0.3,1,9,157.6987950624898,141.69373321533203,0.8985086611421755,0.01030049186315375,33.460896492004395,0,0.0851753773084491,0.18219109935331668,7.7596957538933555,0.901417269189961,7.759694873823257,7.753928260614966,0.01030049186315375,-0.0045329746017922145,7.759695777876328,9.040530707859692e-07,1.6563453070471117e-07
true_s1,0.5,0.3,2,0,148.97826256789267,148.97826256789267,1.0,0.0,32.40244388580322,0,0.06519278409709164,0.1784489725914568,8.370157733931963,0.900400176703808,8.370157986353139,8.37015863844978,0.0,-0.0,8.37015863844978,6.520966415735074e-07,1.1174440427327285e-07
