config_id,config_index,global_config_index,init_seed,object,object_index,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,otsu_temperature,binary_prior_weight,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss,final_proxy_mean,final_proxy_std,final_proxy_min,final_proxy_max,final_proxy_range,final_proxy_tv_l1,final_proxy_roughness_l2,final_proxy_otsu_score,final_proxy_otsu_threshold,final_proxy_otsu_fg_fraction,final_proxy_hist_entropy,final_proxy_data_loss,final_proxy_aug_loss,final_proxy_denoiser_mse,final_proxy_binary_prior_loss,final_proxy_net_delta_mse,final_proxy_dual_abs_mean
cfg0015,15,15,20240710,stripe_target,1,scgi_ured,32,0.0005,0.05,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.08,0.0,2.925487756729126,7.359783172607422,0.21125715970993042,0.004685699939727783,0.9740428844495653,3.258100748062134,0.0007665649754926562,0.5125679969787598,0.15648609399795532,0.0,1.0,1.0,0.26485106348991394,0.05924144387245178,0.017905734479427338,0.5483871102333069,0.33343505859375,2.9586181640625,0.0002278645697515458,0.00053870037663728,0.046152789145708084,0.0,0.0006483403849415481,0.0401676744222641
cfg0016,16,16,20240710,stripe_target,1,scgi_ured,32,0.0005,0.1,0.5,0.05,24,3,0.08,otsu_soft,3,0.062,5,6,0.02,0.0,2.4163904190063477,7.8885345458984375,0.21236346662044525,0.004685699939727783,0.9740428844495653,2.9208929538726807,0.001025335630401969,0.4562340974807739,0.17171135544776917,0.0005911411717534065,0.9386788010597229,0.9380876421928406,0.3209310472011566,0.08314906060695648,0.024439776316285133,0.4516128897666931,0.469970703125,3.000239372253418,0.00022775567776989192,0.0007975799962878227,0.10860547423362732,0.0,0.00029594649095088243,0.04749120771884918
cfg0017,17,17,20240710,stripe_target,1,scgi_ured,32,0.0005,0.1,0.5,0.05,24,3,0.08,otsu_soft,3,0.062,5,6,0.04,0.0,2.4656565189361572,8.018767356872559,0.2129105031490326,0.004685699939727783,0.9740428844495653,2.9026381969451904,0.0008614426478743553,0.4514099359512329,0.16505557298660278,0.0019314177334308624,0.9441058039665222,0.9421743750572205,0.30227431654930115,0.07408353686332703,0.02086123824119568,0.4838709533214569,0.38104248046875,3.0133509635925293,0.00022775352408643812,0.000633689109236002,0.07471117377281189,0.0,0.00027406527078710496,0.04090841859579086
cfg0018,18,18,20240710,stripe_target,1,scgi_ured,32,0.0005,0.1,0.5,0.05,24,3,0.08,otsu_soft,3,0.062,5,6,0.06,0.0,2.418163299560547,7.913637638092041,0.20662930607795715,0.004685699939727783,0.9740428844495653,2.843200445175171,0.0007227499736472964,0.45563429594039917,0.16042204201221466,0.0033103402238339186,0.9444880485534668,0.9411777257919312,0.295915424823761,0.07049402594566345,0.01911408267915249,0.4838709533214569,0.390869140625,3.0094430446624756,0.0002277421299368143,0.0004950078437104821,0.04877375066280365,0.0,0.0002249439712613821,0.035674139857292175
cfg0019,19,19,20240710,stripe_target,1,scgi_ured,32,0.0005,0.1,0.5,0.05,24,3,0.08,otsu_soft,3,0.062,5,6,0.08,0.0,2.393162250518799,7.8178935050964355,0.20162075757980347,0.004685699939727783,0.9740428844495653,2.7821006774902344,0.0006031516822986305,0.46059343218803406,0.15615394711494446,0.005363046191632748,0.9481023550033569,0.9427393078804016,0.28799161314964294,0.06680692732334137,0.017788497731089592,0.4838709533214569,0.3985595703125,2.991450309753418,0.00022773805540055037,0.0003754136268980801,0.03108590468764305,0.0,0.00019380461890250444,0.030980877578258514
cfg0020,20,20,20240710,stripe_target,1,scgi_ured,32,0.0005,0.1,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0,3.2388596534729004,9.075831413269043,0.2364981472492218,0.004685699939727783,0.9740428844495653,6.0666422843933105,0.0017097544623538852,0.40018150210380554,0.15918835997581482,0.0,0.9106831550598145,0.9106831550598145,0.2586314082145691,0.05954067409038544,0.019860900938510895,0.4516128897666931,0.28179931640625,2.9016735553741455,0.00022779623395763338,0.0014819581992924213,0.14844197034835815,0.0,0.0010118016507476568,0.06680979579687119
cfg0021,21,21,20240710,stripe_target,1,scgi_ured,32,0.0005,0.1,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,2.985039710998535,8.768732070922852,0.22567218542099,0.004685699939727783,0.9740428844495653,5.216242790222168,0.0013492790749296546,0.4116584062576294,0.15587082505226135,0.0,0.9155119061470032,0.9155119061470032,0.2634502649307251,0.059577327221632004,0.018329354003071785,0.4516128897666931,0.31854248046875,2.9307730197906494,0.0002277838793816045,0.0011214951518923044,0.10140210390090942,0.0,0.0008522022981196642,0.05826559662818909
cfg0022,22,22,20240710,stripe_target,1,scgi_ured,32,0.0005,0.1,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0,2.8268678188323975,8.44448471069336,0.21548578143119812,0.004685699939727783,0.9740428844495653,4.547183036804199,0.000980735756456852,0.42732107639312744,0.15124212205410004,0.00037941383197903633,0.9249401092529297,0.9245606660842896,0.261094331741333,0.057588327676057816,0.01675686053931713,0.4516128897666931,0.36199951171875,2.928474187850952,0.00022776791593059897,0.0007529678987339139,0.07111812382936478,0.0,0.0006631463766098022,0.04775680601596832
cfg0023,23,23,20240710,stripe_target,1,scgi_ured,32,0.0005,0.1,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.08,0.0,2.7379512786865234,8.230382919311523,0.2080671787261963,0.004685699939727783,0.9740428844495653,4.125248908996582,0.0007745262118987739,0.4383901059627533,0.1470886915922165,0.003242472419515252,0.9349932074546814,0.9317507147789001,0.2558540105819702,0.055007629096508026,0.015619936399161816,0.4838709533214569,0.31591796875,2.910277843475342,0.00022775919933337718,0.000546767027117312,0.04356146603822708,0.0,0.0005462242988869548,0.04035951942205429
cfg0024,24,24,20240710,stripe_target,1,scgi_ured,32,0.0005,0.1,0.5,0.1,24,3,0.08,otsu_soft,3,0.062,5,6,0.02,0.0,2.8843843936920166,7.901851654052734,0.24093526601791382,0.004685699939727783,0.9740428844495653,2.8843843936920166,0.0008499271934852004,0.4864806830883026,0.18807236850261688,0.0,1.0,1.0,0.3186493515968323,0.08856558799743652,0.02986309304833412,0.5483871102333069,0.30364990234375,3.0020666122436523,0.00022786218323744833,0.0006220650393515825,0.1158566102385521,0.0,0.000494512147270143,0.03799940645694733
cfg0025,25,25,20240710,stripe_target,1,scgi_ured,32,0.0005,0.1,0.5,0.1,24,3,0.08,otsu_soft,3,0.062,5,6,0.04,0.0,2.849971294403076,7.582028388977051,0.23537901043891907,0.004685699939727783,0.9740428844495653,2.849971294403076,0.0010679115075618029,0.5064359903335571,0.1855730265378952,0.0,1.0,1.0,0.3195854425430298,0.08611823618412018,0.027440916746854782,0.5483871102333069,0.34295654296875,3.070014476776123,0.00022791778610553592,0.0008399937069043517,0.07036431133747101,0.0,0.0007665953598916531,0.03842674940824509
cfg0026,26,26,20240710,stripe_target,1,scgi_ured,32,0.0005,0.1,0.5,0.1,24,3,0.08,otsu_soft,3,0.062,5,6,0.06,0.0,2.76928973197937,7.343657493591309,0.22602733969688416,0.004685699939727783,0.9740428844495653,2.7862966060638428,0.0011173293460160494,0.5174500942230225,0.18045508861541748,0.0,1.0,1.0,0.31783032417297363,0.08294037729501724,0.024902284145355225,0.5483871102333069,0.3748779296875,3.090197801589966,0.00022787530906498432,0.0008894540369510651,0.04727724939584732,0.0,0.0005108659970574081,0.04488600045442581
cfg0027,27,27,20240710,stripe_target,1,scgi_ured,32,0.0005,0.1,0.5,0.1,24,3,0.08,otsu_soft,3,0.062,5,6,0.08,0.0,2.730250835418701,7.271327972412109,0.22022797167301178,0.004685699939727783,0.9740428844495653,2.730250835418701,0.0010405887151136994,0.5202972292900085,0.1747673749923706,0.0,1.0,1.0,0.307592511177063,0.0776287391781807,0.02284141257405281,0.5483871102333069,0.37548828125,3.069430351257324,0.000227848780923523,0.0008127399487420917,0.029421258717775345,0.0,0.0003839349956251681,0.045199401676654816
cfg0028,28,28,20240710,stripe_target,1,scgi_ured,32,0.0005,0.1,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0,3.754887104034424,9.401521682739258,0.26219063997268677,0.004685699939727783,0.9740428844495653,5.950129508972168,0.0010698899859562516,0.4059651792049408,0.17613844573497772,0.0,0.9650002717971802,0.9650002717971802,0.2700795531272888,0.06834855675697327,0.025649994611740112,0.4838709533214569,0.24798583984375,2.926326274871826,0.00022805939079262316,0.0008418306242674589,0.1426030397415161,0.0,0.0026325713843107224,0.05577539652585983
cfg0029,29,29,20240710,stripe_target,1,scgi_ured,32,0.0005,0.1,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,3.522138833999634,9.007189750671387,0.25264525413513184,0.004685699939727783,0.9740428844495653,5.153120517730713,0.0007302819285541773,0.42413845658302307,0.17249099910259247,0.0,0.9791735410690308,0.9791735410690308,0.27324268221855164,0.06736427545547485,0.02359704300761223,0.4838709533214569,0.2725830078125,2.963937282562256,0.00022802912280894816,0.0005022528348490596,0.10234897583723068,0.0,0.0022343106102198362,0.04332553222775459
cfg0030,30,30,20240710,stripe_target,1,scgi_ured,32,0.0005,0.1,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0,3.327706813812256,8.48774528503418,0.24075081944465637,0.004685699939727783,0.9740428844495653,4.497194766998291,0.0004653114010579884,0.4512881338596344,0.16757284104824066,0.0,1.0,1.0,0.27094510197639465,0.06478293240070343,0.021633416414260864,0.5161290168762207,0.27166748046875,2.9703333377838135,0.00022799029829911888,0.00023732111731078476,0.07053397595882416,0.0,0.0018051085062325,0.02653690055012703
cfg0031,31,31,20240710,stripe_target,1,scgi_ured,32,0.0005,0.1,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.08,0.0,3.206580400466919,8.021992683410645,0.22999422252178192,0.004685699939727783,0.9740428844495653,4.080392837524414,0.0004704756720457226,0.477120041847229,0.16295696794986725,0.0,1.0,1.0,0.26657018065452576,0.06186132878065109,0.0200171060860157,0.5483871102333069,0.26513671875,2.964257001876831,0.0002279571781400591,0.0002425184939056635,0.041348159313201904,0.0,0.0014547116588801146,0.019169840961694717
cfg0032,32,32,20240710,stripe_target,1,scgi_ured,32,0.0005,0.2,0.5,0.05,24,3,0.08,otsu_soft,3,0.062,5,6,0.02,0.0,1.9721506834030151,7.133751392364502,0.20967379212379456,0.004685699939727783,0.9740428844495653,2.9270546436309814,0.0034209878649562597,0.479941725730896,0.22305336594581604,0.0,0.9100316762924194,0.9100316762924194,0.43708863854408264,0.1627597212791443,0.046960361301898956,0.4516128897666931,0.55419921875,2.9354143142700195,0.00022779728169552982,0.0031931905541568995,0.12021200358867645,0.0,0.0004714599344879389,0.10142222791910172
cfg0033,33,33,20240710,stripe_target,1,scgi_ured,32,0.0005,0.2,0.5,0.05,24,3,0.08,otsu_soft,3,0.062,5,6,0.04,0.0,2.5234792232513428,8.523824691772461,0.2420884221792221,0.004685699939727783,0.9740428844495653,2.954413890838623,0.001764465356245637,0.43021661043167114,0.19076794385910034,0.0,0.9384287595748901,0.9384287595748901,0.34314677119255066,0.09749050438404083,0.028378929942846298,0.4838709533214569,0.33245849609375,3.0814170837402344,0.00022781547158956528,0.0015366498846560717,0.07614563405513763,0.0,0.0005590738146565855,0.06885430216789246
cfg0034,34,34,20240710,stripe_target,1,scgi_ured,32,0.0005,0.2,0.5,0.05,24,3,0.08,otsu_soft,3,0.062,5,6,0.06,0.0,2.511138677597046,8.232561111450195,0.23289428651332855,0.004685699939727783,0.9740428844495653,2.9194984436035156,0.001152098411694169,0.4485935568809509,0.18289688229560852,0.0,0.9584634900093079,0.9584634900093079,0.3294679522514343,0.08892399072647095,0.025545192882418633,0.4838709533214569,0.36236572265625,3.0858664512634277,0.0002278151805512607,0.0009242832893505692,0.049023859202861786,0.0,0.0005204810877330601,0.05389505624771118
