source_import,config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,otsu_temperature,binary_prior_weight
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg0615,1,9.861920356750488,9.861920356750488,7.481897354125977,7.481897354125977,0.187499314546585,32,0.0005,0.55,0.5,0.15,24,3,0.07,nlm,3,0.062,5,6,0.05,0.015
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg2275,1,9.8617582321167,9.8617582321167,7.489212989807129,7.489212989807129,0.1871713399887085,35,0.0004,0.55,0.5,0.14,24,3,0.05,nlm,3,0.064,5,6,0.05,0.02
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg0160,1,9.85987663269043,9.85987663269043,7.40675163269043,7.40675163269043,0.1861475855112075,32,0.0004,0.55,0.5,0.16,24,3,0.07,nlm,3,0.064,5,6,0.05,0.02
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg1075,1,9.85958766937256,9.85958766937256,7.398039817810059,7.398039817810059,0.1899194121360778,33,0.00045,0.55,0.5,0.14,24,3,0.07,nlm,3,0.062,5,6,0.05,0.02
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg1335,1,9.85875129699707,9.85875129699707,7.584477424621582,7.584477424621582,0.1873877942562103,33,0.0005,0.55,0.5,0.15,24,3,0.06,nlm,3,0.062,5,6,0.05,0.015
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg1105,1,9.858006477355955,9.858006477355955,7.45842170715332,7.45842170715332,0.1860562264919281,33,0.00045,0.55,0.5,0.15,24,3,0.07,nlm,3,0.064,5,6,0.05,0.02
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg2525,1,9.85782241821289,9.85782241821289,7.60931396484375,7.60931396484375,0.191544771194458,35,0.00045,0.55,0.5,0.14,24,3,0.06,nlm,3,0.062,5,6,0.05,0.025
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg2060,1,9.85548973083496,9.85548973083496,7.691056728363037,7.691056728363037,0.1889823526144027,34,0.0005,0.55,0.5,0.15,24,3,0.05,nlm,3,0.064,5,6,0.05,0.025
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg1555,1,9.8541259765625,9.8541259765625,7.411020278930664,7.411020278930664,0.1868210285902023,34,0.0004,0.55,0.5,0.14,24,3,0.06,nlm,3,0.064,5,6,0.05,0.02
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg0120,1,9.852336883544922,9.852336883544922,7.421607971191406,7.421607971191406,0.1882634460926056,32,0.0004,0.55,0.5,0.15,24,3,0.06,nlm,3,0.062,5,6,0.05,0.015
