sigma_a,correction,challenger,baseline,rho_star_log_interp,boundary_status,max_margin_db,min_margin_db,points,rho_min,rho_max
0.3,agc,srht_paired,hadamard_paired,0.001,left_censored,5.38942223210606,0.10566640570605657,9,0.001,10.0
0.3,none,random_uniform,hadamard_paired,,not_reached,-0.16433794198835194,-13.797169318530127,9,0.001,10.0
0.3,none,random_binary,hadamard_paired,8.157032240532475,observed,0.002123644129875757,-13.22567054074777,9,0.001,10.0
0.3,none,fourier_fourstep,hadamard_paired,,not_reached,-0.01835741170808447,-5.129700775772282,9,0.001,10.0
0.3,none,dct_paired,hadamard_paired,,not_reached,-0.11685182137100725,-1.5114747915208149,9,0.001,10.0
0.3,none,srht_paired,hadamard_paired,0.001,left_censored,0.14773866850138795,-0.04469511186397668,9,0.001,10.0
0.3,pairwise,dct_paired,hadamard_paired,,not_reached,-0.13718277603143214,-2.9537839073062138,9,0.001,10.0
0.3,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.08151448885255164,0.02628516703109085,9,0.001,10.0
0.3,reference_k2,random_uniform,hadamard_paired,,not_reached,-0.23043878606670987,-16.85647065215337,9,0.001,10.0
0.3,reference_k2,random_binary,hadamard_paired,,not_reached,-0.0057019700598477385,-16.895986428213103,9,0.001,10.0
0.3,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.02526432466146389,-12.248611989371575,9,0.001,10.0
0.3,reference_k2,dct_paired,hadamard_paired,,not_reached,-0.16834712946525343,-2.989935911345718,9,0.001,10.0
0.3,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.054862694102485676,0.02030533557533687,9,0.001,10.0
0.3,reference_k32,random_uniform,hadamard_paired,,not_reached,-0.19365495715418746,-15.392622836136747,9,0.001,10.0
0.3,reference_k32,random_binary,hadamard_paired,,not_reached,-0.08666099639645175,-14.59610718409893,9,0.001,10.0
0.3,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.007491762650078115,-9.813089974562637,9,0.001,10.0
0.3,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.0972041451926291,-2.8519424334505707,9,0.001,10.0
0.3,reference_k32,srht_paired,hadamard_paired,0.03195829114742983,observed,0.06374724912835994,-0.10558232549294289,9,0.001,10.0
0.3,reference_k8,random_uniform,hadamard_paired,,not_reached,-0.1815900620772286,-14.836337267570565,9,0.001,10.0
0.3,reference_k8,random_binary,hadamard_paired,,not_reached,-0.05214421153465487,-14.577379629961301,9,0.001,10.0
0.3,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.028798882170102402,-10.189329125446722,9,0.001,10.0
0.3,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.10895664853147657,-2.9618476285821984,9,0.001,10.0
0.3,reference_k8,srht_paired,hadamard_paired,0.003606259691995078,observed,0.10010578528526004,-0.018447244269722773,9,0.001,10.0
0.3,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-0.1576988384677236,-13.87979831733031,9,0.001,10.0
0.3,scgi_frozen,random_binary,hadamard_paired,9.335160694818626,observed,0.0007033426028790757,-12.911802197269234,9,0.001,10.0
