config_id,object,object_index,rule,selected_step,selected_cnr,peak_step,peak_cnr,final_cnr,regret_to_peak,improvement_over_final
cfg0000,letter_L,2,min_proxy_min,25,5.00869083404541,40,21.261276245117188,12.181139945983888,16.252585411071777,-7.172449111938478
cfg0000,letter_L,2,min_proxy_max,98,0.504442036151886,40,21.261276245117188,12.181139945983888,20.7568342089653,-11.676697909832003
cfg0000,letter_L,2,min_proxy_range,98,0.504442036151886,40,21.261276245117188,12.181139945983888,20.7568342089653,-11.676697909832003
cfg0000,letter_L,2,min_proxy_tv_l1,98,0.504442036151886,40,21.261276245117188,12.181139945983888,20.7568342089653,-11.676697909832003
cfg0000,letter_L,2,min_proxy_roughness_l2,98,0.504442036151886,40,21.261276245117188,12.181139945983888,20.7568342089653,-11.676697909832003
cfg0000,letter_L,2,min_proxy_otsu_score,98,0.504442036151886,40,21.261276245117188,12.181139945983888,20.7568342089653,-11.676697909832003
cfg0000,letter_L,2,min_proxy_otsu_threshold,96,2.2136754989624023,40,21.261276245117188,12.181139945983888,19.047600746154785,-9.967464447021486
cfg0000,letter_L,2,min_proxy_otsu_fg_fraction,98,0.504442036151886,40,21.261276245117188,12.181139945983888,20.7568342089653,-11.676697909832003
cfg0000,letter_L,2,min_proxy_hist_entropy,98,0.504442036151886,40,21.261276245117188,12.181139945983888,20.7568342089653,-11.676697909832003
cfg0000,letter_L,2,min_proxy_data_loss,38,19.99298858642578,40,21.261276245117188,12.181139945983888,1.2682876586914062,7.811848640441893
cfg0000,letter_L,2,min_proxy_aug_loss,1,3.637826919555664,40,21.261276245117188,12.181139945983888,17.623449325561523,-8.543313026428224
cfg0000,letter_L,2,min_proxy_denoiser_mse,196,15.500335693359377,40,21.261276245117188,12.181139945983888,5.760940551757811,3.3191957473754883
cfg0000,letter_L,2,min_proxy_net_delta_mse,14,11.198204040527344,40,21.261276245117188,12.181139945983888,10.063072204589844,-0.9829359054565447
cfg0000,letter_L,2,min_proxy_dual_abs_mean,1,3.637826919555664,40,21.261276245117188,12.181139945983888,17.623449325561523,-8.543313026428224
