rule,observations,mean_selected_cnr,min_selected_cnr,mean_regret_to_peak,max_regret_to_peak,mean_improvement_over_final,min_improvement_over_final,mean_selected_step
fixed_step_75,8,4.615548759698868,2.252650260925293,9.103001087903976,19.008625984191895,-1.8593309223651888,-9.928489685058596,75.0
fixed_step_175,8,7.039835557341576,1.881626009941101,6.678714290261268,13.330511093139645,0.564955875277519,-2.276869773864748,175.0
min_proxy_denoiser_mse,8,7.371417224407196,1.5799107551574707,6.347132623195646,8.108548164367674,0.8965375423431396,0.0,199.0
final_step,8,6.474879682064056,1.5799107551574707,7.243670165538786,11.716634750366207,0.0,0.0,200.0
loss_plateau_10_1pct,8,6.474879682064056,1.5799107551574707,7.243670165538786,11.716634750366207,0.0,0.0,200.0
min_proxy_data_loss,8,8.488626211881638,1.4491870403289795,5.229923635721206,9.0020694732666,2.013746529817581,-1.9752979278564449,55.5
max_proxy_otsu_fg_fraction,8,3.598821260035038,0.9299562573432922,10.119728587567806,17.331981420516964,-2.8760584220290184,-6.054975032806398,73.75
min_proxy_otsu_threshold,8,3.1785895973443985,0.8161638975143433,10.539960250258446,20.209194302558895,-3.296290084719658,-9.967464447021486,66.0
min_proxy_otsu_fg_fraction,8,6.333079908043146,0.4720477759838104,7.385469939559697,20.7568342089653,-0.14179977402091049,-11.676697909832003,57.375
min_proxy_roughness_l2,8,4.5742691196501255,0.4720477759838104,9.144280727952719,20.7568342089653,-1.9006105624139313,-11.676697909832003,104.125
min_proxy_max,8,4.5085691548883915,0.4720477759838104,9.209980692714453,20.7568342089653,-1.9663105271756651,-11.676697909832003,111.625
min_proxy_range,8,4.391809049993753,0.4720477759838104,9.32674079760909,20.7568342089653,-2.083070632070303,-11.676697909832003,132.0
min_proxy_hist_entropy,8,3.9949550665915012,0.4720477759838104,9.723594781011343,20.7568342089653,-2.479924615472555,-11.676697909832003,71.875
min_proxy_tv_l1,8,3.1500379480421543,0.4720477759838104,10.56851189956069,20.7568342089653,-3.324841734021902,-11.676697909832003,105.5
min_proxy_mean,8,2.9030528105795383,0.4720477759838104,10.815497037023306,20.7568342089653,-3.571826871484518,-11.676697909832003,76.25
min_proxy_std,8,2.753858659416437,0.4720477759838104,10.964691188186407,20.7568342089653,-3.7210210226476192,-11.676697909832003,102.75
min_proxy_otsu_score,8,2.7027549482882023,0.4720477759838104,11.015794899314642,20.7568342089653,-3.772124733775854,-11.676697909832003,103.0
