config_id,config_index,global_config_index,init_seed,object,object_index,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss,final_proxy_mean,final_proxy_std,final_proxy_min,final_proxy_max,final_proxy_range,final_proxy_tv_l1,final_proxy_roughness_l2,final_proxy_otsu_score,final_proxy_otsu_threshold,final_proxy_otsu_fg_fraction,final_proxy_hist_entropy,final_proxy_data_loss,final_proxy_aug_loss,final_proxy_denoiser_mse,final_proxy_net_delta_mse,final_proxy_dual_abs_mean
cfg0019,19,19,20240710,stripe_target,1,scgi_ured,35,0.0005,0.55,0.6,0.14,24,3,0.18,nlm,3,0.062,5,6,5.380731105804443,8.244282722473145,0.1774628758430481,0.004685699939727783,0.9740428844495653,8.2621488571167,0.0028298255056142807,0.4259156584739685,0.09584545344114304,0.10235242545604706,0.7875168323516846,0.6851643919944763,0.1132335215806961,0.016097962856292725,0.008419406600296497,0.4838709533214569,0.213134765625,2.0699803829193115,0.00022729928605258465,0.002602526219561696,0.004145473707467318,0.00018924758478533477,0.07277733087539673
cfg0020,20,20,20240710,stripe_target,1,scgi_ured,35,0.0005,0.55,0.65,0.08,24,3,0.18,nlm,3,0.062,5,6,5.836928844451904,6.601459503173828,0.18881350755691528,0.004685699939727783,0.9740428844495653,7.82919979095459,0.005415992345660925,0.5673993825912476,0.11536423861980438,0.22420404851436615,0.9804052114486694,0.7562011480331421,0.127628892660141,0.020871534943580627,0.012410738505423069,0.6451612710952759,0.21392822265625,2.1968612670898438,0.00022761103173252195,0.005188381299376488,0.00434472318738699,7.937914779176936e-05,0.10305244475603104
cfg0021,21,21,20240710,stripe_target,1,scgi_ured,35,0.0005,0.55,0.65,0.09,24,3,0.18,nlm,3,0.062,5,6,6.872498989105225,7.187593460083008,0.18559660017490387,0.004685699939727783,0.9740428844495653,7.872604846954346,0.00318227824755013,0.5203503370285034,0.10562246292829514,0.18971553444862366,0.8801435828208923,0.6904280185699463,0.10676325857639313,0.016884058713912964,0.010819013230502605,0.5806452035903931,0.2142333984375,1.9401628971099854,0.0002275231236126274,0.002954755211248994,0.004357967525720596,6.428304186556488e-05,0.07252174615859985
cfg0022,22,22,20240710,stripe_target,1,scgi_ured,35,0.0005,0.55,0.65,0.11,24,3,0.18,nlm,3,0.062,5,6,6.57734489440918,7.9995036125183105,0.1790732592344284,0.004685699939727783,0.9740428844495653,7.910311698913574,0.0021882769651710987,0.44955241680145264,0.09582590311765671,0.13238859176635742,0.7767446637153625,0.6443560719490051,0.10163001716136932,0.01469690352678299,0.008825053460896015,0.4838709533214569,0.21661376953125,1.900770902633667,0.00022738787811249495,0.001960888970643282,0.004307788331061602,0.00017125117301475257,0.06113668158650398
cfg0023,23,23,20240710,stripe_target,1,scgi_ured,35,0.0005,0.55,0.65,0.13,24,3,0.18,nlm,3,0.062,5,6,4.824157238006592,8.244048118591309,0.17822517454624176,0.004685699939727783,0.9740428844495653,7.9377923011779785,0.002807046752423048,0.42561763525009155,0.09826117753982544,0.0955926924943924,0.8028233051300049,0.7072306275367737,0.12503093481063843,0.017851438373327255,0.008511930704116821,0.4838709533214569,0.2152099609375,2.1985526084899902,0.0002273192221764475,0.002579727442935109,0.0041489023715257645,0.0001890832354547456,0.069766566157341
cfg0024,24,24,20240710,stripe_target,1,scgi_ured,35,0.0005,0.55,0.65,0.14,24,3,0.18,nlm,3,0.062,5,6,4.2117438316345215,8.2050142288208,0.1797483116388321,0.004685699939727783,0.9740428844495653,7.9179863929748535,0.002720746211707592,0.4289872646331787,0.10246647894382477,0.08894212543964386,0.8466460108757019,0.7577039003372192,0.1388358324766159,0.020762352272868156,0.00886207539588213,0.4838709533214569,0.2218017578125,2.3214001655578613,0.0002273083955515176,0.002493437845259905,0.004080680198967457,0.00015431988867931068,0.06817727535963058
cfg0025,25,25,20240710,stripe_target,1,scgi_ured,36,0.0005,0.55,0.35,0.08,24,3,0.18,nlm,3,0.062,5,6,3.129225492477417,5.17948579788208,0.1779721975326538,0.004685699939727783,0.9740428844495653,6.0697102546691895,0.006305845454335213,0.6680504679679871,0.14146769046783447,0.06559846550226212,1.0,0.9344015121459961,0.20151430368423462,0.0423148088157177,0.015378523617982864,0.7419354915618896,0.24285888671875,2.709367036819458,0.00022774742683395743,0.006078097969293594,0.004030387848615646,0.0010674349032342434,0.17535655200481415
cfg0026,26,26,20240710,stripe_target,1,scgi_ured,36,0.0005,0.55,0.35,0.09,24,3,0.18,nlm,3,0.062,5,6,3.430180549621582,5.178144454956055,0.18129496276378632,0.004685699939727783,0.9740428844495653,6.28847599029541,0.007149446755647659,0.6712570190429688,0.14083828032016754,0.10021446645259857,1.0,0.8997855186462402,0.19033321738243103,0.03987405449151993,0.015791388228535652,0.7419354915618896,0.241943359375,2.6487491130828857,0.0002277046733070165,0.006921742111444473,0.0042075891979038715,0.0008247803780250251,0.18470150232315063
cfg0027,27,27,20240710,stripe_target,1,scgi_ured,36,0.0005,0.55,0.35,0.11,24,3,0.18,nlm,3,0.062,5,6,5.012462139129639,5.582361221313477,0.18803825974464417,0.004685699939727783,0.9740428844495653,6.574337482452393,0.006686731241643429,0.6460738182067871,0.1280275136232376,0.19825458526611328,1.0,0.8017454147338867,0.13370059430599213,0.026210162788629532,0.014855531975626945,0.7096774578094482,0.22735595703125,2.287473201751709,0.00022760327556170523,0.006459128111600876,0.004348945803940296,0.00039163787732832134,0.17039567232131958
cfg0028,28,28,20240710,stripe_target,1,scgi_ured,36,0.0005,0.55,0.35,0.13,24,3,0.18,nlm,3,0.062,5,6,7.86325740814209,6.248257637023926,0.1846509873867035,0.004685699939727783,0.9740428844495653,7.86325740814209,0.005135994870215654,0.5943788290023804,0.11299804598093033,0.27464795112609863,0.9525058269500732,0.6778578758239746,0.10609525442123413,0.01754174754023552,0.012593554332852364,0.6451612710952759,0.2156982421875,1.9362342357635498,0.00022748684568796307,0.004908508155494928,0.004307580180466175,0.0001422690402250737,0.13601288199424744
cfg0029,29,29,20240710,stripe_target,1,scgi_ured,36,0.0005,0.55,0.35,0.14,24,3,0.18,nlm,3,0.062,5,6,6.687403678894043,6.592197418212891,0.17973116040229797,0.004685699939727783,0.9740428844495653,7.801429271697998,0.004538843873888254,0.5649576187133789,0.10952972620725632,0.2703366279602051,0.8663684129714966,0.5960317850112915,0.12093359231948853,0.01788649521768093,0.011404147371649742,0.6129032373428345,0.21588134765625,2.098839282989502,0.00022743229055777192,0.004311411641538143,0.004303678870201111,8.914429054129869e-05,0.12274694442749023
cfg0030,30,30,20240710,stripe_target,1,scgi_ured,36,0.0005,0.55,0.4,0.08,24,3,0.18,nlm,3,0.062,5,6,3.5584840774536133,5.175843715667725,0.18214833736419678,0.004685699939727783,0.9740428844495653,6.411988735198975,0.008182226680219173,0.6722126007080078,0.14011524617671967,0.15250849723815918,1.0,0.8474915027618408,0.1926480382680893,0.038573335856199265,0.015621757134795189,0.7419354915618896,0.2420654296875,2.6672215461730957,0.0002277377643622458,0.007954488508403301,0.00422435998916626,0.0007748609059490263,0.1861293613910675
cfg0031,31,31,20240710,stripe_target,1,scgi_ured,36,0.0005,0.55,0.4,0.09,24,3,0.18,nlm,3,0.062,5,6,4.2222700119018555,5.377157211303711,0.18652579188346863,0.004685699939727783,0.9740428844495653,6.521604061126709,0.00802591722458601,0.6601917743682861,0.13447102904319763,0.18132279813289642,1.0,0.8186771869659424,0.16539928317070007,0.03191683068871498,0.015375257469713688,0.7419354915618896,0.225830078125,2.5283637046813965,0.00022767801419831812,0.007798239588737488,0.004321194253861904,0.0005135327810421586,0.18033763766288757
cfg0032,32,32,20240710,stripe_target,1,scgi_ured,36,0.0005,0.55,0.4,0.11,24,3,0.18,nlm,3,0.062,5,6,7.2641191482543945,6.1039886474609375,0.18779566884040833,0.004685699939727783,0.9740428844495653,7.2641191482543945,0.005888511426746845,0.6067994832992554,0.1165415570139885,0.26863956451416016,1.0,0.7313604354858398,0.10001060366630554,0.01881798729300499,0.013289227150380611,0.6774193644523621,0.21502685546875,1.9088358879089355,0.00022754829842597246,0.005660963244736195,0.004341627936810255,0.00016707766917534173,0.1410590559244156
cfg0033,33,33,20240710,stripe_target,1,scgi_ured,36,0.0005,0.55,0.4,0.13,24,3,0.18,nlm,3,0.062,5,6,7.449298858642578,6.921782493591309,0.17962637543678284,0.004685699939727783,0.9740428844495653,8.484598159790039,0.004037512931972742,0.5393099188804626,0.10495638102293015,0.24374136328697205,0.8249507546424866,0.5812094211578369,0.10670049488544464,0.015965640544891357,0.01075845118612051,0.6129032373428345,0.21148681640625,1.9284400939941406,0.00022742031433153898,0.0038100925739854574,0.004359331447631121,6.970101094339043e-05,0.10639290511608124
cfg0034,34,34,20240710,stripe_target,1,scgi_ured,36,0.0005,0.55,0.4,0.14,24,3,0.18,nlm,3,0.062,5,6,6.016117572784424,7.280299186706543,0.17447927594184875,0.004685699939727783,0.9740428844495653,8.656475067138672,0.003640206530690193,0.507524847984314,0.10188563168048859,0.2306053638458252,0.8383934497833252,0.6077880859375,0.11716987192630768,0.016495324671268463,0.00971121247857809,0.5483871102333069,0.22027587890625,2.0869522094726562,0.00022736823302693665,0.003412838326767087,0.0043924227356910706,8.614688704255968e-05,0.10056711733341217
cfg0035,35,35,20240710,stripe_target,1,scgi_ured,36,0.0005,0.55,0.5,0.08,24,3,0.18,nlm,3,0.062,5,6,4.811795234680176,5.6898698806762695,0.18926256895065308,0.004685699939727783,0.9740428844495653,7.162217140197754,0.008585271425545216,0.6378335356712341,0.12930355966091156,0.2541379928588867,1.0,0.7458620071411133,0.1534154713153839,0.027591943740844727,0.014755151234567165,0.7096774578094482,0.223388671875,2.448155164718628,0.00022767159680370241,0.008357599377632141,0.004332704469561577,0.00028831156669184566,0.16373291611671448
cfg0036,36,36,20240710,stripe_target,1,scgi_ured,36,0.0005,0.55,0.5,0.09,24,3,0.18,nlm,3,0.062,5,6,6.377953052520752,6.209945201873779,0.18917781114578247,0.004685699939727783,0.9740428844495653,7.245396137237549,0.0063915010541677475,0.5986945629119873,0.11809699237346649,0.2535895109176636,1.0,0.7464104890823364,0.1158333495259285,0.020499451085925102,0.013324161991477013,0.6774193644523621,0.21417236328125,2.0946807861328125,0.00022758948034606874,0.0061639114283025265,0.0043483213521540165,0.000128365310956724,0.13244707882404327
cfg0037,37,37,20240710,stripe_target,1,scgi_ured,36,0.0005,0.55,0.5,0.11,24,3,0.18,nlm,3,0.062,5,6,9.502230644226074,7.259381294250488,0.18228685855865479,0.004685699939727783,0.9740428844495653,9.502230644226074,0.0032620264682918787,0.5141676664352417,0.10098541527986526,0.20255210995674133,0.8292232751846313,0.6266711950302124,0.07812479883432388,0.01408318430185318,0.010414647869765759,0.5806452035903931,0.21221923828125,1.504032850265503,0.0002274377620778978,0.00303458864800632,0.00438377819955349,7.724878378212452e-05,0.08418427407741547
cfg0038,38,38,20240710,stripe_target,1,scgi_ured,36,0.0005,0.55,0.5,0.13,24,3,0.18,nlm,3,0.062,5,6,9.067367553710938,7.983526706695557,0.17471382021903992,0.004685699939727783,0.9740428844495653,9.549389839172363,0.0028792296070605516,0.44976285099983215,0.09164050966501236,0.15916579961776733,0.7167771458625793,0.557611346244812,0.07421892136335373,0.012115078046917915,0.008536728098988533,0.4838709533214569,0.214111328125,1.5467760562896729,0.0002273221907671541,0.002651907503604889,0.004372947849333286,0.00018178008031100035,0.08059461414813995
cfg0039,39,39,20240710,stripe_target,1,scgi_ured,36,0.0005,0.55,0.5,0.14,24,3,0.18,nlm,3,0.062,5,6,8.972884178161621,8.189159393310547,0.17308147251605988,0.004685699939727783,0.9740428844495653,9.606440544128418,0.0031556293834000826,0.4303572177886963,0.08928484469652176,0.1407354474067688,0.7023905515670776,0.5616551041603088,0.07006799429655075,0.011640423908829689,0.007969441823661327,0.4838709533214569,0.212158203125,1.4466350078582764,0.0002272826968692243,0.0029283466283231974,0.004308503121137619,0.0002161529118893668,0.08472137153148651
cfg0040,40,40,20240710,stripe_target,1,scgi_ured,36,0.0005,0.55,0.6,0.08,24,3,0.18,nlm,3,0.062,5,6,6.1023664474487305,6.540071487426758,0.1893404871225357,0.004685699939727783,0.9740428844495653,7.953859806060791,0.005638648755848408,0.572840690612793,0.11575247347354889,0.2293785959482193,0.9859046339988708,0.7565260529518127,0.12268576771020889,0.020549073815345764,0.012641632929444313,0.6451612710952759,0.21484375,2.1466708183288574,0.00022758569684810936,0.005411062855273485,0.004346724599599838,7.452478166669607e-05,0.11031176149845123
cfg0041,41,41,20240710,stripe_target,1,scgi_ured,36,0.0005,0.55,0.6,0.09,24,3,0.18,nlm,3,0.062,5,6,7.588439464569092,7.181731224060059,0.18599994480609894,0.004685699939727783,0.9740428844495653,8.01911449432373,0.0032834643498063087,0.5216618180274963,0.10516610741615295,0.19288037717342377,0.8779364824295044,0.6850560903549194,0.09738896787166595,0.01622648350894451,0.010958148166537285,0.5806452035903931,0.21405029296875,1.8139925003051758,0.00022749521303921938,0.0030559690203517675,0.004363370593637228,6.91110544721596e-05,0.07704520225524902
