sigma_a,correction,challenger,baseline,rho_star_first_ge,boundary_status,max_margin_db,min_margin_db,points
0.15,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.17943306973525708,-0.2110449254475384,2
0.15,agc,dct_paired,hadamard_paired,,not_reached,-0.38699470400878866,-0.40361140836025733,2
0.15,agc,srht_paired,hadamard_paired,3.0,left_censored,0.2855927167695853,0.2732048050636724,2
0.15,none,random_uniform,hadamard_paired,,not_reached,-0.6498684740039735,-0.6915659356099599,2
0.15,none,random_binary,hadamard_paired,,not_reached,-0.11362580123115862,-0.156808245913874,2
0.15,none,fourier_fourstep,hadamard_paired,,not_reached,-0.11589737915171838,-0.1554386933333145,2
0.15,none,dct_paired,hadamard_paired,,not_reached,-0.4667575958104777,-0.4859808194151327,2
0.15,none,srht_paired,hadamard_paired,3.0,left_censored,0.05965947010147232,0.056264061019781764,2
0.15,pairwise,dct_paired,hadamard_paired,,not_reached,-0.475197143268975,-0.4956529558359417,2
0.15,pairwise,srht_paired,hadamard_paired,3.0,left_censored,0.04696026951291721,0.04391076711842601,2
0.15,reference_k2,random_uniform,hadamard_paired,,not_reached,-0.8586073923442861,-0.9074396746983453,2
0.15,reference_k2,random_binary,hadamard_paired,,not_reached,-0.17369979317190953,-0.19185385701079838,2
0.15,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.06638219158821457,-0.09547573274727483,2
0.15,reference_k2,dct_paired,hadamard_paired,,not_reached,-0.633919243107183,-0.6699261547818072,2
0.15,reference_k2,srht_paired,hadamard_paired,3.0,left_censored,0.06324415688047758,0.06069014893022562,2
0.15,reference_k32,random_uniform,hadamard_paired,,not_reached,-0.7868720291783795,-0.8297417990218143,2
0.15,reference_k32,random_binary,hadamard_paired,,not_reached,-0.417938392921684,-0.4610954323179435,2
0.15,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.10376733822343098,-0.14439633090750803,2
0.15,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.4572284413214156,-0.47743951847351696,2
0.15,reference_k32,srht_paired,hadamard_paired,3.0,left_censored,0.031145042757794172,0.029226644887987874,2
0.15,reference_k8,random_uniform,hadamard_paired,,not_reached,-0.7698933128420276,-0.8107855864285352,2
0.15,reference_k8,random_binary,hadamard_paired,,not_reached,-0.3290032638703604,-0.36529883751906134,2
0.15,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.14585061972887559,-0.18212803889384688,2
0.15,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.47617657677505676,-0.4970503977861185,2
