condition,rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
ideal,1.0,0.3,random_binary,reference_k2,11.16710874697829,1.6821036764781099,0.8676101208506479,0.022403104386380605,2048,1025,3073
ideal,1.0,0.3,fourier_fourstep,reference_k2,11.103379023400361,1.6606609630839404,0.880296784551841,0.016375625913684144,2048,1025,3073
ideal,1.0,0.3,srht_paired,reference_k8,10.995314209958785,1.674890032781955,0.9025212615868964,0.019103417683628773,2048,257,2305
ideal,1.0,0.3,srht_paired,reference_k32,10.987805746809274,1.670155191327641,0.904082671014478,0.019123508682382537,2048,65,2113
ideal,1.0,0.3,hadamard_paired,reference_k8,10.975930416064339,1.6818725965689074,0.9065943243762189,0.020753445636074036,2048,257,2305
ideal,1.0,0.3,hadamard_paired,reference_k32,10.956914847092516,1.67884101657278,0.9105954865009285,0.02182197790334418,2048,65,2113
ideal,1.0,0.3,dct_paired,reference_k2,10.879503633543596,1.670057934786146,0.9269417346678077,0.02097788853771705,2048,1025,3073
ideal,1.0,0.3,fourier_fourstep,reference_k8,10.818132480362978,1.645224321458617,0.9399701408421203,0.011886687608510443,2048,257,2305
ideal,1.0,0.3,fourier_fourstep,reference_k32,10.79989327044765,1.6424651849192682,0.9439298721944469,0.01221768700150757,2048,65,2113
ideal,1.0,0.3,random_binary,reference_k8,10.799640284155066,1.6527963715258949,0.9440525989572067,0.016697475651677004,2048,257,2305
ideal,1.0,0.3,random_uniform,reference_k2,10.773642333427542,1.6516071366430891,0.9496815924870977,0.014370915941777754,2048,1025,3073
ideal,1.0,0.3,dct_paired,reference_k8,10.765699389027565,1.6575934478133105,0.951447664532716,0.016121404122711337,2048,257,2305
ideal,1.0,0.3,dct_paired,reference_k32,10.755668490087203,1.6521017722777485,0.9536712679874084,0.017481820384105996,2048,65,2113
ideal,1.0,0.3,random_binary,reference_k32,10.751106369376389,1.644566925379023,0.9546194178924828,0.014281748316729438,2048,65,2113
ideal,1.0,0.3,random_uniform,reference_k8,10.63251859788436,1.619604029257037,0.9809576970452654,0.0063192260107226735,2048,257,2305
ideal,1.0,0.3,random_uniform,reference_k32,10.616139829675076,1.6154189643102808,0.9846667660298601,0.0067243097959318035,2048,65,2113
ideal,1.0,0.5,random_binary,reference_k2,10.774161165805912,1.6384510265591123,0.9495675499677282,0.014339886656685171,2048,1025,3073
ideal,1.0,0.5,hadamard_paired,reference_k2,10.75515834961256,1.6502596080749563,0.9537365289695552,0.014694526689731698,2048,1025,3073
ideal,1.0,0.5,srht_paired,reference_k2,10.752459606536279,1.63462926602969,0.9542912063106587,0.011978091634071781,2048,1025,3073
ideal,1.0,0.5,fourier_fourstep,reference_k2,10.730084392205535,1.6325898667756542,0.959188666649108,0.009101328475808801,2048,1025,3073
ideal,1.0,0.5,srht_paired,reference_k8,10.687139125023327,1.6382996918603434,0.9687384368450493,0.010905829660355599,2048,257,2305
ideal,1.0,0.5,srht_paired,reference_k32,10.685155548049488,1.635169628980629,0.9691793243919318,0.010775638880050245,2048,65,2113
ideal,1.0,0.5,hadamard_paired,reference_k8,10.67617594472511,1.6381334126390934,0.9711840948121687,0.010658177629111374,2048,257,2305
ideal,1.0,0.5,hadamard_paired,reference_k32,10.664615756126288,1.6356407443207046,0.9737767644535029,0.011060811523757349,2048,65,2113
ideal,1.0,0.5,dct_paired,reference_k2,10.654347338118807,1.6345332252759253,0.9760750345225838,0.010473492256531835,2048,1025,3073
ideal,1.0,0.5,random_binary,reference_k8,10.635957579584622,1.6288524943052496,0.9802075545935593,0.00959173518825349,2048,257,2305
ideal,1.0,0.5,fourier_fourstep,reference_k8,10.628278203796585,1.6264110995504482,0.9819126888029295,0.005779263893550792,2048,257,2305
ideal,1.0,0.5,random_uniform,reference_k2,10.621197096369809,1.6282778946515208,0.9835250327448282,0.007318502723782329,2048,1025,3073
ideal,1.0,0.5,fourier_fourstep,reference_k32,10.620871204394248,1.624876836126398,0.9835946655380924,0.0067192629669534975,2048,65,2113
ideal,1.0,0.5,random_binary,reference_k32,10.616025850537854,1.625147049256254,0.9846987493127587,0.007588003222391339,2048,65,2113
ideal,1.0,0.5,dct_paired,reference_k8,10.613192146646442,1.630273879695405,0.9853419672782933,0.007648061294065011,2048,257,2305
ideal,1.0,0.5,dct_paired,reference_k32,10.60873937083603,1.626529322243756,0.9863615505499698,0.008720307327342285,2048,65,2113
ideal,1.0,0.5,random_uniform,reference_k8,10.575620428920194,1.6150171217035325,0.9938799377944884,0.0035020537139322976,2048,257,2305
ideal,1.0,0.5,random_uniform,reference_k32,10.57260940224732,1.6135397113054377,0.994571301634363,0.00405311359668439,2048,65,2113
nonideal,0.001,0.05,srht_paired,reference_k32,39.574856369736864,2.031916312901302,0.001261808808300148,0.0001649742180967604,2048,65,2113
