condition,rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
nonideal,0.003,0.05,srht_paired,reference_k32,37.5424533406778,2.1216983340271898,0.0020180335850935043,0.00028917659207704964,2048,65,2113
nonideal,0.003,0.1,srht_paired,reference_k8,33.692524180850086,2.2080489222484148,0.004913431083654707,0.0008134460950619359,2048,257,2305
nonideal,0.003,0.15,srht_paired,reference_k2,30.832521552489993,2.217639944143315,0.009491156978805567,0.0015541255776016824,2048,1025,3073
nonideal,0.003,0.3,hadamard_paired,reference_k2,26.909664380447907,2.226708317378275,0.023430077653124038,0.003913101385471341,2048,1025,3073
nonideal,0.003,0.5,hadamard_paired,reference_k2,23.18730154333356,2.215336285554852,0.05516858182730425,0.008944792665756903,2048,1025,3073
nonideal,0.01,0.05,srht_paired,reference_k8,34.27800460747966,2.183932430060469,0.0042913657926150674,0.0006973776162510654,2048,257,2305
nonideal,0.01,0.1,srht_paired,reference_k2,29.964283276837218,2.2100961447799654,0.01159243877405179,0.0019083100562180915,2048,1025,3073
nonideal,0.01,0.15,hadamard_paired,reference_k2,27.614438188995976,2.2405323449731878,0.019927185856270988,0.0033711748440551515,2048,1025,3073
nonideal,0.01,0.3,hadamard_paired,reference_k2,22.606231932554476,2.2087832473996385,0.06305455537148555,0.01013514136614471,2048,1025,3073
nonideal,0.01,0.5,hadamard_paired,reference_k2,18.773019245782383,2.1596576057144388,0.15212039576545908,0.02238580528607397,2048,1025,3073
nonideal,0.03,0.05,srht_paired,reference_k2,30.668608005984996,2.201453945246309,0.009855209378531878,0.0016162268550628594,2048,1025,3073
nonideal,0.03,0.1,hadamard_paired,reference_k2,26.644927268543952,2.223120232775078,0.024889082285474783,0.00406097977268955,2048,1025,3073
nonideal,0.03,0.15,hadamard_paired,reference_k2,23.724523076385964,2.215721202114261,0.04875011340068825,0.007891297857551287,2048,1025,3073
nonideal,0.03,0.3,hadamard_paired,reference_k2,18.52452926076051,2.1582256714931716,0.1610551159036103,0.023547190915362986,2048,1025,3073
nonideal,0.03,0.5,hadamard_paired,reference_k2,15.199706195159811,2.0399066555434606,0.3449453831752825,0.03965569735647252,2048,1025,3073
nonideal,0.1,0.05,hadamard_paired,reference_k2,27.317864284287065,2.2477000819795805,0.021338842633929458,0.0036149098551482746,2048,1025,3073
nonideal,0.1,0.1,hadamard_paired,reference_k2,22.23766838473126,2.223852852428203,0.06865922025246837,0.011119517629478022,2048,1025,3073
nonideal,0.1,0.15,hadamard_paired,reference_k2,19.205983832605476,2.165458492243277,0.1376978535606782,0.020342160387579206,2048,1025,3073
nonideal,0.1,0.3,hadamard_paired,reference_k2,14.709633223858951,2.0082859159326856,0.3858396147715603,0.04152161015956476,2048,1025,3073
nonideal,0.1,0.5,hadamard_paired,reference_k2,12.514820089945164,1.8517279972397556,0.6373771017503874,0.04318486802397385,2048,1025,3073
nonideal,0.3,0.05,hadamard_paired,reference_k2,23.415130938183744,2.2180866585437546,0.05234574590980965,0.00845936449989956,2048,1025,3073
nonideal,0.3,0.1,hadamard_paired,reference_k2,18.252455941080132,2.1542723068229277,0.17143760758759266,0.024802004455425075,2048,1025,3073
nonideal,0.3,0.15,hadamard_paired,reference_k2,15.594214805928464,2.055589765740835,0.31516448258643964,0.03775281039080993,2048,1025,3073
nonideal,0.3,0.3,hadamard_paired,reference_k2,12.428607177780478,1.8435252986753419,0.6500664792320269,0.04266004595620978,2048,1025,3073
nonideal,0.3,0.5,hadamard_paired,reference_k2,11.29175560522743,1.7206220907607077,0.8432754329302461,0.028866668262460485,2048,1025,3073
nonideal,1.0,0.05,hadamard_paired,reference_k2,19.512507727876777,2.1742164674169913,0.12835960324142337,0.019274701961002116,2048,1025,3073
nonideal,1.0,0.1,hadamard_paired,reference_k2,14.937406375487141,2.0277763188878373,0.36628643958486684,0.040868278878579446,2048,1025,3073
nonideal,1.0,0.15,hadamard_paired,reference_k2,13.02889652864663,1.8996665444856518,0.5666803558211668,0.04465348793707453,2048,1025,3073
nonideal,1.0,0.3,hadamard_paired,reference_k2,11.272488440315241,1.7208466991225082,0.8470109415523445,0.028553987430918137,2048,1025,3073
nonideal,1.0,0.5,random_binary,reference_k2,10.809080886043898,1.6416231851628373,0.9419783998417307,0.015223470164713272,2048,1025,3073
