condition,rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
nonideal,0.001,0.3,hadamard_paired,pairwise,29.247446734943,2.251569452202517,0.013689970760727812,0.0023497158538771383,2048,0,2048
nonideal,0.001,0.5,hadamard_paired,pairwise,25.07034609876121,2.253061275262425,0.03581920839447272,0.006146344543560708,2048,0,2048
nonideal,0.003,0.05,hadamard_paired,pairwise,37.833315952775195,2.176645744736202,0.00189199409427666,0.0003020403175669471,2048,0,2048
nonideal,0.003,0.1,srht_paired,pairwise,33.52044915659954,2.237092934786982,0.00511800699622877,0.0008840269815481023,2048,0,2048
nonideal,0.003,0.15,srht_paired,pairwise,30.424548101021077,2.2549448323355024,0.010443697963795365,0.0018279903294189269,2048,0,2048
nonideal,0.003,0.3,hadamard_paired,pairwise,24.77119514625862,2.241003968420105,0.038350399546151194,0.0064502504339843765,2048,0,2048
nonideal,0.003,0.5,hadamard_paired,pairwise,20.665768227974546,2.2052264061928613,0.09854736498396856,0.015598254647304388,2048,0,2048
nonideal,0.01,0.05,hadamard_paired,pairwise,34.19124798983497,2.225169596918301,0.00438265736225926,0.000739746076966466,2048,0,2048
nonideal,0.01,0.1,srht_paired,pairwise,28.875560031658182,2.242280003342742,0.014910684218721776,0.002548952903480599,2048,0,2048
nonideal,0.01,0.15,hadamard_paired,pairwise,25.550758111000818,2.236731873708498,0.03204409739990062,0.005368895678704304,2048,0,2048
nonideal,0.01,0.3,hadamard_paired,pairwise,19.998889079689928,2.1913185230840964,0.11483840025316672,0.01774487431512151,2048,0,2048
nonideal,0.01,0.5,hadamard_paired,pairwise,16.37976503828603,2.0905358588120935,0.26327836884042793,0.03363973022606379,2048,0,2048
nonideal,0.03,0.05,hadamard_paired,pairwise,30.074996384796172,2.2467211865369334,0.011312963217222895,0.0019338095639854062,2048,0,2048
nonideal,0.03,0.1,hadamard_paired,pairwise,24.426190263678254,2.232852370167396,0.04150416153466952,0.0068712117006604215,2048,0,2048
nonideal,0.03,0.15,hadamard_paired,pairwise,21.16548976132321,2.2109251836164194,0.08785587607854019,0.014025720752014949,2048,0,2048
nonideal,0.03,0.3,hadamard_paired,pairwise,16.174575181573616,2.083302742866061,0.27594228208259486,0.03466105273885146,2048,0,2048
nonideal,0.03,0.5,hadamard_paired,pairwise,13.471066348743001,1.9287497043941781,0.5120971701344843,0.043664137439993624,2048,0,2048
nonideal,0.1,0.05,hadamard_paired,pairwise,25.336350265870006,2.2499402719646517,0.033684900323788854,0.005748335746787626,2048,0,2048
nonideal,0.1,0.1,hadamard_paired,pairwise,19.79197692344684,2.186527255921552,0.12041699286484862,0.01841299880894801,2048,0,2048
nonideal,0.1,0.15,hadamard_paired,pairwise,16.884302644749877,2.1124004324017522,0.23456875058521096,0.03127031118459623,2048,0,2048
nonideal,0.1,0.3,hadamard_paired,pairwise,13.174651811418087,1.905243316355749,0.5480144995459576,0.04361752157294533,2048,0,2048
nonideal,0.1,0.5,hadamard_paired,pairwise,11.69085793321717,1.762331291625093,0.7694879203132237,0.03295343515139102,2048,0,2048
nonideal,0.3,0.05,srht_paired,pairwise,21.34492134025871,2.2089660326421137,0.08433948850887209,0.0138003399708263,2048,0,2048
nonideal,0.3,0.1,srht_paired,pairwise,16.318732147372263,2.0878936293835273,0.2671730044625881,0.035820580789186936,2048,0,2048
nonideal,0.3,0.15,srht_paired,pairwise,14.045009114268323,1.9617227500966101,0.4493435189638859,0.04583042487211987,2048,0,2048
nonideal,0.3,0.3,srht_paired,pairwise,11.720704497187121,1.7547355054782554,0.7643712015238563,0.03646140849721064,2048,0,2048
nonideal,0.3,0.5,hadamard_paired,pairwise,11.01215105827496,1.680701569347332,0.8990448945938266,0.019716995842776176,2048,0,2048
nonideal,1.0,0.05,srht_paired,pairwise,18.094966961114718,2.1461982842590475,0.1777977509379527,0.026085026964517307,2048,0,2048
nonideal,1.0,0.1,srht_paired,pairwise,13.932882394787935,1.954122164084783,0.4608525276954109,0.044373787216295604,2048,0,2048
nonideal,1.0,0.15,srht_paired,pairwise,12.387618535069096,1.825949596873999,0.6560747607506796,0.04088398258649352,2048,0,2048
nonideal,1.0,0.3,srht_paired,pairwise,11.091805616317435,1.6828776162378452,0.882741661858647,0.021045723167787377,2048,0,2048
nonideal,1.0,0.5,hadamard_paired,pairwise,10.755201045712779,1.6489705406111734,0.9536974775701696,0.012604778232178102,2048,0,2048
