object,family,K_eff,basis,requested_basis,rho,s,seed,W,num_frames,carrier_mean,carrier_cv,gain_rel_err,theory_variance_cv2_over_w,source_file
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,1,128,2048,67.6080322265625,0.0846698880195617,0.0518382884159073,5.600773388472757e-05,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,1,256,2048,67.6080322265625,0.0846698880195617,0.0741726767495364,2.8003866942363783e-05,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,1,512,2048,67.6080322265625,0.0846698880195617,0.1022378008734217,1.4001933471181892e-05,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,1,1024,2048,67.6080322265625,0.0846698880195617,0.1271217520635451,7.000966735590947e-06,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,2,4,2048,67.6080322265625,0.0846698880195617,0.0188602736386529,0.0017922474843112,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,2,8,2048,67.6080322265625,0.0846698880195617,0.0155134744738757,0.0008961237421556,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,2,16,2048,67.6080322265625,0.0846698880195617,0.0180831145205771,0.0004480618710778,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,2,32,2048,67.6080322265625,0.0846698880195617,0.0244363809836755,0.0002240309355389,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,2,64,2048,67.6080322265625,0.0846698880195617,0.0340209432174549,0.0001120154677694,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,2,128,2048,67.6080322265625,0.0846698880195617,0.0482577511239158,5.600773388472757e-05,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,2,256,2048,67.6080322265625,0.0846698880195617,0.0664095997487998,2.8003866942363783e-05,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,2,512,2048,67.6080322265625,0.0846698880195617,0.0897556015961376,1.4001933471181892e-05,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,2,1024,2048,67.6080322265625,0.0846698880195617,0.1184563205998514,7.000966735590947e-06,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,3,4,2048,67.6080322265625,0.0846698880195617,0.0193026597507418,0.0017922474843112,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,3,8,2048,67.6080322265625,0.0846698880195617,0.0167348174727766,0.0008961237421556,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,3,16,2048,67.6080322265625,0.0846698880195617,0.0202005570666593,0.0004480618710778,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,3,32,2048,67.6080322265625,0.0846698880195617,0.027184487073169,0.0002240309355389,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,3,64,2048,67.6080322265625,0.0846698880195617,0.0379835772935653,0.0001120154677694,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,3,128,2048,67.6080322265625,0.0846698880195617,0.0520868045884421,5.600773388472757e-05,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,3,256,2048,67.6080322265625,0.0846698880195617,0.0733803114596967,2.8003866942363783e-05,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,3,512,2048,67.6080322265625,0.0846698880195617,0.1000497903897501,1.4001933471181892e-05,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,3,1024,2048,67.6080322265625,0.0846698880195617,0.1290218308369789,7.000966735590947e-06,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,4,4,2048,67.6080322265625,0.0846698880195617,0.0185814523472291,0.0017922474843112,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,4,8,2048,67.6080322265625,0.0846698880195617,0.0145031827396652,0.0008961237421556,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,4,16,2048,67.6080322265625,0.0846698880195617,0.0161883543119092,0.0004480618710778,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,4,32,2048,67.6080322265625,0.0846698880195617,0.0214899890151593,0.0002240309355389,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,4,64,2048,67.6080322265625,0.0846698880195617,0.0297169707453812,0.0001120154677694,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,4,128,2048,67.6080322265625,0.0846698880195617,0.0419331125952472,5.600773388472757e-05,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,4,256,2048,67.6080322265625,0.0846698880195617,0.0598601901256101,2.8003866942363783e-05,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,4,512,2048,67.6080322265625,0.0846698880195617,0.0815233013976726,1.4001933471181892e-05,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,0.001,0.1,4,1024,2048,67.6080322265625,0.0846698880195617,0.1263796139319278,7.000966735590947e-06,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_2,synthetic_digit,210.00167616690024,hadamard_paired,hadamard_ordered,0.001,0.1,0,4,2048,103.09847259521484,0.0690062791109085,0.0172672510268139,0.0011904666391831,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_2,synthetic_digit,210.00167616690024,hadamard_paired,hadamard_ordered,0.001,0.1,0,8,2048,103.09847259521484,0.0690062791109085,0.0180586632353209,0.0005952333195915,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_2,synthetic_digit,210.00167616690024,hadamard_paired,hadamard_ordered,0.001,0.1,0,16,2048,103.09847259521484,0.0690062791109085,0.0206225343634761,0.0002976166597957,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_2,synthetic_digit,210.00167616690024,hadamard_paired,hadamard_ordered,0.001,0.1,0,32,2048,103.09847259521484,0.0690062791109085,0.0280876741606735,0.0001488083298978,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_2,synthetic_digit,210.00167616690024,hadamard_paired,hadamard_ordered,0.001,0.1,0,64,2048,103.09847259521484,0.0690062791109085,0.0388727171873015,7.4404164948947e-05,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_2,synthetic_digit,210.00167616690024,hadamard_paired,hadamard_ordered,0.001,0.1,0,128,2048,103.09847259521484,0.0690062791109085,0.0556171255679182,3.72020824744735e-05,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
digit_2,synthetic_digit,210.00167616690024,hadamard_paired,hadamard_ordered,0.001,0.1,0,256,2048,103.09847259521484,0.0690062791109085,0.0777413155062283,1.860104123723675e-05,results/colab_imports/pro2_fig3_rho1e3_hadamard_r1_retry4/artifacts/fig3_gain_est_error.csv
