object,family,K_eff,basis,requested_basis,num_frames,window,carrier_mean,carrier_cv,running_mean_cv,adjacent_window_ks_d_mean,adjacent_window_ks_p_median
stripe,stripe,512.0,random_binary,random_binary,2048,64,255.87353515625,0.044181447476148605,0.004856765270233154,0.06808035714285714,0.4192227743021956
ring,ring,220.0,random_binary,random_binary,2048,64,110.18115234375,0.06662799417972565,0.007904794998466969,0.07310267857142858,0.3019548369118292
natural_patch,procedural_natural,864.2560692486833,random_binary,random_binary,2048,64,209.1612548828125,0.03363735228776932,0.0039971740916371346,0.08537946428571429,0.35718226922487123
digit_0,synthetic_digit,97.19698546760661,hadamard_paired,hadamard_ordered,2048,64,40.19881057739258,0.10143168270587921,0.0360339917242527,0.10267857142857142,0.1159601050005088
digit_1,synthetic_digit,139.48966292397157,hadamard_paired,hadamard_ordered,2048,64,67.6080322265625,0.08466988801956177,0.035989876836538315,0.0546875,1.0
digit_2,synthetic_digit,210.00167616690024,hadamard_paired,hadamard_ordered,2048,64,103.09847259521484,0.06900627166032791,0.03593989461660385,0.04799107142857143,1.0
digit_3,synthetic_digit,135.81257584160795,hadamard_paired,hadamard_ordered,2048,64,65.67414093017578,0.08580844104290009,0.03595496714115143,0.05803571428571429,0.9300863762681126
digit_4,synthetic_digit,107.61184657281635,hadamard_paired,hadamard_ordered,2048,64,43.026920318603516,0.09639842808246613,0.035962801426649094,0.08426339285714286,0.4882102774911077
letter_A,binary_letter,101.21359062702473,hadamard_paired,hadamard_ordered,2048,64,44.633331298828125,0.099398672580719,0.03604227304458618,0.06361607142857142,0.9300863762681126
letter_L,binary_letter,59.80235255589372,hadamard_paired,hadamard_ordered,2048,64,27.73725700378418,0.12931260466575623,0.03600512817502022,0.044642857142857144,0.7357588823428847
stripe,stripe,512.0,hadamard_paired,hadamard_ordered,2048,64,256.0,0.04419417306780815,0.036004453897476196,0.0011160714285714285,1.0
ring,ring,220.0,hadamard_paired,hadamard_ordered,2048,64,110.0,0.06741998344659805,0.03597189858555794,0.024553571428571428,1.0
natural_patch,procedural_natural,864.2560692486833,hadamard_paired,hadamard_ordered,2048,64,209.24400329589844,0.03401565179228783,0.03599115461111069,0.06752232142857142,0.8304736573636826
digit_0,synthetic_digit,97.19698546760661,hadamard_random_paired,hadamard_shuffled,2048,64,40.19881057739258,0.10143168270587921,0.002116579096764326,0.05859375,1.0
digit_1,synthetic_digit,139.48966292397157,hadamard_random_paired,hadamard_shuffled,2048,64,67.6080322265625,0.08466988801956177,0.004619069863110781,0.04631696428571429,1.0
digit_2,synthetic_digit,210.00167616690024,hadamard_random_paired,hadamard_shuffled,2048,64,103.09847259521484,0.06900627166032791,0.001056896522641182,0.05357142857142857,1.0
digit_3,synthetic_digit,135.81257584160795,hadamard_random_paired,hadamard_shuffled,2048,64,65.67413330078125,0.08580844849348068,0.0013136789202690125,0.046875,1.0
digit_4,synthetic_digit,107.61184657281635,hadamard_random_paired,hadamard_shuffled,2048,64,43.02691650390625,0.09639843553304672,0.0030350051820278168,0.0546875,1.0
letter_A,binary_letter,101.21359062702473,hadamard_random_paired,hadamard_shuffled,2048,64,44.633331298828125,0.099398672580719,0.0033914498053491116,0.05580357142857143,0.9300863762681126
letter_L,binary_letter,59.80235255589372,hadamard_random_paired,hadamard_shuffled,2048,64,27.737255096435547,0.12931261956691742,0.0020568131003528833,0.04408482142857143,1.0
stripe,stripe,512.0,hadamard_random_paired,hadamard_shuffled,2048,64,256.0,0.04419417306780815,0.0006799116381444037,0.002232142857142857,1.0
ring,ring,220.0,hadamard_random_paired,hadamard_shuffled,2048,64,110.0,0.06741998344659805,0.0012166086817160249,0.029017857142857144,1.0
natural_patch,procedural_natural,864.2560692486833,hadamard_random_paired,hadamard_shuffled,2048,64,209.2440185546875,0.03401565179228783,0.0005336547619663179,0.04799107142857143,1.0
digit_0,synthetic_digit,97.19698546760661,srht_paired,srht_paired,2048,64,40.19881057739258,0.10143167525529861,0.0018304955447092652,0.06584821428571429,0.7357588823428847
digit_1,synthetic_digit,139.48966292397157,srht_paired,srht_paired,2048,64,67.60802459716797,0.08466989547014236,0.0031949218828231096,0.056919642857142856,1.0
digit_2,synthetic_digit,210.00167616690024,srht_paired,srht_paired,2048,64,103.09847259521484,0.06900627911090851,0.004372864030301571,0.044642857142857144,1.0
digit_3,synthetic_digit,135.81257584160795,srht_paired,srht_paired,2048,64,65.67413330078125,0.08580844104290009,0.0028483131900429726,0.05133928571428571,1.0
digit_4,synthetic_digit,107.61184657281635,srht_paired,srht_paired,2048,64,43.026920318603516,0.09639842808246613,0.004105082247406244,0.05412946428571429,1.0
letter_A,binary_letter,101.21359062702473,srht_paired,srht_paired,2048,64,44.633331298828125,0.099398672580719,0.0017375688767060637,0.04185267857142857,1.0
letter_L,binary_letter,59.80235255589372,srht_paired,srht_paired,2048,64,27.737255096435547,0.12931260466575623,0.005845456849783659,0.048549107142857144,1.0
stripe,stripe,512.0,srht_paired,srht_paired,2048,64,256.0,0.04419417306780815,0.0014158751582726836,0.03627232142857143,1.0
ring,ring,220.0,srht_paired,srht_paired,2048,64,110.0,0.06741998344659805,0.003120630281046033,0.052455357142857144,0.9300863762681126
natural_patch,procedural_natural,864.2560692486833,srht_paired,srht_paired,2048,64,209.2440185546875,0.03401565179228783,0.0007193118799477816,0.056919642857142856,0.8304736573636826
