config_id,config_index,global_config_index,init_seed,object,object_index,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,otsu_temperature,binary_prior_weight,fixed_init_seed,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss,final_proxy_mean,final_proxy_std,final_proxy_min,final_proxy_max,final_proxy_range,final_proxy_tv_l1,final_proxy_roughness_l2,final_proxy_otsu_score,final_proxy_otsu_threshold,final_proxy_otsu_fg_fraction,final_proxy_hist_entropy,final_proxy_data_loss,final_proxy_aug_loss,final_proxy_denoiser_mse,final_proxy_binary_prior_loss,final_proxy_net_delta_mse,final_proxy_dual_abs_mean
cfg0002,2,2,20240713,letter_L,2,scgi_ured,15,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,20240711,58.58701705932617,31.972740173339844,0.4745701551437378,0.004587233066558838,1.0,61.16075897216797,0.03407234326004982,0.1001720279455185,0.280069500207901,0.0,1.0,1.0,0.03697168081998825,0.018833618611097336,0.08013413101434708,0.4193548262119293,0.08819580078125,0.44401243329048157,0.0008544062729924917,0.033217936754226685,0.10432475805282593,0.0,0.0008425431442447007,0.34128546714782715
cfg0002,2,2,20240714,ring,3,scgi_ured,15,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,20240711,17.062591552734375,26.21210479736328,0.39847463369369507,0.003703176975250244,1.0,17.062591552734375,0.03733866289258003,0.14790600538253784,0.33061280846595764,0.0,1.0,1.0,0.058179937303066254,0.03298298269510269,0.1120133176445961,0.4838709533214569,0.1314697265625,0.7903895378112793,0.00029335770523175597,0.037045303732156754,0.10390468686819077,0.0,0.0011468492448329926,0.35847043991088867
cfg0003,3,3,20240712,letter_A,0,scgi_ured,15,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,20240712,90.46026611328125,25.438884735107422,0.04379567503929138,0.0029279589653015137,1.0,97.2061996459961,0.047850143164396286,0.05200290307402611,0.03630729392170906,0.004541374742984772,1.0,0.9954586029052734,0.011349203996360302,0.002116080839186907,0.0013335816329345107,0.12903225421905518,0.00152587890625,0.12217377126216888,0.047200754284858704,0.0006493875407613814,0.008504101075232029,0.0,0.00018925969197880477,0.04031582921743393
cfg0003,3,3,20240713,stripe_target,1,scgi_ured,15,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,20240712,12.125202178955078,21.619430541992188,0.6070308685302734,0.004685699939727783,0.9740428844495653,12.141823768615723,0.04558762535452843,0.23196101188659668,0.4017678201198578,0.0,1.0,1.0,0.26736271381378174,0.2339651882648468,0.1645219624042511,0.4838709533214569,0.21685791015625,1.0074195861816406,0.00022833005641587079,0.0453592948615551,0.10669927299022675,0.0,0.0009093031985685229,0.4035412073135376
cfg0003,3,3,20240714,letter_L,2,scgi_ured,15,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,20240712,67.92589569091797,30.031063079833984,0.28562819957733154,0.004587233066558838,1.0,67.92589569091797,0.032675065100193024,0.10951685905456543,0.27723994851112366,0.0,1.0,1.0,0.039513081312179565,0.018370721489191055,0.07924668490886688,0.4516128897666931,0.0882568359375,0.7922331094741821,0.0008583379094488919,0.03181672841310501,0.09865041077136993,0.0,0.001066563418135047,0.3321531414985657
cfg0003,3,3,20240715,ring,3,scgi_ured,15,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,20240712,17.426494598388672,27.18573760986328,0.9055628776550293,0.003703176975250244,1.0,17.426494598388672,0.03978761285543442,0.13419273495674133,0.33545756340026855,0.0,1.0,1.0,0.04665782302618027,0.03405050188302994,0.11270740628242493,0.4838709533214569,0.13140869140625,0.5048397779464722,0.00029267335776239634,0.039494939148426056,0.1035977303981781,0.0,0.0008606312330812216,0.37288349866867065
cfg0004,4,4,20240713,letter_A,0,scgi_ured,15,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,20240713,92.22765350341797,30.301464080810547,0.14475835859775543,0.0029279589653015137,1.0,106.74614715576172,0.047339536249637604,0.026875652372837067,0.03703292831778526,0.0,1.0,1.0,0.011183205991983414,0.002277893479913473,0.001405247370712459,0.16129031777381897,0.00146484375,0.2726750671863556,0.046722374856472015,0.0006171615677885711,0.004293902777135372,0.0,0.0009063249453902245,0.038388799875974655
cfg0004,4,4,20240714,stripe_target,1,scgi_ured,15,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,20240713,13.070596694946289,22.04657554626465,0.5227880477905273,0.004685699939727783,0.9740428844495653,13.070596694946289,0.04433811083436012,0.23830604553222656,0.3979046940803528,0.0,1.0,1.0,0.2633380591869354,0.22827650606632233,0.1624285727739334,0.4838709533214569,0.21600341796875,1.2210825681686401,0.00022746442118659616,0.04411064460873604,0.10936892777681351,0.0,0.001277876552194357,0.3970486521720886
cfg0004,4,4,20240715,letter_L,2,scgi_ured,15,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,20240713,62.43885803222656,34.32084655761719,0.9041217565536499,0.004587233066558838,1.0,63.52947235107422,0.035832472145557404,0.09113617241382599,0.2826601564884186,0.0,1.0,1.0,0.028619155287742615,0.019144782796502113,0.08026855438947678,0.3870967626571655,0.0882568359375,0.3354274034500122,0.000855977414175868,0.03497649356722832,0.10365372896194458,0.0,0.0008525987504981458,0.3514705300331116
cfg0004,4,4,20240716,ring,3,scgi_ured,15,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,20240713,15.892924308776855,25.797653198242188,0.4147169888019562,0.003703176975250244,1.0,16.25139617919922,0.036862026900053024,0.14691242575645447,0.33101505041122437,0.0,1.0,1.0,0.05741027742624283,0.03452388942241669,0.11228975653648376,0.4838709533214569,0.13165283203125,0.6934388875961304,0.00028882420156151056,0.036573201417922974,0.09405642747879028,0.0,0.0014138503465801477,0.3555188775062561
