variant,correction,rho,sigma_a,seed,object,mse,rel_mse,psnr,recon_scale,gain_rel_mse,gain_corr,gain_scale
sign_only,none,0.1,0.3,4,7,0.08659272882556311,0.6746618432957288,10.625185740740207,0.3379538899333305,,,
sign_only,agc,0.1,0.3,4,7,0.08574153593621874,0.6680300236093192,10.668087409950886,0.3452413125422103,0.07756371796131134,0.4223553240299225,1.0013282299041748
sign_only,pairwise,0.1,0.3,4,7,0.08083513030467471,0.6298032035029544,10.923998572733804,0.403731413611625,0.004117126110941172,0.9779213666915894,0.9999828934669495
sign_only,oracle,0.1,0.3,4,7,1.1680361018314198e-13,9.100410625527122e-13,120.0,0.9999999053323045,1.383264179875875e-14,1.0,1.0000001192092896
sign_only,none,0.1,0.3,4,8,0.07472727981577666,0.659623857851682,11.265208264217295,0.35464978938117897,,,
sign_only,agc,0.1,0.3,4,8,0.0736818113120214,0.6503954212029832,11.326397064655664,0.36152323697204847,0.07749167829751968,0.4234490692615509,1.0014182329177856
sign_only,pairwise,0.1,0.3,4,8,0.07078192766435494,0.6247979092406797,11.500776140269515,0.41748882878401966,0.00411809328943491,0.9779161214828491,0.999989926815033
sign_only,oracle,0.1,0.3,4,8,1.0852197233922236e-13,9.579323940673992e-13,120.0,1.0000002043736385,1.383264179875875e-14,1.0,1.0000001192092896
sign_only,none,0.1,0.3,4,9,0.04691845534910033,0.5904021277406691,13.286562941780913,0.4062508280436343,,,
sign_only,agc,0.1,0.3,4,9,0.04620879072345799,0.5814720062811279,13.352753967485791,0.414432800129039,0.07751509547233582,0.42308372259140015,1.0013850927352905
sign_only,pairwise,0.1,0.3,4,9,0.043628074511300505,0.5489973578423483,13.602339538151515,0.47711067646559213,0.004122944548726082,0.9778897166252136,1.000013828277588
sign_only,oracle,0.1,0.3,4,9,5.739483070852991e-14,7.222324332610691e-13,120.0,1.0000000200663175,1.383264179875875e-14,1.0,1.0000001192092896
sign_only,none,1.0,0.3,0,0,0.07271874474700608,0.860111760835534,11.38353626405365,0.12451796923024525,,,
sign_only,agc,1.0,0.3,0,0,0.07261033530663638,0.8588295022518362,11.390015577134598,0.12523024049036974,0.08096582442522049,0.11422722786664963,0.999076247215271
sign_only,pairwise,1.0,0.3,0,0,0.07171050510997089,0.8481863793871665,11.444172184311991,0.14048140865339026,0.027635622769594193,0.8135812878608704,0.9998875856399536
sign_only,oracle,1.0,0.3,0,0,5.634057996799672e-14,6.66392078292358e-13,120.0,1.0000000292866824,0.0,1.0000001192092896,1.0
sign_only,none,1.0,0.3,0,1,0.06984547881036196,0.8757538281937903,11.558617010925472,0.1187995956302269,,,
sign_only,agc,1.0,0.3,0,1,0.06995117493257176,0.8770790934110536,11.552049864981413,0.11864061448495707,0.08134714514017105,0.10857970267534256,0.9985736012458801
sign_only,pairwise,1.0,0.3,0,1,0.06866794799988508,0.8609894206379176,11.63245930407485,0.13594112605246156,0.02765272557735443,0.8134520649909973,0.9999141097068787
sign_only,oracle,1.0,0.3,0,1,5.955638605691756e-14,7.467445849192903e-13,120.0,1.0000001386609072,0.0,1.0000001192092896,1.0
sign_only,none,1.0,0.3,0,2,0.06284461294852939,0.8893430269911476,12.017319441832516,0.10510193701016415,,,
sign_only,agc,1.0,0.3,0,2,0.06285501641349575,0.8894902512095856,12.016600558656677,0.10525037005770367,0.08086104691028595,0.11707498133182526,0.9991735219955444
sign_only,pairwise,1.0,0.3,0,2,0.062434763040911175,0.8835430524133464,12.045735322242567,0.1171132446494701,0.02764204330742359,0.8135347366333008,0.9998356699943542
sign_only,oracle,1.0,0.3,0,2,5.685687522469512e-14,8.046077960413568e-13,120.0,1.0000001514349415,0.0,1.0000001192092896,1.0
sign_only,none,1.0,0.3,0,3,0.08550113491118924,0.9069037108424031,10.680281205654445,0.09940973764212879,,,
sign_only,agc,1.0,0.3,0,3,0.08563255203109432,0.9082976417397407,10.673611128916079,0.09900252749965711,0.08091911673545837,0.11569799482822418,0.9991095066070557
sign_only,pairwise,1.0,0.3,0,3,0.08494438160258805,0.9009982729541379,10.708653409819394,0.1112360441926984,0.02762611210346222,0.8136533498764038,0.9998674392700195
sign_only,oracle,1.0,0.3,0,3,6.768649693437486e-14,7.179452682992893e-13,120.0,1.0000000357177607,0.0,1.0000001192092896,1.0
sign_only,none,1.0,0.3,0,4,0.03036178225008903,0.8578104918517121,15.176727387495186,0.13086121941870518,,,
sign_only,agc,1.0,0.3,0,4,0.03039320778214829,0.8586983564339165,15.172234608754172,0.1308907681935911,0.08077453076839447,0.11975260078907013,0.9992416501045227
sign_only,pairwise,1.0,0.3,0,4,0.03001922762318348,0.8481323066064745,15.226004860869073,0.14698407358262622,0.02765618823468685,0.8134291172027588,0.9998205304145813
sign_only,oracle,1.0,0.3,0,4,2.3323638914242398e-14,6.589620465623139e-13,120.0,0.9999999337530407,0.0,1.0000001192092896,1.0
sign_only,none,1.0,0.3,0,5,0.1018115361596624,0.8812994731253874,9.922030097533963,0.10226681422355839,,,
sign_only,agc,1.0,0.3,0,5,0.10181248210759297,0.8813076614254982,9.92198974669815,0.10246341820904942,0.08088654279708862,0.11827569454908371,0.9990599155426025
sign_only,pairwise,1.0,0.3,0,5,0.10056973283344456,0.8705501940318583,9.975327035866412,0.1156715690862893,0.027621908113360405,0.81368488073349,0.9998700022697449
