sigma_a,correction,challenger,baseline,rho_star_first_ge,boundary_status,max_margin_db,min_margin_db,points
0.5,agc,random_binary,hadamard_paired,3.0,observed,0.010981282120782865,-8.077593384087304,9
0.5,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.012479409570769207,-2.57553361201113,9
0.5,agc,dct_paired,hadamard_paired,,not_reached,-0.03795312826642139,-2.066971770533062,9
0.5,agc,srht_paired,hadamard_paired,0.001,left_censored,3.031524103875647,0.03364988567789595,9
0.5,none,random_uniform,hadamard_paired,,not_reached,-0.055819277787447774,-9.689182554990582,9
0.5,none,random_binary,hadamard_paired,,not_reached,-0.0011828134199269869,-9.443702234565372,9
0.5,none,fourier_fourstep,hadamard_paired,,not_reached,-0.0027018333799588845,-2.6827691663191544,9
0.5,none,dct_paired,hadamard_paired,,not_reached,-0.0438787559951237,-1.2713217149930056,9
0.5,none,srht_paired,hadamard_paired,0.001,left_censored,0.16291047337052333,-0.039849596587924196,9
0.5,pairwise,dct_paired,hadamard_paired,,not_reached,-0.04701513745945185,-2.845470263537692,9
0.5,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.0952357745962864,0.0132051957242183,9
0.5,reference_k2,random_uniform,hadamard_paired,,not_reached,-0.06887443759379153,-12.464755271496696,9
0.5,reference_k2,random_binary,hadamard_paired,,not_reached,-0.00582898816815991,-12.162502024173087,9
0.5,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.016193157162618377,-7.997708649228617,9
0.5,reference_k2,dct_paired,hadamard_paired,,not_reached,-0.06330098573351073,-2.9414595710404186,9
0.5,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.07977533666977443,0.020229144042398062,9
0.5,reference_k32,random_uniform,hadamard_paired,,not_reached,-0.05138209475003919,-12.009418539276353,9
0.5,reference_k32,random_binary,hadamard_paired,,not_reached,-0.026931926026900754,-10.835131804671223,9
0.5,reference_k32,fourier_fourstep,hadamard_paired,3.0,observed,0.007874046889650543,-6.340726551323282,9
0.5,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.029708780543938218,-2.7085391154751015,9
0.5,reference_k32,srht_paired,hadamard_paired,0.01,observed,0.07778745473873983,-0.04774570065226058,9
0.5,reference_k8,random_uniform,hadamard_paired,,not_reached,-0.050117690524693614,-11.051899289145048,9
0.5,reference_k8,random_binary,hadamard_paired,,not_reached,-0.009592795394375742,-10.201180404718155,9
0.5,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.002118320943257146,-6.5552883363089585,9
0.5,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.028607957754779534,-2.873337566428347,9
0.5,reference_k8,srht_paired,hadamard_paired,0.001,left_censored,0.06400383521337716,0.0038055428899923527,9
0.5,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-0.053695988068447775,-10.980608388243413,9
0.5,scgi_frozen,random_binary,hadamard_paired,,not_reached,-0.00050729534874705,-9.923197371970751,9
0.5,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.008677833302021654,-3.939615793417204,9
0.5,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.044518251716530344,-2.2055498759410845,9
0.5,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,1.3038964275490592,0.021360161100727026,9
0.5,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-0.05576920546996966,-12.224232558434451,9
0.5,scgi_proxy,random_binary,hadamard_paired,,not_reached,-0.0026601106295718324,-11.107543303888129,9
0.5,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.013990273310561463,-5.714526570430937,9
0.5,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.04449172174073723,-2.6146091360308965,9
0.5,scgi_proxy,srht_paired,hadamard_paired,0.003,observed,0.226734935799481,-0.046908558236996356,9
