object,family,K_eff,basis,requested_basis,rho,s,seed,W,num_frames,carrier_mean,carrier_cv,gain_rel_err,theory_variance_cv2_over_w
natural_patch,procedural_natural,864.2560692486833,hadamard_random_paired,hadamard_shuffled,0.01,0.1,2,512,2048,209.24400329589844,0.03401565179228783,0.06090979537168428,2.2598917321370586e-06
natural_patch,procedural_natural,864.2560692486833,hadamard_random_paired,hadamard_shuffled,0.01,0.1,2,1024,2048,209.24400329589844,0.03401565179228783,0.06430588821699747,1.1299458660685293e-06
natural_patch,procedural_natural,864.2560692486833,hadamard_random_paired,hadamard_shuffled,0.01,0.1,3,4,2048,209.24400329589844,0.03401565179228783,0.011673232582139235,0.0002892661417135435
natural_patch,procedural_natural,864.2560692486833,hadamard_random_paired,hadamard_shuffled,0.01,0.1,3,8,2048,209.24400329589844,0.03401565179228783,0.013298701243732591,0.00014463307085677175
natural_patch,procedural_natural,864.2560692486833,hadamard_random_paired,hadamard_shuffled,0.01,0.1,3,16,2048,209.24400329589844,0.03401565179228783,0.01749085890767884,7.231653542838588e-05
natural_patch,procedural_natural,864.2560692486833,hadamard_random_paired,hadamard_shuffled,0.01,0.1,3,32,2048,209.24400329589844,0.03401565179228783,0.024443965010540344,3.615826771419294e-05
natural_patch,procedural_natural,864.2560692486833,hadamard_random_paired,hadamard_shuffled,0.01,0.1,3,64,2048,209.24400329589844,0.03401565179228783,0.033595708422963416,1.807913385709647e-05
natural_patch,procedural_natural,864.2560692486833,hadamard_random_paired,hadamard_shuffled,0.01,0.1,3,128,2048,209.24400329589844,0.03401565179228783,0.04602980040521208,9.039566928548235e-06
natural_patch,procedural_natural,864.2560692486833,hadamard_random_paired,hadamard_shuffled,0.01,0.1,3,256,2048,209.24400329589844,0.03401565179228783,0.06328457893710371,4.519783464274117e-06
natural_patch,procedural_natural,864.2560692486833,hadamard_random_paired,hadamard_shuffled,0.01,0.1,3,512,2048,209.24400329589844,0.03401565179228783,0.07666840514256273,2.2598917321370586e-06
natural_patch,procedural_natural,864.2560692486833,hadamard_random_paired,hadamard_shuffled,0.01,0.1,3,1024,2048,209.24400329589844,0.03401565179228783,0.08246776769873941,1.1299458660685293e-06
natural_patch,procedural_natural,864.2560692486833,hadamard_random_paired,hadamard_shuffled,0.01,0.1,4,4,2048,209.24400329589844,0.03401565179228783,0.011667854783505576,0.0002892661417135435
natural_patch,procedural_natural,864.2560692486833,hadamard_random_paired,hadamard_shuffled,0.01,0.1,4,8,2048,209.24400329589844,0.03401565179228783,0.012860557673925079,0.00014463307085677175
natural_patch,procedural_natural,864.2560692486833,hadamard_random_paired,hadamard_shuffled,0.01,0.1,4,16,2048,209.24400329589844,0.03401565179228783,0.016854095539828536,7.231653542838588e-05
natural_patch,procedural_natural,864.2560692486833,hadamard_random_paired,hadamard_shuffled,0.01,0.1,4,32,2048,209.24400329589844,0.03401565179228783,0.023579881783756473,3.615826771419294e-05
natural_patch,procedural_natural,864.2560692486833,hadamard_random_paired,hadamard_shuffled,0.01,0.1,4,64,2048,209.24400329589844,0.03401565179228783,0.03199113440372863,1.807913385709647e-05
natural_patch,procedural_natural,864.2560692486833,hadamard_random_paired,hadamard_shuffled,0.01,0.1,4,128,2048,209.24400329589844,0.03401565179228783,0.045072985885286194,9.039566928548235e-06
natural_patch,procedural_natural,864.2560692486833,hadamard_random_paired,hadamard_shuffled,0.01,0.1,4,256,2048,209.24400329589844,0.03401565179228783,0.0662673751858656,4.519783464274117e-06
natural_patch,procedural_natural,864.2560692486833,hadamard_random_paired,hadamard_shuffled,0.01,0.1,4,512,2048,209.24400329589844,0.03401565179228783,0.09221298478248136,2.2598917321370586e-06
natural_patch,procedural_natural,864.2560692486833,hadamard_random_paired,hadamard_shuffled,0.01,0.1,4,1024,2048,209.24400329589844,0.03401565179228783,0.10607375869347503,1.1299458660685293e-06
digit_0,synthetic_digit,37.05977431431953,srht_paired,srht_paired,0.01,0.1,0,4,2048,9.434005737304688,0.16426634788513184,0.03465490960955303,0.006745858261879789
digit_0,synthetic_digit,37.05977431431953,srht_paired,srht_paired,0.01,0.1,0,8,2048,9.434005737304688,0.16426634788513184,0.0223388175538772,0.0033729291309398945
