basis,N,N_factor,v,rel_mse_raw_total_mean,rel_mse_raw_total_std,rel_mse_raw_gain_component_mean,rel_mse_aligned_total_mean,theory_rel_mse_raw_total_mean,leverage_exact_mean,clean_floor_raw_mean,C0_floor_raw_fix_mean,clean_gain_cross_mean,raw_identity_abs_error_max,measured_over_theory
random_dgi,4096,4,0.001,0.4417523461620892,0.17783834485989855,0.1836968505443998,0.29235353199819636,0.4425756067375956,183.7666247048861,0.25880898203270947,1060.081590405978,-0.0007534864923620669,3.9848617925351826e-09,0.9981398419547454
random_dgi,4096,4,0.003,0.8072621524540416,0.5357631287838792,0.5506736604180831,0.4067875031479393,0.8101088561473678,183.7666247048861,0.25880898203270947,1060.081590405978,-0.0022204897929430215,1.4628000359617754e-08,0.9964860232403034
random_dgi,4096,4,0.01,2.092994663038343,1.8092145778052446,1.8363567714457394,0.5998222922285795,2.096475229081571,183.7666247048861,0.25880898203270947,1060.081590405978,-0.0021710903408129183,4.376126698513172e-08,0.9983398010169895
srht_inverse,1024,1,0.0,2.6607470157119013e-13,1.3523544034807035e-13,0.0,2.6520649665564576e-13,2.6607470157119013e-13,1.0,2.6607470157119013e-13,2.724604944088987e-10,0.0,0.0,1.0
srht_inverse,1024,1,0.0001,9.967180467390469e-05,7.850063167549409e-06,9.967183798135873e-05,9.932055370245376e-05,0.00010000000026607471,1.0,2.6607470157119013e-13,2.724604944088987e-10,-3.355624115601811e-11,6.815694255304635e-13,0.9967180440870322
srht_inverse,1024,1,0.0003,0.0003007253124916364,2.1454609228850366e-05,0.0003007252617513312,0.00029973672279317367,0.0003000000002660746,1.0,2.6607470157119013e-13,2.724604944088987e-10,5.050283250585261e-11,4.4555084582928736e-12,1.002417707416395
srht_inverse,1024,1,0.001,0.0009981854841117706,7.493314728788508e-05,0.0009981855380834113,0.0009932523603767595,0.0010000000002660747,1.0,2.6607470157119013e-13,2.724604944088987e-10,-5.4177359843666944e-11,1.0916178206327541e-11,0.9981854838461787
srht_inverse,1024,1,0.003,0.003062497262500307,0.00021738246464668337,0.0030624970306899965,0.003044413441975125,0.0030000000002660746,1.0,2.6607470157119013e-13,2.724604944088987e-10,2.3202022590285005e-10,3.028016106592532e-11,1.0208324207428965
srht_inverse,1024,1,0.01,0.009966416503944689,0.0007500912760266935,0.009966416211810337,0.00986704146107446,0.010000000000266074,1.0,2.6607470157119013e-13,2.724604944088987e-10,2.914915110285864e-10,1.0019857564402596e-10,0.9966416503679508
srht_inverse,2048,1,0.0,5.743472514288542e-13,2.0311093747015252e-13,0.0,5.732287211631019e-13,5.743472514288542e-13,1.0,5.743472514288542e-13,1.1762631709262935e-09,0.0,0.0,1.0
srht_inverse,2048,1,0.0001,9.999818965625549e-05,5.748922812584811e-06,9.999826147591835e-05,9.982969822967156e-05,0.00010000000057434726,1.0,5.743472514288542e-13,1.1762631709262935e-09,-7.23739282751285e-11,5.683021920730377e-13,0.9999818908191863
srht_inverse,2048,1,0.0003,0.00030246926700161665,1.63096988957284e-05,0.0003024692219215079,0.0003017878720877959,0.00030000000057434724,1.0,5.743472514288542e-13,1.1762631709262935e-09,4.458461850238928e-11,1.5856071236256015e-12,1.00823088807514
srht_inverse,2048,1,0.001,0.001003055424369919,5.117038382513257e-05,0.0010030552791142754,0.0010006452621620688,0.0010000000005743472,1.0,5.743472514288542e-13,1.1762631709262935e-09,1.4474063675172976e-10,5.448755238627186e-12,1.003055423793817
srht_inverse,2048,1,0.003,0.0029863118590350533,0.00015426342667576218,0.002986311821841685,0.0029739813741774144,0.0030000000005743475,1.0,5.743472514288542e-13,1.1762631709262935e-09,3.607531307731376e-11,1.760056349558879e-11,0.9954372861544422
srht_inverse,2048,1,0.01,0.010036777511247041,0.0005544434163626059,0.010036777108523538,0.009899180138977557,0.010000000000574348,1.0,5.743472514288542e-13,1.1762631709262935e-09,4.0130866402312444e-10,4.6746600580571417e-11,1.003677751067058
srht_inverse,4096,1,0.0,9.000630087633114e-14,5.094581282805769e-14,0.0,8.993999083357561e-14,9.000630087633114e-14,1.0,9.000630087633114e-14,3.6866580838945234e-10,0.0,0.0,1.0
srht_inverse,4096,1,0.0001,0.00010041487324287484,3.918485161608689e-06,0.0001004148743309032,0.00010032524733626815,0.00010000000009000631,1.0,9.000630087633114e-14,3.6866580838945234e-10,-1.1779475413820061e-12,2.7865536883696938e-14,1.004148731524951
srht_inverse,4096,1,0.0003,0.00029852010338107755,1.1682821410550968e-05,0.00029852009668778206,0.0002982184311860882,0.00030000000009000626,1.0,9.000630087633114e-14,3.6866580838945234e-10,6.604488525827852e-12,1.2003721430094866e-13,0.9950670109717176
