variant,basis_name,paired,correction,rho,sigma_a,seed,object,num_frames,mse,rel_mse,psnr,recon_scale,gain_rel_mse,gain_corr,gain_scale
sign_only,sign_only,True,pairwise,1.0,0.3,0,9,2048,0.07135325591859018,0.8978793910010494,11.46586204816818,0.11262549408730027,0.027184145525097847,0.8260179758071899,0.9999061226844788
sign_only,sign_only,True,oracle,1.0,0.3,0,9,2048,5.4363370036011974e-14,6.840858059286101e-13,120.0,1.000000039945384,0.0,0.9999999403953552,1.0
sign_only,sign_only,True,none,1.0,0.3,1,0,2048,0.07306961618628074,0.8642618414304531,11.36263173873041,0.12183046922831796,,,
sign_only,sign_only,True,agc,1.0,0.3,1,0,2048,0.07314371561438997,0.8651382838086826,11.358229817907082,0.121251122962385,0.08146391063928604,0.12905704975128174,0.9986079931259155
sign_only,sign_only,True,pairwise,1.0,0.3,1,0,2048,0.07297804488150739,0.8631787430290074,11.368077757829159,0.1332841561321872,0.027896681800484657,0.8132081627845764,0.9997386336326599
sign_only,sign_only,True,oracle,1.0,0.3,1,0,2048,5.876018115175604e-14,6.950109363587805e-13,120.0,1.0000000296807037,0.0,1.0000001192092896,1.0
sign_only,sign_only,True,none,1.0,0.3,1,1,2048,0.07189841359753159,0.9014944420390674,11.43280692001525,0.10678658452112708,,,
sign_only,sign_only,True,agc,1.0,0.3,1,1,2048,0.07187135352564787,0.9011551507642849,11.434441761647525,0.10658199868846457,0.08181747794151306,0.12620840966701508,0.9980738162994385
sign_only,sign_only,True,pairwise,1.0,0.3,1,1,2048,0.07119787540249106,0.8927107810698524,11.475329658398472,0.12005790529599232,0.027904612943530083,0.8131429553031921,0.9998618364334106
sign_only,sign_only,True,oracle,1.0,0.3,1,1,2048,6.352763800981778e-14,7.965379167098439e-13,120.0,1.0000000757784602,0.0,1.0000001192092896,1.0
sign_only,sign_only,True,none,1.0,0.3,1,2,2048,0.06362739633274077,0.9004205547493834,11.96355847963818,0.10002329296394324,,,
sign_only,sign_only,True,agc,1.0,0.3,1,2,2048,0.06364741793743534,0.9007038896875565,11.96219210207805,0.09959165041931604,0.08135306090116501,0.12944158911705017,0.9988184571266174
sign_only,sign_only,True,pairwise,1.0,0.3,1,2,2048,0.06343487021421661,0.8976960290821896,11.976719443495934,0.10962135210466163,0.027882041409611702,0.8133111000061035,0.9998719692230225
sign_only,sign_only,True,oracle,1.0,0.3,1,2,2048,5.912093264459394e-14,8.366475140796186e-13,120.0,1.000000117842132,0.0,1.0000001192092896,1.0
sign_only,sign_only,True,none,1.0,0.3,1,3,2048,0.08501966621954447,0.9017968108748106,10.704806043711843,0.10107599649014569,,,
sign_only,sign_only,True,agc,1.0,0.3,1,3,2048,0.08502780850485564,0.9018831754449546,10.704390142259715,0.10068624075907627,0.08152106404304504,0.12534496188163757,0.9986745119094849
sign_only,sign_only,True,pairwise,1.0,0.3,1,3,2048,0.0850534273540037,0.9021549125322345,10.703081811585179,0.1096597973106351,0.027889827266335487,0.8132569193840027,0.9997795224189758
sign_only,sign_only,True,oracle,1.0,0.3,1,3,2048,7.133008883917437e-14,7.565925566971606e-13,120.0,1.0000000500315327,0.0,1.0000001192092896,1.0
sign_only,sign_only,True,none,1.0,0.3,1,4,2048,0.03116670626295181,0.8805519850120832,15.063090920898007,0.12058076395322496,,,
sign_only,sign_only,True,agc,1.0,0.3,1,4,2048,0.031207809562316082,0.881713275253676,15.057367128592878,0.1198728779867321,0.08130649477243423,0.13077886402606964,0.9988488554954529
sign_only,sign_only,True,pairwise,1.0,0.3,1,4,2048,0.031008768735361427,0.87608978094553,15.085154779437262,0.13364584206581853,0.027901118621230125,0.8131751418113708,0.999737024307251
sign_only,sign_only,True,oracle,1.0,0.3,1,4,2048,2.4844277180306152e-14,7.019245923113158e-13,120.0,0.9999999222647801,0.0,1.0000001192092896,1.0
sign_only,sign_only,True,none,1.0,0.3,1,5,2048,0.10570478371658837,0.9150001435021198,9.75905358059588,0.08782316090933796,,,
sign_only,sign_only,True,agc,1.0,0.3,1,5,2048,0.10561330868110583,0.9142083186891785,9.762813514747531,0.08792781400905586,0.08136478811502457,0.131767138838768,0.9986737370491028
sign_only,sign_only,True,pairwise,1.0,0.3,1,5,2048,0.10510670277368535,0.9098230443270304,9.783695876367926,0.09750371542604655,0.027868418022990227,0.8134124279022217,0.9998856782913208
sign_only,sign_only,True,oracle,1.0,0.3,1,5,2048,9.068925637548302e-14,7.850229637681502e-13,120.0,1.0000000513678022,0.0,1.0000001192092896,1.0
sign_only,sign_only,True,none,1.0,0.3,1,6,2048,0.1235149802574526,0.9278832357135188,9.082803667070735,0.07923063755726655,,,
sign_only,sign_only,True,agc,1.0,0.3,1,6,2048,0.12352411420428105,0.9279518527842608,9.08248251768213,0.0789596515836059,0.08157649636268616,0.1266712248325348,0.9985014796257019
sign_only,sign_only,True,pairwise,1.0,0.3,1,6,2048,0.12354431593911007,0.9281036145466082,9.081772309423181,0.08595650600303534,0.027865087613463402,0.8134398460388184,0.9998124837875366
sign_only,sign_only,True,oracle,1.0,0.3,1,6,2048,1.1447482916160067e-13,8.599707879061843e-13,120.0,1.0000001720332194,0.0,1.0000001192092896,1.0
sign_only,sign_only,True,none,1.0,0.3,1,7,2048,0.11824349070390769,0.9212594692184994,9.272227578136965,0.07712515739477305,,,
sign_only,sign_only,True,agc,1.0,0.3,1,7,2048,0.1182960759061509,0.9216691713950754,9.270296614631153,0.07676800299208371,0.08136797696352005,0.13096609711647034,0.9987083673477173
sign_only,sign_only,True,pairwise,1.0,0.3,1,7,2048,0.11776802913802709,0.9175550499121226,9.289725928548359,0.0850350814516742,0.027861036360263824,0.8134666681289673,0.9999243021011353
sign_only,sign_only,True,oracle,1.0,0.3,1,7,2048,1.1290397324423939e-13,8.796581853635197e-13,120.0,0.9999998759139991,0.0,1.0000001192092896,1.0
sign_only,sign_only,True,none,1.0,0.3,1,8,2048,0.10427403891408527,0.9204355356149861,9.818238043230128,0.08009469423409671,,,
sign_only,sign_only,True,agc,1.0,0.3,1,8,2048,0.10411006086565469,0.9189880878666482,9.825072996219443,0.08047410347003502,0.08168112486600876,0.12727537751197815,0.9982738494873047
sign_only,sign_only,True,pairwise,1.0,0.3,1,8,2048,0.1036861782450037,0.9152464410383495,9.84279132829853,0.08888018363786038,0.027858369052410126,0.8134860396385193,0.9999634027481079
sign_only,sign_only,True,oracle,1.0,0.3,1,8,2048,1.0554869557593571e-13,9.316870350245582e-13,120.0,1.0000001483424108,0.0,1.0000001192092896,1.0
sign_only,sign_only,True,none,1.0,0.3,1,9,2048,0.07255694914082461,0.9130261607373182,11.393209866861172,0.0921660457277023,,,
sign_only,sign_only,True,agc,1.0,0.3,1,9,2048,0.07258965971834283,0.9134377769003544,11.391252394527758,0.09169901949983317,0.08158090710639954,0.12764297425746918,0.9984462857246399
sign_only,sign_only,True,pairwise,1.0,0.3,1,9,2048,0.07224017923299796,0.9090400613187947,11.412211851778642,0.1018806098921968,0.027871238067746162,0.8133925795555115,0.9998493790626526
sign_only,sign_only,True,oracle,1.0,0.3,1,9,2048,5.401229676624479e-14,6.796680474171421e-13,120.0,1.0000000247435188,0.0,1.0000001192092896,1.0
sign_only,sign_only,True,none,1.0,0.3,2,0,2048,0.07409868380035348,0.8764335746010172,11.301895062355207,0.11592231886510534,,,
sign_only,sign_only,True,agc,1.0,0.3,2,0,2048,0.07416268895501718,0.8771906226836248,11.298145321381675,0.11588615488263557,0.08416708558797836,0.10325229167938232,0.9997326731681824
sign_only,sign_only,True,pairwise,1.0,0.3,2,0,2048,0.07296685437582617,0.8630463825821983,11.368743759162719,0.1316951630435284,0.028777429834008217,0.8133630156517029,0.9999340772628784
sign_only,sign_only,True,oracle,1.0,0.3,2,0,2048,5.954073330523818e-14,7.042432476354837e-13,120.0,0.9999999836332631,0.0,1.0,1.0
sign_only,sign_only,True,none,1.0,0.3,2,1,2048,0.07120618057256296,0.8928149150039044,11.474823087217914,0.10898480227778563,,,
sign_only,sign_only,True,agc,1.0,0.3,2,1,2048,0.0711127588466808,0.8916435516533874,11.480524724123523,0.1096851144959097,0.08418810367584229,0.10197338461875916,0.9997398853302002
sign_only,sign_only,True,pairwise,1.0,0.3,2,1,2048,0.07084170055735758,0.8882449016823136,11.497110221034745,0.12051757050174422,0.028770852833986282,0.8134119510650635,0.9998668432235718
sign_only,sign_only,True,oracle,1.0,0.3,2,1,2048,6.306107763831304e-14,7.906879742599086e-13,120.0,1.000000075449882,0.0,1.0,1.0
sign_only,sign_only,True,none,1.0,0.3,2,2,2048,0.06322146082424748,0.8946759746342623,11.991354733717955,0.10130449866554457,,,
sign_only,sign_only,True,agc,1.0,0.3,2,2,2048,0.06315612405819293,0.8937513640022522,11.995845308453564,0.10186168638240432,0.08413224667310715,0.10423697531223297,0.999798595905304
sign_only,sign_only,True,pairwise,1.0,0.3,2,2,2048,0.06287553229443335,0.8897805808782459,12.015183252512191,0.1117376406401574,0.028763769194483757,0.8134613037109375,0.9999943971633911
sign_only,sign_only,True,oracle,1.0,0.3,2,2,2048,5.439343268182747e-14,7.697464874087932e-13,120.0,1.0000001267481111,0.0,1.0,1.0
sign_only,sign_only,True,none,1.0,0.3,2,3,2048,0.08246643643292217,0.8747149064003695,10.837227719089901,0.11125035336961746,,,
sign_only,sign_only,True,agc,1.0,0.3,2,3,2048,0.08252181355798709,0.8753022871441376,10.834312362300093,0.1113445785259125,0.08411020040512085,0.10560381412506104,0.9997863173484802
sign_only,sign_only,True,pairwise,1.0,0.3,2,3,2048,0.08152186693777574,0.864695933188065,10.887258830805077,0.12473660730138603,0.028759025037288666,0.8134956955909729,0.9999640583992004
sign_only,sign_only,True,oracle,1.0,0.3,2,3,2048,7.220986132825808e-14,7.659242332401191e-13,120.0,1.0000000757885446,0.0,1.0,1.0
sign_only,sign_only,True,none,1.0,0.3,2,4,2048,0.030863806154001614,0.8719941576322447,15.105505173606304,0.12305011700665056,,,
sign_only,sign_only,True,agc,1.0,0.3,2,4,2048,0.030823510403277334,0.8708556830373212,15.111179022186374,0.12374938367802019,0.08416874706745148,0.10265573114156723,0.9997662305831909
sign_only,sign_only,True,pairwise,1.0,0.3,2,4,2048,0.030606895781812936,0.864735676858168,15.141807152635883,0.13701190775106556,0.02878175675868988,0.813331663608551,0.9999352097511292
sign_only,sign_only,True,oracle,1.0,0.3,2,4,2048,2.4835059010325e-14,7.016641516408582e-13,120.0,0.9999998780420999,0.0,1.0,1.0
sign_only,sign_only,True,none,1.0,0.3,2,5,2048,0.10440553281031198,0.9037535875385263,9.812764859571416,0.0914292287674221,,,
sign_only,sign_only,True,agc,1.0,0.3,2,5,2048,0.10430122635580352,0.9028506915910797,9.817105851839466,0.09192343811561061,0.08423453569412231,0.1001868024468422,0.9996912479400635
sign_only,sign_only,True,pairwise,1.0,0.3,2,5,2048,0.10351436956365397,0.896039513776622,9.849993585256168,0.10233840073493317,0.028737960383296013,0.8136482238769531,0.9999301433563232
sign_only,sign_only,True,oracle,1.0,0.3,2,5,2048,8.310216714869246e-14,7.193477172259513e-13,120.0,1.0000000461585463,0.0,1.0,1.0
sign_only,sign_only,True,none,1.0,0.3,2,6,2048,0.11743099137630926,0.8821784047908767,9.302172727006777,0.09775609617972363,,,
sign_only,sign_only,True,agc,1.0,0.3,2,6,2048,0.11753120205563448,0.8829312188154713,9.298468220587097,0.09772504439631177,0.08414477854967117,0.10423479974269867,0.9997485876083374
sign_only,sign_only,True,pairwise,1.0,0.3,2,6,2048,0.1163814989543942,0.8742942888538983,9.341160535403588,0.10900039969733974,0.02874375507235527,0.8136059045791626,0.9999898672103882
sign_only,sign_only,True,oracle,1.0,0.3,2,6,2048,1.1379149867759114e-13,8.548373951853755e-13,120.0,1.0000001697133352,0.0,1.0,1.0
