variant,correction,rho,sigma_a,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,gain_rel_mse_mean
random_uniform,oracle,1.0,0.5,15.38524839890301,1.6316207111751204,0.3286046332907897,0.012405473700063478,2.7003705125932738e-15
sign_only,agc,1.0,0.5,10.704546521176917,1.6363372482110246,0.9648677133318929,0.01125756772668488,0.21272774666547775
sign_only,none,1.0,0.5,10.703430026271976,1.6367800696523194,0.9651188566132124,0.011521546002783736,
sign_only,oracle,1.0,0.5,120.0,0.0,7.848541011731471e-13,8.569226471776354e-14,2.7003705125932738e-15
sign_only,pairwise,1.0,0.5,10.738461454676925,1.6369934803246675,0.9573976880191449,0.013914293964340399,0.07221587598323823
srht_full,agc,1.0,0.5,10.708165066532503,1.6310455829181498,0.9641154631418948,0.01504048056810742,0.21278153330087662
srht_full,none,1.0,0.5,10.70783727282362,1.6309251131422657,0.9641870562878364,0.014964120427996594,
srht_full,oracle,1.0,0.5,120.0,0.0,7.94005091786064e-13,1.0516698569873331e-13,2.7003705125932738e-15
srht_full,pairwise,1.0,0.5,10.730486215794256,1.6362376296021934,0.9591986840413163,0.016561791202816298,0.07221290022134781
hadamard_ordered,agc,10.0,0.3,10.774677888687107,1.65809793772226,0.949446936850202,0.013844807600652185,0.08868734493851661
hadamard_ordered,none,10.0,0.3,10.842292699662707,1.6576507219816423,0.9348730486456293,0.019082049385871772,
hadamard_ordered,oracle,10.0,0.3,120.0,0.0,9.444141138862993e-13,1.4534197503481625e-13,2.7035829697490305e-15
hadamard_ordered,pairwise,10.0,0.3,10.86846302098062,1.6613365399716866,0.9291910945028047,0.015353882321891008,0.042135185152292254
random_binary,agc,10.0,0.3,10.836725821975872,1.6576150668483982,0.9360126829809283,0.015839251081094588,0.08442553877830505
random_binary,none,10.0,0.3,10.84531787545113,1.6566374490173539,0.9341781281796467,0.016702729107580496,
random_binary,oracle,10.0,0.3,15.391699039126834,1.650100775735434,0.32802730223742005,0.009708910420171753,2.7035829697490305e-15
random_uniform,agc,10.0,0.3,10.652042902848983,1.630347987977514,0.976573765552023,0.008451184561260079,0.08431841760873794
random_uniform,none,10.0,0.3,10.654834992463535,1.6306400529174254,0.9759495571077133,0.008838088259153599,
random_uniform,oracle,10.0,0.3,15.38524848441964,1.6316206702010987,0.32860462688234326,0.01240547494767752,2.7035829697490305e-15
sign_only,agc,10.0,0.3,10.860474548185813,1.65060051633137,0.9309366708829948,0.017324311284996893,0.08431046307086945
sign_only,none,10.0,0.3,10.860424722296175,1.6507619397685533,0.930951848999726,0.017565465103491107,
sign_only,oracle,10.0,0.3,120.0,0.0,7.843295446116495e-13,9.863463244926106e-14,2.7035829697490305e-15
sign_only,pairwise,10.0,0.3,10.879583637541947,1.6510923350100064,0.9268820145509554,0.018941003829148182,0.042163756787776945
srht_full,agc,10.0,0.3,10.850660904329892,1.6464790455087714,0.9330946067262593,0.020022262081997953,0.08431614562869072
srht_full,none,10.0,0.3,10.8510240306725,1.6467322188976046,0.9330161917707106,0.019999259365713652,
srht_full,oracle,10.0,0.3,120.0,0.0,7.995344678585154e-13,1.0695552127883085e-13,2.7035829697490305e-15
