object,source,source_config,steps,postprocess_method,target_free_threshold,threshold,cnr,psnr,ssim,hits_apl_min,min,max,mean,note,foreground_fraction,target_foreground_fraction,iou,false_positive_pixels,false_negative_pixels
ring,best_final,nlm_allobjects/cfg0001,200,target_fraction_upper_bound,False,0.2780768463926506,8.288795471191406,21.20998191833496,0.9572927355766296,False,0.0,1.0,0.131103515625,Upper bound using the true target foreground fraction; not deployable.,0.131103515625,0.131103515625,0.9438914027149321,62,62
ring,best_trace_regen,nlm_allobjects/cfg0001,64,continuous,True,,14.299878120422363,3.482663631439209,0.09442485868930817,True,0.5550069808959961,1.0,0.7546120882034302,Continuous URED output.,,0.131103515625,,,
ring,best_trace_regen,nlm_allobjects/cfg0001,64,minmax_continuous,True,,14.29987907409668,9.196346282958984,0.15809330344200134,True,0.0,1.0,0.4485577344894409,Linear display scaling only.,,0.131103515625,,,
ring,best_trace_regen,nlm_allobjects/cfg0001,64,raw_otsu_binary,True,0.8548557758331299,21.1628360748291,23.336063385009766,0.9726617336273193,True,0.0,1.0,0.1356201171875,Otsu threshold from reconstruction histogram only.,0.1356201171875,0.131103515625,0.9658119658119658,75,1
ring,best_trace_regen,nlm_allobjects/cfg0001,64,minmax_otsu_binary,True,0.673828125,21.1628360748291,23.336063385009766,0.9726617336273193,True,0.0,1.0,0.1356201171875,Otsu threshold after min-max scaling.,0.1356201171875,0.131103515625,0.9658119658119658,75,1
ring,best_trace_regen,nlm_allobjects/cfg0001,64,raw_mean_binary,True,0.7546120882034302,8.516902923583984,13.42846965789795,0.5377944111824036,False,0.0,1.0,0.176513671875,Simple target-free mean threshold.,0.176513671875,0.131103515625,0.7427385892116183,744,0
ring,best_trace_regen,nlm_allobjects/cfg0001,64,raw_mean_plus_std_binary,True,0.8535807728767395,20.94723892211914,23.223251342773438,0.971928060054779,True,0.0,1.0,0.1357421875,Simple target-free mean plus one standard deviation threshold.,0.1357421875,0.131103515625,0.9649438202247191,77,1
ring,best_trace_regen,nlm_allobjects/cfg0001,64,target_fraction_upper_bound,False,0.9368071075878106,19.189136505126953,28.342086791992188,0.9912949204444885,True,0.0,1.0,0.131103515625,Upper bound using the true target foreground fraction; not deployable.,0.131103515625,0.131103515625,0.9888888888888889,12,12
stripe_target,best_final,naf_capacity_stripe/cfg0000,36,continuous,True,,9.364781379699707,7.604989528656006,0.17761968076229095,False,0.19731120765209198,0.7772225141525269,0.48401594161987305,Continuous URED output.,,0.21270751953125,,,
stripe_target,best_final,naf_capacity_stripe/cfg0000,36,minmax_continuous,True,,9.364781379699707,8.477119445800781,0.27434489130973816,False,0.0,1.0,0.49439406394958496,Linear display scaling only.,,0.21270751953125,,,
stripe_target,best_final,naf_capacity_stripe/cfg0000,36,raw_otsu_binary,True,0.5495619773864746,15.288484573364258,25.423221588134766,0.987058162689209,True,0.0,1.0,0.211669921875,Otsu threshold from reconstruction histogram only.,0.211669921875,0.21270751953125,0.9865714285714285,15,32
stripe_target,best_final,naf_capacity_stripe/cfg0000,36,minmax_otsu_binary,True,0.607421875,15.288484573364258,25.423221588134766,0.987058162689209,True,0.0,1.0,0.211669921875,Otsu threshold after min-max scaling.,0.211669921875,0.21270751953125,0.9865714285714285,15,32
stripe_target,best_final,naf_capacity_stripe/cfg0000,36,raw_mean_binary,True,0.48401594161987305,10.001019477844238,17.61101531982422,0.9285544157028198,False,0.0,1.0,0.22894287109375,Simple target-free mean threshold.,0.22894287109375,0.21270751953125,0.924468085106383,275,9
stripe_target,best_final,naf_capacity_stripe/cfg0000,36,raw_mean_plus_std_binary,True,0.5802592039108276,14.121397018432617,24.435680389404297,0.985699474811554,True,0.0,1.0,0.2093505859375,Simple target-free mean plus one standard deviation threshold.,0.2093505859375,0.21270751953125,0.9830800114711786,2,57
stripe_target,best_final,naf_capacity_stripe/cfg0000,36,target_fraction_upper_bound,False,0.5396404586135759,16.46921730041504,25.709671020507812,0.9869329929351807,True,0.0,1.0,0.21270751953125,Upper bound using the true target foreground fraction; not deployable.,0.21270751953125,0.21270751953125,0.9874536641003707,22,22
stripe_target,best_trace_regen,nlm_microrefine_stripe/cfg0041,36,continuous,True,,9.364781379699707,7.604989528656006,0.17761968076229095,False,0.19731120765209198,0.7772225141525269,0.48401594161987305,Continuous URED output.,,0.21270751953125,,,
stripe_target,best_trace_regen,nlm_microrefine_stripe/cfg0041,36,minmax_continuous,True,,9.364781379699707,8.477119445800781,0.27434489130973816,False,0.0,1.0,0.49439406394958496,Linear display scaling only.,,0.21270751953125,,,
stripe_target,best_trace_regen,nlm_microrefine_stripe/cfg0041,36,raw_otsu_binary,True,0.5495619773864746,15.288484573364258,25.423221588134766,0.987058162689209,True,0.0,1.0,0.211669921875,Otsu threshold from reconstruction histogram only.,0.211669921875,0.21270751953125,0.9865714285714285,15,32
stripe_target,best_trace_regen,nlm_microrefine_stripe/cfg0041,36,minmax_otsu_binary,True,0.607421875,15.288484573364258,25.423221588134766,0.987058162689209,True,0.0,1.0,0.211669921875,Otsu threshold after min-max scaling.,0.211669921875,0.21270751953125,0.9865714285714285,15,32
stripe_target,best_trace_regen,nlm_microrefine_stripe/cfg0041,36,raw_mean_binary,True,0.48401594161987305,10.001019477844238,17.61101531982422,0.9285544157028198,False,0.0,1.0,0.22894287109375,Simple target-free mean threshold.,0.22894287109375,0.21270751953125,0.924468085106383,275,9
stripe_target,best_trace_regen,nlm_microrefine_stripe/cfg0041,36,raw_mean_plus_std_binary,True,0.5802592039108276,14.121397018432617,24.435680389404297,0.985699474811554,True,0.0,1.0,0.2093505859375,Simple target-free mean plus one standard deviation threshold.,0.2093505859375,0.21270751953125,0.9830800114711786,2,57
stripe_target,best_trace_regen,nlm_microrefine_stripe/cfg0041,36,target_fraction_upper_bound,False,0.5396404586135759,16.46921730041504,25.709671020507812,0.9869329929351807,True,0.0,1.0,0.21270751953125,Upper bound using the true target foreground fraction; not deployable.,0.21270751953125,0.21270751953125,0.9874536641003707,22,22
