sigma_a,correction,challenger,baseline,rho_star_first_ge,boundary_status,max_margin_db,min_margin_db,points,rho_lower_bound,rho_upper_bound,rho_interval_midpoint,interval_kind,rho_grid_min,rho_grid_max
0.1,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.3127813641305295,-18.553758378906537,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.8834548878522934,-2.916066798510684,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,reference_k32,srht_paired,hadamard_paired,0.3,observed,0.0885244527946245,-0.1210687646526054,9,0.1,0.3,0.17320508075688773,closed_interval,0.001,10.0
0.1,reference_k8,random_uniform,hadamard_paired,,not_reached,-1.539723331503691,-23.837837789258884,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,reference_k8,random_binary,hadamard_paired,,not_reached,-0.7759943956105122,-23.89778868725841,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.3659191530626184,-19.08605590106521,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.906833120355655,-3.008192025385398,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,reference_k8,srht_paired,hadamard_paired,0.1,observed,0.122157739313172,-0.0321703425428623,9,0.03,0.1,0.05477225575051661,closed_interval,0.001,10.0
0.1,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-0.8461791729399746,-21.67682984574532,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,scgi_frozen,random_binary,hadamard_paired,,not_reached,-0.7840534945748665,-20.51586379044938,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.6226266591003622,-14.044406632244788,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.4073101720615568,-2.3279740140884897,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,0.7091983612675481,-0.121242888025268,9,,0.001,0.001,upper_bound,0.001,10.0
0.1,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-1.33724897426303,-23.34951749570837,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,scgi_proxy,random_binary,hadamard_paired,,not_reached,-0.4793806084148464,-23.23030254506032,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.4745793537204825,-17.262484425839553,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.9026526889752944,-2.796955718551793,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,scgi_proxy,srht_paired,hadamard_paired,0.1,observed,0.11857695496637,-0.1224470504766088,9,0.03,0.1,0.05477225575051661,closed_interval,0.001,10.0
0.15,agc,random_uniform,hadamard_paired,,not_reached,-0.4536810803661861,-10.22297720699376,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,agc,random_binary,hadamard_paired,3.0,observed,0.0723258284260666,-9.693984972065188,9,1.0,3.0,1.7320508075688772,closed_interval,0.001,10.0
0.15,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.2229497167922272,-2.884767323391813,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,agc,dct_paired,hadamard_paired,,not_reached,-0.4212235207915178,-2.291509124281969,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,agc,srht_paired,hadamard_paired,0.001,left_censored,10.079373980663,0.3057605010706687,9,,0.001,0.001,upper_bound,0.001,10.0
0.15,none,random_uniform,hadamard_paired,,not_reached,-0.6616244049371716,-19.03655784221528,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,none,random_binary,hadamard_paired,,not_reached,-0.1161748017581434,-17.93039353013034,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,none,fourier_fourstep,hadamard_paired,,not_reached,-0.1415959671397999,-10.49672350528184,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,none,dct_paired,hadamard_paired,,not_reached,-0.4146578376213305,-2.1164756121173163,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,none,srht_paired,hadamard_paired,0.03,observed,0.1263313610839329,-0.1492691450617229,9,0.01,0.03,0.017320508075688773,closed_interval,0.001,10.0
0.15,pairwise,dct_paired,hadamard_paired,,not_reached,-0.4933728249961895,-3.000764860572822,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.0997200209111905,0.0174574778948439,9,,0.001,0.001,upper_bound,0.001,10.0
0.15,reference_k2,random_uniform,hadamard_paired,,not_reached,-0.8815627783849003,-22.76945389351005,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,reference_k2,random_binary,hadamard_paired,,not_reached,-0.17761621552531,-22.86216311574711,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.0904717098715917,-18.052546162118105,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,reference_k2,dct_paired,hadamard_paired,,not_reached,-0.6329010965082134,-3.0059226475141045,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.0796664272633265,0.0161402594713848,9,,0.001,0.001,upper_bound,0.001,10.0
0.15,reference_k32,random_uniform,hadamard_paired,,not_reached,-0.8120458129999832,-20.27715586921877,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,reference_k32,random_binary,hadamard_paired,,not_reached,-0.4181603618296439,-20.02932340113246,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.1243143512585245,-15.16881989393524,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.4517073929712438,-2.904727208285294,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,reference_k32,srht_paired,hadamard_paired,0.3,observed,0.0866089616928089,-0.1172394416192474,9,0.1,0.3,0.17320508075688773,closed_interval,0.001,10.0
0.15,reference_k8,random_uniform,hadamard_paired,,not_reached,-0.7689441072988359,-20.408912637076966,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,reference_k8,random_binary,hadamard_paired,,not_reached,-0.3260617435551243,-20.411447835467637,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.1644972561876923,-15.671737668046797,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.4704763954223505,-3.0010039974409253,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,reference_k8,srht_paired,hadamard_paired,0.03,observed,0.1200873349438573,-0.0287171354229442,9,0.01,0.03,0.017320508075688773,closed_interval,0.001,10.0
0.15,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-0.3964630135310116,-18.93734097987053,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,scgi_frozen,random_binary,hadamard_paired,,not_reached,-0.3383249919965081,-17.792262387997233,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.3190365967762503,-10.47642616667632,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.3586369305034438,-2.123802075096375,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,0.4188806873453679,-0.0668208673887065,9,,0.001,0.001,upper_bound,0.001,10.0
0.15,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-0.6693070518988673,-20.266378838117497,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,scgi_proxy,random_binary,hadamard_paired,,not_reached,-0.1437931827255152,-19.89682086232961,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.2299284396917187,-13.918724157542956,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.4715559549100518,-2.7830554335553157,9,10.0,,10.0,lower_bound,0.001,10.0
0.15,scgi_proxy,srht_paired,hadamard_paired,0.03,observed,0.1151498931625951,-0.1148911938999006,9,0.01,0.03,0.017320508075688773,closed_interval,0.001,10.0
0.3,agc,random_uniform,hadamard_paired,,not_reached,-0.1135058545141962,-10.185183057919488,9,10.0,,10.0,lower_bound,0.001,10.0
0.3,agc,random_binary,hadamard_paired,3.0,observed,0.0449397205511363,-9.221925126198965,9,1.0,3.0,1.7320508075688772,closed_interval,0.001,10.0
0.3,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.047972128123833,-2.773532309782098,9,10.0,,10.0,lower_bound,0.001,10.0
0.3,agc,dct_paired,hadamard_paired,,not_reached,-0.1038978927994023,-2.236249921528593,9,10.0,,10.0,lower_bound,0.001,10.0
0.3,agc,srht_paired,hadamard_paired,0.001,left_censored,5.38942236293126,0.1056664057060565,9,,0.001,0.001,upper_bound,0.001,10.0
0.3,none,random_uniform,hadamard_paired,,not_reached,-0.1643379419883519,-13.79716918690674,9,10.0,,10.0,lower_bound,0.001,10.0
0.3,none,random_binary,hadamard_paired,10.0,observed,0.0021236441298757,-13.225670356712923,9,3.0,10.0,5.477225575051661,closed_interval,0.001,10.0
0.3,none,fourier_fourstep,hadamard_paired,,not_reached,-0.0183574117080844,-5.129701096254102,9,10.0,,10.0,lower_bound,0.001,10.0
0.3,none,dct_paired,hadamard_paired,,not_reached,-0.116851821371009,-1.5114749574154978,9,10.0,,10.0,lower_bound,0.001,10.0
0.3,none,srht_paired,hadamard_paired,0.001,left_censored,0.1477387810694832,-0.0446949844155994,9,,0.001,0.001,upper_bound,0.001,10.0
0.3,pairwise,dct_paired,hadamard_paired,,not_reached,-0.1371827760314321,-2.953783978099672,9,10.0,,10.0,lower_bound,0.001,10.0
0.3,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.0815146309965531,0.0262859933346533,9,,0.001,0.001,upper_bound,0.001,10.0
0.3,reference_k2,random_uniform,hadamard_paired,,not_reached,-0.2304387860667098,-16.856471512874663,9,10.0,,10.0,lower_bound,0.001,10.0
0.3,reference_k2,random_binary,hadamard_paired,,not_reached,-0.0057019700598459,-16.895987088867876,9,10.0,,10.0,lower_bound,0.001,10.0
0.3,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.0252643246614638,-12.24861351356693,9,10.0,,10.0,lower_bound,0.001,10.0
0.3,reference_k2,dct_paired,hadamard_paired,,not_reached,-0.1683471294652534,-2.989936660919515,9,10.0,,10.0,lower_bound,0.001,10.0
0.3,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.0548628754602837,0.0203062019209951,9,,0.001,0.001,upper_bound,0.001,10.0
0.3,reference_k32,random_uniform,hadamard_paired,,not_reached,-0.1936549571541874,-15.39262311451695,9,10.0,,10.0,lower_bound,0.001,10.0
0.3,reference_k32,random_binary,hadamard_paired,,not_reached,-0.0866609963964517,-14.596107262442382,9,10.0,,10.0,lower_bound,0.001,10.0
0.3,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.0074917626500763,-9.813090629872605,9,10.0,,10.0,lower_bound,0.001,10.0
0.3,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.0972041451926291,-2.8519426554688643,9,10.0,,10.0,lower_bound,0.001,10.0
0.3,reference_k32,srht_paired,hadamard_paired,0.1,observed,0.0637473235221595,-0.1055818145672446,9,0.03,0.1,0.05477225575051661,closed_interval,0.001,10.0
0.3,reference_k8,random_uniform,hadamard_paired,,not_reached,-0.1815900620772268,-14.836338087007674,9,10.0,,10.0,lower_bound,0.001,10.0
0.3,reference_k8,random_binary,hadamard_paired,,not_reached,-0.052144211534653,-14.577380207827623,9,10.0,,10.0,lower_bound,0.001,10.0
0.3,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.0287988821701006,-10.189330327670593,9,10.0,,10.0,lower_bound,0.001,10.0
0.3,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.1089566485314748,-2.9618480225833963,9,10.0,,10.0,lower_bound,0.001,10.0
0.3,reference_k8,srht_paired,hadamard_paired,0.01,observed,0.1001058130970324,-0.0184470469138346,9,0.003,0.01,0.005477225575051661,closed_interval,0.001,10.0
0.3,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-0.0726024313290807,-13.643548081265177,9,10.0,,10.0,lower_bound,0.001,10.0
0.3,scgi_frozen,random_binary,hadamard_paired,,not_reached,-0.0292344119876091,-13.017454230216469,9,10.0,,10.0,lower_bound,0.001,10.0
0.3,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.0807792726506839,-4.971467066102598,9,10.0,,10.0,lower_bound,0.001,10.0
0.3,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.0911134863137252,-1.6046177277264668,9,10.0,,10.0,lower_bound,0.001,10.0
0.3,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,0.4986831167105023,0.0735852862907311,9,,0.001,0.001,upper_bound,0.001,10.0
0.3,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-0.1652377525985287,-15.625025067641465,9,10.0,,10.0,lower_bound,0.001,10.0
0.3,scgi_proxy,random_binary,hadamard_paired,,not_reached,-0.0072780485653822,-14.665800362241104,9,10.0,,10.0,lower_bound,0.001,10.0
0.3,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.0474881655357997,-8.798138861852006,9,10.0,,10.0,lower_bound,0.001,10.0
0.3,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.1155528716689211,-2.722797509956621,9,10.0,,10.0,lower_bound,0.001,10.0
0.3,scgi_proxy,srht_paired,hadamard_paired,0.01,observed,0.1403724183520598,-0.0912428249631105,9,0.003,0.01,0.005477225575051661,closed_interval,0.001,10.0
0.5,agc,random_uniform,hadamard_paired,,not_reached,-0.0352283325299058,-9.38751653576701,9,10.0,,10.0,lower_bound,0.001,10.0
0.5,agc,random_binary,hadamard_paired,3.0,observed,0.0188574995677388,-8.295622766255144,9,1.0,3.0,1.7320508075688772,closed_interval,0.001,10.0
0.5,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.0078324080040808,-2.8316505152993585,9,10.0,,10.0,lower_bound,0.001,10.0
0.5,agc,dct_paired,hadamard_paired,,not_reached,-0.0290538887609717,-2.2246112188564773,9,10.0,,10.0,lower_bound,0.001,10.0
0.5,agc,srht_paired,hadamard_paired,0.001,left_censored,3.01906408759098,0.0436958016056099,9,,0.001,0.001,upper_bound,0.001,10.0
0.5,none,random_uniform,hadamard_paired,,not_reached,-0.0479981503667641,-9.67374542406721,9,10.0,,10.0,lower_bound,0.001,10.0
0.5,none,random_binary,hadamard_paired,3.0,observed,0.0092254602475918,-9.413898897228284,9,1.0,3.0,1.7320508075688772,closed_interval,0.001,10.0
0.5,none,fourier_fourstep,hadamard_paired,3.0,observed,0.0048671759515954,-2.655382422941873,9,1.0,3.0,1.7320508075688772,closed_interval,0.001,10.0
0.5,none,dct_paired,hadamard_paired,,not_reached,-0.0321400218013128,-1.1102687015696766,9,10.0,,10.0,lower_bound,0.001,10.0
0.5,none,srht_paired,hadamard_paired,0.001,left_censored,0.1538364015207438,0.0300395204511243,9,,0.001,0.001,upper_bound,0.001,10.0
0.5,pairwise,dct_paired,hadamard_paired,,not_reached,-0.0493580514279052,-2.8502022311752384,9,10.0,,10.0,lower_bound,0.001,10.0
0.5,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.0783321830986292,0.0250005908040282,9,,0.001,0.001,upper_bound,0.001,10.0
0.5,reference_k2,random_uniform,hadamard_paired,,not_reached,-0.0663896270566155,-12.663677965306032,9,10.0,,10.0,lower_bound,0.001,10.0
0.5,reference_k2,random_binary,hadamard_paired,1.0,observed,0.0028445050018817,-12.583897890361463,9,0.3,1.0,0.5477225575051661,closed_interval,0.001,10.0
0.5,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.0109111084263933,-8.279222923964735,9,10.0,,10.0,lower_bound,0.001,10.0
0.5,reference_k2,dct_paired,hadamard_paired,,not_reached,-0.0452831428857827,-2.9460156500068706,9,10.0,,10.0,lower_bound,0.001,10.0
0.5,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.0516260505299808,0.0239545675022121,9,,0.001,0.001,upper_bound,0.001,10.0
0.5,reference_k32,random_uniform,hadamard_paired,,not_reached,-0.049028807013931,-12.21808428105627,9,10.0,,10.0,lower_bound,0.001,10.0
0.5,reference_k32,random_binary,hadamard_paired,,not_reached,-0.0163485348501648,-11.111953194391436,9,10.0,,10.0,lower_bound,0.001,10.0
0.5,reference_k32,fourier_fourstep,hadamard_paired,3.0,observed,0.0111979141322855,-6.59928726678373,9,1.0,3.0,1.7320508075688772,closed_interval,0.001,10.0
0.5,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.0154397841923152,-2.7422243672703424,9,10.0,,10.0,lower_bound,0.001,10.0
0.5,reference_k32,srht_paired,hadamard_paired,0.03,observed,0.0658530919865931,-0.0899379940843125,9,0.01,0.03,0.017320508075688773,closed_interval,0.001,10.0
0.5,reference_k8,random_uniform,hadamard_paired,,not_reached,-0.0461394688127771,-11.205191875276444,9,10.0,,10.0,lower_bound,0.001,10.0
0.5,reference_k8,random_binary,hadamard_paired,,not_reached,-0.003602153752281,-10.543880505398889,9,10.0,,10.0,lower_bound,0.001,10.0
0.5,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.0004477703265486,-6.795567410352735,9,10.0,,10.0,lower_bound,0.001,10.0
0.5,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.0233065189831798,-2.8719183613266,9,10.0,,10.0,lower_bound,0.001,10.0
0.5,reference_k8,srht_paired,hadamard_paired,0.003,observed,0.0777995538367903,-0.0052036493944811,9,0.001,0.003,0.0017320508075688774,closed_interval,0.001,10.0
0.5,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-0.007287245974263,-9.440485032091663,9,10.0,,10.0,lower_bound,0.001,10.0
0.5,scgi_frozen,random_binary,hadamard_paired,3.0,observed,0.0175302920952056,-9.147954944992874,9,1.0,3.0,1.7320508075688772,closed_interval,0.001,10.0
0.5,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.0243247472524696,-2.5064669234358163,9,10.0,,10.0,lower_bound,0.001,10.0
0.5,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.0282476795853519,-1.275306686095579,9,10.0,,10.0,lower_bound,0.001,10.0
0.5,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,0.6776572207882587,0.0408419310308385,9,,0.001,0.001,upper_bound,0.001,10.0
0.5,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-0.0471036376715581,-12.412547173652126,9,10.0,,10.0,lower_bound,0.001,10.0
0.5,scgi_proxy,random_binary,hadamard_paired,3.0,observed,0.0064453538229205,-11.322755796159903,9,1.0,3.0,1.7320508075688772,closed_interval,0.001,10.0
0.5,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.0070121355791155,-5.952338112847549,9,10.0,,10.0,lower_bound,0.001,10.0
