image_size,num_pixels,num_frames,basis,sigma_delta,seed,object,mse,rel_mse,psnr,recon_scale,delta_recon_mse,delta_recon_rel_mse
16,256,512,random_binary,0.01,1,1,0.029476079152151922,0.3268002894920891,15.305302859361694,0.6688480884795706,0.0003949459482232138,0.0029254129520869493
16,256,512,random_binary,0.01,1,2,0.08075007963313105,0.3830537686629712,10.928570407094004,0.7016255274829922,0.0013869769615646567,0.005290257666193047
16,256,512,random_binary,0.01,1,3,0.037186330468158134,0.36129240872216584,14.296166755280463,0.6232497583045127,0.0004912524286296454,0.002929864937485138
16,256,512,random_binary,0.01,1,4,0.05231677856259223,0.39602528091987105,12.813590058069323,0.6852559369351582,0.0007232607304812893,0.004251862261862997
16,256,512,random_binary,0.01,2,0,0.046956652127630304,0.37293363174112637,13.283028745868194,0.6450783922875943,0.0005713285115617063,0.0030380119421476643
16,256,512,random_binary,0.01,2,1,0.029665139058996596,0.32889639026482964,15.277536115128301,0.666779908817562,0.0005157121776993748,0.0038199431871068427
16,256,512,random_binary,0.01,2,2,0.08140155667008811,0.38614417718439387,10.893672898679833,0.7035221282183409,0.0012872250980171505,0.004909780502207626
16,256,512,random_binary,0.01,2,3,0.03673453845974967,0.35690291879658453,14.349254123499735,0.6260371031595796,0.0005193455248835802,0.0030974141909909185
16,256,512,random_binary,0.01,2,4,0.051978650385726244,0.39346573291425235,12.841750010497252,0.6834553405451889,0.0007129068445289285,0.004190994451557325
16,256,512,random_binary,0.01,3,0,0.04673342141133624,0.3711607148492355,13.303724225778685,0.6485309789673621,0.0006823022472858912,0.003628109456226305
16,256,512,random_binary,0.01,3,1,0.029012516536428844,0.32166078649937335,15.374145989986626,0.6701072035670792,0.00045937581547309697,0.003402652860489616
16,256,512,random_binary,0.01,3,2,0.08090861696601245,0.38380582145486813,10.920052224977304,0.7020644976080526,0.0012764881968232809,0.004868827425533628
16,256,512,random_binary,0.01,3,3,0.037139570957306876,0.3608381058615868,14.301631176115961,0.62474885804756,0.0004078757229260486,0.002432600247465357
16,256,512,random_binary,0.01,3,4,0.05232900424093618,0.39611782632946285,12.812575292920801,0.6901555478231585,0.00082647766236821,0.004858647835833316
16,256,512,random_binary,0.02,0,0,0.048236375328072456,0.383097299701676,13.166253342460193,0.6339411809221379,0.002583372437089436,0.01373695895806027
16,256,512,random_binary,0.02,0,1,0.030237429828758593,0.33524135861243354,15.19455126485154,0.659752258067916,0.00156787775662139,0.011613462341223863
16,256,512,random_binary,0.02,0,2,0.08452302643015591,0.4009514784377649,10.730249609999268,0.6829047124491622,0.004801989695225046,0.018315922688064108
16,256,512,random_binary,0.02,0,3,0.03778054415770659,0.3670656294860828,14.22731791173652,0.6217639429713168,0.001889753763998192,0.011270627829899231
16,256,512,random_binary,0.02,0,4,0.05357783825125824,0.40557119584777857,12.710148132080176,0.6756698174403809,0.002166226801930654,0.012734685572706331
16,256,512,random_binary,0.02,1,0,0.047587761498097625,0.3779459547856763,13.225047236922851,0.6421972277737449,0.0024931559940438576,0.013257237351656686
16,256,512,random_binary,0.02,1,1,0.029479251010773234,0.3268354557810084,15.304835549385094,0.6622433441950106,0.0021189457025331156,0.01569529002853816
16,256,512,random_binary,0.02,1,2,0.08414801454241232,0.39917253632964267,10.749561266691067,0.6723403914516629,0.005576696612535382,0.021270837817822543
