arm,sigma_a,object,rho,rel_mse_aligned,rel_mse_raw,n,rel_mse_grid,abs_diff
hadamard_paired+pairwise,0.1,6,0.3,0.3200955795706253,0.46146799664679994,5,0.3200955615677844,1.8002840884712157e-08
hadamard_paired+pairwise,0.1,6,1.0,0.5334438713044897,1.1166821058469847,5,0.5334438576322723,1.3672217358262628e-08
hadamard_paired+pairwise,0.1,6,3.0,0.6300012945128581,1.6598689833327946,5,0.6300013018674963,7.3546381207378886e-09
hadamard_paired+pairwise,0.1,6,10.0,0.6416407456405736,1.7440351211581575,5,0.6416407200066221,2.5633951517001208e-08
hadamard_paired+pairwise,0.1,7,0.001,0.0020371803540508273,0.0020715159528970316,5,0.00203718063466232,2.8061149280958486e-10
hadamard_paired+pairwise,0.1,7,0.003,0.006077505050818912,0.006152089618516475,5,0.0060775035333304,1.5174885115848413e-09
hadamard_paired+pairwise,0.1,7,0.01,0.019880582711599933,0.02018431136452936,5,0.01988057745214602,5.259453914052692e-09
hadamard_paired+pairwise,0.1,7,0.03,0.0568789415366309,0.059997467293119125,5,0.05687893671232558,4.824305323281042e-09
hadamard_paired+pairwise,0.1,7,0.1,0.16323288434552596,0.19488907562054267,5,0.16323285594153286,2.8403993101999703e-08
hadamard_paired+pairwise,0.1,7,0.3,0.34892426244237706,0.5311794191493204,5,0.34892423379203463,2.8650342431824072e-08
hadamard_paired+pairwise,0.1,7,1.0,0.568631536841979,1.2850348307551376,5,0.5686315100867478,2.6755231141706304e-08
hadamard_paired+pairwise,0.1,7,3.0,0.6631961743881674,1.911979982440362,5,0.6631961408132506,3.357491673572355e-08
hadamard_paired+pairwise,0.1,7,10.0,0.6740091822946352,2.0094769265135257,5,0.6740091682642068,1.4030428485689583e-08
hadamard_paired+pairwise,0.1,8,0.001,0.0019151275602768843,0.001962006415245537,5,0.0019151258327630197,1.7275138645966859e-09
hadamard_paired+pairwise,0.1,8,0.003,0.005719838859601518,0.005821866451911736,5,0.00571983953403188,6.744303622518988e-10
hadamard_paired+pairwise,0.1,8,0.01,0.01875751391141335,0.019042832476294617,5,0.018757503471592617,1.0439820733593175e-08
hadamard_paired+pairwise,0.1,8,0.03,0.05389250747667392,0.056358584632087184,5,0.05389249728105368,1.0195620243902415e-08
hadamard_paired+pairwise,0.1,8,0.1,0.1556508519365395,0.18300113811465885,5,0.15565081787887539,3.405766410558009e-08
hadamard_paired+pairwise,0.1,8,0.3,0.3344864821942646,0.4993499720839464,5,0.3344864484932121,3.3701052504220286e-08
hadamard_paired+pairwise,0.1,8,1.0,0.5482469071970785,1.2080799029818114,5,0.5482468651624242,4.203465431285025e-08
hadamard_paired+pairwise,0.1,8,3.0,0.6430704880664203,1.7956677410902988,5,0.6430704457091871,4.235723316536877e-08
hadamard_paired+pairwise,0.1,8,10.0,0.6542223816406005,1.8872415967608158,5,0.6542223471507744,3.4489826106209875e-08
hadamard_paired+pairwise,0.1,9,0.001,0.0015542149420121726,0.0015999320215572862,5,0.00155421473293758,2.0907459270802509e-10
hadamard_paired+pairwise,0.1,9,0.003,0.004643699170607342,0.0047402954214113896,5,0.00464369714555404,2.0250533021293204e-09
hadamard_paired+pairwise,0.1,9,0.01,0.015256449185266743,0.01545064812550477,5,0.015256447231672198,1.9535945448151404e-09
hadamard_paired+pairwise,0.1,9,0.03,0.04410110375567693,0.04575500552008772,5,0.04410110630051448,2.544837549023349e-09
hadamard_paired+pairwise,0.1,9,0.1,0.13007946318687083,0.14840127393064198,5,0.13007946019452832,2.9923425126643366e-09
hadamard_paired+pairwise,0.1,9,0.3,0.29106803661843295,0.4051189281415103,5,0.29106803026740247,6.351030479301301e-09
hadamard_paired+pairwise,0.1,9,1.0,0.5017154673526364,0.9794543829821862,5,0.5017154337079169,3.36447194548839e-08
hadamard_paired+pairwise,0.1,9,3.0,0.6023449628888742,1.456989419796752,5,0.6023449754918466,1.2602972443431781e-08
hadamard_paired+pairwise,0.1,9,10.0,0.6145860253301714,1.5309349141028805,5,0.6145859970862232,2.8243948180239897e-08
hadamard_paired+pairwise,0.15,0,0.001,0.0029294756723527425,0.003030497951581843,5,0.0029294719784615,3.6938912423636894e-09
hadamard_paired+pairwise,0.15,0,0.003,0.00873321943435106,0.008905894941218778,5,0.0087332164234176,3.010933460889653e-09
hadamard_paired+pairwise,0.15,0,0.01,0.028450183848386996,0.028871263620245464,5,0.02845017682960348,7.018783516193894e-09
hadamard_paired+pairwise,0.15,0,0.03,0.08031493025953018,0.08540206122030725,5,0.08031492545299972,4.806530465306658e-09
hadamard_paired+pairwise,0.15,0,0.1,0.22098097811607453,0.27749399208825515,5,0.2209809740864305,4.029644035119517e-09
hadamard_paired+pairwise,0.15,0,0.3,0.43681371171829075,0.755891771783966,5,0.4368137231627552,1.1444464431686896e-08
hadamard_paired+pairwise,0.15,0,1.0,0.6520947956800374,1.819266853212501,5,0.652094801730664,6.050626666365133e-09
hadamard_paired+pairwise,0.15,0,3.0,0.7345131741908777,2.694749909311564,5,0.7345131812343644,7.043486682789535e-09
hadamard_paired+pairwise,0.15,0,10.0,0.7437250696360003,2.8301872747953967,5,0.7437250893715385,1.9735538203669023e-08
hadamard_paired+pairwise,0.15,1,0.001,0.0029176941779677293,0.0030325797076376686,5,0.00291769440082366,2.2285593075793697e-10
hadamard_paired+pairwise,0.15,1,0.003,0.008701401441137555,0.008921215623041628,5,0.00870140054456838,8.9656917480474e-10
hadamard_paired+pairwise,0.15,1,0.01,0.028366754544901562,0.02881221508317966,5,0.0283667384558166,1.6089084963616385e-08
hadamard_paired+pairwise,0.15,1,0.03,0.08011652818434703,0.08499481736166574,5,0.08011651751918336,1.0665163668877042e-08
hadamard_paired+pairwise,0.15,1,0.1,0.2202573469800883,0.27607266700732086,5,0.22025731672460439,3.025548392376898e-08
hadamard_paired+pairwise,0.15,1,0.3,0.4375069450701076,0.7521616449387025,5,0.43750687785678954,6.721331807790776e-08
hadamard_paired+pairwise,0.15,1,1.0,0.657788152828967,1.8098149767570966,5,0.6577881275787469,2.52502200259741e-08
hadamard_paired+pairwise,0.15,1,3.0,0.7425640393211934,2.683848448514149,5,0.7425640062483354,3.30728580077988e-08
hadamard_paired+pairwise,0.15,1,10.0,0.7519436405753434,2.820041414627291,5,0.7519436002498777,4.0325465633372914e-08
