arm,sigma_a,object,rho,rel_mse_aligned,rel_mse_raw,n
hadamard_paired+pairwise,0.05,9,0.001,0.0003889806009629329,0.00040038971099769113,5
hadamard_paired+pairwise,0.05,9,0.003,0.0011648454902099849,0.0011895075148830449,5
hadamard_paired+pairwise,0.05,9,0.01,0.0038573488529404744,0.003887414164460613,5
hadamard_paired+pairwise,0.05,9,0.03,0.011396912642157989,0.011511267977126274,5
hadamard_paired+pairwise,0.05,9,0.1,0.03599159331220153,0.03729035120317416,5
hadamard_paired+pairwise,0.05,9,0.3,0.09279277119486676,0.10187902017947155,5
hadamard_paired+pairwise,0.05,9,1.0,0.19994413478137374,0.2471352841386148,5
hadamard_paired+pairwise,0.05,9,3.0,0.27260048592378744,0.3686436746645151,5
hadamard_paired+pairwise,0.05,9,10.0,0.2827763102160561,0.3874746721086932,5
hadamard_paired+pairwise,0.1,0,0.001,0.0013037499278223607,0.001347652784349652,5
hadamard_paired+pairwise,0.1,0,0.003,0.00389850287221336,0.003976846960819543,5
hadamard_paired+pairwise,0.1,0,0.01,0.012836885483072302,0.012954779958259357,5
hadamard_paired+pairwise,0.1,0,0.03,0.03731015117379269,0.03836816069587521,5
hadamard_paired+pairwise,0.1,0,0.1,0.11170889640677872,0.12460121872546728,5
hadamard_paired+pairwise,0.1,0,0.3,0.25596533514577935,0.3398238868004245,5
hadamard_paired+pairwise,0.1,0,1.0,0.4547600164002845,0.8219425734812752,5
hadamard_paired+pairwise,0.1,0,3.0,0.5528703755187727,1.22175782324346,5
hadamard_paired+pairwise,0.1,0,10.0,0.5648398299230271,1.2830533708675067,5
hadamard_paired+pairwise,0.1,1,0.001,0.0012982789349317405,0.0013481371422403277,5
hadamard_paired+pairwise,0.1,1,0.003,0.003883098277345111,0.003981836053994558,5
hadamard_paired+pairwise,0.1,1,0.01,0.012792001782249244,0.012925230253936493,5
hadamard_paired+pairwise,0.1,1,0.03,0.03719044002736522,0.03818023102779102,5
hadamard_paired+pairwise,0.1,1,0.1,0.11127110612416177,0.1239249750224142,5
hadamard_paired+pairwise,0.1,1,0.3,0.25595245834202,0.33826224678569095,5
hadamard_paired+pairwise,0.1,1,1.0,0.4583289681442763,0.8173377331079317,5
hadamard_paired+pairwise,0.1,1,3.0,0.559126223268271,1.2152960420309111,5
hadamard_paired+pairwise,0.1,1,10.0,0.571370647439412,1.278568282555684,5
hadamard_paired+pairwise,0.1,2,0.001,0.0014921579774339311,0.001532841200588031,5
hadamard_paired+pairwise,0.1,2,0.003,0.004458035522007784,0.004537337399889533,5
hadamard_paired+pairwise,0.1,2,0.01,0.01464731502899443,0.014812306206554115,5
hadamard_paired+pairwise,0.1,2,0.03,0.04236392809461727,0.04391000464056368,5
hadamard_paired+pairwise,0.1,2,0.1,0.12538142160368618,0.14253386805345392,5
hadamard_paired+pairwise,0.1,2,0.3,0.28302844280645884,0.3888415410250323,5
