basis,correction,reference_period,rho,sigma_a,seed,object,num_frames,reference_frames,total_physical_frames,num_coefficients,num_pixels,shard,unit_index,mse,rel_mse,psnr,recon_scale,gain_rel_mse,gain_corr,gain_scale
random_uniform,agc,0,0.001,0.05,0,2,2048,0,2048,2048,1024,0/1,2,0.025225836046313514,0.35698241003067305,15.981544312641478,0.6794746745970844,6.76430863677524e-05,0.9625669121742249,0.9999858140945435
random_uniform,scgi_proxy,0,0.001,0.05,0,2,2048,0,2048,2048,1024,0/1,2,0.025228783191281367,0.35702411643482956,15.981036954220107,0.6794612441194492,6.769844185328111e-05,0.9625570178031921,0.9999845027923584
random_uniform,reference_k2,2,0.001,0.05,0,2,2048,1025,3073,2048,1024,0/1,2,0.02417341355481243,0.34208909522846864,16.166620180515185,0.6867768228245175,1.2094485555280698e-06,0.9993407726287842,0.9999997615814209
random_uniform,none,0,0.001,0.05,1,0,2048,0,2048,2048,1024,0/1,3,0.03218574437864133,0.38069052714850854,14.92336442234934,0.5814182492056826,,,
random_uniform,oracle,0,0.001,0.05,1,0,2048,0,2048,2048,1024,0/1,3,0.025759009280073315,0.3046755950799727,15.890708444361145,0.6581279509504487,0.0,1.0000001192092896,1.0
random_uniform,agc,0,0.001,0.05,1,0,2048,0,2048,2048,1024,0/1,3,0.026402713484171437,0.3122892792596198,15.783514371209312,0.6544396619283505,6.03535445407033e-05,0.9396557807922363,0.99998939037323
random_uniform,scgi_proxy,0,0.001,0.05,1,0,2048,0,2048,2048,1024,0/1,3,0.026408607587232107,0.3123589942606102,15.782544966773402,0.6543874789599581,6.041303277015686e-05,0.9396046996116638,0.9999890327453613
random_uniform,reference_k2,2,0.001,0.05,1,0,2048,1025,3073,2048,1024,0/1,3,0.025761963802567966,0.30471054094646344,15.890210343203222,0.6575758880036979,1.2683635759458411e-06,0.9987649917602539,0.9999994039535522
random_uniform,none,0,0.001,0.05,1,1,2048,0,2048,2048,1024,0/1,4,0.03321283566500345,0.4164373768239229,14.786940433691072,0.5753981739966105,,,
random_uniform,oracle,0,0.001,0.05,1,1,2048,0,2048,2048,1024,0/1,4,0.026422563193892776,0.3312979059184436,15.780250547393441,0.6669651206213225,0.0,1.0000001192092896,1.0
random_uniform,agc,0,0.001,0.05,1,1,2048,0,2048,2048,1024,0/1,4,0.027310816191122342,0.34243521896973583,15.636653206583668,0.6556722143930639,5.927945312578231e-05,0.9406042098999023,0.9999938011169434
random_uniform,scgi_proxy,0,0.001,0.05,1,1,2048,0,2048,2048,1024,0/1,4,0.02731132641335578,0.3424416163641238,15.636572072197515,0.65565198311659,5.915758083574474e-05,0.9407105445861816,0.9999943971633911
random_uniform,reference_k2,2,0.001,0.05,1,1,2048,1025,3073,2048,1024,0/1,4,0.026423258659530907,0.33130662597742727,15.780136238682395,0.666673730458377,1.2683635759458411e-06,0.9987649917602539,0.9999994039535522
random_uniform,none,0,0.001,0.05,1,2,2048,0,2048,2048,1024,0/1,5,0.03144565524463028,0.4450019326856873,15.024393512880375,0.5727554634875043,,,
random_uniform,oracle,0,0.001,0.05,1,2,2048,0,2048,2048,1024,0/1,5,0.024180616263481294,0.34219102407216045,16.16532634971575,0.6871310913574269,0.0,1.0000001192092896,1.0
random_uniform,agc,0,0.001,0.05,1,2,2048,0,2048,2048,1024,0/1,5,0.025195171997714007,0.35654846897316944,15.986826725373005,0.6751247393810431,5.8441433793632314e-05,0.9415484070777893,0.9999912977218628
random_uniform,scgi_proxy,0,0.001,0.05,1,2,2048,0,2048,2048,1024,0/1,5,0.025191712143836385,0.3564995069893795,15.987423148618937,0.6751642665317583,5.827131462865509e-05,0.9417359828948975,0.9999910593032837
random_uniform,reference_k2,2,0.001,0.05,1,2,2048,1025,3073,2048,1024,0/1,5,0.024221775978540784,0.34277349413385183,16.157940168740907,0.6863311001560043,1.2683635759458411e-06,0.9987649917602539,0.9999994039535522
