method,photon_budget,gain_rel_mse_mean,gain_rel_mse_std,gain_rel_mse_count,log_gain_mse_mean,log_gain_mse_std,lambda_bar_mean,zero_fraction_mean,fisher_reference_mean
naive_log,128.0,0.0002788525348997174,5.1325891271420756e-05,50,0.0002803469886157713,5.061931849387923e-05,128.00139923095702,0.0,0.0001220689782812546
soft_log,0.25,0.005349218576471878,0.0016592228683455052,50,0.005175882025746209,0.0014066587470483334,0.25000273287296293,0.783857421875,0.062499316880002355
soft_log,0.5,0.006943615646645054,0.0016207249727090427,50,0.006786395646857157,0.0012647861990443751,0.5000054657459259,0.611796875,0.031249658440001177
soft_log,1.0,0.009561838327164902,0.0016931980260254404,50,0.009674685510094008,0.0013691500153369756,1.0000109314918517,0.369423828125,0.015624829220000589
soft_log,2.0,0.008447255654392785,0.0015712222705968487,50,0.008980570013693156,0.0017859144876495407,2.0000218629837034,0.13673828125,0.007812414610000294
soft_log,4.0,0.005450846156441436,0.0012638830345645992,50,0.005765202761921087,0.0016064370540925766,4.000043725967407,0.022607421875,0.003906207305000147
soft_log,8.0,0.0024801924613354134,0.0003998261161282987,50,0.0024901392499567724,0.0004043229920273303,8.000087451934814,0.000302734375,0.0019531036525000736
soft_log,16.0,0.001407576697441947,0.0002636652786616245,50,0.0014177330524298873,0.0002632750940622573,16.000174903869627,0.0,0.0009765518262500368
soft_log,32.0,0.0007089236192173585,0.00013388410167945294,50,0.0007219589157437663,0.00013554122972082101,32.000349807739255,0.0,0.0004882759131250184
soft_log,64.0,0.00046780022048273666,0.00012796677328490174,50,0.0004669405535103349,0.0001234948377800026,64.00069961547851,0.0,0.0002441379565625092
soft_log,128.0,0.00027775119640840383,5.09053501813738e-05,50,0.0002791915155308139,5.025769716067633e-05,128.00139923095702,0.0,0.0001220689782812546
soft_log_calibrated,0.25,0.06459963430636068,0.012685215865534252,50,0.0695237964481969,0.010066840430270927,0.25000273287296293,0.783857421875,0.062499316880002355
soft_log_calibrated,0.5,0.033907281303333266,0.00752730632353386,50,0.03810671944223047,0.011984254812721591,0.5000054657459259,0.611796875,0.031249658440001177
soft_log_calibrated,1.0,0.020493951017654846,0.0037746115443132674,50,0.022203173415331675,0.003564884940808516,1.0000109314918517,0.369423828125,0.015624829220000589
soft_log_calibrated,2.0,0.010479203422321953,0.00193914048394171,50,0.011657178417816138,0.002768704500041922,2.0000218629837034,0.13673828125,0.007812414610000294
soft_log_calibrated,4.0,0.005511447567616784,0.0012796697517869847,50,0.0058636706445283696,0.0017089340846490875,4.000043725967407,0.022607421875,0.003906207305000147
soft_log_calibrated,8.0,0.0024722952872718645,0.00039891358324897145,50,0.002481936275803291,0.0004031042063297676,8.000087451934814,0.000302734375,0.0019531036525000736
soft_log_calibrated,16.0,0.0014065008963532017,0.0002635277261594483,50,0.0014165803141542247,0.0002630823298366081,16.000174903869627,0.0,0.0009765518262500368
soft_log_calibrated,32.0,0.0007088483804915184,0.0001338809621072299,50,0.0007218827596402569,0.00013554141328745364,32.000349807739255,0.0,0.0004882759131250184
soft_log_calibrated,64.0,0.0004677843528891237,0.00012796109171160785,50,0.00046692415675685263,0.0001234891730539996,64.00069961547851,0.0,0.0002441379565625092
soft_log_calibrated,128.0,0.00027774980545611444,5.090481131938235e-05,50,0.00027919003809554,5.025721341302047e-05,128.00139923095702,0.0,0.0001220689782812546
soft_log_calibrated_carrier,0.25,0.06438953949883058,0.01260049012460006,50,0.06950140088352129,0.010060356243319602,0.25000273287296293,0.783857421875,0.062499316880002355
soft_log_calibrated_carrier,0.5,0.033881762965546805,0.007555700057399012,50,0.03818707851532153,0.012190288302084098,0.5000054657459259,0.611796875,0.031249658440001177
soft_log_calibrated_carrier,1.0,0.02040522653947512,0.0037626925049990276,50,0.022175120945841963,0.003679535328684496,1.0000109314918517,0.369423828125,0.015624829220000589
soft_log_calibrated_carrier,2.0,0.010378831497312255,0.0019970835487621774,50,0.01157855353740366,0.0028672335253445303,2.0000218629837034,0.13673828125,0.007812414610000294
soft_log_calibrated_carrier,4.0,0.005466509115800858,0.0012273741004715528,50,0.005822618863681126,0.0016201805154328153,4.000043725967407,0.022607421875,0.003906207305000147
soft_log_calibrated_carrier,8.0,0.0023827535709206225,0.00032235454504248804,50,0.002398232191532131,0.00033430954776586324,8.000087451934814,0.000302734375,0.0019531036525000736
soft_log_calibrated_carrier,16.0,0.001355656593589832,0.0002378560867291503,50,0.0013711962525028334,0.00024000994852965064,16.000174903869627,0.0,0.0009765518262500368
soft_log_calibrated_carrier,32.0,0.0006684395001741873,0.00011299062255874913,50,0.0006835920246690841,0.00011645104015756,32.000349807739255,0.0,0.0004882759131250184
soft_log_calibrated_carrier,64.0,0.0004284066162469542,0.00010888019735563948,50,0.0004300415745506791,0.00010670666061131683,64.00069961547851,0.0,0.0002441379565625092
soft_log_calibrated_carrier,128.0,0.00024154725428178695,3.7990166932411654e-05,50,0.0002445774263180509,3.847655317753191e-05,128.00139923095702,0.0,0.0001220689782812546
