object,object_source,variant,cnr,psnr,ssim,scale_aligned_psnr,affine_aligned_psnr,affine_offset,affine_slope,recon_min,recon_max,recon_mean,pattern_factor,num_patterns
heldout_1,mnist,raw,1.3334981203079224,9.33291244506836,0.6953776478767395,10.714336395263672,11.246909141540527,0.14455144189163863,2958.1989798609065,-0.00016570091247558594,0.00018268823623657227,7.350536179728806e-09,0.25,4096
heldout_1,mnist,minmax,1.3334983587265015,7.304075241088867,0.05367660894989967,10.690570831298828,11.246909141540527,-0.345624828438618,1.0306340414536086,0.0,0.9999712705612183,0.475627601146698,0.25,4096
heldout_2,mnist,raw,1.3661882877349854,9.358011245727539,0.6902315616607666,10.785537719726562,11.323814392089844,0.1451417101146521,2980.0588404103446,-0.00016748905181884766,0.0002148151397705078,6.919617590028793e-08,0.25,4096
heldout_2,mnist,minmax,1.3661882877349854,7.925941467285156,0.05304620414972305,10.742144584655762,11.323814392089844,-0.35398551911406834,1.1393188207135143,0.0,0.9999738335609436,0.43827366828918457,0.25,4096
heldout_3,mnist,raw,1.4483535289764404,11.090073585510254,0.7245248556137085,12.475339889526367,12.849409103393555,0.1073409005469516,2200.3130729086697,-0.00022521615028381348,0.0002187788486480713,3.8078906072769314e-07,0.25,4096
heldout_3,mnist,minmax,1.4483537673950195,6.716050624847412,0.05565699189901352,12.172102928161621,12.849409103393555,-0.3882051395982183,0.9769500304547547,0.0,0.9999774694442749,0.5080955028533936,0.25,4096
letter_A,handcrafted,raw,2.3799641132354736,10.72955322265625,0.8336068987846375,13.169318199157715,13.205631256103516,0.08922166643077865,3035.8718726964066,-0.00017213821411132812,0.00024074316024780273,-5.21064066560939e-07,0.5,8192
letter_A,handcrafted,minmax,2.3799641132354736,7.959498405456543,0.05704495310783386,11.707794189453125,13.205631256103516,-0.433367895994574,1.2534853447345964,0.0,0.9999757409095764,0.4156472086906433,0.5,8192
stripe_target,handcrafted,raw,1.762588620185852,6.722498416900635,0.5501173734664917,9.002622604370117,9.735965728759766,0.21040071642098612,7184.21067714972,-0.00011655688285827637,0.00013309717178344727,3.210934664821252e-07,0.5,8192
stripe_target,handcrafted,minmax,1.7625890970230103,7.285459041595459,0.14724689722061157,8.543623924255371,9.735965728759766,-0.6269684871286835,1.7936392540087727,0.0,0.9999598860740662,0.46814095973968506,0.5,8192
letter_L,handcrafted,raw,2.5583176612854004,10.561457633972168,0.8535277843475342,13.122248649597168,13.12085247039795,0.08812206321575021,3072.3324720388946,-0.00018215179443359375,0.00024828314781188965,-7.532980816904455e-08,0.5,8192
letter_L,handcrafted,minmax,2.5583183765411377,7.782566070556641,0.04869464784860611,11.509634017944336,13.120851516723633,-0.4715088100386075,1.3224700100903843,0.0,0.9999767541885376,0.422995924949646,0.5,8192
ring,handcrafted,raw,2.112039804458618,8.824429512023926,0.7679228782653809,11.263113021850586,11.50649642944336,0.13169599819127553,4478.492168805921,-0.0001412034034729004,0.00019660592079162598,-1.3229509931989014e-07,0.5,8192
ring,handcrafted,minmax,2.112039804458618,7.9136247634887695,0.0666501373052597,10.117265701293945,11.50649642944336,-0.5006823381974328,1.5129212504344955,0.0,0.9999703764915466,0.4175933599472046,0.5,8192
heldout_0,mnist,raw,2.1165645122528076,11.803580284118652,0.7195096015930176,14.19416618347168,14.463085174560547,0.09831085116114657,3373.8580813907065,-0.00011986494064331055,0.0001703798770904541,-2.0636434783227742e-07,0.5,8192
heldout_0,mnist,minmax,2.116564989089966,8.635583877563477,0.08046562969684601,13.23311710357666,14.463085174560547,-0.30609644739426006,0.9792786017654976,0.0,0.999965488910675,0.4122534990310669,0.5,8192
heldout_1,mnist,raw,1.8306328058242798,9.332902908325195,0.6953781247138977,11.657074928283691,12.129134178161621,0.14382313101539498,4965.346747069964,-0.00012296438217163086,0.00014415383338928223,1.5105797501746565e-07,0.5,8192
heldout_1,mnist,minmax,1.8306330442428589,7.795110702514648,0.07023386657238007,10.907991409301758,12.129134178161621,-0.46673766357329877,1.3263842735511209,0.0,0.9999625086784363,0.4608851671218872,0.5,8192
heldout_2,mnist,raw,1.8559060096740723,9.357995986938477,0.6902337074279785,11.696975708007812,12.194740295410156,0.1454983137317613,4926.4430323077095,-0.00013062357902526855,0.00014600157737731934,-3.052809915971011e-08,0.5,8192
heldout_2,mnist,minmax,1.855905532836914,7.640745639801025,0.07087669521570206,10.926827430725098,12.194740295410156,-0.4980113066230452,1.3628273957497994,0.0,0.9999638199806213,0.4720768332481384,0.5,8192
heldout_3,mnist,raw,2.014284133911133,11.09006404876709,0.7245237827301025,13.493623733520508,13.780640602111816,0.10749359161657979,3735.834010125287,-0.0001283586025238037,0.00018107891082763672,1.8340324459131807e-07,0.5,8192
heldout_3,mnist,minmax,2.0142838954925537,8.568943977355957,0.07860304415225983,12.499889373779297,13.780640602111816,-0.3720328408647948,1.1560445875365855,0.0,0.999967634677887,0.4153919219970703,0.5,8192
letter_A,handcrafted,raw,3.3095343112945557,10.729561805725098,0.8336079120635986,14.91065502166748,14.757993698120117,0.08938976465073763,4538.0746923816905,-0.0001264512538909912,0.0001977980136871338,-3.856221155729145e-07,1.0,16384
letter_A,handcrafted,minmax,3.3095343112945557,8.75987720489502,0.0726742148399353,12.00020980834961,14.757993698120117,-0.48445547076005824,1.4715128301587757,0.0,0.9999691247940063,0.3887803256511688,1.0,16384
letter_A,handcrafted,hadamard_exact,14.716981887817383,80.0,1.0,80.0,80.0,-9.851664197997698e-09,1.0000000412417767,0.0,1.0,0.08763979375362396,1.0,32768
stripe_target,handcrafted,raw,2.4917945861816406,6.722494125366211,0.5501176714897156,10.42665958404541,11.2125244140625,0.21050263224345608,10794.332832561253,-9.09268856048584e-05,9.611248970031738e-05,2.0426341507118195e-07,1.0,16384
stripe_target,handcrafted,minmax,2.4917948246002197,7.457932472229004,0.19022417068481445,8.843147277832031,11.2125244140625,-0.7709924333945645,2.0190731816205747,0.0,0.9999465346336365,0.4872037172317505,1.0,16384
stripe_target,handcrafted,hadamard_exact,199999984.0,80.0,1.0,80.0,80.0,5.083417410969847e-16,0.999999999999998,0.0,1.0,0.21270751953125,1.0,32768
letter_L,handcrafted,raw,3.548189640045166,10.561445236206055,0.8535287380218506,14.83298397064209,14.647405624389648,0.08897374666508587,4582.729943886944,-0.00013378262519836426,0.00021126866340637207,-2.3634856916032732e-07,1.0,16384
