sigma_a,object,rho,rel_mse,K_eff,D_H,pred_rel_mse,ratio_measured_over_pred
0.3,0,0.00298499,0.03392243987524926,256.3624220382574,0.9938941713593432,0.03417447747315438,0.9926249758140968
0.3,0,0.003,0.03408712377427451,256.3624220382574,0.9938941713593432,0.03434606593916277,0.9924607911326169
0.3,0,0.00445509,0.04978203983297381,256.3624220382574,0.9938941713593432,0.05096786644663333,0.976733838468574
0.3,0,0.0066492,0.07247995271168431,256.3624220382574,0.9938941713593432,0.07598596168709101,0.9538597801809182
0.3,0,0.0099239,0.10436369296806028,256.3624220382574,0.9938941713593432,0.11322341180225456,0.9217501160478379
0.3,0,0.01,0.10507806387382781,256.3624220382574,0.9938941713593432,0.11408731535590108,0.9210319617569362
0.3,0,0.0148114,0.14800198576886045,256.3624220382574,0.9938941713593432,0.16857409987440578,0.8779639688370139
0.3,0,0.0221059,0.205629606691104,256.3624220382574,0.9938941713593432,0.25068239320474084,0.8202794143709937
0.3,0,0.03,0.25963006636036734,256.3624220382574,0.9938941713593432,0.33886767810988555,0.7661694612142277
0.3,0,0.032993,0.27817782387958967,256.3624220382574,0.9938941713593432,0.3721210084225033,0.7475466785894247
0.3,0,0.0492418,0.36410801569308343,256.3624220382574,0.9938941713593432,0.550924516128909,0.6609036356768102
0.3,0,0.0734932,0.45872565570358,256.3624220382574,0.9938941713593432,0.8124433158371859,0.5646248135242322
0.3,0,0.1,0.532892349285107,256.3624220382574,0.9938941713593432,1.0911218189651428,0.48838941722430246
0.3,0,0.109688,0.5547801604692667,256.3624220382574,0.9938941713593432,1.191147077226895,0.4657528621577516
0.3,0,0.163709,0.644547977057434,256.3624220382574,0.9938941713593432,1.7314720560399743,0.37225433399807256
0.3,0,0.244335,0.722214092602085,256.3624220382574,0.9938941713593432,2.4855116206119594,0.29056959002439436
0.3,0,0.3,0.7563192326848563,256.3624220382574,0.9938941713593432,2.9717446569414094,0.25450343821372534
0.3,0,0.36467,0.7850285578179504,256.3624220382574,0.9938941713593432,3.503674436772672,0.22405864813771373
0.3,0,0.544268,0.8329106551279557,256.3624220382574,0.9938941713593432,4.812611199782372,0.17306834492793022
0.3,0,0.812317,0.8673998283651037,256.3624220382574,0.9938941713593432,6.3769899977694156,0.13602025856532757
0.3,0,1.0,0.8807595827964594,256.3624220382574,0.9938941713593432,7.247812319919044,0.1215207491474196
0.3,0,1.21238,0.8907560823118674,256.3624220382574,0.9938941713593432,8.054906707761132,0.11058552440509317
0.3,0,1.80947,0.9053749342314606,256.3624220382574,0.9938941713593432,9.5884383895636,0.09442360658195428
0.3,0,2.70063,0.9134519724676469,256.3624220382574,0.9938941713593432,10.695785881664447,0.08540297857248225
0.3,0,3.0,0.9147404404974167,256.3624220382574,0.9938941713593432,10.895018199048412,0.08395951468693384
0.3,0,4.03068,0.917003280635495,256.3624220382574,0.9938941713593432,11.262210640203227,0.08142302696435338
0.3,0,6.01577,0.9180381135926201,256.3624220382574,0.9938941713593432,11.437893899413483,0.08026286322167192
0.3,0,8.9785,0.9181918392523366,256.3624220382574,0.9938941713593432,11.464424513153485,0.08009053033572396
0.3,0,10.0,0.9181971869530742,256.3624220382574,0.9938941713593432,11.465349716167726,0.0800845338069618
0.3,0,13.4004,0.9182000999148421,256.3624220382574,0.9938941713593432,11.465852900374228,0.08008127331590599
0.3,0,20.0,0.9182001994069342,256.3624220382574,0.9938941713593432,11.465870242239543,0.08008116087205859
0.5,0,0.001,0.031671408345434346,256.3624220382574,0.9938941713593432,0.031833720114555306,0.9949012629206743
0.5,0,0.002,0.06143341773665896,256.3624220382574,0.9938941713593432,0.06363562242055336,0.9653935233108819
0.5,0,0.00298499,0.08901385515239797,256.3624220382574,0.9938941713593432,0.0949291040920955,0.937687719732835
0.5,0,0.003,0.08942152986685736,256.3624220382574,0.9938941713593432,0.09540573871989659,0.9372762169935251
0.5,0,0.00445509,0.12727416184673196,256.3624220382574,0.9938941713593432,0.1415774067962037,0.898972263490736
0.5,0,0.0066492,0.17871311933305842,256.3624220382574,0.9938941713593432,0.21107211579747504,0.8466922248722552
0.5,0,0.0099239,0.2450527152147881,256.3624220382574,0.9938941713593432,0.31450947722848493,0.779158444998979
0.5,0,0.01,0.24646635826408128,256.3624220382574,0.9938941713593432,0.3169092093219475,0.7777191416791444
0.5,0,0.0148114,0.32617726116323376,256.3624220382574,0.9938941713593432,0.4682613885400161,0.6965709092099523
0.5,0,0.0221059,0.4191367014811056,256.3624220382574,0.9938941713593432,0.6963399811242801,0.6019138823601451
0.5,0,0.03,0.49436602182445694,256.3624220382574,0.9938941713593432,0.9412991058607934,0.5251954652313965
0.5,0,0.032993,0.5179635256016469,256.3624220382574,0.9938941713593432,1.0336694678402871,0.501092023820595
0.5,0,0.0492418,0.6148809951215337,256.3624220382574,0.9938941713593432,1.5303458781358585,0.40179217254502697
0.5,0,0.0734932,0.7025561288526333,256.3624220382574,0.9938941713593432,2.2567869884366276,0.3113081263107263
0.5,0,0.1,0.7605354447840444,256.3624220382574,0.9938941713593432,3.0308939415698415,0.2509277656842481
0.5,0,0.109688,0.7761456952990806,256.3624220382574,0.9938941713593432,3.30874188118582,0.23457426513455254
0.5,0,0.163709,0.834115463082718,256.3624220382574,0.9938941713593432,4.8096446001110404,0.17342559220767803
