arm,sigma_a,rho,object,rel_mse,psnr,gain_rel_mse,n
hadamard_paired+pairwise,0.05,0.1,5,0.03881783357651737,23.484427724471594,,5
hadamard_paired+pairwise,0.05,0.1,6,0.04084711590571366,22.64784312890108,,5
hadamard_paired+pairwise,0.05,0.1,7,0.046579803697353074,22.235627902874715,,5
hadamard_paired+pairwise,0.05,0.1,8,0.04399527256764615,23.02491364393814,,5
hadamard_paired+pairwise,0.05,0.1,9,0.03599159331220153,25.43686833083897,,5
hadamard_paired+pairwise,0.05,0.109688,0,0.03310874681743997,25.53142349986629,,5
hadamard_paired+pairwise,0.05,0.109688,1,0.03296468307019107,25.803131845047083,,5
hadamard_paired+pairwise,0.05,0.109688,2,0.03765949457504812,25.750654734016223,,5
hadamard_paired+pairwise,0.05,0.109688,3,0.03641777421735877,24.644980745027233,,5
hadamard_paired+pairwise,0.05,0.109688,4,0.03024628081891923,29.705358448479764,,5
hadamard_paired+pairwise,0.05,0.109688,5,0.0422475406919411,23.11675833343391,,5
hadamard_paired+pairwise,0.05,0.109688,6,0.044454593234435,22.280363813421268,,5
hadamard_paired+pairwise,0.05,0.109688,7,0.050655256191883394,21.871393847315364,,5
hadamard_paired+pairwise,0.05,0.109688,8,0.04785048274952512,22.660128789034005,,5
hadamard_paired+pairwise,0.05,0.109688,9,0.03918026478663085,25.068193175076832,,5
hadamard_paired+pairwise,0.05,0.163709,0,0.047502506273721073,23.963954641284765,,5
hadamard_paired+pairwise,0.05,0.163709,1,0.04731255940292497,24.23395029771541,,5
hadamard_paired+pairwise,0.05,0.163709,2,0.053957403778410164,24.18908561056983,,5
hadamard_paired+pairwise,0.05,0.163709,3,0.05220731836700915,23.081158405871673,,5
hadamard_paired+pairwise,0.05,0.163709,4,0.043473335343358274,28.129978887126253,,5
hadamard_paired+pairwise,0.05,0.163709,5,0.06038890986577074,21.565386370431906,,5
hadamard_paired+pairwise,0.05,0.163709,6,0.06352889075453695,20.73020853656604,,5
hadamard_paired+pairwise,0.05,0.163709,7,0.07212218523930933,20.337149945202913,,5
hadamard_paired+pairwise,0.05,0.163709,8,0.0681580570256716,21.123943395878264,,5
hadamard_paired+pairwise,0.05,0.163709,9,0.056074873462528985,23.51115608060444,,5
hadamard_paired+pairwise,0.05,0.244335,0,0.06689483140454273,22.47746028774963,,5
hadamard_paired+pairwise,0.05,0.244335,1,0.06669311195561019,22.74300197052249,,5
hadamard_paired+pairwise,0.05,0.244335,2,0.07587468062200883,22.70887213054407,,5
hadamard_paired+pairwise,0.05,0.244335,3,0.07343211691209851,21.599955891164335,,5
hadamard_paired+pairwise,0.05,0.244335,4,0.061387887705769015,26.631518896545032,,5
hadamard_paired+pairwise,0.05,0.244335,5,0.08462432100447256,20.10022961854666,,5
hadamard_paired+pairwise,0.05,0.244335,6,0.08897823550740762,19.26752250055628,,5
hadamard_paired+pairwise,0.05,0.244335,7,0.10059488540221366,18.89234398543875,,5
hadamard_paired+pairwise,0.05,0.244335,8,0.09508693824423325,19.678045769017228,,5
hadamard_paired+pairwise,0.05,0.244335,9,0.07873365288189979,22.037243781773316,,5
hadamard_paired+pairwise,0.05,0.3,0,0.07897977556677338,21.756314879637415,,5
hadamard_paired+pairwise,0.05,0.3,1,0.07880068754361476,22.01854214807618,,5
hadamard_paired+pairwise,0.05,0.3,2,0.08950373934692077,21.991535716115877,,5
hadamard_paired+pairwise,0.05,0.3,3,0.08663184023052718,20.88215404175504,,5
hadamard_paired+pairwise,0.05,0.3,4,0.07260230722873781,25.90287423788005,,5
hadamard_paired+pairwise,0.05,0.3,5,0.09959911115345901,19.392721914923854,,5
hadamard_paired+pairwise,0.05,0.3,6,0.10467363708738534,18.562178671562155,,5
hadamard_paired+pairwise,0.05,0.3,7,0.11808394201370372,18.19633522801007,,5
hadamard_paired+pairwise,0.05,0.3,8,0.11162257089002132,18.981776790772308,,5
hadamard_paired+pairwise,0.05,0.3,9,0.09279277119486676,21.32371575318094,,5
hadamard_paired+pairwise,0.05,0.36467,0,0.09183542202181308,21.101399924073746,,5
hadamard_paired+pairwise,0.05,0.36467,1,0.0917039014580984,21.359976129605982,,5
hadamard_paired+pairwise,0.05,0.36467,2,0.10397240296340331,21.34083476338113,,5
hadamard_paired+pairwise,0.05,0.36467,3,0.10065162186405865,20.230758039713855,,5
hadamard_paired+pairwise,0.05,0.36467,4,0.08457081104919786,25.240159389230083,,5
hadamard_paired+pairwise,0.05,0.36467,5,0.11541640927965455,18.752660215360685,,5
hadamard_paired+pairwise,0.05,0.36467,6,0.12121944984555806,17.924963528158145,,5
hadamard_paired+pairwise,0.05,0.36467,7,0.13647417692450184,17.567861817652346,,5
hadamard_paired+pairwise,0.05,0.36467,8,0.12900759689529556,18.353154225799603,,5
hadamard_paired+pairwise,0.05,0.36467,9,0.10769490706725841,20.67691411600163,,5
hadamard_paired+pairwise,0.05,0.544268,0,0.12191494801200771,19.87080191220692,,5
hadamard_paired+pairwise,0.05,0.544268,1,0.12197855261951873,20.12103143097019,,5
hadamard_paired+pairwise,0.05,0.544268,2,0.13769389303568072,20.120879107625775,,5
hadamard_paired+pairwise,0.05,0.544268,3,0.13337643930183712,19.007992945412234,,5
hadamard_paired+pairwise,0.05,0.544268,4,0.1127234912090406,23.992049606076726,,5
hadamard_paired+pairwise,0.05,0.544268,5,0.1519760685287613,17.55760339191943,,5
hadamard_paired+pairwise,0.05,0.544268,6,0.15930279074156944,16.738571784019083,,5
hadamard_paired+pairwise,0.05,0.544268,7,0.17864343029249272,16.398680202832868,,5
hadamard_paired+pairwise,0.05,0.544268,8,0.16888093720624267,17.18345067128529,,5
hadamard_paired+pairwise,0.05,0.544268,9,0.14234809452851507,19.465388371553423,,5
hadamard_paired+pairwise,0.05,0.812317,0,0.15513387493233846,18.824029971885032,,5
hadamard_paired+pairwise,0.05,0.812317,1,0.155540776431215,19.065554376552633,,5
hadamard_paired+pairwise,0.05,0.812317,2,0.17470781066258462,19.08680029790231,,5
hadamard_paired+pairwise,0.05,0.812317,3,0.16940928257801696,17.968997225094533,,5
hadamard_paired+pairwise,0.05,0.812317,4,0.14406902533822605,22.926277350258413,,5
hadamard_paired+pairwise,0.05,0.812317,5,0.19167799961844428,16.549628493976247,,5
hadamard_paired+pairwise,0.05,0.812317,6,0.20036428648467833,15.742633127474466,,5
hadamard_paired+pairwise,0.05,0.812317,7,0.2238362880452042,15.419313185425978,,5
hadamard_paired+pairwise,0.05,0.812317,8,0.2116955755024828,16.202118416816326,,5
hadamard_paired+pairwise,0.05,0.812317,9,0.18030019013650017,18.439115271350133,,5
hadamard_paired+pairwise,0.05,1.0,0,0.17242207002966028,18.365039818909835,,5
hadamard_paired+pairwise,0.05,1.0,1,0.17306428079556407,18.60207896499487,,5
hadamard_paired+pairwise,0.05,1.0,2,0.19387521741765745,18.634654628695138,,5
hadamard_paired+pairwise,0.05,1.0,3,0.18812186480667106,17.5137697395186,,5
hadamard_paired+pairwise,0.05,1.0,4,0.16050304070829072,22.457111560672608,,5
hadamard_paired+pairwise,0.05,1.0,5,0.21209830875436234,16.11002971106115,,5
hadamard_paired+pairwise,0.05,1.0,6,0.22136399175598237,15.309812445006298,,5
hadamard_paired+pairwise,0.05,1.0,7,0.246795032983898,14.995244236242026,,5
hadamard_paired+pairwise,0.05,1.0,8,0.2335180610038591,15.776073614986748,,5
hadamard_paired+pairwise,0.05,1.0,9,0.19994413478137374,17.990167469469434,,5
hadamard_paired+pairwise,0.05,1.21238,0,0.18772601034490757,17.995637070006104,,5
hadamard_paired+pairwise,0.05,1.21238,1,0.18861072575808357,18.228681128092735,,5
hadamard_paired+pairwise,0.05,1.21238,2,0.21078738424774382,18.271414157884468,,5
hadamard_paired+pairwise,0.05,1.21238,3,0.20466114691498288,17.147668022459346,,5
hadamard_paired+pairwise,0.05,1.21238,4,0.17512891613009904,22.078392210825164,,5
hadamard_paired+pairwise,0.05,1.21238,5,0.23005522259707054,15.757169799267865,,5
hadamard_paired+pairwise,0.05,1.21238,6,0.2397738630808332,14.962933675470946,,5
hadamard_paired+pairwise,0.05,1.21238,7,0.26679859052241484,14.656740415265181,,5
hadamard_paired+pairwise,0.05,1.21238,8,0.25259288865228813,15.435133558551104,,5
hadamard_paired+pairwise,0.05,1.21238,9,0.21728776314428516,17.629108395170086,,5
hadamard_paired+pairwise,0.05,1.80947,0,0.2150403193559348,17.405601170005962,,5
hadamard_paired+pairwise,0.05,1.80947,1,0.21642699603427767,17.631672713782148,,5
hadamard_paired+pairwise,0.05,1.80947,2,0.24083588440000003,17.692696593755457,,5
hadamard_paired+pairwise,0.05,1.80947,3,0.23409666036996296,16.56396468889909,,5
hadamard_paired+pairwise,0.05,1.80947,4,0.20143249641761307,21.470873286857387,,5
hadamard_paired+pairwise,0.05,1.80947,5,0.26185496587761353,15.195132619746706,,5
hadamard_paired+pairwise,0.05,1.80947,6,0.2722924411605265,14.410769790633562,,5
hadamard_paired+pairwise,0.05,1.80947,7,0.3017308802836067,14.12226550731335,,5
hadamard_paired+pairwise,0.05,1.80947,8,0.2860939203797525,14.894409887469171,,5
hadamard_paired+pairwise,0.05,1.80947,9,0.2481749276741752,17.052324355924014,,5
hadamard_paired+pairwise,0.05,2.70063,0,0.23345878645421442,17.048699186405045,,5
hadamard_paired+pairwise,0.05,2.70063,1,0.23520819564023426,17.27060379554022,,5
hadamard_paired+pairwise,0.05,2.70063,2,0.2609837183881107,17.343872320935883,,5
hadamard_paired+pairwise,0.05,2.70063,3,0.2538511467133725,16.212168239268635,,5
hadamard_paired+pairwise,0.05,2.70063,4,0.21932025747664635,21.101609849371542,,5
hadamard_paired+pairwise,0.05,2.70063,5,0.28312591293298334,14.856148670807432,,5
hadamard_paired+pairwise,0.05,2.70063,6,0.29403317740518825,14.077283149838957,,5
hadamard_paired+pairwise,0.05,2.70063,7,0.32468804245190674,13.803692317937498,,5
