unit_index,K,p,N,offset,seed,object_kind,shard,rank_J,expected_rank,local_identifiable,rank_deficit,sv_smallest_informative_ratio,sv_gauge_ratio,rank_threshold,solver_success,best_relmse_T,best_ell_max_err,best_residual,iterations,restarts_used
934,64,17,89,8,14,random_nonneg,0/2,80,80,True,0,0.00252267720487704,2.2778222158988965e-17,9.916359805802845e-08,False,0.02516235105296013,0.2853980934112602,0.008182091291349556,150,8
936,64,17,89,8,16,random_nonneg,0/2,80,80,True,0,0.004143001476185503,5.620459713575499e-17,1.9578149915993375e-07,False,0.01750716416941813,0.17498210250529667,0.007094396625688073,150,8
938,64,17,89,8,18,random_nonneg,0/2,80,80,True,0,0.0047503718151861085,6.677651569455134e-17,9.737836197469884e-08,False,0.008013917762247993,0.14863535753906332,0.006711072434186238,150,8
940,64,17,91,10,0,smooth_bump,0/2,80,80,True,0,0.000980546487264908,2.7030644178403317e-17,3.2833798914187013e-07,False,0.5159541662010927,1.6022633940416457,0.01741850050048239,150,8
942,64,17,91,10,2,random_nonneg,0/2,80,80,True,0,0.004955047534157081,1.0990063132972567e-16,1.1787952373477679e-07,False,0.009253473911947113,0.2719389146439408,0.010824317332634547,150,8
944,64,17,91,10,4,random_nonneg,0/2,80,80,True,0,0.002269121339604497,1.6699097912194008e-17,1.6314850135245583e-07,False,0.008051663457112751,0.12346647791795962,0.005293970606135431,150,8
946,64,17,91,10,6,random_nonneg,0/2,80,80,True,0,0.0055115033948837915,3.843885010730063e-17,1.6261024963232953e-07,False,0.009851356837328839,0.2035538165474977,0.006179422552639955,150,8
948,64,17,91,10,8,random_nonneg,0/2,80,80,True,0,0.0026272163029027514,6.357947622773493e-17,1.4255272754517545e-07,False,0.015213539329083257,0.22254189983965977,0.005521570776772449,150,8
950,64,17,91,10,10,random_nonneg,0/2,80,80,True,0,0.004210284695698381,2.863436234518621e-17,1.0374036679581748e-07,False,0.0014981353268201493,0.06406866022675735,0.003697679557297017,150,8
952,64,17,91,10,12,random_nonneg,0/2,80,80,True,0,0.001748853207748326,3.1331852352295744e-17,1.7101258567142825e-07,False,0.03568252920943225,0.27157780555446126,0.004772279904490938,150,8
954,64,17,91,10,14,random_nonneg,0/2,80,80,True,0,0.004048667451402901,7.012416071241603e-17,1.755550983800294e-07,False,0.003954771874499194,0.10217079908623562,0.0033452569070757544,150,8
956,64,17,91,10,16,random_nonneg,0/2,80,80,True,0,0.001458864158320429,2.992672531853737e-17,4.501359949742068e-07,False,0.15585102493974665,0.5879937856089712,0.014239471119626179,150,8
958,64,17,91,10,18,random_nonneg,0/2,80,80,True,0,0.002142896246027606,1.554659236715754e-16,2.2946130187216103e-07,False,0.026076620588888686,0.3735805942900836,0.00842229984395612,150,8
960,64,17,93,12,0,smooth_bump,0/2,80,80,True,0,0.003229616323189831,3.406759457923715e-17,1.6298275085142396e-07,False,0.007117677036553494,0.14926525676591812,0.004171493119566502,150,8
962,64,17,93,12,2,random_nonneg,0/2,80,80,True,0,0.0036871574906641607,1.8115034538886726e-16,1.377969075582034e-07,False,0.00047746679680762765,0.04849689933716661,0.0012733335780857947,150,8
964,64,17,93,12,4,random_nonneg,0/2,80,80,True,0,0.0015390669882888405,5.544775303295926e-17,3.8688526726236425e-07,False,0.06448147252523889,0.6216649914375523,0.012357701650765635,150,8
966,64,17,93,12,6,random_nonneg,0/2,80,80,True,0,0.0035473699092331084,5.220925679125908e-17,1.87268339388729e-07,False,0.023939741949012685,0.27627842599803926,0.009092808217563643,150,8
968,64,17,93,12,8,random_nonneg,0/2,80,80,True,0,0.002141212876614734,4.935104534334643e-17,2.627454898617268e-07,False,0.006777625938550104,0.1400396356398117,0.005038164922178251,150,8
970,64,17,93,12,10,random_nonneg,0/2,80,80,True,0,0.001705862055997288,4.0893505225604285e-17,2.903754596211016e-07,False,0.40372511596458677,7.815089169398734,0.039979806736207046,150,8
972,64,17,93,12,12,random_nonneg,0/2,80,80,True,0,0.00590494328672948,8.323683140246203e-17,1.1846678289488635e-07,False,0.004270420777698554,0.10910846629664595,0.00606351980507497,150,8
974,64,17,93,12,14,random_nonneg,0/2,80,80,True,0,0.005960444866709219,1.587332057447284e-16,7.090793650354511e-08,False,0.00798897482283312,0.24325419907109946,0.005639022538007528,150,8
976,64,17,93,12,16,random_nonneg,0/2,80,80,True,0,0.0044882947242400745,1.399880645460182e-16,1.228087809035514e-07,False,0.0009514103953417917,0.062262981408771845,0.0015500440060887831,150,8
978,64,17,93,12,18,random_nonneg,0/2,80,80,True,0,0.003664309040499028,7.594034192083004e-17,1.1622891871904501e-07,False,0.00475415527723723,0.1278401297650258,0.004838041889152871,150,8
980,64,17,95,14,0,smooth_bump,0/2,80,80,True,0,0.0063212887202268985,9.166193454292874e-17,9.432060050432446e-08,False,4.417496397353929e-06,0.003129052073493649,0.00013178776989122907,150,8
982,64,17,95,14,2,random_nonneg,0/2,80,80,True,0,0.001463552674740426,2.909784258060895e-17,4.395763275276478e-07,False,0.1440030323801773,0.7615673187443668,0.009711572918790854,150,8
984,64,17,95,14,4,random_nonneg,0/2,80,80,True,0,0.007390749232519164,8.373068596385321e-17,1.2111166068982886e-07,False,0.00011260369587869641,0.014619539148820693,0.0007137646879586322,150,8
986,64,17,95,14,6,random_nonneg,0/2,80,80,True,0,0.0053434179501855505,4.861030903542775e-17,1.2303263989136575e-07,False,0.0009272626692824376,0.057256121120457415,0.0027032393143346088,150,8
988,64,17,95,14,8,random_nonneg,0/2,80,80,True,0,0.00655915477133961,1.5831577559490404e-16,1.1370115750876384e-07,False,0.00012139081947334465,0.017033153957452085,0.000746131919310695,150,8
990,64,17,95,14,10,random_nonneg,0/2,80,80,True,0,0.002986553834824677,9.158964083099748e-17,2.6549039084743165e-07,False,0.04458771306444593,0.3272039205904382,0.008862527188372302,150,8
992,64,17,95,14,12,random_nonneg,0/2,80,80,True,0,0.0022175363692718054,1.1166382882324186e-16,3.369044309139187e-07,False,0.05120102222886672,0.5298962036735552,0.010221907575136874,150,8
994,64,17,95,14,14,random_nonneg,0/2,80,80,True,0,0.004402115620409416,9.013806878036244e-17,1.253384111745509e-07,False,0.0018619321254707566,0.06027317990667558,0.00215109098104933,150,8
996,64,17,95,14,16,random_nonneg,0/2,80,80,True,0,0.0019392136738483352,3.3817145045227364e-17,2.5170012910643096e-07,False,0.005134707761576746,0.11408621042219669,0.003646316302390189,150,8
998,64,17,95,14,18,random_nonneg,0/2,80,80,True,0,0.005301620534691204,1.2102602794739807e-16,7.545024715410616e-08,False,0.0011056525037810403,0.06536054386305135,0.0018927413975125891,150,8
1000,64,17,97,16,0,smooth_bump,0/2,80,80,True,0,0.003353134886858653,1.233415473481726e-16,1.792060124210244e-07,False,0.004924564223017009,0.09895548588741276,0.003625679597522099,150,8
1002,64,17,97,16,2,random_nonneg,0/2,80,80,True,0,0.004034859473933151,5.938960225819259e-17,1.6701464656288987e-07,False,0.0005893303605730754,0.029114528238813997,0.0016219866089975572,150,8
1004,64,17,97,16,4,random_nonneg,0/2,80,80,True,0,0.005508105223548354,6.777838987875734e-17,9.242433362644938e-08,False,0.0007860852489624007,0.03386400873601328,0.001414018251710009,150,8
1006,64,17,97,16,6,random_nonneg,0/2,80,80,True,0,0.001552773158549941,3.632638160936146e-17,5.12768735334565e-07,False,0.14819593596758654,0.6383831708202219,0.011840083238297857,150,8
1008,64,17,97,16,8,random_nonneg,0/2,80,80,True,0,0.005982907841290474,6.390027526869189e-17,2.510597977112533e-07,False,2.657783403339299e-05,0.005408494438121109,0.0003960624419886844,150,8
1010,64,17,97,16,10,random_nonneg,0/2,80,80,True,0,0.0035034110780758163,1.3544466439257583e-16,2.8785512224358357e-07,False,0.0006342108269999906,0.05900937729837141,0.002351828100520513,150,8
1012,64,17,97,16,12,random_nonneg,0/2,80,80,True,0,0.0057469588805593,8.384151769922311e-17,8.111542004016012e-08,False,0.0004840594750716111,0.028210026105592367,0.001424553947853488,150,8
1014,64,17,97,16,14,random_nonneg,0/2,80,80,True,0,0.004267202777154736,4.57331774505939e-17,2.005771526341542e-07,False,0.00017084824734688687,0.020084381549744013,0.0009114348034797967,150,8
1016,64,17,97,16,16,random_nonneg,0/2,80,80,True,0,0.004642361584796268,1.9938336840424548e-17,1.3274041620143678e-07,False,9.645249798389397e-05,0.016826165080334077,0.0007872774730666608,150,8
1018,64,17,97,16,18,random_nonneg,0/2,80,80,True,0,0.009049335263854097,1.25298485583629e-16,2.0885440627762308e-07,False,5.085307779811351e-06,0.0032148209281026574,0.00029669381393251844,150,8
1020,64,33,89,-8,0,smooth_bump,0/2,89,96,False,7,,,1.0908602231279882e-06,False,0.89567295786542,5.619821983344806,0.014578678550278886,150,8
1022,64,33,89,-8,2,random_nonneg,0/2,89,96,False,7,,,5.076731247265757e-07,False,0.7614305657429361,14.111952086818079,0.030653949768707705,150,8
1024,64,33,89,-8,4,random_nonneg,0/2,89,96,False,7,,,2.9124444260243024e-07,False,0.6784297711463914,14.194677780500225,0.040596317708279844,150,8
1026,64,33,89,-8,6,random_nonneg,0/2,89,96,False,7,,,6.248640123656673e-07,False,0.8657279848531318,3.739110037776168,0.009982587775028745,150,8
1028,64,33,89,-8,8,random_nonneg,0/2,89,96,False,7,,,8.179286846414737e-07,False,0.8160673184724978,6.395564798358619,0.007783219956932021,150,8
1030,64,33,89,-8,10,random_nonneg,0/2,89,96,False,7,,,1.3906550538208916e-07,False,0.356466513117303,1.9423549733999987,0.01025699407502812,150,8
1032,64,33,89,-8,12,random_nonneg,0/2,89,96,False,7,,,2.4420158724445965e-07,False,0.41787192312209764,1.5391076218157804,0.0073822798566291,150,8
1034,64,33,89,-8,14,random_nonneg,0/2,89,96,False,7,,,5.818145442664024e-07,False,0.6996260607339156,7.399275821279041,0.01649425846460583,150,8
1036,64,33,89,-8,16,random_nonneg,0/2,89,96,False,7,,,2.945819302599078e-07,False,0.8159258492579389,5.7521122411948955,0.02220081425675616,150,8
1038,64,33,89,-8,18,random_nonneg,0/2,89,96,False,7,,,1.7311303104708238e-06,False,0.7284381865413422,27.17478627369021,0.014795645182510364,150,8
1040,64,33,91,-6,0,smooth_bump,0/2,91,96,False,5,,,4.5527388443496935e-07,False,0.5564656836487312,4.807507206330076,0.013262121135493112,150,8
1042,64,33,91,-6,2,random_nonneg,0/2,91,96,False,5,,,7.036433654371062e-07,False,0.7648827987864163,5.245725262648451,0.012961448637365008,150,8
1044,64,33,91,-6,4,random_nonneg,0/2,91,96,False,5,,,1.8983457076763622e-07,False,0.3392793009973861,1.47334654848571,0.004234896026073726,150,8
1046,64,33,91,-6,6,random_nonneg,0/2,91,96,False,5,,,3.8796705028147635e-07,False,0.6465254106394631,3.301229518814065,0.019033819555362323,150,8
1048,64,33,91,-6,8,random_nonneg,0/2,91,96,False,5,,,5.085635773041935e-07,False,0.7181593296417746,8.992924516004376,0.011534315786503156,150,8
1050,64,33,91,-6,10,random_nonneg,0/2,91,96,False,5,,,2.451712824012285e-07,False,0.753691883323614,2.8938553080451515,0.01049806921071031,150,8
1052,64,33,91,-6,12,random_nonneg,0/2,91,96,False,5,,,3.7247294317585916e-07,False,0.577867919636975,9.640891475997995,0.02794673686052704,150,8
1054,64,33,91,-6,14,random_nonneg,0/2,91,96,False,5,,,3.860206196802299e-07,False,0.3841717199017346,3.897341671021281,0.015788390091126148,150,8
1056,64,33,91,-6,16,random_nonneg,0/2,91,96,False,5,,,6.326027907744282e-07,False,0.7579700313837877,51.42811610259744,0.060471744915332165,150,8
1058,64,33,91,-6,18,random_nonneg,0/2,91,96,False,5,,,3.4597758900176084e-07,False,0.7087323787000701,11.977212330043512,0.07248222036711854,150,8
1060,64,33,93,-4,0,smooth_bump,0/2,93,96,False,3,,,3.2077224806130584e-07,False,0.5048018211654115,2.005068249098142,0.010520628250266182,150,8
1062,64,33,93,-4,2,random_nonneg,0/2,93,96,False,3,,,5.767617957134604e-07,False,0.5743107811814185,16.862654922726605,0.009297975079609562,150,8
1064,64,33,93,-4,4,random_nonneg,0/2,93,96,False,3,,,1.6598199381380208e-07,False,0.23932635132444524,1.0467257837623865,0.006771438783315671,150,8
1066,64,33,93,-4,6,random_nonneg,0/2,93,96,False,3,,,1.4189287873810098e-07,False,0.2746171769336648,1.048935977157465,0.007950737786551141,150,8
1068,64,33,93,-4,8,random_nonneg,0/2,93,96,False,3,,,4.6779929909546643e-07,False,0.6360228760454371,5.811925164076834,0.007601684336349106,150,8
1070,64,33,93,-4,10,random_nonneg,0/2,93,96,False,3,,,8.938597459517549e-07,False,0.8397636829164551,7.011321548814506,0.022237515480146356,150,8
1072,64,33,93,-4,12,random_nonneg,0/2,93,96,False,3,,,4.666107657441381e-07,False,0.564235321977324,3.336505856966081,0.010046427725243234,150,8
1074,64,33,93,-4,14,random_nonneg,0/2,93,96,False,3,,,2.7947682526675506e-07,False,0.6449438083808852,7.173160767629475,0.05104624545425535,150,8
1076,64,33,93,-4,16,random_nonneg,0/2,93,96,False,3,,,3.8552752944589124e-07,False,0.6378029740726369,12.61777109606674,0.04656202709367017,150,8
1078,64,33,93,-4,18,random_nonneg,0/2,93,96,False,3,,,1.0776844035342575e-06,False,0.7456108914005136,17.256797338473636,0.014200707831164385,150,8
1080,64,33,95,-2,0,smooth_bump,0/2,95,96,False,1,,,8.18108408411966e-07,False,0.788154911279952,3.486452155072753,0.009035917073199347,150,8
1082,64,33,95,-2,2,random_nonneg,0/2,95,96,False,1,,,2.4817805416682854e-06,False,0.8277011026708199,10.783224191578894,0.021814915710103622,150,8
1084,64,33,95,-2,4,random_nonneg,0/2,95,96,False,1,,,2.0252229821047926e-06,False,0.7869068851282657,65.36407411363562,0.029272266796151202,150,8
1086,64,33,95,-2,6,random_nonneg,0/2,95,96,False,1,,,4.607643431867841e-07,False,0.5340270768319167,3.4254726751432303,0.013694837779315922,150,8
1088,64,33,95,-2,8,random_nonneg,0/2,95,96,False,1,,,6.545594271625475e-07,False,0.6455565672181758,12.034121683093447,0.009901744477127258,150,8
1090,64,33,95,-2,10,random_nonneg,0/2,95,96,False,1,,,9.12958066386356e-08,False,0.39671620685879616,8.474573427962694,0.03185379726894925,150,8
1092,64,33,95,-2,12,random_nonneg,0/2,95,96,False,1,,,2.795475949225818e-07,False,0.36563266625352403,1.5224687605815745,0.014551771750119123,150,8
1094,64,33,95,-2,14,random_nonneg,0/2,95,96,False,1,,,3.8316690416572523e-07,False,0.7071187336851856,5.140953736386777,0.012652511783329306,150,8
1096,64,33,95,-2,16,random_nonneg,0/2,95,96,False,1,,,1.354468642911111e-06,False,0.8636703254228374,14.699887789306,0.009515620505898817,150,8
1098,64,33,95,-2,18,random_nonneg,0/2,95,96,False,1,,,4.1506111065543633e-07,False,0.17714401803280272,1.2371736580768584,0.006029534051779899,150,8
1100,64,33,96,-1,0,smooth_bump,0/2,96,96,True,0,3.0121007509964464e-05,,3.8319085539843e-07,False,0.28046055092502764,1.6770721564489104,0.007850366785813618,150,8
1102,64,33,96,-1,2,random_nonneg,0/2,96,96,True,0,7.795485860148569e-06,,8.921207082841312e-07,False,0.7268690948791466,3.0235163894495245,0.01150418918794105,150,8
1104,64,33,96,-1,4,random_nonneg,0/2,96,96,True,0,2.538065867050642e-05,,6.981332921713764e-07,False,0.6886752005103246,13.369621065726765,0.02023888243042151,150,8
1106,64,33,96,-1,6,random_nonneg,0/2,96,96,True,0,4.667696904059949e-05,,4.393084691415515e-07,False,0.37358330676526147,3.960156362657476,0.01759620366206463,150,8
1108,64,33,96,-1,8,random_nonneg,0/2,96,96,True,0,5.6137002107115644e-05,,1.4002993259728086e-06,False,0.5971178436900537,2.002557871346775,0.0073213509655548105,150,8
1110,64,33,96,-1,10,random_nonneg,0/2,96,96,True,0,0.0002152537642170754,,3.1788886555184483e-07,False,0.2826877317436089,1.6720547081449801,0.011309775821919726,150,8
1112,64,33,96,-1,12,random_nonneg,0/2,96,96,True,0,0.00019971272818893488,,3.607880156818602e-07,False,0.30428205559831867,1.3820116499282573,0.010453370002783085,150,8
1114,64,33,96,-1,14,random_nonneg,0/2,96,96,True,0,5.902595455407849e-05,,1.5780896704979637e-07,False,0.1642628423641876,0.8344993778995586,0.011977533740436369,150,8
1116,64,33,96,-1,16,random_nonneg,0/2,96,96,True,0,3.578576535543844e-05,,4.807855970614897e-07,False,0.6025321389195661,3.2072530226282896,0.00882682808736826,150,8
1118,64,33,96,-1,18,random_nonneg,0/2,96,96,True,0,2.041345038092685e-05,,7.917952138429966e-07,False,0.6568759453386972,37.6149656122552,0.03904585069718597,150,8
1120,64,33,97,0,0,smooth_bump,0/2,96,96,True,0,0.0002756052087978495,1.0870403667104653e-17,4.985979242402546e-07,False,0.7441012003972114,3.8238203153003147,0.02913302018644414,150,8
1122,64,33,97,0,2,random_nonneg,0/2,96,96,True,0,7.81954984783291e-05,2.3932934855779963e-18,6.255885344408565e-07,False,0.39393814875771316,5.99511281411421,0.01123582368568497,150,8
1124,64,33,97,0,4,random_nonneg,0/2,96,96,True,0,0.0001244934703135976,6.021959567358504e-18,3.3166666434660564e-07,False,0.49329941922731624,4.393794001328758,0.04866825629975032,150,8
1126,64,33,97,0,6,random_nonneg,0/2,96,96,True,0,7.207483453748065e-05,5.209339341201035e-18,8.902373388173059e-07,False,0.6628677862479552,11.68194293932486,0.020398740749091974,150,8
1128,64,33,97,0,8,random_nonneg,0/2,96,96,True,0,6.372294819951043e-05,2.2607744795677524e-17,4.2070314482268173e-07,False,0.5827354886364997,25.872493848949844,0.020196570920720306,150,8
1130,64,33,97,0,10,random_nonneg,0/2,96,96,True,0,0.00019350127842844266,1.2773487450261654e-18,3.639423912860781e-07,False,0.5305011168019675,22.707530357650697,0.014826199666666089,150,8
1132,64,33,97,0,12,random_nonneg,0/2,96,96,True,0,0.00013780909391738935,5.312411078703945e-18,7.048484175134813e-07,False,0.735647358771588,8.735992642047254,0.03155979455600082,150,8
1134,64,33,97,0,14,random_nonneg,0/2,96,96,True,0,4.222824812160856e-05,3.2690232980796858e-18,8.262023857988012e-07,False,0.7409569812662433,12.66254997238613,0.022662921521917175,150,8
1136,64,33,97,0,16,random_nonneg,0/2,96,96,True,0,3.0399653659378064e-05,1.7931216404680876e-18,2.139489987532565e-06,False,0.804284256402006,7.213447372827789,0.010260560128695046,150,8
1138,64,33,97,0,18,random_nonneg,0/2,96,96,True,0,0.00018512870566096137,5.8930036618557665e-18,2.545767576385002e-07,False,0.1948604416759288,1.494151652950062,0.017819356278464513,150,8
1140,64,33,99,2,0,smooth_bump,0/2,96,96,True,0,0.0001957896368549516,2.246371123637139e-17,5.043693169115569e-07,False,0.40554466552384366,17.281049540350075,0.008954894676538462,150,8
1142,64,33,99,2,2,random_nonneg,0/2,96,96,True,0,0.00017612755258953467,2.0941528373930444e-18,9.57240637549702e-07,False,0.7928700019612164,15.928568526816763,0.02241247044382895,150,8
1144,64,33,99,2,4,random_nonneg,0/2,96,96,True,0,0.00043168018082374187,2.190262798108781e-17,3.4181518529526073e-07,False,0.2961831118422944,2.096859105232416,0.014624269386919879,150,8
1146,64,33,99,2,6,random_nonneg,0/2,96,96,True,0,0.00021409377209500726,2.344122446934666e-17,4.026475116939208e-07,False,0.6857844967505123,2.5689107449241035,0.008923979324155895,150,8
1148,64,33,99,2,8,random_nonneg,0/2,96,96,True,0,3.631201526207654e-05,2.0996243076761646e-18,1.0164587741828182e-06,False,0.7893348809240762,15.835208992493802,0.028817094891264848,150,8
1150,64,33,99,2,10,random_nonneg,0/2,96,96,True,0,0.00025861328825622443,1.7487295860511254e-17,3.962050684413043e-07,False,0.21767842229591225,1.831072332569882,0.009240579745256315,150,8
1152,64,33,99,2,12,random_nonneg,0/2,96,96,True,0,0.0001794395462531298,1.5116772553077987e-17,2.5575055173859297e-07,False,0.42660179168270973,1.8227334259095986,0.02054699770646341,150,8
1154,64,33,99,2,14,random_nonneg,0/2,96,96,True,0,0.00021059225432641353,1.415886630801214e-17,5.68417666173699e-07,False,0.5335350328616786,8.033212292945441,0.01731597095641793,150,8
1156,64,33,99,2,16,random_nonneg,0/2,96,96,True,0,0.00014636055414214092,4.881020019947353e-18,4.705945372607119e-07,False,0.4838527850708042,4.2737228393771485,0.018463945745803078,150,8
1158,64,33,99,2,18,random_nonneg,0/2,96,96,True,0,0.000423739686265114,1.2836720306154315e-17,1.736136734879297e-07,False,0.22453895682547934,1.5210503398051127,0.016677908916355205,150,8
1160,64,33,101,4,0,smooth_bump,0/2,96,96,True,0,0.0006338253363642941,2.642272367333823e-17,4.643450371629663e-07,False,0.7974012063711997,3.026979109662289,0.022286057121544304,150,8
1162,64,33,101,4,2,random_nonneg,0/2,96,96,True,0,0.00029060269288564696,1.9281871593789007e-17,2.910923119753763e-07,False,0.7514518582673344,6.553854177271678,0.025043860653012368,150,8
1164,64,33,101,4,4,random_nonneg,0/2,96,96,True,0,0.0003132891314285947,5.618873498579161e-18,3.1443892155590175e-07,False,0.6951076745104784,4.544758160826102,0.022705563108834072,150,8
1166,64,33,101,4,6,random_nonneg,0/2,96,96,True,0,0.000204354822603004,1.0278809202742631e-17,3.423767224510268e-07,False,0.10493166060472757,0.5903903922496783,0.006140007163087052,150,8
1168,64,33,101,4,8,random_nonneg,0/2,96,96,True,0,0.00046363175248963494,1.506905680041874e-17,4.1138554287137896e-07,False,0.2031977795393778,1.464315092815224,0.008204154021828745,150,8
1170,64,33,101,4,10,random_nonneg,0/2,96,96,True,0,0.0006877761774186002,3.123166207616826e-17,2.446217039842056e-07,False,0.17642585028517516,2.199578134353172,0.009465592959344021,150,8
1172,64,33,101,4,12,random_nonneg,0/2,96,96,True,0,0.00030732932864244167,1.627392820580117e-17,2.3158664237881176e-07,False,0.1632529950117715,0.9312376947746149,0.006481937232410241,150,8
1174,64,33,101,4,14,random_nonneg,0/2,96,96,True,0,0.00013718402403395234,1.6781843950661056e-17,9.57998935026658e-07,False,0.5379195180820106,6.2185471061755315,0.013343882311883068,150,8
1176,64,33,101,4,16,random_nonneg,0/2,96,96,True,0,0.0004060992052628423,9.99115714243835e-18,4.808793417137649e-07,False,0.4022124531762532,32.867966703138215,0.022324888662610724,150,8
1178,64,33,101,4,18,random_nonneg,0/2,96,96,True,0,0.00014361176538593413,1.1180075269076419e-17,7.515319284847943e-07,False,0.3827613274875526,3.4563266182373336,0.007198414237579309,150,8
1180,64,33,103,6,0,smooth_bump,0/2,96,96,True,0,0.0004607011155876063,2.1302388093746826e-17,2.0793518333122267e-07,False,0.4465416083884127,10.551807178284283,0.011952069026569454,150,8
1182,64,33,103,6,2,random_nonneg,0/2,96,96,True,0,0.0009121975830836002,2.65210999424421e-17,2.647790406676559e-07,False,0.33483419932857494,19.460363136746075,0.02774564667399789,150,8
1184,64,33,103,6,4,random_nonneg,0/2,96,96,True,0,0.00023675228465578016,1.1552560898280804e-17,5.904971875753359e-07,False,0.5215613214349648,8.78814542405524,0.07012796965673526,150,8
1186,64,33,103,6,6,random_nonneg,0/2,96,96,True,0,0.00018664392097173823,2.0669253472670205e-17,5.91153085751814e-07,False,0.817104615718751,22.999718793430368,0.040911271276287874,150,8
