config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h
cfg0031,1,6.876935005187988,6.876935005187988,3.345510482788086,3.345510482788086,0.13525307178497314,145,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.06
cfg0003,1,6.831596851348877,6.831596851348877,8.778907775878906,8.778907775878906,0.15285757184028625,36,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.08
cfg0001,1,6.734492778778076,6.734492778778076,9.00190544128418,9.00190544128418,0.1849633753299713,36,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.06
cfg0008,1,6.523793697357178,6.523793697357178,3.5842862129211426,3.5842862129211426,0.12745264172554016,40,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.08
cfg0005,1,6.297004699707031,6.297004699707031,3.6686654090881348,3.6686654090881348,0.15034839510917664,40,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.05
cfg0024,1,6.236036777496338,6.236036777496338,5.464132308959961,5.464132308959961,0.13232502341270447,96,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.09
cfg0037,1,6.078265190124512,6.078265190124512,9.140776634216309,9.140776634216309,0.1397491693496704,160,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.07
cfg0013,1,5.934423446655273,5.934423446655273,7.046603202819824,7.046603202819824,0.15147078037261963,48,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.08
cfg0038,1,5.910443305969238,5.910443305969238,8.964273452758789,8.964273452758789,0.11785393953323364,160,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.08
cfg0004,1,5.9102373123168945,5.9102373123168945,8.6406888961792,8.6406888961792,0.13390621542930603,36,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.09
cfg0014,1,5.785121440887451,5.785121440887451,6.971757888793945,6.971757888793945,0.13509787619113922,48,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.09
cfg0009,1,5.52334451675415,5.52334451675415,3.5377514362335205,3.5377514362335205,0.11107382923364639,40,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.09
cfg0012,1,5.483462810516357,5.483462810516357,7.1172003746032715,7.1172003746032715,0.16594308614730835,48,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.07
cfg0039,1,5.478274345397949,5.478274345397949,8.798340797424316,8.798340797424316,0.09873561561107635,160,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.09
cfg0020,1,5.426007270812988,5.426007270812988,5.26488733291626,5.26488733291626,0.17931120097637177,96,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.05
cfg0036,1,5.358055591583252,5.358055591583252,9.305862426757812,9.305862426757812,0.15874436497688293,160,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.06
cfg0025,1,5.244071006774902,5.244071006774902,3.2490243911743164,3.2490243911743164,0.12714523077011108,120,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.05
cfg0011,1,4.242876052856445,4.242876052856445,7.142982482910156,7.142982482910156,0.1749691665172577,48,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.06
cfg0000,1,4.112496852874756,4.112496852874756,9.008489608764648,9.008489608764648,0.19124078750610352,36,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.05
cfg0030,1,3.819810152053833,3.819810152053833,3.2899715900421143,3.2899715900421143,0.12885411083698273,145,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.05
cfg0035,1,3.7157769203186035,3.7157769203186035,9.361671447753906,9.361671447753906,0.17359726130962372,160,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.05
cfg0010,1,3.03243088722229,3.03243088722229,7.095327854156494,7.095327854156494,0.17726562917232513,48,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.05
cfg0017,1,2.7146544456481934,2.7146544456481934,1.6387174129486084,1.6387174129486084,0.014799335971474648,64,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.07
cfg0016,1,2.6953282356262207,2.6953282356262207,1.6615667343139648,1.6615667343139648,0.01915520429611206,64,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.06
cfg0018,1,2.6634082794189453,2.6634082794189453,1.6160430908203125,1.6160430908203125,0.011116367764770985,64,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.08
cfg0019,1,2.571319341659546,2.571319341659546,1.5868909358978271,1.5868909358978271,0.008102616295218468,64,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.09
cfg0015,1,2.4853968620300293,2.4853968620300293,1.700053095817566,1.700053095817566,0.026738513261079788,64,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.05
