rho,sigma_a,correction,srht_minus_ordered_db,srht_minus_sign_only_db,srht_gap_to_best_ablation_db,best_ablation,best_ablation_psnr,best_alternative,best_alternative_psnr,best_alternative_minus_ordered_db,hadamard_block_shuffle_psnr,hadamard_ordered_psnr,hadamard_time_interleave_psnr,perm_only_psnr,sign_block_shuffle_psnr,sign_only_psnr,sign_time_interleave_psnr,srht_full_psnr
1.0,0.3,agc,0.08267707442970718,-0.04984984869000186,-0.05825241927331071,sign_time_interleave,11.04244643504367,sign_time_interleave,11.04244643504367,0.14092949370301788,11.037142872850923,10.901516941340653,10.895867392000056,11.015784360790349,11.025334073565316,11.034043864460362,11.04244643504367,10.98419401577036
1.0,0.3,none,-0.009457939890024747,-0.05034280717384476,-0.05911383188588637,sign_time_interleave,11.041878864465486,sign_time_interleave,11.041878864465486,0.04965589199586162,11.034358077422942,10.992222972469625,10.99967083359912,11.016609381666864,11.023222917776163,11.033107839753445,11.041878864465486,10.9827650325796
1.0,0.3,oracle,0.0,0.0,0.0,hadamard_block_shuffle,120.0,hadamard_block_shuffle,120.0,0.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
1.0,0.3,pairwise,-0.03135360316721503,-0.05915038905214409,-0.06629415780930792,sign_time_interleave,11.077839604319427,sign_time_interleave,11.077839604319427,0.03494055464209289,11.06704313393338,11.042899049677334,11.053700902996686,11.05311148789878,11.068191647673608,11.070695835562264,11.077839604319427,11.01154544651012
1.0,0.3,scgi_proxy,-0.007976026639592959,-0.049276637849587246,-0.0580051860603259,sign_time_interleave,11.04306982778929,sign_time_interleave,11.04306982778929,0.05002915942073294,11.035846785019956,10.993040668368558,11.000879928967848,11.018983997066108,11.026726661776827,11.034341279578552,11.04306982778929,10.985064641728965
10.0,0.3,agc,0.03615845713880361,-0.060714377050297585,-0.06450504847879657,sign_time_interleave,10.880037687282025,sign_time_interleave,10.880037687282025,0.10066350561760018,10.872977300231252,10.779374181664425,10.777315958623682,10.856708579946352,10.866435756035482,10.876247015853526,10.880037687282025,10.815532638803228
10.0,0.3,none,-0.025559551473852693,-0.061006654813441585,-0.06495742173766494,sign_time_interleave,10.8802983953131,sign_time_interleave,10.8802983953131,0.03939787026381225,10.874745276329367,10.840900525049287,10.846991798684872,10.858805915538143,10.86561694896324,10.876347628388876,10.8802983953131,10.815340973575434
10.0,0.3,oracle,0.0,0.0,0.0,hadamard_block_shuffle,120.0,hadamard_block_shuffle,120.0,0.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
10.0,0.3,pairwise,-0.04322663306421326,-0.06678157990416267,-0.06977588826366699,sign_time_interleave,10.893685101947598,sign_time_interleave,10.893685101947598,0.026549255199453725,10.885853207730884,10.867135846748145,10.874379067056816,10.870786013895042,10.884975810263462,10.890690793588094,10.893685101947598,10.823909213683931
10.0,0.3,scgi_proxy,-0.024506202916954933,-0.05987074421574334,-0.06382684798948546,sign_time_interleave,10.88000731448491,sign_time_interleave,10.88000731448491,0.039320645072530525,10.873211595719695,10.84068666941238,10.847301004156396,10.859005085569056,10.867136851574848,10.876051210711168,10.88000731448491,10.816180466495425
