object,family,K_eff,basis,requested_basis,num_frames,window,carrier_mean,carrier_cv,adjacent_window_ks_d_mean,adjacent_window_ks_p_median,levene_p,ks_absdev_p,local_std_envelope_cv,running_mean_cv,running_mean_cv_incl_transient
digit_1,synthetic_digit,613.715691926159,random_binary,random_binary,8192,64,298.683349609375,0.04118219390511513,0.03459821428571429,0.6905068526890875,0.4501842941512233,0.6996354687179152,0.01853865244180775,0.004682918079197407,0.004740437492728233
digit_2,synthetic_digit,948.8780926075453,random_binary,random_binary,8192,64,466.40576171875,0.032328762114048004,0.03334263392857143,0.7824467719566824,0.17662688724639122,0.7362882836586733,0.022167868637088316,0.003746646223589778,0.0037395735271275043
digit_3,synthetic_digit,638.5224343850998,random_binary,random_binary,8192,64,310.81304931640625,0.04009496420621872,0.03208705357142857,0.8797285526957659,0.15484027597285538,0.4813104546945413,0.024314210007244128,0.005067633930593729,0.0052235485054552555
digit_4,synthetic_digit,402.4249507149198,random_binary,random_binary,8192,64,176.50950622558594,0.05017336830496788,0.039760044642857144,0.3019548369118292,0.25504996527762847,0.35528493510324566,0.020978116620826853,0.00620927894487977,0.006187566556036472
letter_A,binary_letter,391.79043070245797,random_binary,random_binary,8192,64,183.09288024902344,0.05034460872411728,0.035853794642857144,0.4882102774911077,0.8015745453999604,0.5160126480775404,0.01930060940088671,0.005726585164666176,0.005693434271961451
letter_L,binary_letter,238.05133542118594,random_binary,random_binary,8192,64,113.49601745605469,0.0649419054389,0.042271205357142856,0.32873054303039817,0.4206077846829939,0.5160126480775404,0.021687551623768363,0.007649153470993042,0.007804252672940493
stripe,stripe,2048.0,random_binary,random_binary,8192,64,1023.810791015625,0.022343920543789864,0.029017857142857144,0.8304736573636826,0.09264870579404624,0.2528489707948772,0.027032405423379004,0.002495689783245325,0.002497314941138029
ring,ring,868.0,random_binary,random_binary,8192,64,433.9483642578125,0.03461577370762825,0.03529575892857143,0.6046280025140988,0.5782712959730133,0.4477726962171573,0.01988726800333666,0.004679765086621046,0.004697747994214296
natural_patch,procedural_natural,3237.768951772969,random_binary,random_binary,8192,64,669.0462646484375,0.01768975704908371,0.034877232142857144,0.7357588823428847,0.45621826875428373,0.8388233365451063,0.013055215918107365,0.0021154480054974556,0.0021124514751136303
digit_0,synthetic_digit,359.91159294611685,hadamard_paired,hadamard_ordered,8192,64,156.99362182617188,0.052711088210344315,0.03920200892857143,0.3873392395525851,0.00013408135552565818,0.004495601418364623,0.2632717818432036,0.0007207380840554833,0.01818092353641987
digit_1,synthetic_digit,613.715691926159,hadamard_paired,hadamard_ordered,8192,64,298.666748046875,0.04036605730652809,0.03166852678571429,0.6046280025140988,0.0003246520792602094,0.01911049009615309,0.3005740012441945,0.0005547173204831779,0.01812056452035904
digit_2,synthetic_digit,948.8780926075453,hadamard_paired,hadamard_ordered,8192,64,466.2586669921875,0.03246345743536949,0.026785714285714284,0.9814081195348825,4.0969944069956846e-14,0.19162747608137745,1.2512907238652458,0.00035226429463364184,0.018140742555260658
digit_3,synthetic_digit,638.5224343850998,hadamard_paired,hadamard_ordered,8192,64,310.8063049316406,0.03957417979836464,0.04241071428571429,0.23129082400324172,1.5689744152520248e-08,0.00011354972728176021,0.46167372243513927,0.0005373170715756714,0.01812073402106762
digit_4,synthetic_digit,402.4249507149198,hadamard_paired,hadamard_ordered,8192,64,176.43954467773438,0.049849122762680054,0.037109375,0.4192227743021956,2.5222012723110526e-05,0.00949911823212999,0.3362107211035797,0.0006857234984636307,0.0181706752628088
letter_A,binary_letter,391.79043070245797,hadamard_paired,hadamard_ordered,8192,64,182.931396484375,0.0505211278796196,0.037388392857142856,0.6467735346750095,0.29627496016376714,0.036607186893664635,0.2290777430305757,0.0007161379908211529,0.01816335879266262
letter_L,binary_letter,238.05133542118594,hadamard_paired,hadamard_ordered,8192,64,113.45885467529297,0.06481336802244186,0.041294642857142856,0.14263336539551608,1.0748108882429662e-20,9.32621760074254e-05,0.40805303307216634,0.0008209744701161981,0.018143968656659126
stripe,stripe,2048.0,hadamard_paired,hadamard_ordered,8192,64,1024.0,0.022097086533904076,0.00027901785714285713,1.0,0.00021599614175305784,1.0,2.6457513110645907,0.0,0.018137067556381226
ring,ring,868.0,hadamard_paired,hadamard_ordered,8192,64,434.0,0.03394221141934395,0.012137276785714286,1.0,0.0032103977646529575,0.8063492147426665,0.46558687346139843,0.00087641243590042,0.018135223537683487
natural_patch,procedural_natural,3237.768951772969,hadamard_paired,hadamard_ordered,8192,64,669.1376342773438,0.017574263736605644,0.064453125,0.27681887101228586,0.0323860724051589,0.0010333143727997978,1.2162962881758606,0.00010708731133490801,0.01813662052154541
