image_size,num_pixels,num_frames,basis,object,coefficient_count,top_1pct_energy,top_5pct_energy,top_10pct_energy,effective_rank,effective_rank_frac
32,1024,2048,fourier_fourstep,0,512,0.7249947809199807,0.8141218246827794,0.866673602577385,15.414867831419196,0.030107163733240617
32,1024,2048,fourier_fourstep,1,512,0.7398190569655182,0.8816378631840116,0.9296887906944475,11.413301674371308,0.02229160483275646
32,1024,2048,fourier_fourstep,2,512,0.7629640671273505,0.8819073853108792,0.9318233208265532,11.837887907525197,0.02312087481938515
32,1024,2048,fourier_fourstep,3,512,0.6065367709545344,0.7797455548416312,0.8477513215492078,28.587859786107156,0.05583566364474054
32,1024,2048,fourier_fourstep,4,512,0.6424328665898256,0.8081248548762329,0.8792008909938163,22.592545769885206,0.04412606595680704
32,1024,2048,srht_paired,0,1024,0.08339772154843013,0.2665463237291505,0.4160399347543567,514.6816293922166,0.5026187787033365
32,1024,2048,srht_paired,1,1024,0.07682255831915634,0.2773246323138305,0.44661938825354874,495.7835382649034,0.48416361158681975
32,1024,2048,srht_paired,2,1024,0.09171013975156012,0.2894633053000886,0.44602198819252525,491.003916085822,0.4794960118025606
32,1024,2048,srht_paired,3,1024,0.07952018620015128,0.2697323618257535,0.429317673953366,505.59374748729283,0.4937438940305594
32,1024,2048,srht_paired,4,1024,0.09724581505628085,0.2866245404922967,0.4456078872096688,485.24496929927545,0.4738720403313237
64,4096,8192,random_uniform,0,8192,0.08266853771724661,0.2775104772166734,0.4407853688910405,3953.678966590987,0.4826268269764388
64,4096,8192,random_uniform,1,8192,0.08742190556355725,0.28024867568760536,0.43890851546497817,3947.1888510446265,0.4818345765435335
64,4096,8192,random_uniform,2,8192,0.08422336575558376,0.27747379902148506,0.4394674749184861,3934.638339638431,0.4803025316941444
64,4096,8192,random_uniform,3,8192,0.08592550851533637,0.277021580670471,0.4361414916100225,3968.600314777992,0.48444828061254785
64,4096,8192,random_uniform,4,8192,0.08672015640871783,0.283386562166229,0.4448650641379848,3909.649496293325,0.47725213577799375
64,4096,8192,random_binary,0,8192,0.08417773706148532,0.27791855364062695,0.4379893997885858,3981.7197850266903,0.4860497784456409
64,4096,8192,random_binary,1,8192,0.08439196665646308,0.27707365510465537,0.4387272658973412,3958.9021370502246,0.48326442102663875
64,4096,8192,random_binary,2,8192,0.08319047946420552,0.2741629726150321,0.43329551038728964,4013.593625684677,0.48994062813533656
64,4096,8192,random_binary,3,8192,0.08478395469601253,0.2854718859451525,0.44808413882526,3913.7881968479037,0.4777573482480351
64,4096,8192,random_binary,4,8192,0.08192748221638592,0.2782875391644705,0.43914085939461334,3961.4121569893864,0.48357081994499346
64,4096,8192,hadamard_paired,0,4096,0.6611584570877874,0.8498050109925183,0.9095538294987422,120.67625811070711,0.029461977077809353
64,4096,8192,hadamard_paired,1,4096,0.7411150936821459,0.8683739237595637,0.9193987472970097,73.86142523867223,0.01803257452116021
64,4096,8192,hadamard_paired,2,4096,0.7223163892374801,0.9038263317346331,0.9483835824493566,73.05832431993647,0.01783650496092199
64,4096,8192,hadamard_paired,3,4096,0.8088035533483027,0.9070246604502774,0.938870586045893,33.780369653471055,0.008247160559929457
64,4096,8192,hadamard_paired,4,4096,0.6932011199539188,0.8824222686352691,0.9401371701960289,84.4034557237839,0.02060631243256443
64,4096,8192,dct_paired,0,4096,0.7554028415550352,0.8958820235404118,0.9398280677823794,55.149061951048466,0.013464126452892692
64,4096,8192,dct_paired,1,4096,0.821540392633664,0.913629165907581,0.9465050612435055,32.05349594583105,0.00782556053365016
64,4096,8192,dct_paired,2,4096,0.7843048321697785,0.9238946815209638,0.962947473686241,34.951010838381976,0.00853296163046435
64,4096,8192,dct_paired,3,4096,0.8491211431294848,0.9287615446675546,0.9550036504057153,17.810192624541422,0.004348191558725933
64,4096,8192,dct_paired,4,4096,0.8049884345037751,0.942283695150807,0.9760047704740968,29.89230738714394,0.007297926608189439
64,4096,8192,fourier_fourstep,0,2048,0.7157212269160415,0.8749499307509032,0.9235099095033286,44.926326850777286,0.021936683032606097
64,4096,8192,fourier_fourstep,1,2048,0.8032746094681041,0.9003040627412553,0.9324811717774018,22.98957394074542,0.0112253779007546
64,4096,8192,fourier_fourstep,2,2048,0.7606986684710251,0.902292062462441,0.9512362252788052,27.41321844003576,0.01338536056642371
64,4096,8192,fourier_fourstep,3,2048,0.837097419323126,0.9142774836508444,0.9446205603011588,14.589955851271872,0.007124001880503844
64,4096,8192,fourier_fourstep,4,2048,0.7827247919744278,0.9163078630820437,0.9654031788648679,22.29953379781086,0.010888444237212334
64,4096,8192,srht_paired,0,4096,0.08250664701636494,0.27500870309729075,0.43414061873580434,2001.422080969948,0.4886284377368037
64,4096,8192,srht_paired,1,4096,0.08701845913314822,0.2851677534524414,0.4458537291205202,1939.2441445615964,0.4734482774808585
64,4096,8192,srht_paired,2,4096,0.08109031892371069,0.2756831089166016,0.43771500108983896,1990.5233623809372,0.4859676177687835
64,4096,8192,srht_paired,3,4096,0.08996557080889969,0.2864201897781227,0.4440676576659425,1963.418780622015,0.47935028823779663
64,4096,8192,srht_paired,4,4096,0.08798831102690446,0.2840807449694375,0.4431899735471268,1976.4038094114085,0.48252046128208215
