image_size,num_pixels,frame_factor,num_frames,basis,sigma_delta,seed,object,delta_recon_mse,delta_recon_rel_mse
32,1024,2.0,2048,random_uniform,0.1,0,3,0.2991241813103941,2.0934804832393046
32,1024,2.0,2048,random_uniform,0.1,0,4,0.41441108110431313,2.764783721516643
32,1024,2.0,2048,random_uniform,0.1,1,0,0.5270858503705269,3.970486071097953
32,1024,2.0,2048,random_uniform,0.1,1,1,0.22184955330303446,2.0312837330561253
32,1024,2.0,2048,random_uniform,0.1,1,2,0.4135328634485982,3.415564226171391
32,1024,2.0,2048,random_uniform,0.1,1,3,0.34600830122843684,2.4216083851437804
32,1024,2.0,2048,random_uniform,0.1,1,4,0.3546712618517013,2.3662237231791643
32,1024,2.0,2048,random_uniform,0.1,2,0,0.48520079152081047,3.654970026353041
32,1024,2.0,2048,random_uniform,0.1,2,1,0.2411748049324984,2.2082282825839137
32,1024,2.0,2048,random_uniform,0.1,2,2,0.45067233903685616,3.722316785424248
32,1024,2.0,2048,random_uniform,0.1,2,3,0.3530191170102861,2.470674983325816
32,1024,2.0,2048,random_uniform,0.1,2,4,0.3741111156440158,2.4959185932353196
32,1024,2.0,2048,random_uniform,0.1,3,0,0.475876821748112,3.584733475544832
32,1024,2.0,2048,random_uniform,0.1,3,1,0.2219768560658627,2.032449333921469
32,1024,2.0,2048,random_uniform,0.1,3,2,0.4127316309622613,3.4089464667160563
32,1024,2.0,2048,random_uniform,0.1,3,3,0.35015402556694897,2.450623067118152
32,1024,2.0,2048,random_uniform,0.1,3,4,0.4132203789783865,2.756839836796754
32,1024,4.0,4096,random_uniform,0.01,0,0,0.0025774561981613377,0.022138087039177554
32,1024,4.0,4096,random_uniform,0.01,0,1,0.001148767767732649,0.01234123608212444
32,1024,4.0,4096,random_uniform,0.01,0,2,0.0020524319288482682,0.020529194495748568
32,1024,4.0,4096,random_uniform,0.01,0,3,0.0015719960473108523,0.01579136477917329
32,1024,4.0,4096,random_uniform,0.01,0,4,0.001999984140631344,0.01581777965464833
32,1024,4.0,4096,random_uniform,0.01,1,0,0.0027261999133262513,0.02341566503068737
32,1024,4.0,4096,random_uniform,0.01,1,1,0.0011177040378510705,0.012007517784285566
32,1024,4.0,4096,random_uniform,0.01,1,2,0.002181558785716735,0.021820769783590144
32,1024,4.0,4096,random_uniform,0.01,1,3,0.0016153957339400007,0.016227332976443937
32,1024,4.0,4096,random_uniform,0.01,1,4,0.002154236360301642,0.017037753139645548
32,1024,4.0,4096,random_uniform,0.01,2,0,0.002631896222416783,0.02260567907672284
32,1024,4.0,4096,random_uniform,0.01,2,1,0.0010287709187608784,0.01105210743152297
32,1024,4.0,4096,random_uniform,0.01,2,2,0.0022298505340696047,0.022303801976054687
32,1024,4.0,4096,random_uniform,0.01,2,3,0.0014794155470343124,0.01486135452004692
32,1024,4.0,4096,random_uniform,0.01,2,4,0.0018517284049974058,0.014645232077318465
32,1024,4.0,4096,random_uniform,0.01,3,0,0.002420753414519264,0.02079214763348586
32,1024,4.0,4096,random_uniform,0.01,3,1,0.001180880911671205,0.012686228257059135
32,1024,4.0,4096,random_uniform,0.01,3,2,0.002121456620675862,0.02121960537058472
32,1024,4.0,4096,random_uniform,0.01,3,3,0.0017786092392646927,0.017866881627904445
32,1024,4.0,4096,random_uniform,0.01,3,4,0.0019892669754628723,0.015733018103937308
32,1024,4.0,4096,random_uniform,0.02,0,0,0.009779108148517766,0.08399395788446504
32,1024,4.0,4096,random_uniform,0.02,0,1,0.004316339719923938,0.04637052761270493
32,1024,4.0,4096,random_uniform,0.02,0,2,0.008392793379319002,0.08394786946398565
32,1024,4.0,4096,random_uniform,0.02,0,3,0.006629421384958851,0.06659534007341948
32,1024,4.0,4096,random_uniform,0.02,0,4,0.00708921596986313,0.05606827267145762
32,1024,4.0,4096,random_uniform,0.02,1,0,0.010274776384675135,0.088251313087023
32,1024,4.0,4096,random_uniform,0.02,1,1,0.004658105850554387,0.05004212828035716
32,1024,4.0,4096,random_uniform,0.02,1,2,0.008263886288369486,0.0826584923573506
32,1024,4.0,4096,random_uniform,0.02,1,3,0.006462591918041051,0.06491946755928647
32,1024,4.0,4096,random_uniform,0.02,1,4,0.007853744455889999,0.06211489218507906
32,1024,4.0,4096,random_uniform,0.02,2,0,0.010879216324957168,0.09344292178146543
32,1024,4.0,4096,random_uniform,0.02,2,1,0.004253964096580848,0.04570042499051341
32,1024,4.0,4096,random_uniform,0.02,2,2,0.008196495232001002,0.08198442171753215
32,1024,4.0,4096,random_uniform,0.02,2,3,0.006058810075109712,0.06086330826814624
32,1024,4.0,4096,random_uniform,0.02,2,4,0.007737528364280027,0.06119574463182363
32,1024,4.0,4096,random_uniform,0.02,3,0,0.010606940948872531,0.09110431522097902
32,1024,4.0,4096,random_uniform,0.02,3,1,0.00422892277932727,0.045431405597112645
32,1024,4.0,4096,random_uniform,0.02,3,2,0.009302423935128002,0.0930463356966552
32,1024,4.0,4096,random_uniform,0.02,3,3,0.0071309692001927565,0.07163359988209052
32,1024,4.0,4096,random_uniform,0.02,3,4,0.007677778016732587,0.06072318196865386
32,1024,4.0,4096,random_uniform,0.05,0,0,0.06488729676154312,0.5573249409509724
32,1024,4.0,4096,random_uniform,0.05,0,1,0.028407877829753014,0.3051864238679812
32,1024,4.0,4096,random_uniform,0.05,0,2,0.05289330172232179,0.5290586563760925
32,1024,4.0,4096,random_uniform,0.05,0,3,0.03948511568094779,0.39664467740382564
32,1024,4.0,4096,random_uniform,0.05,0,4,0.04605049546295534,0.36421118318991647
32,1024,4.0,4096,random_uniform,0.05,1,0,0.06631446779157299,0.5695830877645371
32,1024,4.0,4096,random_uniform,0.05,1,1,0.027485557090935604,0.2952779129392222
32,1024,4.0,4096,random_uniform,0.05,1,2,0.05346605829485242,0.5347875825884214
32,1024,4.0,4096,random_uniform,0.05,1,3,0.04096640296345665,0.4115248342978983
32,1024,4.0,4096,random_uniform,0.05,1,4,0.05138690706914946,0.406416609332266
32,1024,4.0,4096,random_uniform,0.05,2,0,0.0645165479146836,0.5541405336864355
32,1024,4.0,4096,random_uniform,0.05,2,1,0.026094231997444532,0.28033087844882437
32,1024,4.0,4096,random_uniform,0.05,2,2,0.05642542912586593,0.564388320386831
32,1024,4.0,4096,random_uniform,0.05,2,3,0.0399945228181743,0.4017618874240538
32,1024,4.0,4096,random_uniform,0.05,2,4,0.050002400015664666,0.39546660875105355
32,1024,4.0,4096,random_uniform,0.05,3,0,0.06859104442049072,0.589136883324008
32,1024,4.0,4096,random_uniform,0.05,3,1,0.029263117622536534,0.3143742827947691
32,1024,4.0,4096,random_uniform,0.05,3,2,0.05433206705654783,0.5434497272637111
32,1024,4.0,4096,random_uniform,0.05,3,3,0.03976537847963908,0.39946003568397975
32,1024,4.0,4096,random_uniform,0.05,3,4,0.049299763628076906,0.38990949090676263
32,1024,4.0,4096,random_uniform,0.1,0,0,0.2571157270301276,2.208398477613269
32,1024,4.0,4096,random_uniform,0.1,0,1,0.10559361246962912,1.1343943805318653
32,1024,4.0,4096,random_uniform,0.1,0,2,0.20713046040687144,2.0717966076822663
32,1024,4.0,4096,random_uniform,0.1,0,3,0.15828849752805682,1.5900748663387299
32,1024,4.0,4096,random_uniform,0.1,0,4,0.20475374812100608,1.6193876768538014
32,1024,4.0,4096,random_uniform,0.1,1,0,0.25573640903013617,2.196551346336975
32,1024,4.0,4096,random_uniform,0.1,1,1,0.11103187715291542,1.1928177714196355
32,1024,4.0,4096,random_uniform,0.1,1,2,0.21501311696345546,2.1506418971745758
32,1024,4.0,4096,random_uniform,0.1,1,3,0.15924881641040758,1.599721675439472
32,1024,4.0,4096,random_uniform,0.1,1,4,0.20964043868066676,1.65803628058161
32,1024,4.0,4096,random_uniform,0.1,2,0,0.2578968902595852,2.2151079842880566
32,1024,4.0,4096,random_uniform,0.1,2,1,0.10622716178881239,1.1412006140782174
32,1024,4.0,4096,random_uniform,0.1,2,2,0.2173821151044838,2.174337505741983
32,1024,4.0,4096,random_uniform,0.1,2,3,0.18057572287491375,1.8139594657751683
32,1024,4.0,4096,random_uniform,0.1,2,4,0.1987654744282502,1.5720267044043705
32,1024,4.0,4096,random_uniform,0.1,3,0,0.2621785269698861,2.25188348651789
32,1024,4.0,4096,random_uniform,0.1,3,1,0.11584046449057264,1.2444765254536825
32,1024,4.0,4096,random_uniform,0.1,3,2,0.2202680485893922,2.203203695641262
32,1024,4.0,4096,random_uniform,0.1,3,3,0.16524486809920028,1.6599545491890457
32,1024,4.0,4096,random_uniform,0.1,3,4,0.19973907317945155,1.579726850723372
32,1024,8.0,8192,random_uniform,0.01,0,0,0.0012941000057454688,0.011959935933971603
32,1024,8.0,8192,random_uniform,0.01,0,1,0.0006012869909622193,0.007273539838604559
32,1024,8.0,8192,random_uniform,0.01,0,2,0.0010539833891215007,0.012538745331192746
32,1024,8.0,8192,random_uniform,0.01,0,3,0.0008184980237723439,0.008954141765456948
32,1024,8.0,8192,random_uniform,0.01,0,4,0.0009258208775746375,0.008627478236999721
32,1024,8.0,8192,random_uniform,0.01,1,0,0.0013379769864470892,0.012365442367661166
32,1024,8.0,8192,random_uniform,0.01,1,1,0.0005801712496196667,0.007018110753682986
32,1024,8.0,8192,random_uniform,0.01,1,2,0.001136217482833518,0.013517045719262296
32,1024,8.0,8192,random_uniform,0.01,1,3,0.0008061798265228848,0.008819384098042962
32,1024,8.0,8192,random_uniform,0.01,1,4,0.0009612244067323046,0.0089573942982155
32,1024,8.0,8192,random_uniform,0.01,2,0,0.0014056863349751086,0.01299120503432585
32,1024,8.0,8192,random_uniform,0.01,2,1,0.0005845587025577455,0.007071184101709442
32,1024,8.0,8192,random_uniform,0.01,2,2,0.0008882211885848219,0.010566750288842113
32,1024,8.0,8192,random_uniform,0.01,2,3,0.0008051819307590528,0.008808467394670462
32,1024,8.0,8192,random_uniform,0.01,2,4,0.0010225042328100772,0.009528444680270087
32,1024,8.0,8192,random_uniform,0.01,3,0,0.0013616545049798085,0.01258426749977576
32,1024,8.0,8192,random_uniform,0.01,3,1,0.0005754901045122933,0.006961484723283953
32,1024,8.0,8192,random_uniform,0.01,3,2,0.0010394710240800183,0.012366098540658291
32,1024,8.0,8192,random_uniform,0.01,3,3,0.0007798324803384537,0.008531151425480537
32,1024,8.0,8192,random_uniform,0.01,3,4,0.0009537255873489393,0.00888751479711518
32,1024,8.0,8192,random_uniform,0.02,0,0,0.005380662902870603,0.04972751975498198
32,1024,8.0,8192,random_uniform,0.02,0,1,0.0021089446408775027,0.025511100511732054
32,1024,8.0,8192,random_uniform,0.02,0,2,0.004384711571972158,0.05216285410106675
32,1024,8.0,8192,random_uniform,0.02,0,3,0.0032361307655327056,0.03540237459900836
32,1024,8.0,8192,random_uniform,0.02,0,4,0.003968856444406867,0.036984716406047884
32,1024,8.0,8192,random_uniform,0.02,1,0,0.005162233289499525,0.047708816277351275
32,1024,8.0,8192,random_uniform,0.02,1,1,0.002486926448306203,0.0300834025503989
32,1024,8.0,8192,random_uniform,0.02,1,2,0.004352673329811142,0.05178171018223241
32,1024,8.0,8192,random_uniform,0.02,1,3,0.0033244930199485957,0.036369033197777706
32,1024,8.0,8192,random_uniform,0.02,1,4,0.004323380640443368,0.040288432988684744
32,1024,8.0,8192,random_uniform,0.02,2,0,0.005537421329921453,0.05117626462501876
32,1024,8.0,8192,random_uniform,0.02,2,1,0.002215977592025871,0.026805837377692272
32,1024,8.0,8192,random_uniform,0.02,2,2,0.004279730577578909,0.05091394451966481
32,1024,8.0,8192,random_uniform,0.02,2,3,0.0032202333399678684,0.035228461164792245
32,1024,8.0,8192,random_uniform,0.02,2,4,0.004268226751324848,0.039774468581981706
32,1024,8.0,8192,random_uniform,0.02,3,0,0.0055238558940789665,0.05105089429593119
32,1024,8.0,8192,random_uniform,0.02,3,1,0.0025336872495431966,0.030649050162594973
32,1024,8.0,8192,random_uniform,0.02,3,2,0.004198422176895884,0.049946656666769146
32,1024,8.0,8192,random_uniform,0.02,3,3,0.0030904788192802853,0.0338089826331389
32,1024,8.0,8192,random_uniform,0.02,3,4,0.003873863617463492,0.036099503545789204
32,1024,8.0,8192,random_uniform,0.05,0,0,0.030797652405182292,0.2846286593365131
32,1024,8.0,8192,random_uniform,0.05,0,1,0.013596944757090843,0.16447706479686616
32,1024,8.0,8192,random_uniform,0.05,0,2,0.027832499239335194,0.3311101707053655
32,1024,8.0,8192,random_uniform,0.05,0,3,0.018530338871624454,0.2027167768271028
32,1024,8.0,8192,random_uniform,0.05,0,4,0.027341276939398976,0.25478607955395827
32,1024,8.0,8192,random_uniform,0.05,1,0,0.03304997076622541,0.3054443483724359
32,1024,8.0,8192,random_uniform,0.05,1,1,0.013164151808096547,0.15924173324355978
32,1024,8.0,8192,random_uniform,0.05,1,2,0.025036502905668927,0.2978475155851447
32,1024,8.0,8192,random_uniform,0.05,1,3,0.020158615788809384,0.2205296754859153
32,1024,8.0,8192,random_uniform,0.05,1,4,0.02388439740317439,0.22257233962962505
32,1024,8.0,8192,random_uniform,0.05,2,0,0.03366119640413144,0.3110932313321002
32,1024,8.0,8192,random_uniform,0.05,2,1,0.012713413034092094,0.15378931787651726
32,1024,8.0,8192,random_uniform,0.05,2,2,0.026553261483727306,0.3158916799766043
32,1024,8.0,8192,random_uniform,0.05,2,3,0.02055042456883093,0.22481595506065924
32,1024,8.0,8192,random_uniform,0.05,2,4,0.02752600599075182,0.25650752039515357
32,1024,8.0,8192,random_uniform,0.05,3,0,0.0349065249551369,0.3226024266188982
32,1024,8.0,8192,random_uniform,0.05,3,1,0.012906619707432739,0.15612646545620892
32,1024,8.0,8192,random_uniform,0.05,3,2,0.02624137249168931,0.312181283130572
32,1024,8.0,8192,random_uniform,0.05,3,3,0.019995534191509512,0.2187456079632717
32,1024,8.0,8192,random_uniform,0.05,3,4,0.024736278606206363,0.23051079372770192
32,1024,8.0,8192,random_uniform,0.1,0,0,0.13185798997254009,1.2186176535447955
32,1024,8.0,8192,random_uniform,0.1,0,1,0.05621886527530575,0.680058212479724
32,1024,8.0,8192,random_uniform,0.1,0,2,0.10340684191297908,1.2301826287134061
32,1024,8.0,8192,random_uniform,0.1,0,3,0.07827833540716547,0.8563433167123927
32,1024,8.0,8192,random_uniform,0.1,0,4,0.09780844425235391,0.9114508482381415
32,1024,8.0,8192,random_uniform,0.1,1,0,0.12547849120347432,1.1596589979307532
32,1024,8.0,8192,random_uniform,0.1,1,1,0.06070547226800993,0.7343309893601506
32,1024,8.0,8192,random_uniform,0.1,1,2,0.10444116552873094,1.2424874909548889
32,1024,8.0,8192,random_uniform,0.1,1,3,0.07815176926139406,0.8549587181195683
32,1024,8.0,8192,random_uniform,0.1,1,4,0.10596913664637288,0.9874981676858192
32,1024,8.0,8192,random_uniform,0.1,2,0,0.13141244921552986,1.2145000128012997
32,1024,8.0,8192,random_uniform,0.1,2,1,0.061273601296895824,0.7412034299537122
32,1024,8.0,8192,random_uniform,0.1,2,2,0.11037117321697915,1.3130340071356934
32,1024,8.0,8192,random_uniform,0.1,2,3,0.0783826292499174,0.8574842624766366
