sigma_a,correction,challenger,baseline,rho_star_first_ge,boundary_status,max_margin_db,min_margin_db,points,rho_lower_bound,rho_upper_bound,rho_interval_midpoint,interval_kind,rho_grid_min,rho_grid_max
0.1,reference_k32,dct_paired,hadamard_paired,,not_reached,-1.193310750373504,-2.916066798510684,7,1.0,,1.0,lower_bound,0.001,1.0
0.1,reference_k32,srht_paired,hadamard_paired,0.3,observed,0.0870736214995471,-0.1210687646526054,7,0.1,0.3,0.17320508075688773,closed_interval,0.001,1.0
0.1,reference_k8,random_uniform,hadamard_paired,,not_reached,-2.3302950695858087,-23.837837789258884,7,1.0,,1.0,lower_bound,0.001,1.0
0.1,reference_k8,random_binary,hadamard_paired,,not_reached,-1.5052973062712065,-23.89778868725841,7,1.0,,1.0,lower_bound,0.001,1.0
0.1,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.9670815568012952,-19.08605590106521,7,1.0,,1.0,lower_bound,0.001,1.0
0.1,reference_k8,dct_paired,hadamard_paired,,not_reached,-1.2276533795902953,-3.008192025385398,7,1.0,,1.0,lower_bound,0.001,1.0
0.1,reference_k8,srht_paired,hadamard_paired,0.1,observed,0.122157739313172,-0.0321703425428623,7,0.03,0.1,0.05477225575051661,closed_interval,0.001,1.0
0.1,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-2.1705032482422784,-21.67682984574532,7,1.0,,1.0,lower_bound,0.001,1.0
0.1,scgi_frozen,random_binary,hadamard_paired,,not_reached,-1.287864850603679,-20.51586379044938,7,1.0,,1.0,lower_bound,0.001,1.0
0.1,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.9748729678886932,-14.044406632244788,7,1.0,,1.0,lower_bound,0.001,1.0
0.1,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.4073101720615568,-2.3279740140884897,7,1.0,,1.0,lower_bound,0.001,1.0
0.1,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,0.2402698056415602,-0.121242888025268,7,,0.001,0.001,upper_bound,0.001,1.0
0.1,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-2.1835221456849805,-23.34951749570837,7,1.0,,1.0,lower_bound,0.001,1.0
0.1,scgi_proxy,random_binary,hadamard_paired,,not_reached,-1.328235262653772,-23.23030254506032,7,1.0,,1.0,lower_bound,0.001,1.0
0.1,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-1.1274486783065552,-17.262484425839553,7,1.0,,1.0,lower_bound,0.001,1.0
0.1,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-1.2051084499466214,-2.796955718551793,7,1.0,,1.0,lower_bound,0.001,1.0
