config_id,config_index,global_config_index,init_seed,object,object_index,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,fixed_init_seed,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss,final_proxy_mean,final_proxy_std,final_proxy_min,final_proxy_max,final_proxy_range,final_proxy_tv_l1,final_proxy_roughness_l2,final_proxy_otsu_score,final_proxy_otsu_threshold,final_proxy_otsu_fg_fraction,final_proxy_hist_entropy,final_proxy_data_loss,final_proxy_aug_loss,final_proxy_denoiser_mse,final_proxy_net_delta_mse,final_proxy_dual_abs_mean
cfg0010,10,10,20240711,stripe_target,1,scgi_ured,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240710,8.392498970031738,7.508328437805176,0.17245227098464966,0.004685699939727783,0.9740428844495653,8.392498970031738,0.0046465094201266766,0.4897032380104065,0.09602610766887665,0.19191491603851318,0.7784096598625183,0.5864947438240051,0.08545780926942825,0.01294711884111166,0.00919384229928255,0.5483871102333069,0.2125244140625,1.681830883026123,0.00022740790154784918,0.0044191014021635056,0.004346324130892754,0.0008068355964496732,0.09780904650688171
cfg0011,11,11,20240712,stripe_target,1,scgi_ured,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240711,2.5879781246185303,1.6034035682678223,0.013966700993478298,0.004685699939727783,0.9740428844495653,8.270377159118652,0.09374073147773743,0.949540376663208,0.04810356721282005,0.601200520992279,1.0,0.39879947900772095,0.02333652228116989,0.0011708198580890894,0.00122835801448673,0.9354838728904724,0.58935546875,1.4209789037704468,0.00022551709844265133,0.09351521730422974,0.004334095399826765,0.0006318319356068969,0.5589348077774048
cfg0012,12,12,20240713,stripe_target,1,scgi_ured,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240712,9.124135971069336,6.379046440124512,0.17346897721290588,0.004685699939727783,0.9740428844495653,9.124135971069336,0.009155552834272385,0.5793406963348389,0.10374357551336288,0.3168579339981079,0.8840832114219666,0.5672252774238586,0.07773739099502563,0.012777473777532578,0.01086018793284893,0.6451612710952759,0.2122802734375,1.6457215547561646,0.00022753876692149788,0.00892801396548748,0.004273231141269207,0.00021089304937049747,0.14885595440864563
cfg0013,13,13,20240714,stripe_target,1,scgi_ured,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240713,8.254236221313477,4.262697219848633,0.16471460461616516,0.004685699939727783,0.9740428844495653,8.254236221313477,0.017786119133234024,0.7473819255828857,0.11822078377008438,0.47894397377967834,1.0,0.521056056022644,0.07971730828285217,0.014173520728945732,0.01346615981310606,0.8064516186714172,0.21466064453125,1.876413106918335,0.00022470064868684858,0.017561418935656548,0.004211939871311188,0.002919707680121064,0.23870909214019775
cfg0014,14,14,20240715,stripe_target,1,scgi_ured,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240714,8.506241798400879,8.528511047363281,0.15660762786865234,0.004685699939727783,0.9740428844495653,8.506241798400879,0.008441153913736343,0.3899304270744324,0.08239089697599411,0.16698090732097626,0.6254199147224426,0.4584389925003052,0.06826077401638031,0.009619016200304031,0.006843287963420153,0.4193548262119293,0.2149658203125,1.5363998413085938,0.00022630937746725976,0.008214844390749931,0.004196075722575188,0.00035656586987897754,0.1419234275817871
cfg0015,15,15,20240716,stripe_target,1,scgi_ured,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240715,8.586703300476074,8.0594482421875,0.18029972910881042,0.004685699939727783,0.9740428844495653,8.586703300476074,0.007273875176906586,0.44874507188796997,0.09603183716535568,0.12871623039245605,0.7302895784378052,0.6015733480453491,0.08571049571037292,0.013787218369543552,0.009284544736146927,0.4838709533214569,0.21533203125,1.6481022834777832,0.00022922793868929148,0.007044647354632616,0.0042524756863713264,0.0005886565195396543,0.12289047986268997
cfg0016,16,16,20240717,stripe_target,1,scgi_ured,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240716,1.057932734489441,1.2045948505401611,0.0028076637536287308,0.004685699939727783,0.9740428844495653,7.845548152923584,0.09295639395713806,0.9845479130744934,0.03388790786266327,0.6611361503601074,1.0,0.3388638496398926,0.015420408919453621,0.0008043299894779921,0.000826135918032378,0.9032257795333862,0.96734619140625,0.5764689445495605,0.00022398875444196165,0.09273240715265274,0.0043266997672617435,0.0005493288626894355,0.561129093170166
cfg0017,17,17,20240718,stripe_target,1,scgi_ured,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240717,7.7986345291137695,4.531734466552734,0.17081063985824585,0.004685699939727783,0.9740428844495653,7.831277370452881,0.012311127036809921,0.7284871339797974,0.12398352473974228,0.41800594329833984,1.0,0.5819940567016602,0.08259701728820801,0.014686317183077335,0.014697779901325703,0.8064516186714172,0.21356201171875,2.0038704872131348,0.0002302811190020293,0.012080846354365349,0.004304881207644939,0.0034379209391772747,0.1991851031780243
cfg0018,18,18,20240719,stripe_target,1,scgi_ured,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240718,7.154119968414307,9.090084075927734,0.14156761765480042,0.004685699939727783,0.9740428844495653,8.210867881774902,0.008799429051578045,0.30582383275032043,0.07485225051641464,0.09042920172214508,0.5250927209854126,0.4346635341644287,0.06715397536754608,0.008750906214118004,0.00548953702673316,0.32258063554763794,0.236083984375,1.529020071029663,0.00022664348944090307,0.008572785183787346,0.004155132919549942,0.0018035583198070526,0.15866851806640625
cfg0019,19,19,20240720,stripe_target,1,scgi_ured,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240719,8.517894744873047,5.051122665405273,0.1669045388698578,0.004685699939727783,0.9740428844495653,8.517894744873047,0.018761225044727325,0.6817513108253479,0.11050724983215332,0.4385331869125366,1.0,0.5614668130874634,0.07839812338352203,0.013324462808668613,0.012153388001024723,0.7419354915618896,0.21343994140625,1.8203482627868652,0.0002275441074743867,0.018533680588006973,0.004260174930095673,0.0006394829251803458,0.23173916339874268
cfg0020,20,20,20240721,stripe_target,1,scgi_ured,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240720,4.783231258392334,9.217020034790039,0.11987695842981339,0.004685699939727783,0.9740428844495653,6.848119258880615,0.02790164388716221,0.17995962500572205,0.07392027974128723,0.0,0.5389877557754517,0.5389877557754517,0.0831235721707344,0.012197185307741165,0.004915389697998762,0.19354838132858276,0.2552490234375,1.90264093875885,0.0002280939370393753,0.027673549950122833,0.004386215005069971,0.001362615847028792,0.29424017667770386
cfg0021,21,21,20240722,stripe_target,1,scgi_ured,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240721,8.087332725524902,4.741724014282227,0.17025822401046753,0.004685699939727783,0.9740428844495653,8.408995628356934,0.024938564747571945,0.7098962068557739,0.11897804588079453,0.42068755626678467,1.0,0.5793124437332153,0.08779650926589966,0.014825896359980106,0.013857011683285236,0.774193525314331,0.21392822265625,1.9536843299865723,0.00023073700140230358,0.02470782771706581,0.00434354180470109,0.0006271569873206317,0.26754242181777954
cfg0022,22,22,20240723,stripe_target,1,scgi_ured,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240722,9.355998039245605,6.702913761138916,0.1772969365119934,0.004685699939727783,0.9740428844495653,9.355998039245605,0.007279584649950266,0.5546066761016846,0.10177470743656158,0.26849108934402466,0.8530469536781311,0.5845558643341064,0.08046451210975647,0.013972027227282524,0.010521817952394485,0.6129032373428345,0.2127685546875,1.629014015197754,0.00022465214715339243,0.007054932415485382,0.0043167052790522575,0.00021883947192691267,0.1281328648328781
cfg0023,23,23,20240724,stripe_target,1,scgi_ured,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240723,7.3448944091796875,9.146246910095215,0.17066189646720886,0.004685699939727783,0.9740428844495653,7.767274856567383,0.013988012447953224,0.33003535866737366,0.0852479338645935,0.07179366052150726,0.6048070788383484,0.5330134034156799,0.07663972675800323,0.013956530950963497,0.0070731439627707005,0.35483869910240173,0.22021484375,1.669219970703125,0.00022469961550086737,0.013763313181698322,0.004146919585764408,0.0004236332606524229,0.19437754154205322
