object,family,K_eff,basis,requested_basis,rho,s,seed,W,num_frames,carrier_mean,carrier_cv,gain_rel_err,theory_variance_cv2_over_w
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,0,1024,2048,5.388211250305176,0.2916378676891327,0.12244458869561288,8.305922448267975e-05
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,1,4,2048,5.388211250305176,0.2916378676891327,0.05806312016622204,0.021263161467566016
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,1,8,2048,5.388211250305176,0.2916378676891327,0.03369334472732834,0.010631580733783008
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,1,16,2048,5.388211250305176,0.2916378676891327,0.024859400415713793,0.005315790366891504
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,1,32,2048,5.388211250305176,0.2916378676891327,0.027624860700092593,0.002657895183445752
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,1,64,2048,5.388211250305176,0.2916378676891327,0.03710021603033952,0.001328947591722876
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,1,128,2048,5.388211250305176,0.2916378676891327,0.05205662030622153,0.000664473795861438
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,1,256,2048,5.388211250305176,0.2916378676891327,0.07424389355846359,0.000332236897930719
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,1,512,2048,5.388211250305176,0.2916378676891327,0.10158031606480072,0.0001661184489653595
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,1,1024,2048,5.388211250305176,0.2916378676891327,0.12184497499289222,8.305922448267975e-05
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,2,4,2048,5.388211250305176,0.2916378676891327,0.05890348294790442,0.021263161467566016
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,2,8,2048,5.388211250305176,0.2916378676891327,0.03388274270345976,0.010631580733783008
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,2,16,2048,5.388211250305176,0.2916378676891327,0.024154304372324784,0.005315790366891504
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,2,32,2048,5.388211250305176,0.2916378676891327,0.02616500305889185,0.002657895183445752
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,2,64,2048,5.388211250305176,0.2916378676891327,0.03431971206781359,0.001328947591722876
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,2,128,2048,5.388211250305176,0.2916378676891327,0.04837242813881681,0.000664473795861438
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,2,256,2048,5.388211250305176,0.2916378676891327,0.0663308985310973,0.000332236897930719
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,2,512,2048,5.388211250305176,0.2916378676891327,0.08905071587605914,0.0001661184489653595
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,2,1024,2048,5.388211250305176,0.2916378676891327,0.1152912173179748,8.305922448267975e-05
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,3,4,2048,5.388211250305176,0.2916378676891327,0.05986872234094761,0.021263161467566016
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,3,8,2048,5.388211250305176,0.2916378676891327,0.034788715664950585,0.010631580733783008
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,3,16,2048,5.388211250305176,0.2916378676891327,0.02588929099203023,0.005315790366891504
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,3,32,2048,5.388211250305176,0.2916378676891327,0.028735491346889158,0.002657895183445752
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,3,64,2048,5.388211250305176,0.2916378676891327,0.03844690226236483,0.001328947591722876
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,3,128,2048,5.388211250305176,0.2916378676891327,0.05231608324175321,0.000664473795861438
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,3,256,2048,5.388211250305176,0.2916378676891327,0.07299449966895892,0.000332236897930719
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,3,512,2048,5.388211250305176,0.2916378676891327,0.09909659194474568,0.0001661184489653595
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,3,1024,2048,5.388211250305176,0.2916378676891327,0.12642045488613485,8.305922448267975e-05
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,4,4,2048,5.388211250305176,0.2916378676891327,0.05998679974739922,0.021263161467566016
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,4,8,2048,5.388211250305176,0.2916378676891327,0.03442316873802939,0.010631580733783008
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,4,16,2048,5.388211250305176,0.2916378676891327,0.022932253696999586,0.005315790366891504
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,4,32,2048,5.388211250305176,0.2916378676891327,0.02337975821248491,0.002657895183445752
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,4,64,2048,5.388211250305176,0.2916378676891327,0.03035717504022266,0.001328947591722876
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,4,128,2048,5.388211250305176,0.2916378676891327,0.0422724907779329,0.000664473795861438
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,4,256,2048,5.388211250305176,0.2916378676891327,0.05990918991449242,0.000332236897930719
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,4,512,2048,5.388211250305176,0.2916378676891327,0.08254942651134949,0.0001661184489653595
letter_L,binary_letter,11.757425132510521,hadamard_paired,hadamard_ordered,0.001,0.1,4,1024,2048,5.388211250305176,0.2916378676891327,0.12726037374516014,8.305922448267975e-05
stripe,stripe,512.0,hadamard_paired,hadamard_ordered,0.001,0.1,0,4,2048,256.0,0.04419417306780815,0.013525746135041487,0.00048828123328684483
stripe,stripe,512.0,hadamard_paired,hadamard_ordered,0.001,0.1,0,8,2048,256.0,0.04419417306780815,0.015413334685633993,0.00024414061664342242
stripe,stripe,512.0,hadamard_paired,hadamard_ordered,0.001,0.1,0,16,2048,256.0,0.04419417306780815,0.019715791493951633,0.00012207030832171121
stripe,stripe,512.0,hadamard_paired,hadamard_ordered,0.001,0.1,0,32,2048,256.0,0.04419417306780815,0.028114686227968873,6.1035154160855604e-05
stripe,stripe,512.0,hadamard_paired,hadamard_ordered,0.001,0.1,0,64,2048,256.0,0.04419417306780815,0.03896206689177546,3.0517577080427802e-05
stripe,stripe,512.0,hadamard_paired,hadamard_ordered,0.001,0.1,0,128,2048,256.0,0.04419417306780815,0.05561030631992512,1.5258788540213901e-05
stripe,stripe,512.0,hadamard_paired,hadamard_ordered,0.001,0.1,0,256,2048,256.0,0.04419417306780815,0.07774228433503987,7.6293942701069505e-06
stripe,stripe,512.0,hadamard_paired,hadamard_ordered,0.001,0.1,0,512,2048,256.0,0.04419417306780815,0.1010017831964351,3.8146971350534753e-06
stripe,stripe,512.0,hadamard_paired,hadamard_ordered,0.001,0.1,0,1024,2048,256.0,0.04419417306780815,0.12567466708259745,1.9073485675267376e-06
stripe,stripe,512.0,hadamard_paired,hadamard_ordered,0.001,0.1,1,4,2048,256.0,0.04419417306780815,0.012456654138930469,0.00048828123328684483
stripe,stripe,512.0,hadamard_paired,hadamard_ordered,0.001,0.1,1,8,2048,256.0,0.04419417306780815,0.014223092429920797,0.00024414061664342242
stripe,stripe,512.0,hadamard_paired,hadamard_ordered,0.001,0.1,1,16,2048,256.0,0.04419417306780815,0.018197954722898653,0.00012207030832171121
stripe,stripe,512.0,hadamard_paired,hadamard_ordered,0.001,0.1,1,32,2048,256.0,0.04419417306780815,0.02604643607833366,6.1035154160855604e-05
stripe,stripe,512.0,hadamard_paired,hadamard_ordered,0.001,0.1,1,64,2048,256.0,0.04419417306780815,0.036678325558194204,3.0517577080427802e-05
stripe,stripe,512.0,hadamard_paired,hadamard_ordered,0.001,0.1,1,128,2048,256.0,0.04419417306780815,0.05183594719631813,1.5258788540213901e-05
stripe,stripe,512.0,hadamard_paired,hadamard_ordered,0.001,0.1,1,256,2048,256.0,0.04419417306780815,0.07416792363977326,7.6293942701069505e-06
stripe,stripe,512.0,hadamard_paired,hadamard_ordered,0.001,0.1,1,512,2048,256.0,0.04419417306780815,0.10224528140606773,3.8146971350534753e-06
