basis,rho,object,fit_max_W,slope_log_err_vs_log_W,W,object_mean_err,object_std_err,relative_spread
random_uniform,0.001,digit_0,32,-0.4821626710156806,1024,0.04232505962118357,0.002817995678480905,0.06657983954901522
random_uniform,0.001,digit_1,32,-0.32608506197015197,4,0.03161259522737479,0.020258173581480677,0.6408260200016163
random_uniform,0.001,digit_1,32,-0.32608506197015197,8,0.023719959470410376,0.014817225108522604,0.6246732894719509
random_uniform,0.001,digit_1,32,-0.32608506197015197,16,0.017892964486346925,0.010347968034823685,0.5783260813332309
random_uniform,0.001,digit_1,32,-0.32608506197015197,32,0.014844837850594724,0.006914957359259963,0.4658156208141358
random_uniform,0.001,digit_1,32,-0.32608506197015197,64,0.014274898440496883,0.003921594483597028,0.27471960658380173
random_uniform,0.001,digit_1,32,-0.32608506197015197,128,0.016855571114221753,0.0024361505212168615,0.1445308797137926
random_uniform,0.001,digit_1,32,-0.32608506197015197,256,0.0223456048857799,0.002358733312138252,0.10555692379754204
random_uniform,0.001,digit_1,32,-0.32608506197015197,512,0.03177113146746617,0.0026818924254167443,0.08441287110479583
random_uniform,0.001,digit_1,32,-0.32608506197015197,1024,0.04232505962118357,0.002817995678480905,0.06657983954901522
random_uniform,0.001,digit_2,32,-0.28657944820770764,4,0.03161259522737479,0.020258173581480677,0.6408260200016163
random_uniform,0.001,digit_2,32,-0.28657944820770764,8,0.023719959470410376,0.014817225108522604,0.6246732894719509
random_uniform,0.001,digit_2,32,-0.28657944820770764,16,0.017892964486346925,0.010347968034823685,0.5783260813332309
random_uniform,0.001,digit_2,32,-0.28657944820770764,32,0.014844837850594724,0.006914957359259963,0.4658156208141358
random_uniform,0.001,digit_2,32,-0.28657944820770764,64,0.014274898440496883,0.003921594483597028,0.27471960658380173
random_uniform,0.001,digit_2,32,-0.28657944820770764,128,0.016855571114221753,0.0024361505212168615,0.1445308797137926
random_uniform,0.001,digit_2,32,-0.28657944820770764,256,0.0223456048857799,0.002358733312138252,0.10555692379754204
random_uniform,0.001,digit_2,32,-0.28657944820770764,512,0.03177113146746617,0.0026818924254167443,0.08441287110479583
random_uniform,0.001,digit_2,32,-0.28657944820770764,1024,0.04232505962118357,0.002817995678480905,0.06657983954901522
