unit_index,K,p,N,offset,seed,object_kind,shard,rank_J,expected_rank,local_identifiable,rank_deficit,sv_smallest_informative_ratio,sv_gauge_ratio,rank_threshold,solver_success,best_relmse_T,best_ell_max_err,best_residual,iterations,restarts_used
819,64,17,79,-2,19,random_nonneg,1/2,79,80,False,1,,,2.5117295369657005e-07,False,0.5381926937919914,0.8493162627591699,0.0101787340901784,150,8
821,64,17,80,-1,1,sparse_spikes,1/2,80,80,True,0,0.0001419772244503,,6.622403912664342e-08,False,0.1016246538155202,0.3418903768826948,0.0054988732038194,150,8
823,64,17,80,-1,3,random_nonneg,1/2,80,80,True,0,0.0002520272991479,,2.4701756470829223e-07,False,0.2181083137197362,0.7678911579719708,0.0064478969320605,150,8
825,64,17,80,-1,5,random_nonneg,1/2,80,80,True,0,0.0001339487429074,,4.7376952132083517e-07,False,0.6398263402647625,1.063778407558028,0.0077106121724457,150,8
827,64,17,80,-1,7,random_nonneg,1/2,80,80,True,0,0.0005282350703918,,1.2719751941393653e-07,False,0.246491167345258,0.6496056196197976,0.0081350179557914,150,8
829,64,17,80,-1,9,random_nonneg,1/2,80,80,True,0,0.0013973882326813,,1.2898051830162018e-07,False,0.1083593364677314,0.7689590942847486,0.0069093811597574,150,8
831,64,17,80,-1,11,random_nonneg,1/2,80,80,True,0,0.0001528460046517,,1.5409988402809e-07,False,0.3119534347571202,0.9697132685136384,0.0068958230583537,150,8
833,64,17,80,-1,13,random_nonneg,1/2,80,80,True,0,8.221325158773885e-05,,1.639829481178241e-07,False,0.3099939039002268,1.3741011840363178,0.0128446896603184,150,8
835,64,17,80,-1,15,random_nonneg,1/2,80,80,True,0,0.0009115001068291,,1.417059484058299e-07,False,0.1736293852647401,0.8658458194030587,0.0086506645537924,150,8
837,64,17,80,-1,17,random_nonneg,1/2,80,80,True,0,1.6773072154536632e-05,,5.7474055624696126e-08,False,0.1052304607705687,0.44931770437492,0.0043509725498506,150,8
839,64,17,80,-1,19,random_nonneg,1/2,80,80,True,0,0.0002869954465059,,5.593445244983745e-07,False,0.4079111881765593,1.5905749803776097,0.0218604571685045,150,8
841,64,17,81,0,1,sparse_spikes,1/2,80,80,True,0,0.0016548253398739,1.5141169822843078e-17,4.507196287628185e-08,False,0.0918056167473894,0.4798683627247553,0.0079630087880367,150,8
843,64,17,81,0,3,random_nonneg,1/2,80,80,True,0,0.0013559614883993,9.252766043946142e-18,3.0474861640072984e-07,False,0.0726215048647456,0.4287187186558042,0.0077486283943249,150,8
845,64,17,81,0,5,random_nonneg,1/2,80,80,True,0,0.0002602799722359,1.2870179638946175e-17,4.892336271746691e-07,False,0.6020535526710057,3.1965461692437582,0.0213035570403153,150,8
847,64,17,81,0,7,random_nonneg,1/2,80,80,True,0,0.0003022007426609,6.495585965975065e-18,1.4168095104624998e-07,False,0.1290263800177199,0.7920044622663729,0.0079170503567528,150,8
849,64,17,81,0,9,random_nonneg,1/2,80,80,True,0,0.0001836204149637,6.367808945544153e-19,1.2755959098261516e-07,False,0.692961729109736,7.328718644189853,0.0356045041949782,150,8
851,64,17,81,0,11,random_nonneg,1/2,80,80,True,0,0.000218765166472,9.963538465191049e-18,2.047174825505931e-07,False,0.3863529603070529,1.8990858770443688,0.0126440919396754,150,8
853,64,17,81,0,13,random_nonneg,1/2,80,80,True,0,0.0005790094273546,1.6621715180527988e-17,1.0493884258448757e-07,False,0.12326043287273,0.4321713197805084,0.0087632594779035,150,8
855,64,17,81,0,15,random_nonneg,1/2,80,80,True,0,0.0010578536538606,5.614288264892489e-18,1.2281366280200372e-07,False,0.2514638690950836,0.7706729018113525,0.0096609254409886,150,8
857,64,17,81,0,17,random_nonneg,1/2,80,80,True,0,0.000508218725222,3.964567419132909e-17,1.2289864332117014e-07,False,0.054386643395744,0.4874494256258073,0.0042459877589599,150,8
859,64,17,81,0,19,random_nonneg,1/2,80,80,True,0,0.0006996332883804,2.12229984521771e-17,2.4725517356172654e-07,False,0.2208987967915137,0.7678260650867235,0.0092248299119112,150,8
861,64,17,83,2,1,sparse_spikes,1/2,80,80,True,0,0.000836235628405,5.027434324247356e-18,1.9036618091323079e-07,False,0.3064685323235422,1.1704917657288738,0.0264985595378712,150,8
863,64,17,83,2,3,random_nonneg,1/2,80,80,True,0,0.0011739677813718,2.434786960909603e-17,8.89022033214099e-08,False,0.169390325602477,0.7457696278820543,0.0111897225726555,150,8
865,64,17,83,2,5,random_nonneg,1/2,80,80,True,0,0.001029375678813,7.934201185526686e-17,2.2878330715527545e-07,False,0.4847176671871864,1.3612808323538077,0.0120821085336239,150,8
867,64,17,83,2,7,random_nonneg,1/2,80,80,True,0,0.0016150946873998,8.505590624595919e-18,1.378659916197987e-07,False,0.0797288191073061,0.440767123511762,0.0089633333606272,150,8
869,64,17,83,2,9,random_nonneg,1/2,80,80,True,0,0.0009708904344726,6.173193190723027e-17,1.3537576850536012e-07,False,0.1013649252356398,0.4635008605992614,0.007081153972908,150,8
871,64,17,83,2,11,random_nonneg,1/2,80,80,True,0,0.0009459974783842,7.245881390613864e-17,1.187127107119192e-07,False,0.0612721703074348,0.3617090105086665,0.0039280211580268,150,8
873,64,17,83,2,13,random_nonneg,1/2,80,80,True,0,0.0009036700541203,1.969257379969876e-17,1.1960984562544562e-07,False,0.065537323519042,0.2511378465788467,0.0039409449372106,150,8
875,64,17,83,2,15,random_nonneg,1/2,80,80,True,0,0.0012556232699481,1.6901328630941648e-17,1.514375155161455e-07,False,0.0333418389429704,0.2869018399831843,0.0064441178122688,150,8
