config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h
cfg0031,1,8.3372163772583,8.3372163772583,3.6563456058502197,3.6563456058502197,0.1503286510705948,40,0.001,0.45,0.5,0.1,24,3,0.3,nlm,3,0.06
cfg0043,1,8.287245750427246,8.287245750427246,3.1800537109375,3.1800537109375,0.12449733167886734,40,0.001,0.5,0.5,0.11,24,3,0.3,nlm,3,0.06
cfg0038,1,8.274568557739258,8.274568557739258,4.897680282592773,4.897680282592773,0.16956818103790283,40,0.001,0.5,0.5,0.09,24,3,0.3,nlm,3,0.065
cfg0025,1,8.246783256530762,8.246783256530762,4.931613445281982,4.931613445281982,0.1681482195854187,38,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.06
cfg0047,1,8.227787017822266,8.227787017822266,4.8879780769348145,4.8879780769348145,0.16712263226509094,40,0.001,0.55,0.5,0.09,24,3,0.3,nlm,3,0.065
cfg0039,1,8.176018714904785,8.176018714904785,3.6630918979644775,3.6630918979644775,0.15197356045246124,40,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.055
cfg0050,1,8.17342758178711,8.17342758178711,3.6304450035095215,3.6304450035095215,0.14460909366607666,40,0.001,0.55,0.5,0.1,24,3,0.3,nlm,3,0.065
cfg0016,1,8.141669273376465,8.141669273376465,4.93814754486084,4.93814754486084,0.16991016268730164,38,0.001,0.5,0.5,0.11,24,3,0.3,nlm,3,0.06
cfg0017,1,8.114839553833008,8.114839553833008,4.921205520629883,4.921205520629883,0.1631697118282318,38,0.001,0.5,0.5,0.11,24,3,0.3,nlm,3,0.065
cfg0005,1,8.092086791992188,8.092086791992188,6.267111778259277,6.267111778259277,0.17604637145996094,38,0.001,0.45,0.5,0.1,24,3,0.3,nlm,3,0.065
cfg0044,1,8.077521324157715,8.077521324157715,3.168281078338623,3.168281078338623,0.1213412806391716,40,0.001,0.5,0.5,0.11,24,3,0.3,nlm,3,0.065
cfg0037,1,8.066495895385742,8.066495895385742,4.9151225090026855,4.9151225090026855,0.1755046546459198,40,0.001,0.5,0.5,0.09,24,3,0.3,nlm,3,0.06
cfg0051,1,8.051325798034668,8.051325798034668,3.1869091987609863,3.1869091987609863,0.12619967758655548,40,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.055
cfg0019,1,7.929291725158691,7.929291725158691,8.15244197845459,8.15244197845459,0.18873685598373413,38,0.001,0.55,0.5,0.09,24,3,0.3,nlm,3,0.06
cfg0053,1,7.911845684051514,7.911845684051514,3.1630043983459473,3.1630043983459473,0.12003876268863678,40,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.065
cfg0011,1,7.899343013763428,7.899343013763428,8.127459526062012,8.127459526062012,0.18406899273395538,38,0.001,0.5,0.5,0.09,24,3,0.3,nlm,3,0.065
cfg0026,1,7.852052211761475,7.852052211761475,4.912801265716553,4.912801265716553,0.1603371500968933,38,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.065
cfg0035,1,7.792053699493408,7.792053699493408,3.1728768348693848,3.1728768348693848,0.12236734479665756,40,0.001,0.45,0.5,0.11,24,3,0.3,nlm,3,0.065
cfg0034,1,7.719933986663818,7.719933986663818,3.183835506439209,3.183835506439209,0.12496376782655716,40,0.001,0.45,0.5,0.11,24,3,0.3,nlm,3,0.06
cfg0029,1,7.66116189956665,7.66116189956665,4.905129432678223,4.905129432678223,0.17166540026664734,40,0.001,0.45,0.5,0.09,24,3,0.3,nlm,3,0.065
cfg0042,1,7.651175022125244,7.651175022125244,3.190765619277954,3.190765619277954,0.12637504935264587,40,0.001,0.5,0.5,0.11,24,3,0.3,nlm,3,0.055
