config_id,config_index,global_config_index,init_seed,object,object_index,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss,final_proxy_mean,final_proxy_std,final_proxy_min,final_proxy_max,final_proxy_range,final_proxy_tv_l1,final_proxy_roughness_l2,final_proxy_otsu_score,final_proxy_otsu_threshold,final_proxy_otsu_fg_fraction,final_proxy_hist_entropy,final_proxy_data_loss,final_proxy_aug_loss,final_proxy_denoiser_mse,final_proxy_net_delta_mse,final_proxy_dual_abs_mean
cfg0020,20,20,20240710,stripe_target,1,scgi_ured,38,0.001,0.55,0.5,0.09,24,3,0.3,nlm,3,0.065,8.551798820495605,8.114508628845215,0.18172681331634521,0.004685699939727783,0.9740428844495653,8.551798820495605,0.00721722561866045,0.447368860244751,0.09797152131795883,0.1775127351284027,0.7610282301902771,0.5835155248641968,0.08274728804826736,0.014892848208546638,0.009645946323871613,0.4838709533214569,0.2161865234375,1.5544493198394775,0.00022706716845277697,0.006990158464759588,0.00472730677574873,0.0010856946464627981,0.12491950392723083
cfg0021,21,21,20240710,stripe_target,1,scgi_ured,38,0.001,0.55,0.5,0.1,24,3,0.3,nlm,3,0.055,7.558047771453857,6.2928009033203125,0.18435567617416382,0.004685699939727783,0.9740428844495653,7.558047771453857,0.0022605890408158302,0.5887349843978882,0.10964840650558472,0.24527442455291748,0.9882186651229858,0.7429442405700684,0.09283202141523361,0.01667272113263607,0.011941274628043175,0.6451612710952759,0.21612548828125,1.8045375347137451,0.00022742690634913743,0.0020331621635705233,0.003244241466745734,0.0021143860649317503,0.07319226861000061
cfg0022,22,22,20240710,stripe_target,1,scgi_ured,38,0.001,0.55,0.5,0.1,24,3,0.3,nlm,3,0.06,9.024121284484863,6.273879051208496,0.1786462664604187,0.004685699939727783,0.9740428844495653,9.024121284484863,0.002504349686205387,0.5883886814117432,0.10565339028835297,0.2679291069507599,0.9226849675178528,0.6547558307647705,0.08298398554325104,0.01434529758989811,0.01131259836256504,0.6451612710952759,0.21368408203125,1.690391182899475,0.0002273216814501211,0.0022770280484110117,0.0040712845511734486,0.0021750302985310555,0.07769246399402618
cfg0023,23,23,20240710,stripe_target,1,scgi_ured,38,0.001,0.55,0.5,0.1,24,3,0.3,nlm,3,0.065,8.839027404785156,6.247015476226807,0.17083705961704254,0.004685699939727783,0.9740428844495653,9.096390724182129,0.0026437242049723864,0.5877415537834167,0.10242993384599686,0.34574902057647705,0.8822879791259766,0.5365389585494995,0.07823454588651657,0.012975194491446018,0.010581922717392445,0.6451612710952759,0.2127685546875,1.674156904220581,0.0002272549900226295,0.002416469156742096,0.004755102563649416,0.002228600438684225,0.08013640344142914
cfg0024,24,24,20240710,stripe_target,1,scgi_ured,38,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.055,7.495840549468994,4.945468902587891,0.173837348818779,0.004685699939727783,0.9740428844495653,7.684079647064209,0.0077019911259412766,0.6907632946968079,0.11345425248146057,0.3511277437210083,1.0,0.6488722562789917,0.0920255184173584,0.015335224568843842,0.012594359926879406,0.774193525314331,0.21307373046875,1.94035804271698,0.00022756669204682112,0.007474424317479134,0.0031791245564818382,0.0028782146982848644,0.15186332166194916
cfg0025,25,25,20240710,stripe_target,1,scgi_ured,38,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.06,8.246783256530762,4.931613445281982,0.1681482195854187,0.004685699939727783,0.9740428844495653,9.214393615722656,0.007868392392992973,0.6904079914093018,0.10980670899152756,0.3763663172721863,1.0,0.6236336827278137,0.08246732503175735,0.013240973465144634,0.011976486071944237,0.7419354915618896,0.21405029296875,1.8643558025360107,0.0002274603903060779,0.007640932220965624,0.004054514691233635,0.002948604989796877,0.15219971537590027
cfg0026,26,26,20240710,stripe_target,1,scgi_ured,38,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.065,7.852052211761475,4.912801265716553,0.1603371500968933,0.004685699939727783,0.9740428844495653,9.117620468139648,0.007919295690953732,0.6896869540214539,0.10658442229032516,0.4665529131889343,0.9991373419761658,0.5325844287872314,0.07767578959465027,0.011910001747310162,0.011202177964150906,0.7419354915618896,0.21417236328125,1.8625513315200806,0.00022738476400263608,0.007691910490393639,0.004781349562108517,0.003014162415638566,0.1522359997034073
cfg0027,27,27,20240710,stripe_target,1,scgi_ured,40,0.001,0.45,0.5,0.09,24,3,0.3,nlm,3,0.055,6.2299604415893555,4.92676305770874,0.17937499284744263,0.004685699939727783,0.9740428844495653,6.2299604415893555,0.005704817362129688,0.6947682499885559,0.1213551014661789,0.3430532217025757,1.0,0.6569467782974243,0.11379621922969818,0.019810164347290993,0.013867706060409546,0.774193525314331,0.21588134765625,2.1424829959869385,0.00022774875105824322,0.005477068480104208,0.003117435146123171,0.0036353408358991146,0.13845200836658478
cfg0028,28,28,20240710,stripe_target,1,scgi_ured,40,0.001,0.45,0.5,0.09,24,3,0.3,nlm,3,0.06,7.240782260894775,4.919504165649414,0.17659103870391846,0.004685699939727783,0.9740428844495653,7.240782260894775,0.00593182910233736,0.6949708461761475,0.11790606379508972,0.3551636040210724,1.0,0.64483642578125,0.10066518187522888,0.017067279666662216,0.013476156629621983,0.774193525314331,0.213623046875,2.0283966064453125,0.00022765700123272836,0.00570417195558548,0.004019138403236866,0.003690161509439349,0.13930901885032654
cfg0029,29,29,20240710,stripe_target,1,scgi_ured,40,0.001,0.45,0.5,0.09,24,3,0.3,nlm,3,0.065,7.66116189956665,4.905129432678223,0.17166540026664734,0.004685699939727783,0.9740428844495653,7.75559663772583,0.006081579718738794,0.6948661208152771,0.11495877057313919,0.4087677001953125,1.0,0.5912322998046875,0.09251416474580765,0.015304249711334705,0.01293297577649355,0.774193525314331,0.21258544921875,1.9741735458374023,0.00022759835701435804,0.0058539812453091145,0.004765183664858341,0.0037511331029236317,0.13991674780845642
cfg0030,30,30,20240710,stripe_target,1,scgi_ured,40,0.001,0.45,0.5,0.1,24,3,0.3,nlm,3,0.055,7.414361476898193,3.666071891784668,0.15124528110027313,0.004685699939727783,0.9740428844495653,7.414361476898193,0.019751667976379395,0.791273832321167,0.11122576147317886,0.4499794840812683,1.0,0.5500205159187317,0.0902145728468895,0.014085656963288784,0.01059360709041357,0.8387097120285034,0.229736328125,1.9095854759216309,0.00022787356283515692,0.01952379383146763,0.0030465179588645697,0.004030687268823385,0.26091665029525757
cfg0031,31,31,20240710,stripe_target,1,scgi_ured,40,0.001,0.45,0.5,0.1,24,3,0.3,nlm,3,0.06,8.3372163772583,3.6563456058502197,0.1503286510705948,0.004685699939727783,0.9740428844495653,8.3372163772583,0.019990503787994385,0.7924708127975464,0.10991599410772324,0.4666977822780609,1.0,0.5333021879196167,0.08193603157997131,0.012566405348479748,0.010488818399608135,0.8387097120285034,0.22320556640625,1.8339961767196655,0.00022777848062105477,0.01976272463798523,0.003991666249930859,0.004098935052752495,0.2613324224948883
cfg0032,32,32,20240710,stripe_target,1,scgi_ured,40,0.001,0.45,0.5,0.1,24,3,0.3,nlm,3,0.065,8.339679718017578,3.643890380859375,0.14736028015613556,0.004685699939727783,0.9740428844495653,8.339679718017578,0.020120425149798393,0.7931974530220032,0.10882019251585007,0.5266684889793396,1.0,0.4733315110206604,0.07735098153352737,0.011627652682363987,0.010312180034816265,0.8387097120285034,0.220947265625,1.819565773010254,0.00022771496151108295,0.019892709329724312,0.004778807517141104,0.004167681559920311,0.2615184783935547
cfg0033,33,33,20240710,stripe_target,1,scgi_ured,40,0.001,0.45,0.5,0.11,24,3,0.3,nlm,3,0.055,6.941148281097412,3.1926050186157227,0.1262778639793396,0.004685699939727783,0.9740428844495653,6.962774753570557,0.031935665756464005,0.8252006769180298,0.09923192113637924,0.43209022283554077,1.0,0.5679097771644592,0.08328166604042053,0.010668552480638027,0.007736928295344114,0.8709677457809448,0.239013671875,1.920736312866211,0.0002278841711813584,0.03170778229832649,0.002924863249063492,0.003477748017758131,0.3279041647911072
cfg0034,34,34,20240710,stripe_target,1,scgi_ured,40,0.001,0.45,0.5,0.11,24,3,0.3,nlm,3,0.06,7.719933986663818,3.183835506439209,0.12496376782655716,0.004685699939727783,0.9740428844495653,7.719933986663818,0.03215159848332405,0.8262116312980652,0.0976206362247467,0.5110514760017395,1.0,0.4889485239982605,0.0757487565279007,0.009233501739799976,0.007551129907369614,0.8709677457809448,0.23370361328125,1.8604350090026855,0.00022777990670874715,0.031923819333314896,0.003932392690330744,0.0035449271090328693,0.3282477855682373
cfg0035,35,35,20240710,stripe_target,1,scgi_ured,40,0.001,0.45,0.5,0.11,24,3,0.3,nlm,3,0.065,7.792053699493408,3.1728768348693848,0.12236734479665756,0.004685699939727783,0.9740428844495653,8.18184757232666,0.03226488083600998,0.8270038366317749,0.09665416181087494,0.5604821443557739,1.0,0.4395178556442261,0.07135102152824402,0.008419488556683064,0.0074160401709377766,0.8709677457809448,0.23150634765625,1.8423714637756348,0.00022771325893700123,0.032037168741226196,0.004776145331561565,0.0036140934098511934,0.328398734331131
