sigma_a,correction,challenger,baseline,rho_star_log_interp,boundary_status,max_margin_db,min_margin_db,max_margin_db_above_floor,min_margin_db_above_floor,points,above_floor_points,sub_floor_points,rho_min,rho_max,above_floor_rho_min,above_floor_rho_max,above_floor_rel_mse
0.1,reference_k2,random_binary,hadamard_paired,,not_reached,-0.6330064533274609,-26.37357972350521,-1.337179749268664,-26.37357972350521,9,7,2,0.001,10.0,0.001,1.0,0.5
0.1,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.23715758168669865,-21.53189686541928,-0.7480821585493498,-21.53189686541928,9,7,2,0.001,10.0,0.001,1.0,0.5
0.1,reference_k2,dct_paired,hadamard_paired,,not_reached,-1.1361752307664386,-3.007882720051967,-1.5897490046840765,-3.007882720051967,9,7,2,0.001,10.0,0.001,1.0,0.5
0.1,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.09010367271357111,0.014711243980393363,0.08297344064346213,0.014711243980393363,9,7,2,0.001,10.0,0.001,1.0,0.5
0.1,reference_k32,random_uniform,hadamard_paired,,not_reached,-1.6157242955001472,-23.48768057003112,-4.6546614486644575,-23.48768057003112,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,reference_k32,random_binary,hadamard_paired,,not_reached,-0.9059861510409171,-23.422050594663027,-3.8438965355771852,-23.422050594663027,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.3127813443544323,-18.55375837890654,-2.153613906055199,-18.55375837890654,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.8834549391096864,-2.916066798510684,-1.8359966449573282,-2.916066798510684,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,reference_k32,srht_paired,hadamard_paired,0.17490124693549938,observed,0.08852456000230013,-0.12106876465260541,0.08707362149954712,-0.12106876465260541,9,7,2,0.001,10.0,0.001,1.0,0.5
0.1,reference_k8,random_uniform,hadamard_paired,,not_reached,-1.5397233770061156,-23.837837789258884,-4.37607705697781,-23.837837789258884,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,reference_k8,random_binary,hadamard_paired,,not_reached,-0.7759943915557947,-23.897788687258412,-3.310149440554712,-23.897788687258412,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.3659191331614675,-19.08605590106521,-2.1128767064029965,-19.08605590106521,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.906833165653925,-3.008192025385398,-1.9203153215616329,-3.008192025385398,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,reference_k8,srht_paired,hadamard_paired,0.03137733773610111,observed,0.12215773931317209,-0.03217034254286233,0.12215773931317209,-0.03217034254286233,9,7,2,0.001,10.0,0.001,1.0,0.5
0.1,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-1.3372489365075406,-23.34951749570837,-4.451153984408283,-23.34951749570837,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,scgi_proxy,random_binary,hadamard_paired,,not_reached,-0.4793805689957207,-23.230302545060322,-3.5698062666142523,-23.230302545060322,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.474579359509665,-17.26248442583955,-2.3250035302969376,-17.26248442583955,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.9026526486357049,-2.796955718551793,-1.8316903591764628,-2.796955718551793,9,6,3,0.001,10.0,0.001,0.3,0.5
0.1,scgi_proxy,srht_paired,hadamard_paired,0.04604607054138067,observed,0.11857695496637,-0.12244705047660887,0.11857695496637,-0.12244705047660887,9,7,2,0.001,10.0,0.001,1.0,0.5
0.15,agc,random_uniform,hadamard_paired,,not_reached,-0.45368113220804496,-10.22297720699376,-4.295567473406935,-10.22297720699376,9,5,4,0.001,10.0,0.001,0.1,0.5
0.15,agc,random_binary,hadamard_paired,,not_reached,0.0723259033129029,-9.693984972065191,-3.6820725169616964,-9.693984972065191,9,5,4,0.001,10.0,0.001,0.1,0.5
0.15,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.2229497153298361,-2.884767323391813,-0.8880213135841899,-2.884767323391813,9,5,4,0.001,10.0,0.001,0.1,0.5
0.15,agc,dct_paired,hadamard_paired,,not_reached,-0.42122354253728034,-2.291509124281969,-1.2545883058375864,-2.291509124281969,9,5,4,0.001,10.0,0.001,0.1,0.5
0.15,agc,srht_paired,hadamard_paired,0.001,left_censored,10.079373980662997,0.30576055982153605,10.079373980662997,0.6855509958666826,9,6,3,0.001,10.0,0.001,0.3,0.5
0.15,none,random_uniform,hadamard_paired,,not_reached,-0.6616244528311608,-19.03655784221528,-2.660042517545673,-19.03655784221528,9,6,3,0.001,10.0,0.001,0.3,0.5
0.15,none,random_binary,hadamard_paired,,not_reached,-0.11617476190638776,-17.93039353013034,-2.10109983500047,-17.93039353013034,9,6,3,0.001,10.0,0.001,0.3,0.5
0.15,none,fourier_fourstep,hadamard_paired,,not_reached,-0.14159595781370626,-10.496723505281839,-1.3192074703798102,-10.496723505281839,9,6,3,0.001,10.0,0.001,0.3,0.5
0.15,none,dct_paired,hadamard_paired,,not_reached,-0.41465783762133057,-2.1164756121173163,-0.41465783762133057,-2.1164756121173163,9,6,3,0.001,10.0,0.001,0.3,0.5
0.15,none,srht_paired,hadamard_paired,0.029052810151300006,observed,0.12633136108393295,-0.1492691450617194,0.12633136108393295,-0.1492691450617194,9,6,3,0.001,10.0,0.001,0.3,0.5
0.15,pairwise,dct_paired,hadamard_paired,,not_reached,-0.49337280801428385,-3.000764860572822,-1.292148458012237,-3.000764860572822,9,6,3,0.001,10.0,0.001,0.3,0.5
0.15,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.09972002091119059,0.017457477894843976,0.09505859785499382,0.017457477894843976,9,6,3,0.001,10.0,0.001,0.3,0.5
0.15,reference_k2,random_uniform,hadamard_paired,,not_reached,-0.8815628099547279,-22.769453893510054,-2.910286234577896,-22.769453893510054,9,6,3,0.001,10.0,0.001,0.3,0.5
0.15,reference_k2,random_binary,hadamard_paired,,not_reached,-0.17761616346831666,-22.86216311574711,-1.742172982781728,-22.86216311574711,9,6,3,0.001,10.0,0.001,0.3,0.5
0.15,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.09047169722813386,-18.05254616211811,-1.0063205131822013,-18.05254616211811,9,6,3,0.001,10.0,0.001,0.3,0.5
0.15,reference_k2,dct_paired,hadamard_paired,,not_reached,-0.6329011340021005,-3.0059226475141045,-1.7835336825409893,-3.0059226475141045,9,6,3,0.001,10.0,0.001,0.3,0.5
0.15,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.07966642726332651,0.016140259471384866,0.06325248967107377,0.016140259471384866,9,6,3,0.001,10.0,0.001,0.3,0.5
0.15,reference_k32,random_uniform,hadamard_paired,,not_reached,-0.8120458268911772,-20.277155869218774,-2.792789962002864,-20.277155869218774,9,6,3,0.001,10.0,0.001,0.3,0.5
0.15,reference_k32,random_binary,hadamard_paired,,not_reached,-0.41816032567558814,-20.029323401132455,-2.3111340694725904,-20.029323401132455,9,6,3,0.001,10.0,0.001,0.3,0.5
0.15,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.12431434052333046,-15.16881989393524,-1.3192991598304804,-15.16881989393524,9,6,3,0.001,10.0,0.001,0.3,0.5
