config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance
cfg0022,1,6.61358642578125,6.61358642578125,8.663605690002441,8.663605690002441,0.17635682225227356,34,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.07,7,4
cfg0062,1,6.610445976257324,6.610445976257324,6.341684341430664,6.341684341430664,0.17499315738677979,36,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.062,5,4
cfg0098,1,6.599129676818848,6.599129676818848,4.932414531707764,4.932414531707764,0.16886687278747559,38,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,4
cfg0093,1,6.595966339111328,6.595966339111328,6.259670257568359,6.259670257568359,0.15058036148548126,36,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.07,5,6
cfg0118,1,6.576180934906006,6.576180934906006,4.188275337219238,4.188275337219238,0.15797612071037292,38,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.07,7,4
cfg0119,1,6.567192554473877,6.567192554473877,4.179435729980469,4.179435729980469,0.15289181470870972,38,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.07,7,6
cfg0134,1,6.559979438781738,6.559979438781738,4.185297966003418,4.185297966003418,0.15889623761177063,38,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.062,5,4
cfg0077,1,6.553257465362549,6.553257465362549,7.622851371765137,7.622851371765137,0.18388113379478455,36,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.062,7,6
cfg0104,1,6.538989543914795,6.538989543914795,4.892482757568359,4.892482757568359,0.1552201807498932,38,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.07,5,4
cfg0050,1,6.538771152496338,6.538771152496338,7.621415138244629,7.621415138244629,0.1820683479309082,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,4
cfg0106,1,6.538156509399414,6.538156509399414,4.928272247314453,4.928272247314453,0.16600996255874634,38,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.07,7,4
cfg0074,1,6.49093770980835,6.49093770980835,7.609129428863525,7.609129428863525,0.18024107813835144,36,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.062,5,4
cfg0041,1,6.44266414642334,6.44266414642334,8.68350887298584,8.68350887298584,0.18154475092887878,34,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.062,7,6
cfg0116,1,6.421580791473389,6.421580791473389,4.159788608551025,4.159788608551025,0.14835470914840698,38,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.07,5,4
cfg0080,1,6.414668083190918,6.414668083190918,7.525018692016602,7.525018692016602,0.16320154070854187,36,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.07,5,4
cfg0122,1,6.398289203643799,6.398289203643799,4.92399263381958,4.92399263381958,0.16722372174263,38,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.062,5,4
cfg0029,1,6.39492130279541,6.39492130279541,9.475451469421387,9.475451469421387,0.17768403887748718,34,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.062,7,6
cfg0086,1,6.393539905548096,6.393539905548096,6.331141471862793,6.331141471862793,0.17305390536785126,36,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.062,5,4
cfg0129,1,6.326181411743164,6.326181411743164,4.877532958984375,4.877532958984375,0.14686065912246704,38,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.07,5,6
cfg0005,1,6.271029472351074,6.271029472351074,9.489814758300781,9.489814758300781,0.17913389205932617,34,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,7,6
cfg0082,1,6.250765800476074,6.250765800476074,7.589682579040527,7.589682579040527,0.17588840425014496,36,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.07,7,4
cfg0073,1,6.237421035766602,6.237421035766602,7.479262828826904,7.479262828826904,0.15371377766132355,36,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.062,3,6
cfg0085,1,6.22239875793457,6.22239875793457,6.239680290222168,6.239680290222168,0.14692774415016174,36,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.062,3,6
cfg0083,1,6.2220892906188965,6.2220892906188965,7.553201675415039,7.553201675415039,0.16725653409957886,36,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.07,7,6
cfg0141,1,6.2051100730896,6.2051100730896,4.148867607116699,4.148867607116699,0.14147527515888214,38,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.07,5,6
cfg0044,1,6.196081638336182,6.196081638336182,8.558097839355469,8.558097839355469,0.1608654409646988,34,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.07,5,4
cfg0038,1,6.187076091766357,6.187076091766357,8.667901992797852,8.667901992797852,0.1781613677740097,34,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.062,5,4
cfg0092,1,6.155003547668457,6.155003547668457,6.267170429229736,6.267170429229736,0.1552409678697586,36,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.07,5,4
cfg0014,1,6.150995254516602,6.150995254516602,8.682004928588867,8.682004928588867,0.18004757165908813,34,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.062,5,4
cfg0047,1,6.118122577667236,6.118122577667236,8.584075927734375,8.584075927734375,0.1644987016916275,34,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.07,7,6
cfg0046,1,6.0671281814575195,6.0671281814575195,8.637985229492188,8.637985229492188,0.1733393669128418,34,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.07,7,4
cfg0137,1,6.066182613372803,6.066182613372803,4.190182209014893,4.190182209014893,0.1628984808921814,38,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.062,7,6
cfg0140,1,6.023622035980225,6.023622035980225,4.149688243865967,4.149688243865967,0.14475205540657043,38,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.07,5,4
cfg0128,1,6.012265205383301,6.012265205383301,4.879955768585205,4.879955768585205,0.15125906467437744,38,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.07,5,4
cfg0142,1,5.961115837097168,5.961115837097168,4.178500652313232,4.178500652313232,0.15538370609283447,38,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.07,7,4
cfg0061,1,5.955966472625732,5.955966472625732,6.250331401824951,6.250331401824951,0.15053728222846985,36,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.062,3,6
cfg0037,1,5.939453601837158,5.939453601837158,8.496857643127441,8.496857643127441,0.15159296989440918,34,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.062,3,6
cfg0121,1,5.933786392211914,5.933786392211914,4.861095428466797,4.861095428466797,0.14277532696723938,38,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.062,3,6
cfg0112,1,5.9327778816223145,5.9327778816223145,4.203742027282715,4.203742027282715,0.16412244737148285,38,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.062,7,4
cfg0049,1,5.921254634857178,5.921254634857178,7.4939398765563965,7.4939398765563965,0.15731242299079895,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,3,6
cfg0079,1,5.909662246704102,5.909662246704102,7.395925045013428,7.395925045013428,0.13769322633743286,36,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.07,3,6
