image_size,num_pixels,basis,rho,sigma_a,window_frac,window_frames,gain_rel_mse_mean,gain_rel_mse_std,gain_corr_mean,gain_corr_std
32,1024,hadamard_paired,0.0003,0.1,0.006,12,0.0005573299577008584,5.752000511247661e-05,0.8137587122619152,0.08396927791447394
32,1024,hadamard_paired,0.0003,0.1,0.009,18,0.000735850309865782,7.713884282091909e-05,0.774734266102314,0.09844287976714729
32,1024,hadamard_paired,0.0003,0.1,0.013,27,0.000982966661467799,0.00010313981981748698,0.7294488241896033,0.11437529283394292
32,1024,hadamard_paired,0.0003,0.1,0.02,41,0.0014235285671020392,0.00014853572363732987,0.6660191668197513,0.13497835476965264
32,1024,hadamard_paired,0.0003,0.1,0.03,61,0.002055621247563977,0.00021514481186424514,0.5982217928394675,0.15721708696011544
32,1024,hadamard_paired,0.0003,0.1,0.045,92,0.0030387021470232867,0.00031564864439464823,0.5227854826953262,0.18832970373523836
32,1024,hadamard_paired,0.0003,0.1,0.067,137,0.00433177754166536,0.00043855972316320633,0.45361319778021425,0.22674363337791942
32,1024,hadamard_paired,0.0003,0.1,0.1,205,0.00624913937645033,0.0006104970320970465,0.38279366260394454,0.27682155937357517
32,1024,hadamard_paired,0.0003,0.1,0.15,307,0.008944914428866468,0.0008426431875775814,0.3177686641283799,0.33085338184559965
32,1024,hadamard_paired,0.0003,0.1,0.22,451,0.012408232956659049,0.0010963155786961015,0.26157294047879986,0.38439137952015534
32,1024,hadamard_paired,0.0003,0.1,0.33,676,0.017059177218470722,0.0014836697004543733,0.21202714054379612,0.44601909902501785
32,1024,hadamard_paired,0.0003,0.1,0.5,1024,0.02255937672453001,0.0019357085686329987,0.1754620394203812,0.5098303787155989
32,1024,hadamard_paired,0.0003,0.15,0.0015,3,0.0005275697740216856,8.304780135905944e-05,0.9046870674937963,0.048851899316436916
32,1024,hadamard_paired,0.0003,0.15,0.0025,5,0.00040786873614706565,5.7958173699556606e-05,0.9234746396541595,0.03965338891950966
32,1024,hadamard_paired,0.0003,0.15,0.004,8,0.00046364312493096804,6.928887941867177e-05,0.9146615769714117,0.0434601616310314
32,1024,hadamard_paired,0.0003,0.15,0.006,12,0.0005770864163423539,8.839573953264596e-05,0.8973271790891886,0.05154681558772716
32,1024,hadamard_paired,0.0003,0.15,0.009,18,0.0007635092188138515,0.00011850154427495213,0.8708950057625771,0.06379819744484136
32,1024,hadamard_paired,0.0003,0.15,0.013,27,0.0010213372534053633,0.00015821299408223634,0.8380711674690247,0.07865076758211355
32,1024,hadamard_paired,0.0003,0.15,0.02,41,0.0014804078309680335,0.00022732383738199359,0.7881804462522268,0.09964282726142912
32,1024,hadamard_paired,0.0003,0.15,0.03,61,0.0021395379153545946,0.0003282650322775734,0.7293981779366732,0.12350016815211662
32,1024,hadamard_paired,0.0003,0.15,0.045,92,0.003164152236422524,0.00048037305275769,0.6568361157551408,0.15716288345233048
32,1024,hadamard_paired,0.0003,0.15,0.067,137,0.004508176534727681,0.0006665777768811386,0.5832365374080837,0.19887139119155514
32,1024,hadamard_paired,0.0003,0.15,0.1,205,0.00650240111281164,0.000927691272220708,0.5009223481174558,0.2535142665804108
32,1024,hadamard_paired,0.0003,0.15,0.15,307,0.009306225372711197,0.0012792660573546723,0.41855804913211614,0.3121663369312559
32,1024,hadamard_paired,0.0003,0.15,0.22,451,0.012920090783154592,0.0016662780878505794,0.3414567497675307,0.36965843652660296
32,1024,hadamard_paired,0.0003,0.15,0.33,676,0.017790195444831625,0.002265232085169903,0.2666115624306258,0.43688000156758344
32,1024,hadamard_paired,0.0003,0.15,0.5,1024,0.023572604812216014,0.002955957902051823,0.20463316526729614,0.506448331867047
32,1024,hadamard_paired,0.0003,0.3,0.0015,3,0.0005586218330790871,0.00012096563663969859,0.9712629057466984,0.016296701248549223
32,1024,hadamard_paired,0.0003,0.3,0.0025,5,0.00044800692649005214,0.00011418385066517776,0.976937972009182,0.01286546056125514
32,1024,hadamard_paired,0.0003,0.3,0.004,8,0.000525407887835172,0.00014976589893602954,0.9733069706708193,0.014641163633331481
32,1024,hadamard_paired,0.0003,0.3,0.006,12,0.0006614137191718328,0.00019172979442714984,0.9667435325682163,0.018237068844125053
32,1024,hadamard_paired,0.0003,0.3,0.009,18,0.0008824793512758333,0.00025620267263247963,0.9562860187143087,0.02400959145694554
32,1024,hadamard_paired,0.0003,0.3,0.013,27,0.0011868365145346615,0.0003401513358162723,0.9423594269901514,0.031744195080718546
32,1024,hadamard_paired,0.0003,0.3,0.02,41,0.0017261107877857285,0.0004856890810834519,0.9191978927701712,0.04397491505217598
32,1024,hadamard_paired,0.0003,0.3,0.03,61,0.002501360842870781,0.0006958982643703722,0.888331213966012,0.0594995501280397
32,1024,hadamard_paired,0.0003,0.3,0.045,92,0.003703640802996233,0.001007575678950126,0.8439975660294294,0.0836751377182947
32,1024,hadamard_paired,0.0003,0.3,0.067,137,0.005267563108645845,0.0013894558617638271,0.7906614430248737,0.11785840945018708
32,1024,hadamard_paired,0.0003,0.3,0.1,205,0.0075854371098103,0.0019297643388771228,0.7187139433808625,0.1724113464328127
32,1024,hadamard_paired,0.0003,0.3,0.15,307,0.010838622052688152,0.0026541582593826497,0.6318828866351396,0.24033548109854622
32,1024,hadamard_paired,0.0003,0.3,0.22,451,0.015090964559931308,0.003471483988989037,0.5338022666983306,0.3100484748288749
32,1024,hadamard_paired,0.0003,0.3,0.33,676,0.020954241161234677,0.004824816980053314,0.4171396536985412,0.39024752385836425
32,1024,hadamard_paired,0.0003,0.3,0.5,1024,0.028087639366276562,0.006352514805137327,0.29292818426620215,0.4743027179722859
32,1024,hadamard_paired,0.0003,0.5,0.0015,3,0.0006168945274112048,0.00020039400258013484,0.9882743060588837,0.006819928700691211
32,1024,hadamard_paired,0.0003,0.5,0.0025,5,0.0005271053914839285,0.00021119251893886139,0.9901164695620537,0.005733262226475264
32,1024,hadamard_paired,0.0003,0.5,0.004,8,0.0006500586732727243,0.0002816087695586097,0.9879510868340731,0.006941251291964472
32,1024,hadamard_paired,0.0003,0.5,0.006,12,0.0008331010731126298,0.00035928815949422954,0.9845825489610434,0.00895369981462162
32,1024,hadamard_paired,0.0003,0.5,0.009,18,0.0011258991271461127,0.0004776199401870887,0.9792355634272099,0.012175557804478656
32,1024,hadamard_paired,0.0003,0.5,0.013,27,0.0015256386595865479,0.0006287849577342983,0.9720043148845434,0.016569487816117227
32,1024,hadamard_paired,0.0003,0.5,0.02,41,0.0022283289436018094,0.0008899071657923985,0.9597322605550289,0.023734941084066017
32,1024,hadamard_paired,0.0003,0.5,0.03,61,0.0032390287524322048,0.001260362514284132,0.9427337106317282,0.03331326065169938
32,1024,hadamard_paired,0.0003,0.5,0.045,92,0.0047990628372645006,0.0017886305922145945,0.9171379469335079,0.04838061601704662
32,1024,hadamard_paired,0.0003,0.5,0.067,137,0.006808009071392007,0.002431168454376107,0.8846891652792692,0.06896696771137799
32,1024,hadamard_paired,0.0003,0.5,0.1,205,0.009767728857696056,0.00335870617760271,0.8371311575174332,0.10436353736117027
32,1024,hadamard_paired,0.0003,0.5,0.15,307,0.01389726676279679,0.004617533729249813,0.7735141031444073,0.15693821663943752
32,1024,hadamard_paired,0.0003,0.5,0.22,451,0.019429597625276074,0.006097657051171071,0.6902638978790492,0.22101442211661543
32,1024,hadamard_paired,0.0003,0.5,0.33,676,0.02740455194725655,0.008853432170053153,0.5671382297878154,0.33274685638326057
32,1024,hadamard_paired,0.0003,0.5,0.5,1024,0.03750247386051342,0.012023898535673446,0.42260642093606293,0.42884987541454855
32,1024,hadamard_paired,0.001,0.05,0.0015,3,0.0005185102154428023,7.455307265432956e-05,0.7751711010932922,0.08808350028921184
32,1024,hadamard_paired,0.001,0.05,0.0025,5,0.00039699950502836145,3.863787038731694e-05,0.8123500254005194,0.07804731862409567
32,1024,hadamard_paired,0.001,0.05,0.004,8,0.00044751866516890004,3.503747677736451e-05,0.796696973964572,0.08309925039060306
32,1024,hadamard_paired,0.001,0.05,0.006,12,0.0005553701630560681,4.305515052781584e-05,0.7661064621061087,0.09207049133868762
32,1024,hadamard_paired,0.001,0.05,0.009,18,0.0007331003798753954,5.7551760709965104e-05,0.7233197595924139,0.10389677636442762
32,1024,hadamard_paired,0.001,0.05,0.013,27,0.0009791252905415604,7.686209512404656e-05,0.6755109187215567,0.1160056682237701
32,1024,hadamard_paired,0.001,0.05,0.02,41,0.0014178380515659228,0.00011100218071532514,0.6115247225388885,0.13084539335996007
32,1024,hadamard_paired,0.001,0.05,0.03,61,0.002047063237114344,0.00016082460749353966,0.5465109902434051,0.1478803560110983
32,1024,hadamard_paired,0.001,0.05,0.045,92,0.003025750418601092,0.00023576848321308524,0.4779765566345304,0.17494424409388515
32,1024,hadamard_paired,0.001,0.05,0.067,137,0.0043137768225278705,0.00032439795057655343,0.4182939233542129,0.21086162356026703
32,1024,hadamard_paired,0.001,0.05,0.1,205,0.006223466160008684,0.00044437869205890063,0.35995704692891195,0.25714155059341215
32,1024,hadamard_paired,0.001,0.05,0.15,307,0.008908826217520982,0.0006128722131842504,0.3096533057978377,0.3039255167022124
32,1024,hadamard_paired,0.001,0.05,0.22,451,0.01235789165366441,0.0008164943245971416,0.26763357294839807,0.34583429135871574
32,1024,hadamard_paired,0.001,0.05,0.33,676,0.016983685840386897,0.0011665357735959347,0.23177001904696226,0.391348202950163
32,1024,hadamard_paired,0.001,0.05,0.5,1024,0.022439306834712625,0.0016182372541243013,0.20633141975849867,0.4421902566529455
32,1024,hadamard_paired,0.001,0.1,0.0015,3,0.0005334189791028621,8.5835818818951e-05,0.919989213347435,0.0414535807896939
32,1024,hadamard_paired,0.001,0.1,0.0025,5,0.0004156210598011967,6.038181147159744e-05,0.935776824131608,0.03334587452683454
32,1024,hadamard_paired,0.001,0.1,0.004,8,0.0004755591389766778,7.084926151405517e-05,0.9278576076030731,0.03659390885684424
32,1024,hadamard_paired,0.001,0.1,0.006,12,0.0005933014017500682,8.988271946994397e-05,0.9127201642841101,0.04356878466960439
32,1024,hadamard_paired,0.001,0.1,0.009,18,0.0007863412083679577,0.00012043815251695896,0.8895414806902409,0.054189761173785
32,1024,hadamard_paired,0.001,0.1,0.013,27,0.0010531029893172672,0.00016053014930504154,0.8605294153094292,0.06695527668717394
32,1024,hadamard_paired,0.001,0.1,0.02,41,0.0015276874692062847,0.00023035808856680472,0.8160475213080645,0.08433570374339594
32,1024,hadamard_paired,0.001,0.1,0.03,61,0.0022089890262577683,0.0003320848524417166,0.7628845646977425,0.10342396015184141
32,1024,hadamard_paired,0.001,0.1,0.045,92,0.0032677671988494694,0.00048608744647264364,0.6960544846951962,0.13152122116011114
32,1024,hadamard_paired,0.001,0.1,0.067,137,0.004654630189179443,0.0006672789597310461,0.6266949488781393,0.16935089418932228
32,1024,hadamard_paired,0.001,0.1,0.1,205,0.006713340393616818,0.0009123391117688991,0.547694516601041,0.21996361470047449
32,1024,hadamard_paired,0.001,0.1,0.15,307,0.009610381021047942,0.001258025022027309,0.468177850387292,0.2715900274231042
32,1024,hadamard_paired,0.001,0.1,0.22,451,0.013360368990106508,0.0016837480057036286,0.3921475553725031,0.31840138919511524
32,1024,hadamard_paired,0.001,0.1,0.33,676,0.018421113403746858,0.0024256029912051373,0.31600254898512503,0.37280101521742687
32,1024,hadamard_paired,0.001,0.1,0.5,1024,0.024421886540949345,0.0033618916403708337,0.25080349505878985,0.4337585614051264
32,1024,hadamard_paired,0.001,0.15,0.0015,3,0.0005516545706996112,0.00010371377542946897,0.9601477291435003,0.022306965330476807
32,1024,hadamard_paired,0.001,0.15,0.0025,5,0.0004395605210447684,8.808665152570793e-05,0.9679369982331991,0.017577679520684
32,1024,hadamard_paired,0.001,0.15,0.004,8,0.0005126632458996028,0.00011107689401938273,0.9630830194801092,0.019748716424778472
32,1024,hadamard_paired,0.001,0.15,0.006,12,0.0006441154691856354,0.0001416464841494175,0.9543435461819172,0.02426995613510284
32,1024,hadamard_paired,0.001,0.15,0.009,18,0.0008582388581999112,0.00018962068256957884,0.9405885394662619,0.03149762140473116
32,1024,hadamard_paired,0.001,0.15,0.013,27,0.001153358325609588,0.00025179312762756427,0.9225985091179609,0.04092507422310589
32,1024,hadamard_paired,0.001,0.15,0.02,41,0.0016768948844401166,0.0003594912218552247,0.8934600371867418,0.05487647762047741
32,1024,hadamard_paired,0.001,0.15,0.03,61,0.002428714000416221,0.0005162641048247513,0.856022771447897,0.07085301793927402
32,1024,hadamard_paired,0.001,0.15,0.045,92,0.003595701651647687,0.0007532826188723576,0.8045130223035812,0.09483905578139576
32,1024,hadamard_paired,0.001,0.15,0.067,137,0.005117230051837396,0.0010306639751063067,0.745136265642941,0.12928994824326867
32,1024,hadamard_paired,0.001,0.15,0.1,205,0.007374886990874074,0.0014059975825541531,0.6695638680830598,0.1797811919045698
32,1024,hadamard_paired,0.001,0.15,0.15,307,0.010553314015851356,0.0019403869709996942,0.5846426744246855,0.234323955816454
32,1024,hadamard_paired,0.001,0.15,0.22,451,0.014713433251017705,0.002614055756604121,0.494020659243688,0.28480270166707844
32,1024,hadamard_paired,0.001,0.15,0.33,676,0.020400434732437134,0.0038179850920561326,0.39193243416957557,0.3472683436746961
