sigma_a,correction,challenger,baseline,rho_star_first_ge,boundary_status,max_margin_db,min_margin_db,points
0.15,scgi_frozen,random_binary,hadamard_paired,,not_reached,-0.6077429056448711,-17.792262387997233,7
0.15,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.5146705813086054,-10.476426166676319,7
0.15,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.4698364439447751,-2.123802075096375,7
0.15,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,0.3028051033575174,-0.06682086738870652,7
0.15,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-1.1611225988195795,-20.266378838117497,7
0.15,scgi_proxy,random_binary,hadamard_paired,,not_reached,-0.6362658350084391,-19.896820862329612,7
0.15,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.6130611843438096,-13.918724157542957,7
0.15,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.680349266146484,-2.7830554335553153,7
0.15,scgi_proxy,srht_paired,hadamard_paired,0.03,observed,0.11514989316259516,-0.11489119389990066,7
0.3,agc,random_uniform,hadamard_paired,,not_reached,-0.22542685891722058,-10.185183057919488,7
0.3,agc,random_binary,hadamard_paired,,not_reached,-0.06744730525383247,-9.221925126198963,7
0.3,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.13907423504692673,-2.773532309782098,7
0.3,agc,dct_paired,hadamard_paired,,not_reached,-0.16367055464835722,-2.236249921528593,7
0.3,agc,srht_paired,hadamard_paired,0.001,left_censored,5.38942236293126,0.15160354232668105,7
0.3,none,random_uniform,hadamard_paired,,not_reached,-0.302875997644529,-13.79716918690674,7
0.3,none,random_binary,hadamard_paired,,not_reached,-0.13684139548621133,-13.225670356712925,7
0.3,none,fourier_fourstep,hadamard_paired,,not_reached,-0.12416293220440444,-5.129701096254102,7
0.3,none,dct_paired,hadamard_paired,,not_reached,-0.18349667972759853,-1.5114749574154978,7
0.3,none,srht_paired,hadamard_paired,0.001,left_censored,0.14773878106948324,-0.044694984415603045,7
0.3,pairwise,dct_paired,hadamard_paired,,not_reached,-0.212343906566673,-2.953783978099672,7
0.3,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.0815146309965531,0.026285993334653313,7
0.3,reference_k2,random_uniform,hadamard_paired,,not_reached,-0.4273466597314428,-16.856471512874663,7
0.3,reference_k2,random_binary,hadamard_paired,,not_reached,-0.038439555823439164,-16.895987088867876,7
0.3,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.11184561028899509,-12.248613513566934,7
0.3,reference_k2,dct_paired,hadamard_paired,,not_reached,-0.32184228598700493,-2.989936660919515,7
0.3,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.05486287546028379,0.020306201920995193,7
0.3,reference_k32,random_uniform,hadamard_paired,,not_reached,-0.31896128710406657,-15.39262311451695,7
0.3,reference_k32,random_binary,hadamard_paired,,not_reached,-0.20915058969627687,-14.596107262442382,7
0.3,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.10511693641291231,-9.813090629872605,7
0.3,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.15909667575173714,-2.8519426554688643,7
