object,family,K_eff,treatment,seed,agc_window,cnr,psnr
letter_L,binary_letter,59.80235255589372,oracle,1,32,5.536261081695557,15.934247970581055
letter_L,binary_letter,59.80235255589372,metered_noisy,1,32,5.509140968322754,15.85417366027832
letter_L,binary_letter,59.80235255589372,blind_agc,1,32,5.410124778747559,15.993282318115234
letter_L,binary_letter,59.80235255589372,no_correction,1,32,5.114187717437744,14.843381881713867
letter_L,binary_letter,59.80235255589372,static_reference,1,32,5.536261558532715,15.934247016906738
letter_L,binary_letter,59.80235255589372,oracle,2,32,5.536261558532715,15.934247970581055
letter_L,binary_letter,59.80235255589372,metered_noisy,2,32,5.41497802734375,15.735139846801758
letter_L,binary_letter,59.80235255589372,blind_agc,2,32,5.408407211303711,16.06161880493164
letter_L,binary_letter,59.80235255589372,no_correction,2,32,3.9758615493774414,12.771507263183594
letter_L,binary_letter,59.80235255589372,static_reference,2,32,5.536261558532715,15.934247016906738
letter_L,binary_letter,59.80235255589372,oracle,3,32,5.536261081695557,15.934247016906738
letter_L,binary_letter,59.80235255589372,metered_noisy,3,32,5.519538879394531,15.900991439819336
letter_L,binary_letter,59.80235255589372,blind_agc,3,32,5.403995513916016,15.986356735229492
letter_L,binary_letter,59.80235255589372,no_correction,3,32,4.909026145935059,14.6791410446167
letter_L,binary_letter,59.80235255589372,static_reference,3,32,5.536261558532715,15.934247016906738
letter_L,binary_letter,59.80235255589372,oracle,4,32,5.536262035369873,15.934247016906738
letter_L,binary_letter,59.80235255589372,metered_noisy,4,32,5.515777587890625,15.853092193603516
letter_L,binary_letter,59.80235255589372,blind_agc,4,32,5.379827976226807,15.9847412109375
letter_L,binary_letter,59.80235255589372,no_correction,4,32,4.210728645324707,13.646350860595703
letter_L,binary_letter,59.80235255589372,static_reference,4,32,5.536261558532715,15.934247016906738
stripe,stripe,512.0,oracle,0,32,2.0241010189056396,6.552497863769531
stripe,stripe,512.0,metered_noisy,0,32,1.8305668830871582,5.578411102294922
stripe,stripe,512.0,blind_agc,0,32,1.8791837692260742,6.083331108093262
stripe,stripe,512.0,no_correction,0,32,0.8571791052818298,-1.0424457788467407
stripe,stripe,512.0,static_reference,0,32,2.0241007804870605,6.552497863769531
stripe,stripe,512.0,oracle,1,32,2.0241007804870605,6.5524983406066895
stripe,stripe,512.0,metered_noisy,1,32,1.8158842325210571,5.718361854553223
stripe,stripe,512.0,blind_agc,1,32,1.8286365270614624,5.900404453277588
stripe,stripe,512.0,no_correction,1,32,1.0627508163452148,1.0597846508026123
stripe,stripe,512.0,static_reference,1,32,2.0241007804870605,6.552497863769531
stripe,stripe,512.0,oracle,2,32,2.0241010189056396,6.552497863769531
stripe,stripe,512.0,metered_noisy,2,32,1.8830256462097168,5.99633264541626
stripe,stripe,512.0,blind_agc,2,32,1.9123923778533936,6.215398788452148
stripe,stripe,512.0,no_correction,2,32,0.5725523233413696,-4.11620569229126
stripe,stripe,512.0,static_reference,2,32,2.0241007804870605,6.552497863769531
stripe,stripe,512.0,oracle,3,32,2.0241007804870605,6.5524983406066895
stripe,stripe,512.0,metered_noisy,3,32,1.8933093547821045,5.924090385437012
stripe,stripe,512.0,blind_agc,3,32,1.8586691617965698,6.244423866271973
stripe,stripe,512.0,no_correction,3,32,0.8418341875076294,-0.36516517400741577
stripe,stripe,512.0,static_reference,3,32,2.0241007804870605,6.552497863769531
stripe,stripe,512.0,oracle,4,32,2.0241005420684814,6.552497863769531
stripe,stripe,512.0,metered_noisy,4,32,1.8897615671157837,5.873146057128906
stripe,stripe,512.0,blind_agc,4,32,1.905714750289917,6.215847015380859
stripe,stripe,512.0,no_correction,4,32,0.7601526379585266,-2.259143829345703
stripe,stripe,512.0,static_reference,4,32,2.0241007804870605,6.552497863769531
ring,ring,220.0,oracle,0,32,3.1184933185577393,9.934486389160156
ring,ring,220.0,metered_noisy,0,32,3.031041383743286,9.724818229675293
ring,ring,220.0,blind_agc,0,32,3.009568214416504,9.899011611938477
ring,ring,220.0,no_correction,0,32,1.8422876596450806,5.39970588684082
ring,ring,220.0,static_reference,0,32,3.1184935569763184,9.934486389160156
ring,ring,220.0,oracle,1,32,3.1184933185577393,9.934486389160156
ring,ring,220.0,metered_noisy,1,32,3.0197885036468506,9.613028526306152
ring,ring,220.0,blind_agc,1,32,2.972728729248047,9.727877616882324
ring,ring,220.0,no_correction,1,32,2.1903493404388428,6.901959419250488
ring,ring,220.0,static_reference,1,32,3.1184935569763184,9.934486389160156
ring,ring,220.0,oracle,2,32,3.11849308013916,9.934486389160156
ring,ring,220.0,metered_noisy,2,32,2.9891836643218994,9.479169845581055
ring,ring,220.0,blind_agc,2,32,3.00219988822937,9.84019947052002
ring,ring,220.0,no_correction,2,32,1.2819468975067139,2.74513840675354
ring,ring,220.0,static_reference,2,32,3.1184935569763184,9.934486389160156
ring,ring,220.0,oracle,3,32,3.1184933185577393,9.934486389160156
ring,ring,220.0,metered_noisy,3,32,3.02333927154541,9.779190063476562
ring,ring,220.0,blind_agc,3,32,3.037602663040161,9.884491920471191
ring,ring,220.0,no_correction,3,32,1.934328317642212,5.636146068572998
ring,ring,220.0,static_reference,3,32,3.1184935569763184,9.934486389160156
ring,ring,220.0,oracle,4,32,3.1184933185577393,9.934486389160156
ring,ring,220.0,metered_noisy,4,32,3.0119004249572754,9.57776927947998
ring,ring,220.0,blind_agc,4,32,3.008345365524292,9.781517028808594
ring,ring,220.0,no_correction,4,32,1.6856330633163452,4.280628204345703
ring,ring,220.0,static_reference,4,32,3.1184935569763184,9.934486389160156
