config_id,config_index,global_config_index,init_seed,object,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss,source_file
cfg0023,4,23,20240709,stripe_target,scgi_ured,300,0.001,0.1,0.5,0.5,24,3,0.3,avg_pool,3,0.08,2.26762318611145,7.376823425292969,0.0296153966337442,0.0046857297420501,0.9740339702575446,2.8409247398376465,0.0002188422513427,E:\GAN_FCC_WORK\scgi-repro\results\stage4_ured_sweep_r2_stripe_shard3of5\ured_sweep_metrics.csv
cfg0024,4,24,20240709,stripe_target,scgi_ured,300,0.001,0.25,0.25,0.25,24,3,0.1,avg_pool,3,0.08,1.567376971244812,6.901455402374268,0.0189654063433408,0.0046857297420501,0.9740339702575446,3.733471155166626,0.0008856966160237,E:\GAN_FCC_WORK\scgi-repro\results\stage4_ured_sweep_r2_stripe_shard4of5\ured_sweep_metrics.csv
cfg0025,5,25,20240709,stripe_target,scgi_ured,300,0.001,0.25,0.25,0.25,24,3,0.3,avg_pool,3,0.08,1.5037285089492798,7.087105751037598,0.009553843177855,0.0046811699867248,0.975398130512143,3.830590724945069,0.0007639962714165,E:\GAN_FCC_WORK\scgi-repro\results\colab_imports\pro1_stage4_ured_sweep_r2_stripe_shard0of5\artifacts\ured_sweep_metrics.csv
cfg0026,5,26,20240709,stripe_target,scgi_ured,300,0.001,0.25,0.25,0.5,24,3,0.1,avg_pool,3,0.08,2.333589792251587,7.086905479431152,0.0413426645100116,0.0046811699867248,0.975398130512143,3.04332971572876,0.0006554461433552,E:\GAN_FCC_WORK\scgi-repro\results\colab_imports\pro1_stage4_ured_sweep_r2_stripe_shard1of5\artifacts\ured_sweep_metrics.csv
cfg0027,5,27,20240709,stripe_target,scgi_ured,300,0.001,0.25,0.25,0.5,24,3,0.3,avg_pool,3,0.08,2.72776460647583,7.70222282409668,0.0384975709021091,0.0046857297420501,0.9740339702575446,3.3717987537384038,0.0004255495150573,E:\GAN_FCC_WORK\scgi-repro\results\stage4_ured_sweep_r2_stripe_shard2of5\ured_sweep_metrics.csv
cfg0028,5,28,20240709,stripe_target,scgi_ured,300,0.001,0.25,0.5,0.25,24,3,0.1,avg_pool,3,0.08,2.6489574909210205,7.1962432861328125,0.0724395886063575,0.0046857297420501,0.9740339702575446,3.064664602279663,0.0004648780450224,E:\GAN_FCC_WORK\scgi-repro\results\stage4_ured_sweep_r2_stripe_shard3of5\ured_sweep_metrics.csv
cfg0029,5,29,20240709,stripe_target,scgi_ured,300,0.001,0.25,0.5,0.25,24,3,0.3,avg_pool,3,0.08,2.1631288528442383,7.35024881362915,0.0263606812804937,0.0046857297420501,0.9740339702575446,3.163947343826294,0.000425075792009,E:\GAN_FCC_WORK\scgi-repro\results\stage4_ured_sweep_r2_stripe_shard4of5\ured_sweep_metrics.csv
cfg0030,6,30,20240709,stripe_target,scgi_ured,300,0.001,0.25,0.5,0.5,24,3,0.1,avg_pool,3,0.08,2.747610092163086,7.117498397827148,0.0737084075808525,0.0046811699867248,0.975398130512143,3.008066415786743,0.0004243624571245,E:\GAN_FCC_WORK\scgi-repro\results\colab_imports\pro1_stage4_ured_sweep_r2_stripe_shard0of5\artifacts\ured_sweep_metrics.csv
cfg0031,6,31,20240709,stripe_target,scgi_ured,300,0.001,0.25,0.5,0.5,24,3,0.3,avg_pool,3,0.08,2.306060314178467,7.457953453063965,0.0242523904889822,0.0046811699867248,0.975398130512143,3.053806066513061,0.0002482181007508,E:\GAN_FCC_WORK\scgi-repro\results\colab_imports\pro1_stage4_ured_sweep_r2_stripe_shard1of5\artifacts\ured_sweep_metrics.csv
cfg0032,6,32,20240709,stripe_target,scgi_ured,300,0.001,0.5,0.25,0.25,24,3,0.1,avg_pool,3,0.08,0.8990699052810669,6.8754048347473145,-0.0392456501722335,0.0046857297420501,0.9740339702575446,3.054649353027344,0.002227080753073,E:\GAN_FCC_WORK\scgi-repro\results\stage4_ured_sweep_r2_stripe_shard2of5\ured_sweep_metrics.csv
cfg0033,6,33,20240709,stripe_target,scgi_ured,300,0.001,0.5,0.25,0.25,24,3,0.3,avg_pool,3,0.08,1.8813133239746092,7.260421752929687,0.0186569280922412,0.0046857297420501,0.9740339702575446,3.1333224773406982,0.0005931432824581,E:\GAN_FCC_WORK\scgi-repro\results\stage4_ured_sweep_r2_stripe_shard3of5\ured_sweep_metrics.csv
cfg0034,6,34,20240709,stripe_target,scgi_ured,300,0.001,0.5,0.25,0.5,24,3,0.1,avg_pool,3,0.08,0.8653266429901123,6.442889213562012,-0.0260904971510171,0.0046857297420501,0.9740339702575446,2.992647171020508,0.0019401487661525,E:\GAN_FCC_WORK\scgi-repro\results\stage4_ured_sweep_r2_stripe_shard4of5\ured_sweep_metrics.csv
cfg0035,7,35,20240709,stripe_target,scgi_ured,300,0.001,0.5,0.25,0.5,24,3,0.3,avg_pool,3,0.08,1.880920648574829,7.452512264251709,0.0122704189270734,0.0046811699867248,0.975398130512143,3.047908067703247,0.0004763715260196,E:\GAN_FCC_WORK\scgi-repro\results\colab_imports\pro1_stage4_ured_sweep_r2_stripe_shard0of5\artifacts\ured_sweep_metrics.csv
cfg0036,7,36,20240709,stripe_target,scgi_ured,300,0.001,0.5,0.5,0.25,24,3,0.1,avg_pool,3,0.08,2.307878255844116,7.131327629089356,0.0402829982340335,0.0046811699867248,0.975398130512143,3.043362617492676,0.0011529487092047,E:\GAN_FCC_WORK\scgi-repro\results\colab_imports\pro1_stage4_ured_sweep_r2_stripe_shard1of5\artifacts\ured_sweep_metrics.csv
cfg0037,7,37,20240709,stripe_target,scgi_ured,300,0.001,0.5,0.5,0.25,24,3,0.3,avg_pool,3,0.08,2.197762489318848,7.217728614807129,0.0184970572590827,0.0046857297420501,0.9740339702575446,3.4575929641723637,0.0004317646380513,E:\GAN_FCC_WORK\scgi-repro\results\stage4_ured_sweep_r2_stripe_shard2of5\ured_sweep_metrics.csv
cfg0038,7,38,20240709,stripe_target,scgi_ured,300,0.001,0.5,0.5,0.5,24,3,0.1,avg_pool,3,0.08,2.2394533157348637,6.905041217803955,0.03986107558012,0.0046857297420501,0.9740339702575446,2.981618642807007,0.0010784015757963,E:\GAN_FCC_WORK\scgi-repro\results\stage4_ured_sweep_r2_stripe_shard3of5\ured_sweep_metrics.csv
cfg0039,7,39,20240709,stripe_target,scgi_ured,300,0.001,0.5,0.5,0.5,24,3,0.3,avg_pool,3,0.08,2.2301502227783203,7.378246784210205,0.017737491056323,0.0046857297420501,0.9740339702575446,3.0225493907928467,0.0003605934034567,E:\GAN_FCC_WORK\scgi-repro\results\stage4_ured_sweep_r2_stripe_shard4of5\ured_sweep_metrics.csv
