config_id,objects,mean_cnr,min_cnr,max_best_trace_cnr,mean_best_trace_cnr,mean_psnr,min_psnr,mean_ssim,global_config_index,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,init_seed
cfg0012,1,2.519061326980591,2.519061326980591,2.690205812454224,2.690205812454224,7.263182640075684,7.263182640075684,0.1080899462103843,12,300,0.001,0.05,0.5,0.25,24,3,0.1,avg_pool,3,0.08,20240709
cfg0019,1,2.4495229721069336,2.4495229721069336,3.1447458267211914,3.1447458267211914,7.204977035522461,7.204977035522461,0.0384215712547302,19,300,0.001,0.1,0.25,0.5,24,3,0.3,avg_pool,3,0.08,20240709
cfg0020,1,2.3910672664642334,2.3910672664642334,2.8569130897521973,2.8569130897521973,7.192899703979492,7.192899703979492,0.0877748355269432,20,300,0.001,0.1,0.5,0.25,24,3,0.1,avg_pool,3,0.08,20240709
cfg0015,1,2.3675014972686768,2.3675014972686768,2.6862218379974365,2.6862218379974365,7.269346237182617,7.269346237182617,0.0445269756019115,15,300,0.001,0.05,0.5,0.5,24,3,0.3,avg_pool,3,0.08,20240709
cfg0011,1,2.3401200771331787,2.3401200771331787,2.9353809356689453,2.9353809356689453,7.182150840759277,7.182150840759277,0.0515336282551288,11,300,0.001,0.05,0.25,0.5,24,3,0.3,avg_pool,3,0.08,20240709
cfg0026,1,2.333589792251587,2.333589792251587,3.04332971572876,3.04332971572876,7.086905479431152,7.086905479431152,0.0413426645100116,26,300,0.001,0.25,0.25,0.5,24,3,0.1,avg_pool,3,0.08,20240709
cfg0036,1,2.307878255844116,2.307878255844116,3.043362617492676,3.043362617492676,7.131327629089356,7.131327629089356,0.0402829982340335,36,300,0.001,0.5,0.5,0.25,24,3,0.1,avg_pool,3,0.08,20240709
cfg0031,1,2.306060314178467,2.306060314178467,3.053806066513061,3.053806066513061,7.457953453063965,7.457953453063965,0.0242523904889822,31,300,0.001,0.25,0.5,0.5,24,3,0.3,avg_pool,3,0.08,20240709
cfg0023,1,2.26762318611145,2.26762318611145,2.8409247398376465,2.8409247398376465,7.376823425292969,7.376823425292969,0.0296153966337442,23,300,0.001,0.1,0.5,0.5,24,3,0.3,avg_pool,3,0.08,20240709
cfg0038,1,2.2394533157348637,2.2394533157348637,2.981618642807007,2.981618642807007,6.905041217803955,6.905041217803955,0.03986107558012,38,300,0.001,0.5,0.5,0.5,24,3,0.1,avg_pool,3,0.08,20240709
cfg0039,1,2.2301502227783203,2.2301502227783203,3.0225493907928467,3.0225493907928467,7.378246784210205,7.378246784210205,0.017737491056323,39,300,0.001,0.5,0.5,0.5,24,3,0.3,avg_pool,3,0.08,20240709
cfg0037,1,2.197762489318848,2.197762489318848,3.4575929641723637,3.4575929641723637,7.217728614807129,7.217728614807129,0.0184970572590827,37,300,0.001,0.5,0.5,0.25,24,3,0.3,avg_pool,3,0.08,20240709
cfg0013,1,2.1826696395874023,2.1826696395874023,2.765028953552246,2.765028953552246,7.135715961456299,7.135715961456299,0.0645691901445388,13,300,0.001,0.05,0.5,0.25,24,3,0.3,avg_pool,3,0.08,20240709
cfg0029,1,2.1631288528442383,2.1631288528442383,3.163947343826294,3.163947343826294,7.35024881362915,7.35024881362915,0.0263606812804937,29,300,0.001,0.25,0.5,0.25,24,3,0.3,avg_pool,3,0.08,20240709
cfg0000,1,1.9923195838928225,1.9923195838928225,2.47377610206604,2.47377610206604,7.414043426513672,7.414043426513672,0.1879978030920028,0,300,0.001,0.0,0.25,0.25,24,3,0.1,avg_pool,3,0.08,20240709
cfg0002,1,1.9884393215179443,1.9884393215179443,2.473742723464966,2.473742723464966,7.434671401977539,7.434671401977539,0.1880248785018921,2,300,0.001,0.0,0.25,0.5,24,3,0.1,avg_pool,3,0.08,20240709
cfg0016,1,1.9393175840377808,1.9393175840377808,3.0968003273010254,3.0968003273010254,6.936425685882568,6.936425685882568,0.0655329376459121,16,300,0.001,0.1,0.25,0.25,24,3,0.1,avg_pool,3,0.08,20240709
cfg0004,1,1.897022485733032,1.897022485733032,2.473735809326172,2.473735809326172,7.381466865539551,7.381466865539551,0.1754635274410247,4,300,0.001,0.0,0.5,0.25,24,3,0.1,avg_pool,3,0.08,20240709
