experiment,basis,correction,channel,rho,sigma_a,mse_mean,rel_mse_mean,psnr_mean,gain_rel_mse_mean,gain_corr_mean,mse_std,rel_mse_std,psnr_std,gain_rel_mse_std,gain_corr_std,window_frac,agc_window,sigma_delta
oracle_agc,hadamard_paired,none,ou,0.03,0.1,0.0045165220199503585,0.04678024634925996,23.904951199812412,,,0.0018976299714262542,0.007592553684504871,2.1083674190934563,,,,,
oracle_agc,hadamard_paired,oracle,ou,0.001,0.1,8.626844771936872e-14,8.951333300139669e-13,120.0,8.491836147293558e-15,0.9999999046325684,3.3063585829269294e-14,1.3605864240155548e-13,0.0,6.9336372787299695e-15,1.3902072660712672e-07,,,
oracle_agc,hadamard_paired,oracle,ou,0.003,0.1,8.612288920031946e-14,8.948424761481313e-13,120.0,8.460152879901511e-15,1.000000011920929,3.2737347162585797e-14,1.2930915544718353e-13,0.0,6.907712081073474e-15,1.0925711859948074e-07,,,
oracle_agc,hadamard_paired,oracle,ou,0.01,0.1,8.701493728231421e-14,9.013292568370669e-13,120.0,5.626528499298907e-15,0.9999999761581421,3.361663453493375e-14,1.3303008463270373e-13,0.0,6.891061932770587e-15,1.1680077283436194e-07,,,
oracle_agc,hadamard_paired,oracle,ou,0.03,0.1,8.731190238880803e-14,9.048782106965801e-13,120.0,5.623241333837202e-15,0.9999999046325684,3.413354136798416e-14,1.3591476110178266e-13,0.0,6.88703806732008e-15,2.9200193184458784e-08,,,
oracle_agc,random_binary,agc,ou,0.001,0.1,0.03213245844139455,0.34232156781758954,15.206749375518267,0.00020773470139829443,0.9680430483818054,0.010326693956020714,0.010823606984987072,1.6555913108685965,3.264080793594045e-05,0.02079478073239803,,,
oracle_agc,random_binary,agc,ou,0.003,0.1,0.03410394993919907,0.3626089691744498,14.957624108934764,0.0005310228769667447,0.9567324447631836,0.011168221102847433,0.013714052715750812,1.6823441876612626,8.389441264398255e-05,0.018970391707495766,,,
oracle_agc,random_binary,agc,ou,0.01,0.1,0.03987073472463935,0.4223399815606666,14.298067461630948,0.0016318631335161626,0.898750262260437,0.013499937058365002,0.021889862578998043,1.736538351331186,0.0002535957118226133,0.017513098252412866,,,
oracle_agc,random_binary,agc,ou,0.03,0.1,0.049609052849264874,0.5244017144471129,13.360113373070085,0.0041721037216484545,0.7482675695419312,0.01706071097442654,0.03166767581808758,1.7704175401463387,0.0005313860541292967,0.014214899439530663,,,
oracle_agc,random_binary,none,ou,0.001,0.1,0.04978001585271401,0.5264800060727809,13.393743421485738,,,0.018833881081160974,0.085246715100099,1.884818895724036,,,,,
