experiment,basis,correction,channel,rho,sigma_a,seed,object,num_frames,num_pixels,mse,rel_mse,psnr,recon_scale,gain_rel_mse,gain_corr,gain_scale
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,0,7,2048,1024,0.00718112007594129,0.05594959037637198,21.438078113479282,0.939595165039711,0.00015032080409582704,0.8509740233421326,1.0
pairwise_failure,srht_paired,none,jitter,0.03,0.1,0,7,2048,1024,0.007211937708667791,0.056189696920919796,21.419480330448494,0.9397780617705381,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,0,8,2048,1024,8.880723128212883e-14,7.839087498950675e-13,120.0,1.000000191548148,1.4203111987031152e-14,1.0,0.9999998807907104
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,0,8,2048,1024,0.005977667409949092,0.0527653628986028,22.2346825223452,0.9437888309783165,0.00015036285913083702,0.850929856300354,0.9999991655349731
pairwise_failure,srht_paired,none,jitter,0.03,0.1,0,8,2048,1024,0.0060649682220789295,0.05353597436248363,22.171714703146254,0.9429630173289646,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,0,9,2048,1024,6.312445054634588e-14,7.943315618070084e-13,120.0,0.9999999873741172,1.4203111987031152e-14,1.0,0.9999998807907104
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,0,9,2048,1024,0.0034858845383052423,0.04386490631800347,24.576870019670906,0.9596111099717924,0.00015045136387925595,0.8508340120315552,0.9999992847442627
pairwise_failure,srht_paired,none,jitter,0.03,0.1,0,9,2048,1024,0.0035380854601187637,0.044521780784125865,24.512316812030747,0.9596433873752066,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,1,0,2048,1024,6.596210995433762e-14,7.801948003728195e-13,120.0,0.9999999732150812,0.0,1.0000001192092896,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,1,0,2048,1024,0.0030294858300136318,0.03583252709799565,25.18631074512981,0.9691761422695115,0.0001453217992093414,0.8795873522758484,1.0
pairwise_failure,srht_paired,none,jitter,0.03,0.1,1,0,2048,1024,0.003064122627361698,0.036242208492530105,25.1369385806005,0.9684117230270525,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,1,1,2048,1024,5.739534724627247e-14,7.196485145145582e-13,120.0,1.0000001381018875,0.0,1.0000001192092896,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,1,1,2048,1024,0.0027109848289242275,0.03399153936007467,25.668729127894622,0.9507841364822761,0.0001453300501452759,0.8795799016952515,0.9999997615814209
pairwise_failure,srht_paired,none,jitter,0.03,0.1,1,1,2048,1024,0.0027572917672937275,0.03457215644853548,25.595172758886907,0.9502673933278589,,,
pairwise_failure,srht_paired,oracle,jitter,0.03,0.1,1,2,2048,1024,6.167773716745935e-14,8.72830031038584e-13,120.0,1.0000000312762976,0.0,1.0000001192092896,1.0
pairwise_failure,srht_paired,pairwise,jitter,0.03,0.1,1,2,2048,1024,0.0028191889277410145,0.03989563937183565,25.498758189400178,0.9544472752256209,0.0001453056902391836,0.879602313041687,0.9999991655349731
