experiment,basis,correction,channel,rho,sigma_delta,seed,object,num_frames,num_pixels,mse,rel_mse,psnr,recon_scale
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,1,4,2048,1024,0.01152291488793953,0.3255565567979739,19.384376459459972,0.6371958887073932
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,1,5,2048,1024,0.03860570499750615,0.3341781173066736,14.133485122749128,0.6715493607847058
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,1,6,2048,1024,0.04249071070881373,0.319203533515379,13.717060047463365,0.6698252475912905
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,1,7,2048,1024,0.0432977035622963,0.33734135523844777,13.635351372879889,0.651620282602216
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,1,8,2048,1024,0.0365596293875612,0.32271486179749154,14.369982154478592,0.658798185345694
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,1,9,2048,1024,0.025404724661295314,0.31968238048532027,15.950855076510717,0.6560872750656633
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,2,0,2048,1024,0.025759008873478387,0.304675590270799,15.89070851291267,0.6581279507151031
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,2,1,2048,1024,0.02642256288687106,0.3312979020688681,15.780250597857071,0.6669651172273581
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,2,2,2048,1024,0.02418061533324958,0.34219101090802356,16.165326516789456,0.6871310953796356
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,2,3,2048,1024,0.03292237398921003,0.34920499209243416,14.825088559251165,0.6683124488425041
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,2,4,2048,1024,0.01152291488793953,0.3255565567979739,19.384376459459972,0.6371958887073932
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,2,5,2048,1024,0.03860570499750615,0.3341781173066736,14.133485122749128,0.6715493607847058
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,2,6,2048,1024,0.04249071070881373,0.319203533515379,13.717060047463365,0.6698252475912905
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,2,7,2048,1024,0.0432977035622963,0.33734135523844777,13.635351372879889,0.651620282602216
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,2,8,2048,1024,0.0365596293875612,0.32271486179749154,14.369982154478592,0.658798185345694
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,2,9,2048,1024,0.025404724661295314,0.31968238048532027,15.950855076510717,0.6560872750656633
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,3,0,2048,1024,0.025759008873478387,0.304675590270799,15.89070851291267,0.6581279507151031
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,3,1,2048,1024,0.02642256288687106,0.3312979020688681,15.780250597857071,0.6669651172273581
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,3,2,2048,1024,0.02418061533324958,0.34219101090802356,16.165326516789456,0.6871310953796356
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,3,3,2048,1024,0.03292237398921003,0.34920499209243416,14.825088559251165,0.6683124488425041
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,3,4,2048,1024,0.01152291488793953,0.3255565567979739,19.384376459459972,0.6371958887073932
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,3,5,2048,1024,0.03860570499750615,0.3341781173066736,14.133485122749128,0.6715493607847058
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,3,6,2048,1024,0.04249071070881373,0.319203533515379,13.717060047463365,0.6698252475912905
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,3,7,2048,1024,0.0432977035622963,0.33734135523844777,13.635351372879889,0.651620282602216
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,3,8,2048,1024,0.0365596293875612,0.32271486179749154,14.369982154478592,0.658798185345694
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,3,9,2048,1024,0.025404724661295314,0.31968238048532027,15.950855076510717,0.6560872750656633
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,4,0,2048,1024,0.025759008873478387,0.304675590270799,15.89070851291267,0.6581279507151031
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,4,1,2048,1024,0.02642256288687106,0.3312979020688681,15.780250597857071,0.6669651172273581
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,4,2,2048,1024,0.02418061533324958,0.34219101090802356,16.165326516789456,0.6871310953796356
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,4,3,2048,1024,0.03292237398921003,0.34920499209243416,14.825088559251165,0.6683124488425041
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,4,4,2048,1024,0.01152291488793953,0.3255565567979739,19.384376459459972,0.6371958887073932
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,4,5,2048,1024,0.03860570499750615,0.3341781173066736,14.133485122749128,0.6715493607847058
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,4,6,2048,1024,0.04249071070881373,0.319203533515379,13.717060047463365,0.6698252475912905
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,4,7,2048,1024,0.0432977035622963,0.33734135523844777,13.635351372879889,0.651620282602216
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,4,8,2048,1024,0.0365596293875612,0.32271486179749154,14.369982154478592,0.658798185345694
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,4,9,2048,1024,0.025404724661295314,0.31968238048532027,15.950855076510717,0.6560872750656633
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.02,0,0,2048,1024,0.03044542255202347,0.3601061334557884,15.164779939944603,0.602802626126166
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.02,0,1,2048,1024,0.03176315388443458,0.39826061877716395,14.980763813519262,0.5969381980856788
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.02,0,2,2048,1024,0.028331123779578138,0.4009267652078126,15.477361984555586,0.6155939950295363
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.02,0,3,2048,1024,0.039649399496317,0.42055801450159547,14.017633858346699,0.5956628434969272
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.02,0,4,2048,1024,0.013428329529540078,0.37939017754624293,18.719780097605696,0.5929881558861931
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.02,0,5,2048,1024,0.04855593620180086,0.42030915754624754,13.137576678756691,0.5932927825608338
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.02,0,6,2048,1024,0.05538220409527536,0.4160484714466038,12.566297642392774,0.5764495408241121
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.02,0,7,2048,1024,0.055346087666808014,0.4312128054044251,12.56913073335734,0.5700386191001053
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.02,0,8,2048,1024,0.044085539264953545,0.3891466885601933,13.557038424443224,0.5910022233020126
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.02,0,9,2048,1024,0.03110180875703641,0.3913720929239794,15.072143534053863,0.585280019531286
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.02,1,0,2048,1024,0.030968237886910107,0.3662899533201938,15.090835055816495,0.6039185091055459
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.02,1,1,2048,1024,0.03111403540208181,0.3901216811457786,15.070436584766096,0.615245185655878
