basis,rho,object,fit_max_W,slope_log_err_vs_log_W,W,object_mean_err,object_std_err,relative_spread
hadamard_random_paired,0.001,digit_1,32,-0.39719576642631926,512,0.03382059895461653,0.0004956507185616271,0.014655290973017215
hadamard_random_paired,0.001,digit_1,32,-0.39719576642631926,1024,0.042614989672174114,0.00011849509193547977,0.0027805965189017126
random_binary,0.001,digit_0,32,-0.4310241465001017,4,0.04286823641144546,0.0036583152952504444,0.08533860035990902
random_binary,0.001,digit_0,32,-0.4310241465001017,8,0.03182006345091614,0.0026984624737223187,0.08480380555761043
random_binary,0.001,digit_0,32,-0.4310241465001017,16,0.02315544719112186,0.0019320054336172052,0.08343632570214254
random_binary,0.001,digit_0,32,-0.4310241465001017,32,0.017885012344557617,0.0012309178095479458,0.06882398434142051
random_binary,0.001,digit_0,32,-0.4310241465001017,64,0.016536199570647767,0.0008646916989137679,0.05229083594568009
random_binary,0.001,digit_0,32,-0.4310241465001017,128,0.01753178844091891,0.0005385815718796268,0.030720286962999516
random_binary,0.001,digit_0,32,-0.4310241465001017,256,0.02310016751047861,0.0002268956108097877,0.009822249587881308
random_binary,0.001,digit_0,32,-0.4310241465001017,512,0.03513269463920989,0.0002580452648734133,0.007344875408031512
random_binary,0.001,digit_0,32,-0.4310241465001017,1024,0.048445441883049854,0.0017435299710073376,0.03598955656584414
random_binary,0.001,digit_1,32,-0.41624564999458397,4,0.04286823641144546,0.0036583152952504444,0.08533860035990902
random_binary,0.001,digit_1,32,-0.41624564999458397,8,0.03182006345091614,0.0026984624737223187,0.08480380555761043
random_binary,0.001,digit_1,32,-0.41624564999458397,16,0.02315544719112186,0.0019320054336172052,0.08343632570214254
random_binary,0.001,digit_1,32,-0.41624564999458397,32,0.017885012344557617,0.0012309178095479458,0.06882398434142051
random_binary,0.001,digit_1,32,-0.41624564999458397,64,0.016536199570647767,0.0008646916989137679,0.05229083594568009
random_binary,0.001,digit_1,32,-0.41624564999458397,128,0.01753178844091891,0.0005385815718796268,0.030720286962999516
random_binary,0.001,digit_1,32,-0.41624564999458397,256,0.02310016751047861,0.0002268956108097877,0.009822249587881308
random_binary,0.001,digit_1,32,-0.41624564999458397,512,0.03513269463920989,0.0002580452648734133,0.007344875408031512
random_binary,0.001,digit_1,32,-0.41624564999458397,1024,0.048445441883049854,0.0017435299710073376,0.03598955656584414
random_uniform,0.001,digit_0,32,-0.3602689246712051,4,0.023787015325270486,0.0021531698124025063,0.09051870455201896
random_uniform,0.001,digit_0,32,-0.3602689246712051,8,0.017907924222002446,0.0014206385783412379,0.0793301647209217
random_uniform,0.001,digit_0,32,-0.3602689246712051,16,0.013853392922427711,0.0009333712089557508,0.06737491776795601
random_uniform,0.001,digit_0,32,-0.3602689246712051,32,0.01150329572600949,0.000834645612794992,0.07255708561050198
random_uniform,0.001,digit_0,32,-0.3602689246712051,64,0.012214208536785393,0.0005671170590170783,0.04643092979042386
random_uniform,0.001,digit_0,32,-0.3602689246712051,128,0.015242096042496281,0.00013663928969667206,0.008964599705690733
random_uniform,0.001,digit_0,32,-0.3602689246712051,256,0.020992343832898226,9.794364145185655e-05,0.004665683938463499
random_uniform,0.001,digit_0,32,-0.3602689246712051,512,0.03374359215263524,0.00011790948506752372,0.00349427780344706
random_uniform,0.001,digit_0,32,-0.3602689246712051,1024,0.044920374309061185,0.0009093133420491617,0.020242781945513266
random_uniform,0.001,digit_1,32,-0.34114828711973255,4,0.023787015325270486,0.0021531698124025063,0.09051870455201896
random_uniform,0.001,digit_1,32,-0.34114828711973255,8,0.017907924222002446,0.0014206385783412379,0.0793301647209217
