basis,correction,reference_period,rho,sigma_a,seed,object,num_frames,reference_frames,total_physical_frames,num_coefficients,num_pixels,shard,unit_index,mse,rel_mse,psnr,recon_scale,gain_rel_mse,gain_corr,gain_scale
random_uniform,scgi_proxy,0,3.0,0.05,0,9,2048,0,2048,2048,1024,4/5,9,0.04799522933576639,0.6039517991459455,13.18801928793559,0.37497704920212804,0.0026552858762443066,0.05613759905099869,0.9999809265136719
random_uniform,scgi_frozen,0,3.0,0.05,0,9,2048,0,2048,2048,1024,4/5,9,0.07786233894322087,0.9797869567721019,11.086725544468159,2.252780518117985,,,
random_uniform,reference_k2,2,3.0,0.05,0,9,2048,1025,3073,2048,1024,4/5,9,0.04216738887183362,0.5306167035116632,13.750232909382722,0.4430725764570219,0.0016661571571603417,0.6563149094581604,0.9994217753410339
random_uniform,reference_k8,8,3.0,0.05,0,9,2048,257,2305,2048,1024,4/5,9,0.051609855988556934,0.6494367421372879,12.87267352777797,0.3195075493291371,0.0037745926529169083,0.16286027431488037,0.9985157251358032
random_uniform,reference_k32,32,3.0,0.05,0,9,2048,65,2113,2048,1024,4/5,9,0.05504475980694962,0.6926601284971817,12.592840190219025,0.28558218810824243,0.0043358709663152695,0.05113186314702034,0.9981980323791504
random_uniform,none,0,3.0,0.05,1,4,2048,0,2048,2048,1024,4/5,14,0.01875211321158772,0.5298028727297088,17.269497837006437,0.4139411843223145,,,
random_uniform,oracle,0,3.0,0.05,1,4,2048,0,2048,2048,1024,4/5,14,0.011522915265684924,0.3255565674704028,19.384376317089103,0.6371958814041744,1.4175679978001374e-14,1.0,0.9999998807907104
random_uniform,agc,0,3.0,0.05,1,4,2048,0,2048,2048,1024,4/5,14,0.01885094858129778,0.5325952653634807,17.246667911739408,0.4136617513494511,0.00248132087290287,0.05042620003223419,0.99997878074646
random_uniform,scgi_proxy,0,3.0,0.05,1,4,2048,0,2048,2048,1024,4/5,14,0.018848536052099567,0.5325271042508991,17.247223753884114,0.4134750234761406,0.0024805825669318438,0.04911164566874504,0.9999804496765137
random_uniform,scgi_frozen,0,3.0,0.05,1,4,2048,0,2048,2048,1024,4/5,14,0.03493403629158588,0.9869902434190264,14.567512329168457,1.252904848843274,,,
random_uniform,reference_k2,2,3.0,0.05,1,4,2048,1025,3073,2048,1024,4/5,14,0.017797471563535585,0.5028314118677455,17.496416922979392,0.46476330030808244,0.0018051550723612309,0.5857118964195251,0.9994298815727234
random_uniform,reference_k8,8,3.0,0.05,1,4,2048,257,2305,2048,1024,4/5,14,0.02067095614681606,0.5840158826411932,16.84639434370188,0.3645915055287782,0.003350166603922844,0.17922990024089813,0.9987673163414001
random_uniform,reference_k32,32,3.0,0.05,1,4,2048,65,2113,2048,1024,4/5,14,0.02200358843223074,0.6216667012523334,16.575064869399935,0.3355230539010034,0.003997280728071928,0.04938425123691559,0.9983720183372498
random_uniform,none,0,3.0,0.05,1,9,2048,0,2048,2048,1024,4/5,19,0.047335342635472746,0.5956480621831172,13.248144749075092,0.3843382913604326,,,
random_uniform,oracle,0,3.0,0.05,1,9,2048,0,2048,2048,1024,4/5,19,0.025404724110401237,0.3196823735531007,15.950855170686216,0.6560872857822355,1.4175679978001374e-14,1.0,0.9999998807907104
random_uniform,agc,0,3.0,0.05,1,9,2048,0,2048,2048,1024,4/5,19,0.04754970508561575,0.598345509184099,13.228521723140943,0.3828332945577759,0.002470040926709771,0.055305492132902145,0.9999934434890747
random_uniform,scgi_proxy,0,3.0,0.05,1,9,2048,0,2048,2048,1024,4/5,19,0.04757587886344644,0.5986748690065244,13.226131802974905,0.38259889519592677,0.0024717641063034534,0.051017988473176956,0.9999927282333374
random_uniform,scgi_frozen,0,3.0,0.05,1,9,2048,0,2048,2048,1024,4/5,19,0.07787750173047912,0.9799777589158031,11.085879888683632,2.2658937233436958,,,
random_uniform,reference_k2,2,3.0,0.05,1,9,2048,1025,3073,2048,1024,4/5,19,0.04520984807072259,0.5689017316785734,13.44766952425066,0.42666629235819375,0.0018051550723612309,0.5857118964195251,0.9994298815727234
