postprocess_method,rule,observations,mean_selected_cnr,min_selected_cnr,all_hit_apl_min,mean_regret_to_peak,max_regret_to_peak,mean_selected_step
raw_otsu_binary,min_proxy_denoiser_mse,4,13.508130073547363,5.1797895431518555,False,21.91979169845581,47.437482833862305,153.0
raw_mean_plus_std_binary,min_proxy_data_loss,4,21.673574805259705,4.718787670135498,False,21.359126687049866,50.057430267333984,24.75
raw_mean_binary,min_proxy_data_loss,4,6.859885096549988,4.38338041305542,False,6.858908534049988,10.637035846710205,24.75
raw_mean_plus_std_binary,min_proxy_denoiser_mse,4,12.822307169437408,3.8675148487091064,False,30.210394322872162,82.34402847290039,153.0
raw_mean_binary,fixed_step_125,4,5.818122684955597,3.846750020980835,False,7.900670945644379,11.486351251602173,103.0
raw_mean_binary,min_proxy_denoiser_mse,4,6.59300172328949,3.825676918029785,False,7.125791907310486,8.27558183670044,153.0
raw_mean_binary,fixed_step_50,4,5.530819535255432,3.497440814971924,False,8.187974095344543,11.522975444793701,46.75
minmax_otsu_binary,min_loss,4,6.8755850195884705,3.4786317348480225,False,28.552336752414703,73.14331722259521,47.25
minmax_otsu_binary,min_proxy_aug_loss,4,6.8755850195884705,3.4786317348480225,False,28.552336752414703,73.14331722259521,47.25
raw_otsu_binary,min_loss,4,6.8755850195884705,3.4786317348480225,False,28.552336752414703,73.14331722259521,47.25
raw_otsu_binary,min_proxy_aug_loss,4,6.8755850195884705,3.4786317348480225,False,28.552336752414703,73.14331722259521,47.25
raw_mean_binary,min_proxy_net_delta_mse,4,5.98131388425827,3.202516794204712,False,7.737479746341705,12.060468196868896,33.25
raw_mean_binary,fixed_step_64,4,6.414052188396454,2.975403070449829,False,7.304741442203522,11.545234441757202,57.25
raw_mean_plus_std_binary,max_proxy_net_delta_mse,4,13.132287442684174,2.968148946762085,False,29.900414049625397,77.69179725646973,67.25
raw_mean_plus_std_binary,min_loss,4,6.964078962802887,2.95688796043396,False,36.06862252950668,104.59161520004272,47.25
raw_mean_plus_std_binary,min_proxy_aug_loss,4,6.964078962802887,2.95688796043396,False,36.06862252950668,104.59161520004272,47.25
minmax_otsu_binary,max_proxy_data_loss,4,14.373292922973633,2.9112863540649414,False,21.05462884902954,42.379478454589844,150.0
raw_otsu_binary,max_proxy_data_loss,4,14.373292922973633,2.9112863540649414,False,21.05462884902954,42.379478454589844,150.0
minmax_otsu_binary,max_proxy_max,4,14.259444236755371,2.9112863540649414,False,21.168477535247803,39.61629104614258,61.25
raw_otsu_binary,max_proxy_max,4,14.259444236755371,2.9112863540649414,False,21.168477535247803,39.61629104614258,61.25
minmax_otsu_binary,max_proxy_otsu_score,4,11.868207216262817,2.9112863540649414,False,23.559714555740356,51.11795616149902,29.75
raw_otsu_binary,max_proxy_otsu_score,4,11.868207216262817,2.9112863540649414,False,23.559714555740356,51.11795616149902,29.75
minmax_otsu_binary,max_proxy_std,4,8.394284725189209,2.9112863540649414,False,27.033637046813965,59.677555084228516,9.5
raw_otsu_binary,max_proxy_std,4,8.394284725189209,2.9112863540649414,False,27.033637046813965,59.677555084228516,9.5
minmax_otsu_binary,min_proxy_dual_abs_mean,4,5.780389070510864,2.9112863540649414,False,29.64753270149231,73.14331722259521,46.5
raw_otsu_binary,min_proxy_dual_abs_mean,4,5.780389070510864,2.9112863540649414,False,29.64753270149231,73.14331722259521,46.5
minmax_otsu_binary,max_proxy_net_delta_mse,4,14.51053649187088,2.77911114692688,False,20.917385280132294,42.379478454589844,67.25
raw_otsu_binary,max_proxy_net_delta_mse,4,14.51053649187088,2.77911114692688,False,20.917385280132294,42.379478454589844,67.25
minmax_otsu_binary,max_proxy_range,4,5.270136654376984,2.77911114692688,False,30.15778511762619,66.1065788269043,6.5
raw_otsu_binary,max_proxy_range,4,5.270136654376984,2.77911114692688,False,30.15778511762619,66.1065788269043,6.5
minmax_otsu_binary,max_proxy_hist_entropy,4,3.510952055454254,2.77911114692688,False,31.91696971654892,73.14331722259521,1.0
minmax_otsu_binary,max_proxy_roughness_l2,4,3.510952055454254,2.77911114692688,False,31.91696971654892,73.14331722259521,1.0
minmax_otsu_binary,max_proxy_tv_l1,4,3.510952055454254,2.77911114692688,False,31.91696971654892,73.14331722259521,1.0
raw_otsu_binary,max_proxy_hist_entropy,4,3.510952055454254,2.77911114692688,False,31.91696971654892,73.14331722259521,1.0
raw_otsu_binary,max_proxy_roughness_l2,4,3.510952055454254,2.77911114692688,False,31.91696971654892,73.14331722259521,1.0
raw_otsu_binary,max_proxy_tv_l1,4,3.510952055454254,2.77911114692688,False,31.91696971654892,73.14331722259521,1.0
raw_mean_binary,max_proxy_denoiser_mse,4,5.25935971736908,2.681689739227295,False,8.459433913230896,12.651411533355713,25.5
raw_mean_binary,fixed_step_25,4,2.9752371311187744,2.681689739227295,False,10.743556499481201,12.651411533355713,25.0
raw_mean_binary,min_loss,4,4.242281794548035,2.5698680877685547,False,9.476511836051941,12.763233184814453,47.25
raw_mean_binary,min_proxy_aug_loss,4,4.242281794548035,2.5698680877685547,False,9.476511836051941,12.763233184814453,47.25
raw_mean_binary,max_proxy_otsu_score,4,6.2649165987968445,2.5346219539642334,False,7.453877031803131,9.888956069946289,29.75
raw_mean_binary,max_proxy_data_loss,4,5.436469852924347,2.5346219539642334,False,8.282323777675629,8.71626091003418,150.0
raw_mean_binary,max_proxy_max,4,5.421097159385681,2.5346219539642334,False,8.297696471214294,12.369949102401733,61.25
raw_mean_plus_std_binary,max_proxy_max,4,13.981980860233307,2.5182459354400635,False,29.050720632076263,80.97046852111816,61.25
raw_mean_plus_std_binary,max_proxy_data_loss,4,13.853973925113678,2.5182459354400635,False,29.178727567195892,77.69179725646973,150.0
raw_mean_plus_std_binary,max_proxy_otsu_score,4,11.739368259906769,2.5182459354400635,False,31.2933332324028,85.84693908691406,29.75
raw_mean_plus_std_binary,max_proxy_std,4,8.640868365764618,2.5182459354400635,False,34.39183312654495,90.68609619140625,9.5
raw_mean_plus_std_binary,min_proxy_dual_abs_mean,4,6.001898348331451,2.5182459354400635,False,37.03080314397812,104.59161520004272,46.5
