object,family,K_eff,basis,rho,s,seed,W,photon_budget,lambda_bar,zero_fraction,method,gain_rel_mse,log_gain_mse,fisher_reference,fisher_reference_nominal
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,64.0,64.00057220458984,0.0,soft_log_calibrated_carrier_oracle,0.00021566078246648275,0.00021662724609851635,0.00024345676277348757,0.00024413844223223122
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,64.0,64.00057220458984,0.0,naive_log,0.00025576188769914457,0.00025592774387427146,0.00024345676277348757,0.00024413844223223122
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,64.0,64.00057220458984,0.0,anscombe,0.0002495186726086008,0.00024952809872928706,0.00024345676277348757,0.00024413844223223122
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,128.0,128.0011444091797,0.0,soft_log,0.00017291160348306965,0.00017082126341912883,0.00012172838138674378,0.00012206922111611561
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,128.0,128.0011444091797,0.0,soft_log_calibrated,0.00017290995293637465,0.00017081965040667327,0.00012172838138674378,0.00012206922111611561
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,128.0,128.0011444091797,0.0,soft_log_calibrated_carrier_oracle,0.0001024965632379382,0.00010173148436658123,0.00012172838138674378,0.00012206922111611561
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,128.0,128.0011444091797,0.0,naive_log,0.0001741779348866241,0.0001720576811676215,0.00012172838138674378,0.00012206922111611561
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,1,64,128.0,128.0011444091797,0.0,anscombe,0.00017246910716359505,0.00017034393054364894,0.00012172838138674378,0.00012206922111611561
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,0.25,0.24999520182609558,0.78662109375,soft_log,0.003152618946574393,0.003180444619436902,0.062345176344695226,0.06250119956649902
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,0.25,0.24999520182609558,0.78662109375,soft_log_calibrated,0.05664463157873487,0.07117576632667699,0.062345176344695226,0.06250119956649902
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,0.25,0.24999520182609558,0.78662109375,soft_log_calibrated_carrier_oracle,0.056321372933425366,0.07121026464059543,0.062345176344695226,0.06250119956649902
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,0.25,0.24999520182609558,0.78662109375,naive_log,0.10234291459003836,0.11363323684957329,0.062345176344695226,0.06250119956649902
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,0.25,0.24999520182609558,0.78662109375,anscombe,0.006315754471605778,0.006438574389797809,0.062345176344695226,0.06250119956649902
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,0.5,0.49999040365219116,0.6142578125,soft_log,0.004361930588526073,0.004333301315978939,0.031172588172347613,0.03125059978324951
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,0.5,0.49999040365219116,0.6142578125,soft_log_calibrated,0.024154060834727646,0.02511581068710561,0.031172588172347613,0.03125059978324951
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,0.5,0.49999040365219116,0.6142578125,soft_log_calibrated_carrier_oracle,0.024180991800586634,0.025233139184838254,0.031172588172347613,0.03125059978324951
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,0.5,0.49999040365219116,0.6142578125,naive_log,0.1311597633404837,0.14643709818680778,0.031172588172347613,0.03125059978324951
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,0.5,0.49999040365219116,0.6142578125,anscombe,0.007016234104339375,0.006983061997787297,0.031172588172347613,0.03125059978324951
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,1.0,0.9999808073043823,0.375,soft_log,0.008514675793630128,0.008761543335221722,0.015586294086173806,0.015625299891624755
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,1.0,0.9999808073043823,0.375,soft_log_calibrated,0.018201847819778218,0.019665904610667348,0.015586294086173806,0.015625299891624755
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,1.0,0.9999808073043823,0.375,soft_log_calibrated_carrier_oracle,0.018095314632492223,0.019568699606210195,0.015586294086173806,0.015625299891624755
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,1.0,0.9999808073043823,0.375,naive_log,0.15872186004312003,0.19911071101545147,0.015586294086173806,0.015625299891624755
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,1.0,0.9999808073043823,0.375,anscombe,0.010257385599600438,0.010664565613377043,0.015586294086173806,0.015625299891624755
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,2.0,1.9999616146087646,0.13671875,soft_log,0.006906335743178453,0.007108282950444231,0.007793147043086903,0.007812649945812378
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,2.0,1.9999616146087646,0.13671875,soft_log_calibrated,0.008640365152744469,0.00898998256328678,0.007793147043086903,0.007812649945812378
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,2.0,1.9999616146087646,0.13671875,soft_log_calibrated_carrier_oracle,0.008757930122225827,0.009086881242783302,0.007793147043086903,0.007812649945812378
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,2.0,1.9999616146087646,0.13671875,naive_log,0.10343819254478913,0.12604640419215712,0.007793147043086903,0.007812649945812378
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,2.0,1.9999616146087646,0.13671875,anscombe,0.006305084974987735,0.0064870438184916855,0.007793147043086903,0.007812649945812378
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,4.0,3.9999232292175293,0.0205078125,soft_log,0.006303738875524823,0.0064771167634933725,0.0038965735215434516,0.003906324972906189
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,4.0,3.9999232292175293,0.0205078125,soft_log_calibrated,0.006358080799346804,0.006538704673051794,0.0038965735215434516,0.003906324972906189
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,4.0,3.9999232292175293,0.0205078125,soft_log_calibrated_carrier_oracle,0.006334072114990608,0.006515618573014803,0.0038965735215434516,0.003906324972906189
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,4.0,3.9999232292175293,0.0205078125,naive_log,0.02652625292075635,0.03053011761171967,0.0038965735215434516,0.003906324972906189
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,4.0,3.9999232292175293,0.0205078125,anscombe,0.005189829993687902,0.005264858292065836,0.0038965735215434516,0.003906324972906189
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,8.0,7.999846458435059,0.00048828125,soft_log,0.001753315076100547,0.0017412013437315072,0.0019482867607717258,0.0019531624864530944
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,8.0,7.999846458435059,0.00048828125,soft_log_calibrated,0.0017459329886706817,0.0017338221816399074,0.0019482867607717258,0.0019531624864530944
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.0001,0.1,2,64,8.0,7.999846458435059,0.00048828125,soft_log_calibrated_carrier_oracle,0.0018004930184462432,0.0017907067303917514,0.0019482867607717258,0.0019531624864530944
