method,photon_budget,gain_rel_mse_mean,gain_rel_mse_std,gain_rel_mse_count,log_gain_mse_mean,log_gain_mse_std,lambda_bar_mean,zero_fraction_mean,fisher_reference_mean,fisher_reference_nominal_mean
soft_log_calibrated,0.25,0.05423396917836881,0.007612265960406528,50,0.06399457245222578,0.009953774047209327,0.25000273287296293,0.783857421875,0.06252114670837958,0.062499316880002355
soft_log_calibrated,0.5,0.028904983222063817,0.006753348960178813,50,0.03203410154028231,0.009947226382356594,0.5000054657459259,0.611796875,0.03126057335418979,0.031249658440001177
soft_log_calibrated,1.0,0.017862346855669307,0.002454209466841114,50,0.018565608091042404,0.0019377235379356191,1.0000109314918517,0.369423828125,0.015630286677094894,0.015624829220000589
soft_log_calibrated,2.0,0.00908497282843568,0.0019042596945508046,50,0.009355006023866366,0.0018563732003663777,2.0000218629837034,0.13673828125,0.007815143338547447,0.007812414610000294
soft_log_calibrated,4.0,0.004948346300253312,0.0009579991935997133,50,0.00514115595478128,0.0010355194103047183,4.000043725967407,0.022607421875,0.0039075716692737236,0.003906207305000147
soft_log_calibrated,8.0,0.0022695610209372634,0.0003411302629143456,50,0.0022870769054293334,0.000329969533932367,8.000087451934814,0.000302734375,0.0019537858346368618,0.0019531036525000736
soft_log_calibrated,16.0,0.0011841966514997226,0.00021944923699944744,50,0.001206890255954348,0.0002101154130788005,16.000174903869627,0.0,0.0009768929173184309,0.0009765518262500368
soft_log_calibrated,32.0,0.0006203068338940349,0.00010859374479523735,50,0.0006338526477865666,0.00011373122282494182,32.000349807739255,0.0,0.0004884464586592154,0.0004882759131250184
soft_log_calibrated,64.0,0.00037987799691735903,7.966542337875772e-05,50,0.0003814103106535116,7.80090418302533e-05,64.00069961547851,0.0,0.0002442232293296077,0.0002441379565625092
soft_log_calibrated,128.0,0.00024115447814928301,3.144800262803222e-05,50,0.0002434159483696952,3.2712263524682884e-05,128.00139923095702,0.0,0.00012211161466480386,0.0001220689782812546
soft_log_calibrated_carrier_oracle,0.25,0.05416516779386976,0.007563326137869387,50,0.06395475989329037,0.009927630911990757,0.25000273287296293,0.783857421875,0.06252114670837958,0.062499316880002355
soft_log_calibrated_carrier_oracle,0.5,0.028967816391187298,0.006838062187921513,50,0.03208220593426014,0.010027101908487799,0.5000054657459259,0.611796875,0.03126057335418979,0.031249658440001177
soft_log_calibrated_carrier_oracle,1.0,0.01780794470275578,0.002471676137685523,50,0.018499248144894304,0.0019521314777922927,1.0000109314918517,0.369423828125,0.015630286677094894,0.015624829220000589
soft_log_calibrated_carrier_oracle,2.0,0.009021903867784665,0.001897959033225091,50,0.009283815339206324,0.0018389822685920133,2.0000218629837034,0.13673828125,0.007815143338547447,0.007812414610000294
soft_log_calibrated_carrier_oracle,4.0,0.004930637205257247,0.0009321533104235077,50,0.0051219152793343554,0.0010064706090931025,4.000043725967407,0.022607421875,0.0039075716692737236,0.003906207305000147
soft_log_calibrated_carrier_oracle,8.0,0.0022058975728042798,0.00030355710157343947,50,0.0022225778069943102,0.000296060412898878,8.000087451934814,0.000302734375,0.0019537858346368618,0.0019531036525000736
soft_log_calibrated_carrier_oracle,16.0,0.001148775725682389,0.000188620850861039,50,0.0011716586520297884,0.00017810342753705858,16.000174903869627,0.0,0.0009768929173184309,0.0009765518262500368
soft_log_calibrated_carrier_oracle,32.0,0.0005927241295810477,9.518620292774863e-05,50,0.0006058731687911883,9.787295759398043e-05,32.000349807739255,0.0,0.0004884464586592154,0.0004882759131250184
soft_log_calibrated_carrier_oracle,64.0,0.0003502101145258332,6.61747213228502e-05,50,0.0003517816192948286,6.488067388203923e-05,64.00069961547851,0.0,0.0002442232293296077,0.0002441379565625092
soft_log_calibrated_carrier_oracle,128.0,0.00021380745682870957,2.3157845134761956e-05,50,0.00021683056973723506,2.4031541673277366e-05,128.00139923095702,0.0,0.00012211161466480386,0.0001220689782812546
