object,family,K_eff,basis,rho,s,seed,W,photon_budget,lambda_bar,zero_fraction,method,gain_rel_mse,log_gain_mse,fisher_reference,fisher_reference_nominal
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,64.0,64.0006103515625,0.0,anscombe,0.00031006014495040115,0.00030996851297288204,0.0002437866473154271,0.0002441382967157677
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,128.0,128.001220703125,0.0,soft_log,0.00025121663464627283,0.00025183805043859443,0.00012189332365771355,0.00012206914835788385
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,128.0,128.001220703125,0.0,soft_log_calibrated,0.0002512150287933546,0.00025183639586506617,0.00012189332365771355,0.00012206914835788385
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,128.0,128.001220703125,0.0,soft_log_calibrated_carrier_oracle,0.000200924513722107,0.0002053583267071549,0.00012189332365771355,0.00012206914835788385
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,128.0,128.001220703125,0.0,naive_log,0.0002524431867621843,0.00025310045331411625,0.00012189332365771355,0.00012206914835788385
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,128.0,128.001220703125,0.0,anscombe,0.0002511634309389285,0.00025159629119172046,0.00012189332365771355,0.00012206914835788385
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,1,64,0.25,0.25000497698783875,0.78369140625,soft_log,0.004519234060295359,0.004559756932865557,0.06252627369870187,0.06249875577781023
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,1,64,0.25,0.25000497698783875,0.78369140625,soft_log_calibrated,0.05324382024480941,0.06933779729412107,0.06252627369870187,0.06249875577781023
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,1,64,0.25,0.25000497698783875,0.78369140625,soft_log_calibrated_carrier_oracle,0.05290966289073522,0.06852741074472563,0.06252627369870187,0.06249875577781023
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,1,64,0.25,0.25000497698783875,0.78369140625,naive_log,0.10372304748309735,0.11976530126763926,0.06252627369870187,0.06249875577781023
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,1,64,0.25,0.25000497698783875,0.78369140625,anscombe,0.007041391471290327,0.007185929710060303,0.06252627369870187,0.06249875577781023
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,1,64,0.5,0.5000099539756775,0.603515625,soft_log,0.0067675146459732225,0.006947320463878067,0.031263136849350934,0.031249377888905115
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,1,64,0.5,0.5000099539756775,0.603515625,soft_log_calibrated,0.03239318171841079,0.03739039397319257,0.031263136849350934,0.031249377888905115
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,1,64,0.5,0.5000099539756775,0.603515625,soft_log_calibrated_carrier_oracle,0.032155437441997184,0.03716470913247196,0.031263136849350934,0.031249377888905115
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,1,64,0.5,0.5000099539756775,0.603515625,naive_log,0.16033133078562734,0.19855133258657537,0.031263136849350934,0.031249377888905115
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,1,64,0.5,0.5000099539756775,0.603515625,anscombe,0.010096682991393834,0.0105410500830042,0.031263136849350934,0.031249377888905115
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,1,64,1.0,1.000019907951355,0.3798828125,soft_log,0.01057489017640977,0.00952449749228733,0.015631568424675467,0.015624688944452557
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,1,64,1.0,1.000019907951355,0.3798828125,soft_log_calibrated,0.0245609075796357,0.02262669669180748,0.015631568424675467,0.015624688944452557
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,1,64,1.0,1.000019907951355,0.3798828125,soft_log_calibrated_carrier_oracle,0.02427225268029765,0.022359693021006342,0.015631568424675467,0.015624688944452557
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,1,64,1.0,1.000019907951355,0.3798828125,naive_log,0.39677935761520183,0.29173105329489346,0.015631568424675467,0.015624688944452557
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,1,64,1.0,1.000019907951355,0.3798828125,anscombe,0.012247601484819586,0.011382715570343658,0.015631568424675467,0.015624688944452557
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,1,64,2.0,2.00003981590271,0.130859375,soft_log,0.005045121454059065,0.005231338822875242,0.007815784212337733,0.007812344472226279
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,1,64,2.0,2.00003981590271,0.130859375,soft_log_calibrated,0.006140038446153477,0.006466331622659283,0.007815784212337733,0.007812344472226279
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,1,64,2.0,2.00003981590271,0.130859375,soft_log_calibrated_carrier_oracle,0.0061709649597477545,0.006515258280851416,0.007815784212337733,0.007812344472226279
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,1,64,2.0,2.00003981590271,0.130859375,naive_log,0.07484128540531107,0.09533617528544099,0.007815784212337733,0.007812344472226279
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,1,64,2.0,2.00003981590271,0.130859375,anscombe,0.004527520126040974,0.004702635625283562,0.007815784212337733,0.007812344472226279
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,1,64,4.0,4.00007963180542,0.0185546875,soft_log,0.00443185854274204,0.004474040600518659,0.003907892106168867,0.0039061722361131393
