object,family,K_eff,basis,N,N_factor,seed,v,rel_mse,measured_leverage,C0_measured,theory_rel_mse,target_energy
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,3,0.01,0.009662567763364925,1.0,3.358236201082832e-10,0.01,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,4,0.0,3.279527540119953e-13,1.0,3.358236201082832e-10,0.0,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,4,0.0001,0.00011189911503280676,1.0,3.358236201082832e-10,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,4,0.0003,0.00027639161616408657,1.0,3.358236201082832e-10,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,4,0.001,0.0010604294254454604,1.0,3.358236201082832e-10,0.001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,4,0.003,0.00302391531791798,1.0,3.358236201082832e-10,0.003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,4,0.01,0.009188299660231833,1.0,3.358236201082832e-10,0.01,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,5,0.0,3.279527540119953e-13,1.0,3.358236201082832e-10,0.0,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,5,0.0001,9.957075241682306e-05,1.0,3.358236201082832e-10,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,5,0.0003,0.00030948596173463537,1.0,3.358236201082832e-10,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,5,0.001,0.0009101838407909573,1.0,3.358236201082832e-10,0.001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,5,0.003,0.003137712784930621,1.0,3.358236201082832e-10,0.003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,5,0.01,0.009760559542287005,1.0,3.358236201082832e-10,0.01,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,6,0.0,3.279527540119953e-13,1.0,3.358236201082832e-10,0.0,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,6,0.0001,9.262090064545083e-05,1.0,3.358236201082832e-10,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,6,0.0003,0.00031824674628608507,1.0,3.358236201082832e-10,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,6,0.001,0.0008776898369962864,1.0,3.358236201082832e-10,0.001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,6,0.003,0.003152082017625095,1.0,3.358236201082832e-10,0.003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,6,0.01,0.009800976835726314,1.0,3.358236201082832e-10,0.01,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,srht_inverse,1024,1,7,0.0,3.279527540119953e-13,1.0,3.358236201082832e-10,0.0,0.06494319704508411
